(pearson)
=====================================================
 #  	||  ref		trmf
=====================================================
10 	|| 	100		-71
20 	|| 	100		-68
30 	|| 	100		-66
40 	|| 	100		-41
50 	|| 	100		-23
60 	|| 	100		-14
70 	|| 	100		0
80 	|| 	100		13
90 	|| 	100		21
100 	|| 	100		24
=====================================================


(spearman)
=====================================================
 #  	||  ref		trmf
=====================================================
10 	|| 	100		-51
20 	|| 	100		-48
30 	|| 	100		-50
40 	|| 	100		-39
50 	|| 	100		-20
60 	|| 	100		-10
70 	|| 	100		3
80 	|| 	100		15
90 	|| 	100		22
100 	|| 	100		24
=====================================================
=====================================================

