1	-0.5693003137908446 -0.6694676771987562 -0.5941636681327062 -0.5585809254555792 -0.7087477857122292 -0.8851840855746624 0.3639390515479837 1.053191735581283 -0.6696558867501955 -0.5975751384949421
2	-0.887230713061131 -0.8891290558795027 -0.8646341038056061 -0.8855160126596529 -0.8709758391767034 0.2712735119292478 0.1041620659547584 -0.119444555191027 -0.8916889029226303 -0.8651393449716589
3	-0.8997878395070801 -0.9417884691225464 -0.8962002132199266 -0.895104811339695 -0.9334559026029569 0.03300962762842471 -0.2320931778443165 -0.19236982503203 -0.9426885894636932 -0.8989099126197214
4	-0.8944596496756855 -0.9559223853984918 -0.9004245330542386 -0.8883632316684449 -0.952519335544748 -0.08490881443897955 -0.4001466833455651 -0.2300976015970085 -0.9559750129202107 -0.9042057762700333
5	-0.9083447653496202 -0.949850073939 -0.9051724863499038 -0.9039305406356283 -0.9384689581433923 0.08735202809658371 -0.3459248618212983 -0.3301845494682182 -0.9505086482935114 -0.9081052421244088
6	-0.9116759293444583 -0.936428043172046 -0.898958438298687 -0.908099610012122 -0.9250524694675527 0.1136428925247207 -0.01807833469692324 -0.08586143700756216 -0.9382555024267029 -0.9005891875333405
7	-0.9241219718721126 -0.9515039054575931 -0.9116306897974619 -0.9201301538169672 -0.9427472393877456 0.06240703506774976 0.05779716683765153 0.01907447483408015 -0.9534899521456363 -0.9132120716716116
8	-0.9248518425718372 -0.966756747235159 -0.9203509121345862 -0.9200743151118224 -0.9585058955759996 0.03037595600867219 -0.2004448447376297 -0.1637909109057717 -0.9678018310714771 -0.9230099549751686
9	-0.9247089703864282 -0.962515299901786 -0.9177571646434028 -0.9200984829954253 -0.9547253618267759 0.02871663118142956 -0.1012869556961974 -0.08186340240780259 -0.9638896072412934 -0.9200577986408851
10	-0.9488675098141798 -0.9686796978263247 -0.9311493824840354 -0.9451292574396489 -0.9603659692210704 0.06524242170327682 0.2493940571976038 0.172973083262814 -0.9713604755949106 -0.9320696320951355
11	-0.9423981608659864 -0.9678709008426425 -0.9279095614826164 -0.9383477218503697 -0.9600949253334351 0.04708350648448323 0.1564572324278202 0.1125472955465469 -0.9701856851693116 -0.9292289483999971
12	-0.9399351282767536 -0.9731254170066976 -0.9303739272556113 -0.9356424694725473 -0.9637912047062901 0.06258518335636626 -0.06309302637365519 -0.07884724588294598 -0.9747336885936577 -0.9324340759671765
13	-0.9345797378341559 -0.9749109402612506 -0.9286465296032234 -0.9297837800212018 -0.9673542539847844 0.02005323209622225 -0.1296691830752404 -0.09738794501478731 -0.9761873717033822 -0.9311075135960782
