1	0.8550104087628588 0.5924112103941438 0.219882679380409 0.1102615421854991 0.146475005341391 0.0226597458119547 -0.2152662354815369 -0.07240319509678445 -0.09146087166482368 -0.1208412177911303 -0.2300567575881653 -0.1926611528961451 -0.1102732181582271 -0.1918338140002312 -0.4113643983429555 -0.309645282493583 -0.3054253771595516 -0.4237352037697193 -0.5241036512399373 -0.5955972149181448 -0.5785184055552428 -0.5899928562436499 -0.8418369510005396 -0.7993579681077702 -0.9443174362412057 -1.03111716948908 -1.245429362868374 -1.248310835229895 -1.236523854147813 -1.331385383109635 -1.699235166596054 -1.47612870708299 -1.450828156892487 -1.257975038833502 -1.161055687878589 -0.6356842434987223 -0.1200310122309806 0.3714791120503855 0.803054514567815 1.439516567479227 2.080681959122899 2.614288036547489 2.946084816670931 3.69243541157656 4.027414930170662 4.287989202988316 4.204660996114114 4.202324984589711
2	2.590791441118321 2.291978552238373 1.87368595506176 1.464202374686604 1.158490858185695 0.892239801873284 0.6570052042140122 0.5009635054933329 0.3565428403114315 0.2382988448767217 0.1288138078801693 0.04352190976725661 -0.005834540429396345 -0.13675529714877 -0.2245238319801986 -0.312071763676628 -0.3893210559330882 -0.5034504104026545 -0.5409963974701166 -0.6586770474484576 -0.6752858723592836 -0.7996046280673718 -0.9168877377100819 -0.9028010729914786 -0.9717269002992942 -1.001019296333261 -1.086635664150745 -1.147344462996471 -1.131569781482503 -1.194773599644128 -1.34058124006867 -1.204322476234975 -1.18082236038432 -0.92370628507893 -0.785565480008928 -0.4323517078310552 -0.085114670825588 0.2027536990648969 0.4180465442699818 0.6834305853440031 1.040660190129232 1.214419213193557 1.271045164982999 1.503339968464385 1.635134041191511 1.660646227321451 1.488957781579362 1.310334699377268
3	1.437756690299281 1.30361506059253 1.068947025740695 0.9059536118001469 0.8261580783311471 0.7484906930176696 0.6973245435624958 0.6891419887390625 0.6115624221770648 0.5540591020415085 0.4823256877207309 0.4475541762129789 0.4164139446472986 0.3116778891145359 0.239560646408973 0.1622618820126557 0.1005586057628713 -0.009245886854889062 -0.02533356354914466 -0.1310250895599105 -0.1375270728035219 -0.2716601245130235 -0.3892272747975213 -0.3193730708046272 -0.3630611022380268 -0.3594462705082041 -0.4388931217469629 -0.499842541866875 -0.5075816511591434 -0.6270698759552734 -0.8839445195061619 -0.8172008136548076 -1.002047929121049 -0.9766967075823604 -1.175054734040137 -1.038318761314138 -0.9657985211188685 -0.9233993516939872 -1.034666188299585 -0.9354630728465243 -0.7013868607042892 -0.7567115932273006 -0.9588870558570933 -0.8091989223358038 -0.7039907112334869 -0.6890687052876876 -0.9102959367115381 -1.009817576459781
4	-0.2191437308448549 -0.2841530675187384 -0.3180337934097362 -0.3558709754085363 -0.4000446765027947 -0.4762874066888508 -0.6051834170043491 -0.6300143693260858 -0.6121722469669966 -0.6093425267725842 -0.6089319799865918 -0.5971803448748461 -0.5578329557653634 -0.5184826379267797 -0.5406479093678154 -0.4569822640297277 -0.4177137052655478 -0.3748543765909101 -0.4047948338819494 -0.3544198037809093 -0.3494415477586023 -0.2483232129358205 -0.2386063921484073 -0.3057008189659693 -0.3308229143260952 -0.3770246193542489 -0.3873184463348377 -0.3427915054975285 -0.3214648204483164 -0.2334039192930833 -0.09976898362353021 -0.04516775598657589 0.2057624889133855 0.3641271652412538 0.7122640474285916 0.8828131619716367 1.12764105068729 1.372551178939794 1.754301052224291 1.9615327545992 2.048147462876608 2.370369492500898 2.754465753385837 2.915708117649113 2.954495108576212 3.029275627774749 3.193083646469033 3.226175111918097
5	-0.2286961977628112 0.007538502998196563 0.3435670857783223 0.348465719696278 0.2023602113551828 0.2731496902849206 0.5000325333923111 0.2674353557494007 0.2437429004709122 0.2420437532413408 0.3447254789054461 0.2688888784649315 0.1472773091848033 0.2071144454498421 0.457510607649677 0.2980197660180476 0.2665470115246555 0.3785642242064498 0.4942174218575089 0.5454480491841718 0.5181871014202453 0.490132657854041 0.7713421092226636 0.723095927246149 0.8849893717207736 0.98638547367222 1.230666856592695 1.213586946639128 1.203463033113383 1.301739706821882 1.718947665704551 1.479469048093968 1.450987439707365 1.288118630891268 1.204845926742632 0.6509064299547133 0.106138555469456 -0.4275259151127075 -0.9111812776566309 -1.635849984470543 -2.334250237853563 -2.960292265761619 -3.369506682301409 -4.243983305010061 -4.626843694057272 -4.950780982069905 -4.904163210435644 -4.960630951544788
6	2.014860158182761 1.666477581451312 1.167111223456211 0.8785568856351822 0.7577197718577872 0.5360467763494922 0.2480133301730585 0.2840088547115238 0.1933124668107142 0.1098843347569697 -0.03125763257223214 -0.04690496251847931 -0.01286629385204248 -0.1485796109436624 -0.361953430504781 -0.33824680908419 -0.3795487345400878 -0.5359826694350061 -0.62951224438502 -0.7521324799408105 -0.7478792765087992 -0.8338399814515599 -1.091862378764572 -1.042266974529584 -1.187295434537053 -1.263785176795605 -1.473607565646422 -1.512789598985675 -1.498474398724462 -1.616886468707427 -1.997174398376622 -1.760822218516099 -1.763458598655105 -1.503632745734681 -1.405311134720336 -0.8380709946279217 -0.2916480608227727 0.2057185956490084 0.6005721447682816 1.205147595480023 1.876565199972479 2.338349968253019 2.57420960539402 3.254300639333127 3.578123331068064 3.784804768057618 3.609957681823686 3.512894203825955
7	3.081859064914882 2.694637864685566 2.098984712818468 1.692956230879068 1.483895167729925 1.229697612628853 0.972087911123884 0.951736210620679 0.7943891836058713 0.666582186495999 0.4945700786021914 0.4335683043814326 0.4108279687715861 0.2042029306514331 -0.003400201777864504 -0.08606523046558648 -0.1866075953514552 -0.4062752627835508 -0.4814627965036571 -0.6791598209301288 -0.6867615939182302 -0.8943196371534166 -1.178194704879397 -1.077798495661597 -1.215434470268547 -1.259756251348212 -1.472347364057876 -1.567589347924057 -1.564300050337192 -1.762446080326207 -2.25944502978976 -2.03473561190774 -2.217413478595886 -1.996794917787285 -2.114250496060998 -1.593200025509464 -1.149421537416557 -0.7750044527657822 -0.6263189561174299 -0.1404912021085729 0.5365147816938665 0.7697488227747846 0.7072820452691631 1.278602105435384 1.589113534098597 1.722766873832254 1.369101785356139 1.179192284191324
8	0.4161930433963131 0.3202023393325954 0.2452291200301014 0.09893989798178122 -0.0580105232265654 -0.1916006228935191 -0.3378558941640422 -0.4535199219516038 -0.4786416645242584 -0.5075054925969161 -0.5145663885316502 -0.5411662262097885 -0.5396955648810656 -0.5217284221151871 -0.5149996885638539 -0.4864184513795606 -0.4734824899061902 -0.4365067264936277 -0.4527053961696918 -0.4217849061967465 -0.4268470812275291 -0.3625890701344792 -0.3246913994868088 -0.3995458170606963 -0.4094382204000132 -0.4430330642924566 -0.4249070832856272 -0.3991889452927122 -0.3753714503575953 -0.2816485226150269 -0.09630768535471421 -0.05477529231292178 0.2014791853039697 0.3970669957946099 0.7714106693540335 0.9227224223210658 1.150156135249997 1.364245932261926 1.709187503927416 1.838709944654664 1.875084450250974 2.118331503720002 2.43919200733991 2.481513886045398 2.475581692385108 2.490541381653747 2.621879380434719 2.596343782133958
9	0.6447921029837256 0.5558365268265935 0.2865621190346604 0.395590928598034 0.6826555771095038 0.8036564894436548 0.8768634121821087 1.205114064027674 1.19612749449637 1.197657633447196 1.088210193718795 1.148901774906926 1.19159403522873 1.03647494908953 0.816002434122122 0.7953408723555622 0.7392655672833408 0.5165200598020718 0.4623986633062839 0.2893569785268864 0.3085680718830962 0.1009858337382805 -0.2296847431889021 -0.01363924755018436 -0.1292935840765566 -0.128461362960257 -0.3710813427515811 -0.4568912922503208 -0.4982943580923559 -0.8183598160844661 -1.600190443516011 -1.473375892040749 -2.052648301648833 -2.270034593199866 -3.030735187188784 -2.847018252399796 -2.853686612269171 -2.869664496253842 -3.269905645294739 -2.980141635638044 -2.43163636248478 -2.526198350668826 -3.006396921813278 -2.436041932700393 -2.110699311635194 -1.932656961933438 -2.373210986745574 -2.380827272703557
10	2.639520080181142 2.374519004422751 2.041206820102283 1.565160436676126 1.132054401621408 0.8213147131640655 0.5833071496443725 0.2892105401117132 0.1290271590408657 -0.001365089208131459 -0.07620890488505859 -0.1980911332574149 -0.2837767361529025 -0.3778378260165614 -0.3755288548795316 -0.4934794622829244 -0.5693478800525678 -0.6189397623584896 -0.6267003023217396 -0.7031530747241463 -0.7308905763094729 -0.8193570134347143 -0.8162091071399317 -0.863806868310895 -0.8825003650629195 -0.8975823521065244 -0.8883320313342496 -0.9360576789911292 -0.9099674365072049 -0.8813312165373632 -0.7718068070266205 -0.695290542458447 -0.5273286864986093 -0.2178225631917303 0.1126227239069761 0.359158663177811 0.6490232804644986 0.8780133723132587 1.13343575367543 1.227637311119188 1.361392680371198 1.46942241204158 1.583754785293504 1.544931853729551 1.541748310405451 1.469392513894721 1.400807515160754 1.19717584262236
11	0.5322555502079027 0.3645364251990023 0.1453058803905188 0.05061830680095172 0.03112152300975265 -0.0716287916514172 -0.2428607898888762 -0.194333442438714 -0.2086275179988347 -0.2305777340408869 -0.2906252031458936 -0.2755326600462194 -0.2276906024764365 -0.2639815601163228 -0.3819772001030622 -0.313909633482322 -0.305382627011262 -0.3568065543498139 -0.416765887566487 -0.443820215551409 -0.4353760127094902 -0.4184649067524755 -0.5440603899138033 -0.5438100706700244 -0.6258312642441068 -0.6838096933177563 -0.7954412460464036 -0.787407896863436 -0.7739352495637278 -0.796224437587014 -0.9403409802036672 -0.8068501885253296 -0.7144314882077093 -0.5537793825441635 -0.3882361476598604 -0.05831862483262149 0.2897982599540572 0.6220052059597267 0.9631262940615632 1.350830286874619 1.709860030551422 2.077779096787637 2.36026771920782 2.783383432639077 2.96482785960046 3.114179955107509 3.112988435716513 3.108869180573086
