1	-1.361694556816673 -1.149496355208055 -1.090403152520835 -0.8501361699606481 -1.32925142349907 -1.143275529556776 -1.201104899163024 -0.9193360214981555 -1.357018689674521 -0.6098890534521578
2	-1.362322440109821 -1.145080797112379 -1.085952756669867 -0.849306625412473 -1.330501495746094 -1.138250942041678 -1.195977276974636 -0.9190699101628114 -1.357004584873431 -0.6083930179505765
3	-1.362362829729456 -1.144828461590891 -1.086046796548377 -0.8520121525370452 -1.33073233140408 -1.138466496548485 -1.195514136373739 -0.9215889739952764 -1.356580248376912 -0.6112233287922645
4	-1.36421188080032 -1.147274390507088 -1.088306908046196 -0.8525411916185649 -1.332375909740625 -1.140858087133978 -1.198213893789192 -0.9221841388083468 -1.358668605791341 -0.6114752403475239
5	-1.363826494424442 -1.145105154229791 -1.08574728311945 -0.8486543544660485 -1.332058054949097 -1.137881000953889 -1.195952539719259 -0.9187302425766956 -1.358541857063435 -0.6072588835265693
6	-1.365233238078325 -1.147685421478305 -1.088530569603728 -0.8519438924526787 -1.333367956863116 -1.141003657992663 -1.198665816980531 -0.9217767935219859 -1.359802688383249 -0.6105800300909866
7	-1.366903265257213 -1.150398096713127 -1.091417589090787 -0.855240560864985 -1.334938859697579 -1.144221806526542 -1.201516443838788 -0.9248642765172954 -1.36133526305196 -0.6138437041391255
8	-1.369432845240683 -1.148401702708694 -1.08962182112183 -0.8582991764094908 -1.338080874508338 -1.14216468060594 -1.198846927439987 -0.9282962259375072 -1.362933115700959 -0.6161408644475296
9	-1.366284796532093 -1.150781486625408 -1.09260693222233 -0.8612162473894254 -1.334563207827105 -1.14584170030211 -1.201632447687381 -0.9302219155425669 -1.35988215767757 -0.6203963806390346
10	-1.366642223286272 -1.153785432334143 -1.094734736981664 -0.8552816169462679 -1.334180664798337 -1.14792684888306 -1.20547306543843 -0.924559100312219 -1.361648633267424 -0.6142952140078533
11	-1.365584516584956 -1.154588052194333 -1.094793513543276 -0.8487864847216848 -1.332578507325133 -1.147798305401356 -1.206873666394931 -0.9183264949528371 -1.361785753181022 -0.6078041990411333
12	-1.368266817689989 -1.169783465517847 -1.108669319027406 -0.8440021759673948 -1.332988835476109 -1.162800822144652 -1.224690275786152 -0.9130582110441572 -1.367631906547252 -0.6034238767679039
13	-1.369672271489022 -1.183453846375843 -1.120899670543604 -0.8369279191045608 -1.332132710572938 -1.17597649725148 -1.240952204921984 -0.9055933419730118 -1.372362569259814 -0.5968461850728952
14	-1.368722990815506 -1.191230956796284 -1.127238633301483 -0.8266745467182931 -1.329439298080821 -1.182654833646329 -1.250696438031572 -0.8953087682394987 -1.374356992946 -0.5870215902454368
15	-1.367805620982759 -1.196480074437018 -1.13159298790252 -0.8201405561285373 -1.327349405565285 -1.187283956014614 -1.257266579627584 -0.8886745815152987 -1.375379687952834 -0.5808819681766734
16	-1.366080783166003 -1.201919427091236 -1.136407680634782 -0.8151624499952994 -1.324462559726907 -1.192551259844206 -1.26401227999914 -0.8833144945205865 -1.37542381513515 -0.5766486916655222
17	-1.36785541505675 -1.205498233821358 -1.138647453810983 -0.8067986727647325 -1.325366025800599 -1.194550563424428 -1.268583970523068 -0.8756132811338762 -1.379013373676829 -0.5676099900913699
18	-1.365424033057109 -1.206832562561041 -1.139486287183067 -0.801332772333769 -1.322287534968103 -1.195436006930196 -1.270625239972632 -0.8700412167129056 -1.377772041783826 -0.5626682413464135
19	-1.365706070265923 -1.202585165138441 -1.134640574434276 -0.7958297000749219 -1.322883989957587 -1.189801450706404 -1.266003139846645 -0.865398948126008 -1.378183204905285 -0.5563387318485669
20	-1.365338063098991 -1.201830084670316 -1.132598440228904 -0.7852114860441843 -1.322004726899953 -1.187113561430341 -1.265802095474832 -0.8556291590033545 -1.379356333389521 -0.5451224076723299
21	-1.362981136773918 -1.200840560125713 -1.130255334793315 -0.7724845611348088 -1.318929099462488 -1.184153529926896 -1.265581657464385 -0.8435918871186922 -1.378924440223307 -0.5322376018362651
22	-1.364262831302943 -1.197872167861087 -1.125639220084881 -0.759767784250138 -1.319999106949241 -1.178393514249494 -1.262831351232175 -0.8323733066608079 -1.381622866797621 -0.5180929899599486
23	-1.360986411866723 -1.19277930241662 -1.11991694188295 -0.7510858434220854 -1.31676010608488 -1.171921703158225 -1.25764202050673 -0.8242581584088228 -1.378998654837395 -0.5093660768276339
24	-1.356589451157412 -1.186141971642348 -1.112490853086729 -0.7399223143212642 -1.312412593043424 -1.163538287593916 -1.250877512639923 -0.8137990726701982 -1.375434273343423 -0.4981905453154793
25	-1.357033721849243 -1.180121258812184 -1.105131030232135 -0.7282807057019074 -1.313089572579268 -1.154840549089777 -1.244559852048957 -0.8036916109522694 -1.376656353658937 -0.4851351809127436
26	-1.362573191040817 -1.176568092838524 -1.099861362338209 -0.7181560400620072 -1.318908561981463 -1.148140804257884 -1.240704737902276 -0.7956536450771581 -1.38290713712552 -0.47241951804838
27	-1.36792009434265 -1.17721617384905 -1.098998792069028 -0.7104948560953293 -1.32406195110805 -1.146453467954613 -1.241599969051181 -0.789480338532948 -1.389296559858862 -0.4627814719000801
28	-1.373027331782356 -1.176061426192521 -1.095945539636896 -0.699164900403515 -1.329012138375552 -1.142196868615135 -1.240637860098218 -0.7800471092085616 -1.395725535351007 -0.4491507683208062
29	-1.371990634330033 -1.170553971662375 -1.089922391946928 -0.6930044411980788 -1.328351549882618 -1.135327266197868 -1.234671402405811 -0.7746800992028746 -1.394772074543808 -0.4423921017874256
30	-1.373860114847983 -1.167575813766712 -1.085675037094601 -0.6837246113552035 -1.330239958994533 -1.13007715756268 -1.231661224435989 -0.7667280291976113 -1.397494297561937 -0.4317144524656774
31	-1.376478616886823 -1.16297796771031 -1.079890210256446 -0.6752888888242518 -1.333202054186192 -1.123098519236968 -1.226667130201608 -0.7598258111469404 -1.400526672704008 -0.4215513483174137
