1	0.01910614338723715 0.01645184536849341 0.01366419812335511 0.01291925858973086 0.01050195587036394 0.00979722737658848 0.007933465680386177 0.006946088620080546 0.00269470199598072 0.00218459597481784 0.001109315179558701 0.0001640523576836636 -0.0002054160277004025 -0.0003460197075984744 0.001584162415352179 0.0009199302908732829 0.0001682953880783567 -0.0004815753554403327 -0.001034852732227757 -0.001255704002861897 -0.00105416603715332 -0.0003291264777289757 0.0008731867658257168 0.002167644579562304 0.00146649856721588 0.0007591141656845661 0.005814959702495569 0.004510403657403962 0.00393421642684339 0.001842423489721159 0.001358659528039223 0.001435853200402631 0.001813297007987392 0.002264993958782806 0.002130352666885503 0.00148653832981919 0.0003977267736900721 0.0001793141229601529 -0.001091224655406377 0.0009073158034283633 -0.0003293199810786115 -0.0008046842808026511 -0.0006728447042591817 0.001061751010015084 0.0003299755523450143 0.0008201905830279949 0.001273120915754763 0.0006816427409339591 0.0002830205900112465 0.000645671429948812
2	0.01627434369466651 0.01453433185326207 0.01211307073876523 0.01146339579374058 0.009358154770882192 0.00874058711787499 0.007102430215495969 0.006184102841755398 0.002278975974536895 0.001832100866443872 0.0009002078351200328 9.128457355552031e-05 -0.0002209159849486486 -0.0003249843483741691 0.001393411971924875 0.0008527611479077589 0.0002428848257070494 -0.0002809851258420728 -0.000695378115797748 -0.0008568864289519372 -0.0006491043377099524 -2.19150815354279e-05 0.0009867658085185125 0.002024917159967422 0.001305436659027548 0.0006703541514886716 0.005257849048870289 0.004146237621024643 0.003659018046265376 0.00182697326779551 0.001425488202661243 0.0014747676859058 0.001758774759939124 0.002076196640842724 0.001904994408979883 0.001310971840568414 0.000379224833480106 0.000161540694779397 -0.0007577801159375485 0.0008426908766077204 -0.0001930453017214408 -0.0005405705514687075 -0.0003982005832571811 0.001001138453064127 0.0004055146066550572 0.0007297098015367348 0.001226968832826692 0.0006040639649948468 0.0002553572736730811 0.0005713596052406215
3	0.01344248366901665 0.01261678308385724 0.010561915297153 0.01000750678346559 0.008214333545943253 0.007683928370866667 0.006271380463387724 0.005422103347044173 0.00186324021910627 0.001479597248293758 0.0006910948650406564 1.85140736924981e-05 -0.0002364172744923534 -0.000303949237825906 0.00120265721040898 0.0007855905945640369 0.0003174762410143506 -8.038988165447223e-05 -0.0003558947888054689 -0.0004580585099724952 -0.0002440316387129553 0.0002853054838267969 0.00110034990957195 0.001882188778098067 0.001144371991269647 0.0005815924904868006 0.00470072941776216 0.003782066757991917 0.003383816785567651 0.001811525153712082 0.001492320977465677 0.001513685637611197 0.001704253673039734 0.001887396968163038 0.001679632402925936 0.001135402129058011 0.0003607229245154292 0.0001437669707146964 -0.0004243272357118836 0.0007780646123112884 -5.676734976541252e-05 -0.0002764502278815679 -0.0001235490138719137 0.0009405256736010516 0.0004810565641723711 0.0006392274322642095 0.001180817366544615 0.0005264837661512036 0.0002276935023879379 0.000497046412060746
4	0.01061062447532479 0.0106992369671968 0.009010762357360735 0.008551620219104607 0.007070514575645993 0.006627271829823225 0.005440332731327427 0.004660105636575726 0.001447505475287953 0.001127094559838499 0.0004819827170406495 -5.42557212837577e-05 -0.0002519180516515575 -0.000282913748566159 0.001011903672562049 0.000718421323182028 0.0003920689618956738 0.0001202067047593853 -1.641010315126799e-05 -5.922925759946176e-05 0.0001610423552651437 0.0005925272057214415 0.001213934916231673 0.001739460937513779 0.0009833075056791772 0.0004928309658913006 0.004143611695794273 0.003417897685252486 0.003108617286088714 0.00179607853038792 0.001559155090177406 0.00155260468160686 0.001649733434617701 0.001698597819779746 0.001454270714601908 0.0009598325981161835 0.0003422211959877973 0.0001259933033239609 -9.087293467785742e-05 0.0007134396163463009 7.951169083480201e-05 -1.232859727872589e-05 0.000151103562566715 0.0008799132608787829 0.0005565990586165674 0.000548745206332919 0.001134666393522332 0.0004489037143184877 0.0002000298225743689 0.0004227333470858829
5	0.007778787961108906 0.008781709852564271 0.007459624862835564 0.0070957481639559 0.005926707116553336 0.005570625886344748 0.004609293265133449 0.003898114904907871 0.001031771994919104 0.00077459256984698 0.0002728700100889832 -0.000127027066649275 -0.0002674204407110405 -0.000261879674050393 0.000821149945376845 0.0006512510612867829 0.0004666598848386731 0.0003208007845674675 0.0003230717109494053 0.0003395970683106784 0.0005661139963141771 0.0008997478461012288 0.001327520786731007 0.00159673593261054 0.0008222448898330616 0.0004040702875945953 0.003586499499210413 0.003053732713458173 0.002833421235254096 0.001780632908098118 0.001625989968691813 0.001591524983384584 0.001595215186942422 0.001509801457618216 0.001228911690625897 0.0007842648897884997 0.0003237198725960521 0.0001082198068969901 0.0002425782011155351 0.0006488136460712767 0.0002157886623909766 0.0002517902893579361 0.0004257543743662001 0.0008193020906994381 0.0006321416964197186 0.000458263938750169 0.001088516975760155 0.0003713243862735713 0.0001723664110375256 0.0003484209848355856
6	0.004946950316705982 0.006864179120785593 0.005908484148728168 0.005639873009078899 0.00478289693246439 0.004513977345780604 0.003778251566326745 0.003136122388229204 0.0006160384063103024 0.0004220905650551698 6.375743312280648e-05 -0.0001997982049572102 -0.0002829226074108561 -0.0002408454423494236 0.0006303958679726906 0.0005840803610980566 0.0005412502617441519 0.0005213942076305341 0.0006625526179907547 0.0007384223689648417 0.0009711844229000441 0.001206967187185351 0.001441105373323879 0.001454009900392547 0.0006611819045182066 0.0003153094433325596 0.003029385394379931 0.002689565914673541 0.002558223373971908 0.001765185854089652 0.001692823396097196 0.001630443919344139 0.001540695745458705 0.001321004219788714 0.001003552085509736 0.0006086968680114541 0.0003052183199477023 9.044625464066001e-05 0.0005760285022774262 0.0005841872353430792 0.0003520651836031572 0.0005159084616389114 0.0007004043252516362 0.0007586903678986636 0.0007076836810296147 0.0003677824651382275 0.001042366762212084 0.0002937448978725813 0.0001447029093868173 0.0002741084751543046
7	0.00211510625150028 0.004946640790011028 0.004357337272052132 0.004183992073516786 0.003639082150139604 0.003457324613090182 0.002947206684285148 0.002374127532704376 0.000200306051939021 6.958998532854423e-05 -0.0001453532968766538 -0.0002725672984943505 -0.0002984230186873671 -0.0002198098742579299 0.0004396432361779112 0.0005169112163509353 0.0006158422032715453 0.0007219891971345757 0.00100203467997094 0.001137248544088912 0.001376255118469143 0.001514186068373151 0.001554688623021847 0.001311281958944779 0.0005001180050083018 0.0002265482822778025 0.002472269260585701 0.002325397395465735 0.002283023934235372 0.001749738140870118 0.001759655913050682 0.001669361576478732 0.001486174784722773 0.001132205375213394 0.0007781911639293523 0.0004331280589399826 0.0002867165006079867 7.267264220131192e-05 0.0009094802910413262 0.0005195623477452976 0.0004883431578623582 0.0007800280745987308 0.0009750546459176038 0.000698077818637717 0.0007832251903652253 0.0002773005751415245 0.0009962153542484346 0.0002161651527125729 0.000117039312442765 0.0001997957082262525
8	-0.0007167387277727711 0.003029105093592017 0.00280619264973069 0.002728113281592021 0.002495269201061729 0.002400673567727996 0.002116163127040361 0.001612133406585242 -0.000215427901756398 -0.0002829122310345225 -0.0003544657151009296 -0.0003453379711774847 -0.0003139247098523494 -0.0001987752108831572 0.0002488894034559308 0.0004497410764101007 0.0006904334656105934 0.0009225837982850156 0.001341516997664802 0.00153607532381586 0.001781326905208574 0.001821406362849461 0.001668273478119838 0.00116855539611961 0.0003390545349416 0.0001377872194273618 0.001915154103782398 0.001961229999359859 0.002007825693230527 0.001734291385367971 0.001826489724587237 0.001708280684273129 0.001431655182823675 0.0009434075591703888 0.000552830892679178 0.0002575595449126973 0.0002682149097058977 5.4899055972577e-05 0.001242932075186414 0.0004549364922389494 0.0006246206121403535 0.001044147530490933 0.001249705596641145 0.0006374659100267186 0.0008587674157979738 0.0001868188613856669 0.0009500649530971467 0.0001385854859359051 8.937575860861411e-05 0.0001254830214941558
9	-0.003548597486484411 0.00111156353767238 0.00125504362423897 0.001272230445768473 0.001351453409826918 0.001344019984388008 0.001285117783685902 0.0008501373056286963 -0.0006311640847200398 -0.0006354164500446781 -0.0005635795446264286 -0.000418109410469586 -0.0003294268532879183 -0.0001777406984221786 5.813483486376189e-05 0.000382570970055545 0.0007650256593825692 0.001123180146405467 0.001681002134632205 0.001934905400598308 0.002186402278577811 0.002128629852873547 0.001781860508828533 0.001025829350740307 0.0001779906655727279 4.902588141097121e-05 0.001358038213470661 0.001597062812062092 0.001732628119489265 0.001718846225193517 0.001893325619782117 0.001747201649294593 0.001377136745979554 0.0007546098157033827 0.0003274701385253557 8.199048001527553e-05 0.0002497134970004669 3.712544027536393e-05 0.001576386541345389 0.0003903106887859883 0.000760899232946094 0.001308269154733207 0.001524359009973519 0.0005768543552260712 0.000934310831965137 9.633691529368724e-05 0.000903915286647799 6.100559485254705e-05 6.171216269394928e-05 5.117011357150253e-05
10	-0.006380402337357403 -0.0008059538402872456 -0.0002960868963491196 -0.0001836352959951305 0.0002076499813483848 0.0002873775760961046 0.0004540806312186292 8.815003748685332e-05 -0.001046890679085258 -0.0009879120098539112 -0.0007726870682093388 -0.0004908771339439107 -0.0003449266809441742 -0.0001567051878275669 -0.0001326158080444896 0.0003154018337504202 0.0008396153301181764 0.001323770809343686 0.002020477366080753 0.002333723658003892 0.002591464614425019 0.002435841663187714 0.001895439579402869 0.0008831015051520104 1.692840757381833e-05 -3.973430860818465e-05 0.0008009264232588561 0.001232895979899589 0.001457429099533752 0.001703395874110701 0.001960154276659006 0.00178611604394085 0.001322614241632884 0.0005658120277556897 0.0001021113858437751 -9.357636996754597e-05 0.0002312114966764549 1.935197638772718e-05 0.001909831716422439 0.0003256857699613125 0.0008971742391369364 0.001572383407680192 0.001799003576896716 0.0005162416120786292 0.001009849946352021 5.855945481909633e-06 0.0008577630017817349 -1.657333359765896e-05 3.404879053419322e-05 -2.314185796112767e-05
