1	-1.153795386133514 -1.102800374434209 0.05407973830223954 0.6094530855825236 -0.9458619236583495 -0.8787327621100161 -0.873416035795909 -0.9806935661530158 0.5982080658124779 1.202834685152071
2	-1.362141670416269 -1.18086388393957 0.3697560726225819 0.7566841773380364 -0.8963237321292631 -0.7549525507749173 -1.161066287464062 -0.9535208426124419 0.9206780161472982 1.28753769178313
3	-1.355579383791221 -1.321605550874476 -0.005088527014410196 0.728140993768648 -1.0790450487594 -1.025120886215075 -0.930421714266042 -1.118767774433558 0.6166736685919803 1.366074659666688
4	-1.283616052140951 -1.440953846224159 -0.4956996979632729 0.7097311295149644 -1.056125579127623 -1.147777496434331 -0.4122322802607412 -1.077347027426013 0.0911142431722743 1.205810023448526
5	-1.297944967147553 -1.488443982824492 -0.5837983777624035 0.7289246837480282 -1.04227303813775 -1.163188190507994 -0.3123599076333446 -1.061899863561398 -0.005398831131007593 1.174944988308139
6	-1.501532048641909 -1.872580746207635 -1.062510482083696 0.8389630181583111 -1.313802005950274 -1.555324199838414 -0.05763775452526866 -1.321194583436302 -0.3572085807091799 1.366203690421201
7	-1.686390209974215 -2.023887489073905 -1.013517162668995 1.09915572167659 -0.8065368949585753 -1.114013456806839 0.2988462446964528 -0.8401818559376605 -0.526480763864813 0.9488651459124677
8	-1.70737292999408 -2.11078500825346 -1.192090736192126 1.159099730571638 -0.6707030361245849 -1.051486669042457 0.5894865070410102 -0.7038639320114852 -0.7730191417793613 0.78281511681424
9	-1.514790484973855 -1.885368842202877 -1.081546045640166 0.9718452484670577 -0.8264277741021453 -1.140247860733734 0.3585216505552598 -0.848282713921134 -0.6028267417313889 0.9063854490503573
10	-1.167869298245182 -1.222067526008226 -0.215846201528217 0.6053885269467538 -1.066855245891487 -1.065372029780099 -0.6994690831119501 -1.090409317353073 0.3760171078110207 1.254310766198953
11	-1.165707484350321 -1.427808181605083 -0.7492951708311909 0.5943703909594078 -1.229742449074241 -1.366280013216974 -0.2923083196808186 -1.231669734402154 -0.1012442193888145 1.276529265754376
12	-0.9695287837580341 -0.7975953540320672 0.3842054335257241 0.4697151915922368 -0.8846768180952295 -0.7144674384544591 -1.150076246057953 -0.9219120902230534 0.8956906260390332 1.178172473658182
13	-1.18753797709423 -1.034101907128978 0.2928365149480012 0.7745879124655588 -0.3293694062163439 -0.275924426986949 -0.6137161647635055 -0.39162727730844 0.5614585668080811 0.6898997728856675
14	-1.115959683573468 -1.169980127455545 -0.2235683381956892 0.6537319701889115 -0.7228864574417341 -0.7666450951410162 -0.4090273200032276 -0.7535872357821547 0.2032013230566596 0.91527952096597
15	-0.9913231571483744 -0.6224478223509607 0.8650358161947529 0.6412689135912275 -0.1505758473827122 0.06355012787866439 -1.038981617981142 -0.2256549256635042 1.054025197863093 0.6106852400739389
16	-1.195153144905726 -1.131578685124013 0.08673360320737485 0.6115164849206843 -1.051582053382409 -0.9631453416137048 -0.9943739003691616 -1.086508947482727 0.6849461296553051 1.32104025781632
17	-0.9463016930053328 -0.8974888393582208 0.07018797370377387 0.4488345202269313 -0.9734992920529927 -0.8840307043004503 -0.9037390069011436 -0.997051137547656 0.6095269819070341 1.178906056542572
18	-1.191538092782785 -1.397757245821634 -0.6100826028986832 0.6268133036933959 -1.143424436465069 -1.251526999177521 -0.363875512780059 -1.153622066392477 0.005118308836483115 1.236067593481114
19	-1.729350176316574 -2.12139173489555 -1.151605181860243 1.0881990301361 -1.009063802169232 -1.333539500026264 0.2716869033791412 -1.034687195463404 -0.5714877293597984 1.11681213441132
20	-2.085093836349015 -2.491668999595796 -1.236566065430895 1.430592410873492 -0.707427377391728 -1.121692377726985 0.589047088512625 -0.7580832279280568 -0.7687829378551955 0.9045658422699393
21	-1.168705902036448 -1.46365724733186 -0.854010699528164 0.7257511924779492 -0.7383063161295883 -0.9727262935494341 0.2143008984540362 -0.7515886648389588 -0.4384702850092745 0.7892659255134784
22	-1.072727885768066 -1.346934590838868 -0.7763046369304742 0.5587130021491513 -1.105083537904366 -1.260359654836018 -0.1595001227199123 -1.104921070610923 -0.1954958000643098 1.128480196649905
