(pearson)
=====================================================
 #  	||  ref		trmf
=====================================================
10 	|| 	100		28
20 	|| 	100		22
30 	|| 	100		19
40 	|| 	100		19
50 	|| 	100		13
60 	|| 	100		9
70 	|| 	100		6
80 	|| 	100		14
90 	|| 	100		15
100 	|| 	100		14
=====================================================


(spearman)
=====================================================
 #  	||  ref		trmf
=====================================================
10 	|| 	100		14
20 	|| 	100		12
30 	|| 	100		9
40 	|| 	100		11
50 	|| 	100		4
60 	|| 	100		0
70 	|| 	100		-2
80 	|| 	100		2
90 	|| 	100		4
100 	|| 	100		3
=====================================================
=====================================================

