1	-0.2877061551994061 -0.20761960669978 -0.3252405986463514 -0.3206887339334892 -0.3048142357873549 0.322717177309873 0.3231535615585339 0.2771699744800862 -0.3530745771845655 -0.2580028364876532 -0.3892147925701887 -0.3699639023695802 -0.35611681652424 0.3951667212852124 0.3695697519642934 0.291945630878135 -0.9939304682189017 -0.9499918041888745 -1.000312738640191 -1.007402991025483 -1.001522227321306 0.992728630309835 0.9977276538689391 0.9316236062997373 -0.9915592695927353 -0.9521562520851213 -0.9976729094268864 -1.010257349406824 -1.006597480888025 1.001040131016104 1.002262578209334 0.9363390435062661 -0.981962813589235 -0.9751718950947947 -0.9801103984607099 -0.8803751995925213 -0.8057588771426025 0.97262591769058 0.9589031606177943 0.7222250086958583 -0.9621831957453847 -0.9587936472021231 -0.9649573064524013 -0.8674265836893694 -0.7534551546625678 0.9538917529175182 0.9425362714836147 0.6778081178574774 -1.003086983691781 -0.9720707994517874 -1.018586981129424 -1.011232351082729 -1.005169697816367 0.9855037536946614 0.9925394461259581 0.9433772303675071 -1.005069947105174 -0.9760443923456323 -1.019376638317262 -1.01164398294707 -1.001532549400517 0.9903333724988652 0.996647855920884 0.9417952143541504 -0.2462107432555584 -0.1789977145337341 -0.2907404420677046 -0.2914096606972748 -0.3072296201016948 0.304904047634645 0.3078408536968413 0.2896346914188597 -0.3002750568594744 -0.2456531679811429 -0.3362299282381655 -0.331416241408833 -0.3332571131424918 0.3445830072084369 0.3403653265114122 0.3027971782087362 -0.9555005257926669 -0.9138090215943473 -0.9795713418324933 -0.9782049893189174 -0.9613877585700936 0.9394485287915336 0.9482733978209582 0.8859664678899776 -0.9990796840177563 -0.9538092491558359 -1.016479992960905 -1.009690486248439 -0.9915363511631311 0.9883711947340175 0.9942836515586917 0.9142822257567296 -0.9678878588165714 -0.959174165797535 -0.9443599517862512 -0.7915898107408925
2	-0.9147585824505871 -1.040292016624567 -0.9049246647816631 -0.8767083965706325 -0.5990441597207031 0.9798937349115077 0.8014754593055472 0.4097412886334045 -0.8846625304971787 -1.035199690374637 -0.9211862682212016 -0.9149208444905133 -0.7740608648191145 0.9627113932037745 0.7382252697467813 0.3700532161227207 -0.9692207900253563 -0.880544593976726 -0.9910110155286811 -1.124625201635171 -1.139432729057932 0.9870684569751187 0.9827236830742622 0.8975258217832511 -0.975522363726709 -0.8858735069604379 -0.9961177182501175 -1.132481454021838 -1.152177822712937 0.9961221635112999 0.9859692572049836 0.8985211927415914 -1.32233544714183 -1.270108852320394 -1.375328728760781 -1.505446695928349 -1.441694172370874 1.322680686950163 1.295962735618559 0.9546552670191756 -1.291942525813997 -1.253555895944399 -1.370476697650077 -1.501973154306901 -1.374941501642841 1.292735013499029 1.265544336779903 0.8891037944813119 -1.127274703514036 -1.060472412280336 -1.121213531779122 -1.221565960472356 -1.236609280327611 1.115177848461302 1.103609447501235 1.015188511418875 -1.116649340508723 -1.054837108973689 -1.115719400934717 -1.229142728262487 -1.243692998830047 1.107188425856928 1.096615676138804 0.9856049911294299 -0.8986301633035105 -0.9870070007472108 -0.9158271052756414 -0.8930623148422764 -0.7948640197684238 0.9984983673223823 0.872557420506341 0.5476897877132959 -0.9460550211876491 -1.037429794434244 -0.9426869060324172 -0.9105454374703676 -0.7829324684522643 1.023887616219635 0.9070849680894487 0.5729194583835202 -0.9082275538889547 -0.8129008617903053 -0.936473524108144 -1.038885793901795 -1.022517135883825 0.9260232936156791 0.92098149384532 0.8046279249391149 -1.039047747233522 -0.9445329169777518 -1.077371348628412 -1.194402480840087 -1.174514129267688 1.05382165946715 1.052629372736564 0.9100952223465831 -1.365321855719633 -1.323172475933066 -1.435297713447665 -1.503541582036002
3	1.826659502119037 1.665996491985827 1.810197418778837 1.798013083353706 1.559942541486424 -1.828326877332704 -1.749404760526733 -1.331508034693602 1.737010461858507 1.594852053627257 1.74611715473115 1.766092469779789 1.683511239412904 -1.754506535805504 -1.643787663666223 -1.262271155593627 0.04549422459365673 -0.1044937929340938 0.03027320903579122 0.2326776204911524 0.3028881521501195 -0.2281642091854681 -0.2355981318603123 -0.2330931171010918 0.01007529423236648 -0.1331238403678238 -0.01048321085430468 0.1923512440706837 0.2610520146848473 -0.1901219905895833 -0.1946445883076775 -0.2149092637459767 0.4267181195077298 0.3138413528047647 0.4810852760802197 0.8952001073573121 0.9079708504445175 -0.3939519459204481 -0.3407202305906683 -0.3225312590597229 0.3657961701442731 0.2463420301058152 0.4728357079639708 0.9495710213654445 0.9410086373850067 -0.342608695000118 -0.3088359487194119 -0.2854027106211716 0.4405997307659598 0.2394082815134572 0.3632434770496357 0.475508959768764 0.5395788302649974 -0.5691138817823954 -0.5473284164125231 -0.5994595034079189 0.3878525802973707 0.1871971452458523 0.3202061202507702 0.452107091679728 0.5296156018239692 -0.5248535068545241 -0.5048524559431742 -0.542423680849755 1.825011353671627 1.691482225856017 1.832404510414747 1.824147395567548 1.742665972612094 -1.823844005147903 -1.813396730397228 -1.512800486546137 1.81352319140294 1.678395913482445 1.805967834844777 1.793304048036661 1.694761236795638 -1.800909318951422 -1.792706374748823 -1.518643181469309 0.2386865788648236 0.02911232124155135 0.1943334508518133 0.3194664188499331 0.4263791434828734 -0.3851570718787511 -0.3877008489067345 -0.4788279978235797 0.2574103357334523 0.05675175313366702 0.2353734626557323 0.4280589149435711 0.4950899640622013 -0.4331395755320827 -0.4412623443885977 -0.4762106596111684 0.4838540839242126 0.3756024681977442 0.6141355482267608 1.061982134186399
4	-0.8455479073597251 -1.05957524583882 -0.8035279994132042 -0.7738255688146378 -0.4584196944106786 0.8943288307240598 0.6828412887481903 0.2571938157526721 -0.7571678479537257 -1.012906710082875 -0.7711221856718422 -0.779246526346322 -0.6238327581949966 0.8154652708391781 0.5705888117021867 0.1983936282283609 -0.3425579694789254 -0.2735230976334527 -0.363238605638159 -0.5152236919281157 -0.5373412430176978 0.3641840369188662 0.3549666731136571 0.307618288046342 -0.3520388132202081 -0.2781582285733413 -0.3715360403716804 -0.5223248552523054 -0.5484378704378836 0.3682754473443811 0.3552461279583661 0.3050250041661599 -0.7695164876508337 -0.7134566969707664 -0.8336451106266244 -1.067485431978194 -1.052396940815635 0.7775791570412439 0.757192935934146 0.5447330919475933 -0.7497057275472574 -0.7073014523101033 -0.8401987194245711 -1.073717856704123 -1.015619803187036 0.7574253680087288 0.7345087898036168 0.5031758414167837 -0.5213026429800899 -0.4678441859410363 -0.5017699829852551 -0.6263013961479226 -0.6488620926105079 0.5208772993945253 0.5015310806274563 0.4364900133849858 -0.5072507987654232 -0.4580888155677882 -0.4947373017066421 -0.6350055767064663 -0.6602270804161945 0.507618400016545 0.49003121657388 0.4028815817377278 -0.8600723302543212 -1.019581375762258 -0.844339468596409 -0.8168532720371146 -0.6879313857728371 0.9308134390652439 0.7792783335628339 0.4100145747892491 -0.8724703370373719 -1.025331905242214 -0.8393656101536869 -0.8052270308361201 -0.6528353546996273 0.9287966954651271 0.7938778334057196 0.4292187836785258 -0.3009318872714146 -0.2223578305597141 -0.3150041656751172 -0.4370886255801739 -0.4310402653794941 0.3346269111255624 0.3214967910372467 0.2339152238118801 -0.4205313150244585 -0.3457951793558612 -0.4518865794901915 -0.5955014126394725 -0.5864739518300475 0.4462384696679235 0.4400133573772255 0.3359084177699194 -0.8316883306930092 -0.7891111932516693 -0.9332946022114146 -1.13672736661927
5	1.217389960117567 1.15553408892879 1.184687805604252 1.17629786209956 0.9938999871378837 -1.20469465326499 -1.134569016897878 -0.8314538693579612 1.115965349618937 1.077282254682363 1.105783498558458 1.129916216449285 1.067739249999362 -1.111728940380781 -1.029434606602431 -0.7710980382654143 -0.42886103523103 -0.5189165306621649 -0.4414889461972686 -0.2907843949363591 -0.2364228947680555 0.2965963575685082 0.2943191101942028 0.2670075764362509 -0.4523592566761259 -0.5400906143433083 -0.4687396546950661 -0.3204774121918778 -0.2680154405983864 0.3275080603290427 0.3257161787734382 0.2824372812939313 -0.1236346160607775 -0.2044511240872489 -0.0798261198238808 0.279103203095262 0.3235277877239111 0.1419445361652347 0.174550852657009 0.08610669613183619 -0.1587432125261318 -0.2450254967291795 -0.07791850482217405 0.3245813230215068 0.3701592725675945 0.1707517722494247 0.1907934836967412 0.09366398625718593 -0.1399959257421227 -0.2718528245753252 -0.2039656114519616 -0.1122950617829776 -0.06219630940319712 0.03981097885146208 0.06001704942682703 0.003115951584912913 -0.1794867165517442 -0.3116526455298076 -0.2354985273754359 -0.1286256566550913 -0.06680152873684084 0.07458200874951861 0.0930513140222374 0.04519159551705446 1.237330391866763 1.18505483679345 1.219934017765174 1.211948722132698 1.137834788869087 -1.21251050155429 -1.193869578843324 -0.9645406565696683 1.203642283427818 1.143675249524663 1.17863521166251 1.169744877662548 1.088748699590198 -1.176725749157222 -1.164235341075084 -0.9635436695248566 -0.2750608154316797 -0.4093227969958729 -0.3174949535275163 -0.2197167130401588 -0.1356734571011626 0.1606155109314237 0.1639387568329392 0.07428353220951439 -0.2751959411871084 -0.4011111719844443 -0.297355934298167 -0.1473723849363855 -0.09131597378203424 0.1429954340378432 0.1404783541984332 0.08335104819803521 -0.0720331957473858 -0.1477472755459304 0.0388757911141431 0.4456974777289553
6	-0.7623407302297239 -0.9717712427256858 -0.7121763556389099 -0.6862350984788617 -0.3954815626762363 0.7955914604046962 0.6011812128088202 0.211616344168549 -0.6583069365484364 -0.9107998088823671 -0.660218699668735 -0.6744225353589773 -0.5347056209106781 0.6987260978492625 0.4806920691515462 0.1507496767850318 -0.005438739083200759 0.05056493872639919 -0.02135391569466581 -0.1659226802266542 -0.1910781982818863 0.03421861586992304 0.0247484477326186 0.002294417653869426 -0.01296963480202671 0.0484574490238959 -0.02764060165351007 -0.1694662137452023 -0.1974631998517975 0.03348833388370964 0.0216032683387213 -0.0023783521606154 -0.4121846780169873 -0.3582722116581835 -0.4731527118665292 -0.7345846009519876 -0.7445374187355649 0.4207075301136268 0.4039615068234643 0.2844600786319074 -0.397440334087537 -0.3544563133780372 -0.4833027015207921 -0.7468330533462421 -0.7291029541860472 0.4058020772812196 0.3870032044348769 0.2588660950806349 -0.1828967300668162 -0.1344433378163231 -0.1567649982892239 -0.2766400688358411 -0.301949911156241 0.1942024971571245 0.1735573854877168 0.1326450766595185 -0.1670547702357718 -0.1218846887494669 -0.1480843995488093 -0.2832052562043919 -0.3128117235404035 0.1786156657977115 0.1598631033699719 0.1000800784378373 -0.7880794252651474 -0.9457988818506753 -0.7606021065778134 -0.7352451753532853 -0.6103241671175379 0.8336911468324695 0.6958426495049307 0.3542539477467916 -0.782077998832462 -0.9298677257205541 -0.7408613862559958 -0.7109829554308285 -0.5683884689494951 0.8185685328084144 0.6979873556470448 0.3677886151438965 0.0107839910397872 0.07898245931551817 0.00767609414073561 -0.1087867191612981 -0.1137374035811476 0.03165078248667184 0.01724360305835778 -0.03801831415063227 -0.08443219625321913 -0.02122454485025144 -0.1062413997363335 -0.2470604598458292 -0.2477876577116059 0.119466085395445 0.1124432246580199 0.04498861344811848 -0.4752796578751005 -0.4343231532168088 -0.5803620590607914 -0.8323528693276384
7	0.2200997910773727 0.2422702820309232 0.1860042327507962 0.1868947940270784 0.1426912656747043 -0.1917488900423252 -0.1735107749431695 -0.1093414555834414 0.1454833732625454 0.1840375643828629 0.1184293694694816 0.1389540160506469 0.1308039498718129 -0.1153095524395354 -0.1104167187189545 -0.08049310241235424 -0.7953487181557765 -0.7970012799670774 -0.8045459424415653 -0.7606743220966623 -0.7384205357831748 0.7485043174763709 0.7505823651138265 0.6973191683586547 -0.8024570644869882 -0.8060175932912476 -0.8127722071845852 -0.7732224624313055 -0.7531832402858598 0.7648593223976615 0.7645821108543212 0.7056935682192294 -0.6935919460256211 -0.7160393578699435 -0.6789934059720614 -0.4961360590563705 -0.4324462954729401 0.6943860997625111 0.6965248780054132 0.5077370230125093 -0.6927794428913027 -0.7197665336736403 -0.6688865223889795 -0.4720119071160401 -0.3814752723652404 0.6919992287257755 0.6911189855829271 0.4807963184705122 -0.7047935093071238 -0.7299587193803754 -0.7366512930167675 -0.7035771105862884 -0.6827295351544992 0.658155685002485 0.6691541612624822 0.6156360984287673 -0.719568016104782 -0.7462484509036353 -0.7480788605732601 -0.7098964385259824 -0.6824110814199861 0.6730983265421645 0.6830804367218741 0.6284232292931597 0.2530922391792662 0.2722213404922856 0.2191074836908527 0.2167464997105175 0.1846359605634789 -0.2046701185147202 -0.2011101788677592 -0.1435344443453202 0.2063671212981199 0.2149773096707225 0.1757100628195719 0.1767337910817431 0.1518454004924889 -0.1668253533671088 -0.1694566718640118 -0.1341833023956715 -0.7151476200196274 -0.7335566555776493 -0.7459307698051046 -0.7144285233474713 -0.6738052767336592 0.6655445540440582 0.6719117614281616 0.5977141455808407 -0.746800405692313 -0.7601037196147574 -0.7667266811441356 -0.7140054967477691 -0.6823333288445379 0.6940601990939345 0.6967315769353225 0.622242153633605 -0.6683948673616675 -0.688250067147571 -0.6174813550117751 -0.3829477066154235
8	-0.8522497635710274 -0.9630526161360901 -0.8394432653819783 -0.8146073264477104 -0.5625567570252568 0.9061921924047944 0.746352693834341 0.3895042742924407 -0.8160108076307812 -0.9509140696251949 -0.8450663970610033 -0.8422000071182121 -0.7164763002804929 0.8812855962633032 0.6821271460397602 0.3504140493144994 -0.7595598626434069 -0.6795728958949883 -0.777438834013275 -0.9024668341389243 -0.9189488543969283 0.7829950752122189 0.7790316856043772 0.7103489949557025 -0.7638201296097064 -0.6828433555565504 -0.7804519892419656 -0.9073986949399753 -0.9278986593513142 0.7885656402178725 0.7797370555718723 0.710020032309514 -1.086385300427871 -1.036471046507186 -1.135319063793311 -1.276103322294876 -1.227662610738376 1.086180561658746 1.061788070789198 0.7836824100896832 -1.059009932762417 -1.020641833117233 -1.132126183072808 -1.276543744634801 -1.175366704142809 1.059502429656035 1.035292225396164 0.7287605596761296 -0.9139220523307267 -0.8497684815538297 -0.9039166845111003 -0.9973303383918766 -1.013778248990543 0.9103432692490522 0.8986280287368222 0.8278371028955664 -0.9022037706280033 -0.8422642281754915 -0.8972175006451886 -1.002954831313045 -1.019911045456636 0.901028520249304 0.8903285217550044 0.7996426356544746 -0.841893418105699 -0.9200495476951667 -0.8531459955058528 -0.832770772882752 -0.7417518036606155 0.9239779378622446 0.8128072555772897 0.5169475701924768 -0.8779785882269682 -0.9575261817720354 -0.8713638982902894 -0.8430895021561342 -0.726855358565849 0.9415934160401416 0.8391971736877238 0.5380970987759004 -0.7177497303835447 -0.6292189938320522 -0.7384228275766068 -0.8336265343636923 -0.8253228698548879 0.741000375752827 0.735864562515977 0.6434344273475171 -0.829221905831005 -0.7421103727693491 -0.8602910634551555 -0.9716571616195868 -0.9587162758939513 0.850553809048135 0.8492993531701214 0.7331936224331982 -1.127795153162379 -1.087092308818167 -1.196826819820774 -1.289691150535823
9	0.757450390148829 0.7378940044102332 0.7241093637258609 0.7196119723999317 0.5982031789511987 -0.7386828777931451 -0.6900763771676328 -0.4939958198953535 0.6687096967384959 0.6694552947018406 0.6513309166779668 0.673498508040043 0.6345031613017912 -0.6537497374011144 -0.6041994124996101 -0.4481036187942251 -0.5806112512742535 -0.6301486207905719 -0.5911374248197133 -0.4891603418668355 -0.4499746017993853 0.489048356645497 0.4889173390581749 0.4511518180675239 -0.5961291313758565 -0.6453676569660781 -0.6091665463865221 -0.5104501828504691 -0.4732089448496088 0.5127455926973709 0.5118682998440433 0.4631456807291654 -0.3664521288776693 -0.4202658681757909 -0.33567400189938 -0.05942322770239818 -0.007396498715423968 0.376395220715792 0.3949554738781945 0.2662073783452645 -0.3850002668367097 -0.4435505577211483 -0.3300083981001428 -0.02434531997351426 0.0397393832813735 0.3908982125990465 0.4014748169190043 0.258703276894878 -0.3839400099408035 -0.4659995581806514 -0.4325087597193319 -0.3671126495877565 -0.3308139283892871 0.309812670504412 0.3257755693908994 0.2724758682094261 -0.4117486377274298 -0.4945897082414526 -0.4544834776403091 -0.3784866161858991 -0.332939591325465 0.3351827318800881 0.3497401130944137 0.301055955104888 0.7831112091470095 0.7664364146810415 0.7583336623418503 0.7526190699741938 0.6968987563609944 -0.7492032633753551 -0.7354171829538099 -0.5822832264398543 0.7443812646197749 0.718787282230066 0.7168048468590263 0.7120348782550436 0.6555644897493716 -0.7131451170748201 -0.7056621438256999 -0.5778317422387576 -0.4635575427039956 -0.5442284406784899 -0.4997145569039524 -0.4318258231881248 -0.3690522975720373 0.3800157594995315 0.3848463235078405 0.3052035227797494 -0.4760796759803321 -0.5499661288562664 -0.4963328134514753 -0.3908767800075829 -0.3470203687147191 0.3818318639368557 0.3817956937701134 0.3195176044534837 -0.3267956699185894 -0.3765314715137539 -0.243507994244801 0.08096162005385565
10	-0.5565263130632057 -0.4554143375923978 -0.5434028172902157 -0.5471156659194243 -0.5191025674156095 0.5296378711309218 0.5459248826851824 0.4709577606057502 -0.5075836482112736 -0.4110641156886794 -0.4930028662210681 -0.5089366491243361 -0.5148266157485001 0.4829871397883553 0.5034453191177549 0.4459147440715504 0.4912699982863385 0.5284038830057005 0.5069140954679471 0.4499403867071732 0.4186044106892067 -0.406348784848617 -0.4024016328023539 -0.363037877317488 0.510206199997791 0.5446582671795848 0.5280576235967337 0.4729022476325944 0.4443045114951383 -0.4297239819629554 -0.4246030208754414 -0.3733364292151077 0.4100085946421406 0.4480878631379497 0.39920592379261 0.2137091062393269 0.1716308133198909 -0.4242939357714363 -0.439348909738609 -0.2917131727712761 0.4264225370443597 0.4727723611285597 0.398526143770698 0.183008160629121 0.123396819480113 -0.4363408599435543 -0.4421479650401325 -0.2801897886927532 0.3471674181833002 0.4191410010017932 0.3868071809586511 0.3609279473733029 0.3326583295505501 -0.2761866273154666 -0.2848632510944615 -0.2211523235853494 0.3703421138924386 0.4440257978060081 0.4065233798062998 0.3749223560780535 0.3389960594147075 -0.2965985804160017 -0.3045483727776329 -0.2397990963254878 -0.569610605243034 -0.4906648759417382 -0.5583812471997208 -0.5612229420594356 -0.5480617309485909 0.5254707228642486 0.5587536709618608 0.5150099316792812 -0.5376363633506609 -0.4542725105780283 -0.5272435847699578 -0.5319935388318419 -0.5225294496019282 0.4977640087897237 0.5308537341238662 0.5072465046446432 0.3687139459122029 0.4336893692487391 0.4045375139147643 0.3742270691955067 0.3127517723022553 -0.298468427937748 -0.2975398080616491 -0.2030897945176604 0.409394458671974 0.4694521370984666 0.4358950939292248 0.3756007478618623 0.3324401167160798 -0.3249091786525838 -0.3217956857042422 -0.2431712712779536 0.3921143378528085 0.4306239060547608 0.3444484000620409 0.1117316783193813
