1	-0.5751370247254827 -0.6629116327716879 -0.5983384904608716 -0.5662653974887772 -0.7008112196321723 -0.8752734913294843 0.3976203480380498 0.9927572077179457 -0.66304427451272 -0.6014143355601568
2	-0.8857105080061253 -0.884201857364887 -0.8724067824869958 -0.8840638297664488 -0.8697126617318597 0.2716256105985929 0.09922775048059272 -0.1116977190785063 -0.8878449941568866 -0.8742206106711216
3	-0.8993053404505486 -0.9359285582273021 -0.9039614589280111 -0.8949639566651674 -0.9309556648057113 0.03314816466288787 -0.2323400331424985 -0.1928100126156908 -0.9379258433732923 -0.9080453302873934
4	-0.8945582444768045 -0.949724818335578 -0.9081417637619613 -0.8889338361170955 -0.9494842474479873 -0.08467511972193116 -0.39811172328378 -0.2346493575141315 -0.950870538312742 -0.9133154146525551
5	-0.9073803543364408 -0.9441382311450233 -0.9130781993073273 -0.9031806876504335 -0.9364845244867348 0.08579699829984896 -0.3489760196735602 -0.3252772225448554 -0.9459810786424092 -0.9175353973025373
6	-0.9108373612165325 -0.9308008500026452 -0.9067726180819441 -0.9075429588784355 -0.9228743457171786 0.1132149038103674 -0.01916657098489059 -0.08448720509457246 -0.9336914829428156 -0.9097027791583953
7	-0.923695147093942 -0.9455722527292373 -0.9194779969195033 -0.9201066937398995 -0.9400148306495517 0.06363755709363549 0.0590974917129968 0.01559299179363661 -0.9485754002613812 -0.9222676069297688
8	-0.9243908370002523 -0.9608276988603122 -0.9283406156474119 -0.919972909062133 -0.9560261999899784 0.02953339245873235 -0.2004830431934257 -0.1643207111165099 -0.9629778552630185 -0.9323841998399384
9	-0.9241645017224409 -0.9567210346593915 -0.925652043673667 -0.9199239277358257 -0.9523965239162762 0.02521577775604567 -0.1008449435333468 -0.08200225475340578 -0.959145795207813 -0.9292701339103875
10	-0.9483569975935036 -0.9629933801835682 -0.9391512597236503 -0.9450441108914263 -0.9580156142258767 0.0612423249785002 0.2514615346568763 0.1704616354677247 -0.9666164441607433 -0.9411887938891872
11	-0.9420626982411793 -0.9618795898946595 -0.9358521329833186 -0.9384670580691431 -0.957283627911549 0.04700110080029217 0.158853995688293 0.1077340690221324 -0.9651733463828898 -0.9383206260233011
12	-0.9395171159643448 -0.9671227435573124 -0.9384911145329005 -0.9356019619302988 -0.9611443827450511 0.06412238396220726 -0.06268028229085928 -0.08107747169828998 -0.9698201067707605 -0.9418708456952466
13	-0.9342595718868023 -0.968961748373645 -0.9367213439741593 -0.9298636319383756 -0.9647962913271352 0.01905981830127009 -0.1288351155724656 -0.09932782686997373 -0.9713156198690169 -0.9405178685770031
14	-0.9235642452355904 -0.9740689782916158 -0.9334306059493815 -0.9180425168595309 -0.9747474101805382 -0.09725076224958502 -0.2390614145606589 -0.09837074452420907 -0.9757196542715453 -0.9380466643562512
15	-0.9170758336246734 -0.9475876674690525 -0.9162421717303196 -0.9127707348196848 -0.9462841161341952 -0.0316610606471593 0.07046363128389224 0.097070545867181 -0.9503150649517141 -0.9192633200143938
16	-0.9193236840420416 -0.9196756475490349 -0.9026118960016799 -0.9168965197313259 -0.914162437289883 0.09116131474965987 0.4923555292744727 0.3382133769810983 -0.9240039456618404 -0.9033912787928876
17	-0.6778448281055413 -0.6574200972105513 -0.6592789261396845 -0.678053551063759 -0.6395437952993572 0.3673624356045215 0.1601705418380561 -0.1401434309716507 -0.6609368989223972 -0.6597861576064549
18	-0.8061713124041407 -0.8515804862364468 -0.8160030592750298 -0.8013489438953775 -0.8511155353672043 -0.06573969578301656 -0.2829305955151623 -0.1593531610156624 -0.8528646528758973 -0.8202979165129355
19	-0.9438435091435745 -0.9348644966567845 -0.9224398741867551 -0.9420357511266595 -0.9263455661862702 0.1623724908062962 0.565697363118709 0.342606640350159 -0.939691612076515 -0.9227550225236277
20	-0.8328922636271199 -0.879954976569054 -0.8412082026387672 -0.8276071136404882 -0.884040729740811 -0.1583493821315497 -0.09009971231329372 0.06463665949160113 -0.8815920125072659 -0.8450447910396898
21	-0.7721587050270942 -0.860999324481003 -0.8052075289769212 -0.7646798567241857 -0.8672886982189322 -0.255708973893731 -0.8843765849500268 -0.4923684623348249 -0.8598680291291416 -0.8126373095551787
22	-0.7388282863549153 -0.7847901918764711 -0.7504263565707804 -0.734184045421387 -0.7842451681455416 -0.06361508679599868 -0.352431919649918 -0.2173536408948357 -0.7856872917619557 -0.754783109338102
23	-0.752419965869648 -0.7143116475570227 -0.7152036290532258 -0.7523151344278508 -0.7124533134297982 0.07267184820207453 1.297876254303109 0.9881392140963415 -0.7204383335381379 -0.7119092073358461
24	-0.7558032944601234 -0.7146453605999764 -0.7200991623361247 -0.7563659266158809 -0.704822494556296 0.23401456751849 1.004294404134382 0.632441585334971 -0.7204225446564563 -0.7175925578543826
25	-0.9094264820981572 -0.9244188008434772 -0.9036213572426646 -0.9065753970793109 -0.9138106456008057 0.1727755069005743 -0.04040880479535411 -0.146727858177945 -0.9274250060979662 -0.9064494935327243
26	-0.8994456461054602 -0.9331636822822342 -0.9037904263746179 -0.8954714963848596 -0.9249046462865418 0.1019077921027271 -0.3212226267362971 -0.3156814502201592 -0.9351131706502038 -0.9080459939560257
27	-0.8967718770824789 -0.9295194899584681 -0.9004912764331775 -0.8928401003591342 -0.9215322219206348 0.09786405138049901 -0.2915789999382911 -0.2891375745211804 -0.9315348422735386 -0.9046199011762128
28	-0.9236809553292177 -0.9391636192620585 -0.9158756772055276 -0.920456649609575 -0.9332629058040942 0.07883345816680817 0.1728305909345585 0.09423309032767269 -0.9425420986329459 -0.9181160814131306
29	-0.9226005212257576 -0.9423348581265594 -0.9172790941736231 -0.9191488878410137 -0.9364841352208665 0.07227308106024956 0.08831200889932771 0.03216861053466612 -0.945445687587235 -0.9199086488216661
30	-0.9334299085422847 -0.9255669110560751 -0.9151303161190836 -0.9319356235728565 -0.9117570413732067 0.2656601349345966 0.2969070379091452 0.0505353515244915 -0.9299003594461561 -0.9162613071515271
31	-0.9327408001972822 -0.9280203775347793 -0.9153435602034281 -0.9309356913605804 -0.9164525928202593 0.217231216849213 0.3336267291098215 0.116535297929824 -0.9323108942495593 -0.9164654512592677
32	-0.824327611145048 -0.8044016086981529 -0.805827988287777 -0.8245038950732128 -0.7797966051093413 0.4969178927260405 -0.03323795034415069 -0.3895088419410536 -0.8081709697038785 -0.8072878650527635
33	-0.8917038456424349 -0.9251088708960696 -0.8950620798565266 -0.8876219528379621 -0.9191368984388131 0.05726856203816558 -0.2184085797223755 -0.2002723455591601 -0.9271980963315909 -0.8989807011482389
34	-0.944844811806258 -0.9617605977622059 -0.9377134664793331 -0.9415231057227749 -0.9551962639279509 0.0896638184592881 0.1312586847346372 0.05340250428149518 -0.9651121419788763 -0.9401767214577229
