1	1.99761314671048 -0.008851529272637755 0.9754709094241475 2.045054520200643 0.3775039702858082 1.578551229183963 0.5708899329370932 1.034070148345909 0.9588368163063806 0.7134284542060727 1.77092167262485 -1.005071705937103 -0.1546443592766578 1.808078324411638 1.254623140778413 1.10322058721863 1.850305346663258 1.82968746307719 1.321381789178258 0.275656991890782
2	1.83413742340176 -0.1285605091522697 0.991432956977067 1.831111909625566 0.4080698025347126 1.380826812118401 0.4306276652724373 0.8395945768315028 0.8530698530605945 0.5964322756037321 1.581991574793055 -0.9925345573592491 -0.1845669977085131 1.575971754468065 1.046229463633066 0.9127848775672871 1.639805032423999 1.632499756073945 1.138725069970243 0.1825723551638612
3	1.539117412135379 -0.3854333596116244 1.0397482248732 1.443828964300728 0.4039234929608047 0.9580744482048066 0.2128406221364749 0.4020687304302176 0.5680679311657442 0.3082613612205277 1.19015222677382 -1.136004565525871 -0.3977377292577657 1.148277452458323 0.597502453251415 0.4733306327429775 1.256325303593922 1.258922530237932 0.7333655438203937 -0.1276787592968089
4	0.5267573888297464 -0.769600293471655 0.8294743429033204 0.2853001901096237 0.2561990834097535 -0.145517865779602 -0.2488757975009795 -0.5716975407838472 -0.169821584118879 -0.3527987339035207 0.08123204985217722 -1.126674200755215 -0.7362163981170649 -0.001502215305180244 -0.4505406538990224 -0.5283304448748161 0.159698593239332 0.1753827428745646 -0.2741952948467432 -0.7234795047935874
5	0.1483450352999627 -0.9548807600839365 0.7991486919891738 -0.1809002577709318 0.3156703290408524 -0.5320045865688378 -0.532000485320643 -0.9162264279611729 -0.3561643766961727 -0.5535629993694924 -0.3065889196354724 -0.9812696292937478 -0.7087757499773508 -0.4833795906601159 -0.8359919845247527 -0.8653506126824898 -0.2898184901981767 -0.2441635176081539 -0.6177957924158137 -0.8326483386030965
6	0.03797418745510334 -0.6292450300736083 0.4846411898175909 -0.1658748499663776 0.1165506702768239 -0.4407380554684154 -0.3006741842895245 -0.6843703718290647 -0.3484978695033873 -0.4435350527932737 -0.2911619170663305 -0.75944899197039 -0.6075529213723283 -0.3530787776381257 -0.625548454738886 -0.6654250676055052 -0.2300172530604592 -0.2173893131271019 -0.4973772807858265 -0.6756856162349572
7	0.1562228039824119 -0.3461870798630393 0.3123306966653763 0.06993950639345434 -0.03361096718023483 -0.2006997947920992 -0.02336291723588772 -0.3815917844347224 -0.2568858559307486 -0.2831096096720918 -0.09518232627335294 -0.7041888901261608 -0.5666361561027186 -0.04108770328431032 -0.3151014642466185 -0.3857278753950573 0.02432474531414624 0.002094368189543302 -0.2611812291622791 -0.5343399853873655
8	-0.2711658637605956 -0.3337715335241586 0.08248657377314568 -0.3491435517254623 -0.1986677932849629 -0.5744712144654367 -0.07129919439843944 -0.6417903644395199 -0.5432143999823866 -0.48690810325754 -0.5056360036689533 -0.6233390611917111 -0.6723468519198471 -0.4011629720341869 -0.6105241137949255 -0.6738847952307907 -0.3502001962621367 -0.3868228646609076 -0.5870624536165786 -0.7036926024719845
9	-0.5676940513012321 -0.3142661391384423 -0.07056746567027934 -0.652677006301344 -0.2255884611748845 -0.7779900319755402 -0.1740423523464717 -0.7550698508773988 -0.6407591210515652 -0.5565723982535147 -0.7446374365907659 -0.3953617605421386 -0.5736163755435867 -0.66629167273601 -0.7631631932782297 -0.7929014102806706 -0.6238132450535606 -0.6504764642612951 -0.7477798962919754 -0.677255580541629
10	-0.00407776981106877 -0.200121193255078 0.1314758728589688 -0.05262438499333761 -0.05754168358170175 -0.2017538040823348 -0.02366150791685728 -0.2824342353152438 -0.2155938127427956 -0.2121817455239808 -0.1480428490386799 -0.3962425223883072 -0.3573967991308133 -0.1044349011045636 -0.2512051701464149 -0.2912562814090362 -0.06936735614392821 -0.08582150640684205 -0.2265730420202361 -0.3524112583251571
11	0.5738425369664335 -0.08477651709395578 0.3442552923808613 0.5572045111398723 0.1419469320635721 0.4021527098438805 0.1072032721583371 0.2168364913377186 0.2478382750747355 0.1588865917008353 0.4748777935474452 -0.3513623624306062 -0.08877694299027748 0.4640240557790346 0.2843354859478158 0.2420029251687106 0.4929211962830992 0.4930292211439483 0.3233747862418352 0.01853522214949626
12	0.9735890552327208 0.7008920868827351 -0.1310904659765834 1.320850666232902 -0.4576582913667473 1.020650659250742 1.061741693858335 0.9738660563225767 0.328802202037265 0.4899777979939016 0.9943606087780785 -0.5824558218518066 -0.3348725300241004 1.443214722004681 1.101169301549918 0.9068038701529114 1.305526826936731 1.163898074589468 0.9029918536055143 0.1312504330445929
13	0.8906032337630763 0.9681727418016451 -0.4081053872592815 1.366385728328585 -0.7590326802138774 1.027376463183648 1.37041437714627 1.082398997610738 0.1911840698503341 0.4836394913287698 0.9512510961363275 -0.6518920810287547 -0.5040219797363333 1.591349837541446 1.214727392191381 0.9676408643368389 1.390254045319971 1.19002533236776 0.9191536217276322 0.05537240685574951
14	0.2554736184623505 0.6924524916702284 -0.5260483490001024 0.6414741917421065 -0.9181804542730806 0.2704295015420859 1.124222602622322 0.3880356530837944 -0.3687551340127328 -0.008014017615771295 0.2050920787093975 -0.8157484307514355 -0.8806564151882011 0.8664654948878644 0.4881001568253923 0.2454348836704344 0.7024976854067578 0.4948562909801531 0.212568557997789 -0.4630427529677886
15	0.2883254527017879 0.1694280620362158 -0.04825805209130073 0.4212038732612476 -0.3617917607431189 0.1496976217185354 0.4904030048419772 0.1024365555127264 -0.1714709222998281 -0.04868929728444046 0.1702908232811246 -0.6313198315420575 -0.5563834424437244 0.4611953268781638 0.1798164605801756 0.04730076508032045 0.4183129739378407 0.3246688595998339 0.0891312773533762 -0.3463064443485412
16	0.3656652822688786 -0.0503874154671695 0.1703086198796452 0.40846367667024 -0.1966469862053432 0.1064218905801371 0.3097992729578995 -0.03401247399059944 -0.1432999086695275 -0.1004044652363417 0.1759468538952935 -0.728793047319502 -0.570386873032602 0.36838445447811 0.05341790561870732 -0.06278351324105338 0.3743835493152204 0.3098106860951758 0.02874142965869048 -0.4072646515296346
17	0.21706270872605 0.1869449264265127 -0.1132133918344003 0.3734565346639676 -0.4858260036843286 0.04896628613046079 0.5685647500786079 0.01860981583406794 -0.3095641965644608 -0.1383586799151088 0.06772934840469798 -0.7664308551080118 -0.7285988119444449 0.4337478785885791 0.1034269093378085 -0.05626323691025149 0.3816192588367769 0.2641080953249839 -0.01144309630052268 -0.4963734914440753
18	0.8408926974132939 0.1714951936000261 0.2609438393282401 0.9402533919220945 0.005780045798966683 0.7302840199169091 0.4297210783569979 0.5559171517784499 0.3758749290687194 0.3401580034077381 0.7809060524688014 -0.4348986332010409 -0.1182014872351582 0.8991982588774378 0.6526974867830149 0.5609721218851121 0.8779064670472621 0.8379535493856475 0.6245477736093429 0.1245682702386506
19	1.602411928144095 0.263018901845836 0.5996007341867463 1.708956898422748 0.3624418462922728 1.525152088572552 0.5025324625721443 1.197374256746877 1.039478525991092 0.8445700648122694 1.607868991206454 -0.2988864917635051 0.3280409735588307 1.59052510049866 1.334192212913864 1.261907498580308 1.576257780655786 1.578151641726064 1.351417641897864 0.6708945400956967
20	1.935390918863525 0.541866962198938 0.5199052434032266 2.18004640451064 0.1628756051809575 1.884213325809465 0.9153606795607696 1.551949701169375 1.136373851971882 1.014741692064875 1.951900360131681 -0.5164463640915753 0.185684756583735 2.117137795551665 1.734567188161111 1.586794874382526 2.046692795187399 1.991170440653796 1.669943390277143 0.7046340173808335
21	2.087517183675017 0.7061644851156295 0.4637928330595367 2.398678077725054 0.1124816676099412 2.101004335905791 1.082751869086718 1.784279419654643 1.252131741574002 1.152958340664911 2.14930674074385 -0.4885244055567232 0.2413429503762272 2.368847745061966 1.977246379520889 1.811892426898246 2.26749447060074 2.195614557336669 1.875827808721677 0.8296842941132992
22	2.143452629571363 0.2341258243177371 0.8750609918769219 2.263650565997571 0.4175733951083427 1.90532214876234 0.6873072519729347 1.415971799354252 1.228960303867105 0.9816620141761165 2.050624940407774 -0.6942136510331557 0.1672945919193693 2.076633769814209 1.622902451216248 1.491905244512039 2.076838813975892 2.06203978993371 1.654739806861286 0.6405035172115215
23	1.922506638956266 0.1876532198768341 0.7800029705163839 2.047154399517105 0.2461428885143175 1.621764776690816 0.7160689559157544 1.163631907800846 0.9491918957819796 0.769912941105847 1.768365080057956 -0.8840470784697775 -0.1102790021718292 1.881350347872649 1.371827394959524 1.211722109897988 1.88046954774213 1.837845867181219 1.382347519546123 0.3549831381045396
24	1.269639108374188 0.00330725474203546 0.5933320753076812 1.325265271305685 0.1145831062547472 0.9440490847513122 0.4708500367487818 0.5910619829433218 0.4835317430788396 0.3716457722706502 1.074626224948725 -0.8483285070203929 -0.3132585029120669 1.18512609364315 0.7497967642999385 0.6154424610170438 1.205168690563528 1.163977051897071 0.7693273878581866 0.002066967949370326
25	0.5739740503186289 -0.1040823943762368 0.3396810778845019 0.5723885161236608 0.02829618654726201 0.3254846790571467 0.1956015886076446 0.1232935860146748 0.1127191883412067 0.06144569711932662 0.4125158773954394 -0.5821644010060525 -0.3186811376313934 0.4810382635852976 0.2107590794373062 0.1307416898862201 0.508906735781576 0.483035211871957 0.2337524052384589 -0.1751577163320866
26	0.3249269520100549 -0.2535631032354956 0.3381467284173187 0.2588325455526598 0.0599819634891683 0.04399448265567602 0.005871843010875361 -0.1418082663233075 -0.0389392017604507 -0.09942709924857247 0.1375626681631272 -0.5406410301634733 -0.349199628594821 0.1499458282101537 -0.07697187057585425 -0.1305571326178294 0.2039638660890424 0.1956278538115203 -0.0229656695024261 -0.2948947694236838
27	0.1040363000269477 -0.3360260359727426 0.2860654351445094 0.01234008912192618 -0.004572993169767314 -0.2128722719224675 -0.0673519813131693 -0.3724973999483901 -0.2331259203321814 -0.2655599733843743 -0.1180909942399631 -0.5940352398717971 -0.4796881865046911 -0.09219946667004167 -0.3189753604105948 -0.3723781642486668 -0.02815950109973987 -0.04089999852910146 -0.2618786466025612 -0.470802318622524
28	-0.3352978989443633 -0.893228894423684 0.5095112838520948 -0.646103033684276 0.1560083150569284 -0.9005012998258474 -0.5922893905997322 -1.135621351074581 -0.614948218893372 -0.7243549788143248 -0.7306065002847881 -0.7708418318322693 -0.7187296307507531 -0.8702369953479046 -1.104908510629368 -1.112194014689255 -0.7008320528259446 -0.6644709700026047 -0.9247502962669535 -0.9204981983033461
29	-0.6151161348324758 -0.3873795266877105 -0.04163634080170497 -0.7225690519534037 -0.2356346797993412 -0.8776994730286143 -0.2123316333244993 -0.8701885178639945 -0.7209137977094088 -0.6366515757719203 -0.830745514687426 -0.4823813479276356 -0.6653971132851948 -0.7509720997113529 -0.874990091251177 -0.9097654214528524 -0.6958113355937722 -0.7235853199274289 -0.8487576527863643 -0.783592661853963
30	-0.4655001883084092 -0.3473581299146493 0.002701929385285367 -0.5577595359435545 -0.2056481389811942 -0.7243465174052686 -0.1567774078207735 -0.7418019757875299 -0.616078417294461 -0.5473900679098316 -0.6731584559020142 -0.4941616860529273 -0.6220112429058933 -0.5926552488150528 -0.7349897723709773 -0.7759687830713098 -0.5418795430428346 -0.5700595043128398 -0.7104671066366165 -0.7059351968516149
31	-0.01156735062834177 -0.2084686918871203 0.1171118368795814 -0.04396843595727472 -0.1620146617131449 -0.2696029972283491 0.05749548957815684 -0.3599945143096136 -0.3347474162889317 -0.2954797901421069 -0.205903716170824 -0.5881045024916435 -0.5536070285658097 -0.0906689904423526 -0.3125437695087806 -0.3851514297933652 -0.05840275892512137 -0.09816262146949474 -0.3042828699920495 -0.5168471174568493
32	-0.004454471117392427 -0.02329455475634421 -0.01863480265840704 0.02584259621973625 -0.205208157178268 -0.1319605981276884 0.1615667077459625 -0.1566310575875545 -0.2364300619750286 -0.1671640621106161 -0.1095015382762341 -0.3956478413995554 -0.3984325819522683 0.03287203682445079 -0.1225518128775257 -0.1886576879060294 0.02879033884956203 -0.01765670430776432 -0.1535167588033164 -0.3336123207214722
33	-0.03126361397042832 -0.0769645835400883 0.1429545297679586 -0.1709538826104543 0.6320928998036137 0.2502266117877681 -0.5697171707208313 0.2818174817286837 0.6014446600066116 0.3782344393381848 0.2127160047143876 1.035162110216316 1.056225424475324 -0.2294115203304948 0.1875258041348918 0.3803700561505478 -0.1895590754824119 -0.04686366212046533 0.3084792721205865 0.8345322876319171
34	0.179097796591482 0.02702811522465597 0.1845138895073734 0.05988468316674292 0.7560247317799719 0.5495190808156639 -0.5433345524539813 0.5711535954898086 0.8720390252212779 0.6026436075311821 0.499338175873738 1.234850560365954 1.325739248011875 0.0004225366548444628 0.4749819874170941 0.6900312277980122 0.028516170308993 0.18995334648813 0.5992540744410215 1.128372784811596
35	0.4184282048822479 0.2171906016937465 0.1404833859674161 0.3887817240860889 0.6492675636821471 0.8185027955286697 -0.2808927672126834 0.83599450814553 0.9726557082522905 0.7423867734392384 0.7569723294851259 1.128431131234658 1.276577792850798 0.3640248253291898 0.768183010826138 0.9392674328621546 0.3551610109288848 0.4834079942344027 0.8416428478310942 1.193048472840005
