1	0.02612246491879435 0.03432326220488545 0.03623084888952725 0.06346158978703129 0.07665889574749189 0.09455492459486176 0.1008166999471002 0.09839784914113349 0.1012764156676819 0.1081557081140769 0.1114043723018725 0.1097543335589642 0.1051925845790824 0.1097623857957132 0.08969936318236613 0.09507945618042617 0.09553720867326608 0.09973440504362044 0.08808278784205877 0.09569179946309926 0.09378245576953428 0.0882460483507282 0.08504034260035695 0.08365960886760523 0.07452445837512287 0.07032159241769241 0.03563870498024642 0.02870160506426236 0.0008609198414185116 -0.01512533679367414 -0.02251411698350548 -0.04266369238945657 -0.06214384307697424 -0.0834934114500608 -0.0827375669043377 -0.09283327912154297 -0.1103984244430397 -0.1171236179594392 -0.1201240274103354 -0.1270182969866424 -0.1524458383226586 -0.1654709330185117 -0.1743078401817906 -0.1695230883715092 -0.1738484837388299 -0.1834440810064753 -0.1798450891296261 -0.1734575850311978
2	0.03851837306976878 -0.08325114012912957 -0.1015812391239763 -0.432553704704766 -0.4573538881540538 -0.6220000239031352 -0.4517256173314236 -0.2390806310217281 -0.083790042791946 -0.06630555897872986 -0.03443691968466129 0.1898629060400789 0.3568687287990157 0.3282843234105565 1.034653439644102 0.9911849148950362 1.174689198377715 1.311312591803301 1.643572870301558 1.487903796463775 1.548215115548075 1.708925431534064 1.890890681822803 2.033158308827682 2.216691812515353 2.26114210954735 2.844318725202279 3.119432522961066 3.55589164168046 3.860454786385319 4.041890949382999 4.409945253705931 4.539646487451067 4.828783083073612 4.576232392538805 4.492221240392666 4.630699813374802 4.834115736769443 4.767419187151376 4.745942975854618 4.913430586300047 4.897370567650401 4.90864536820312 4.739209667100323 4.609941177800358 4.744747527269664 4.629530978505771 4.378656203256428
3	2.411000868874155 2.344328059903198 2.34475681081852 1.920395061452517 1.774010991433527 1.514682458300788 1.374938018968491 1.376547944390447 1.273774762368183 1.182010798831112 1.139576831647735 1.130427332986814 1.153604855055505 1.050855012076293 1.281074973101944 1.181713592286211 1.167874138790779 1.084207549688254 1.23358086942672 1.12875122058713 1.157471282092855 1.236208437462724 1.249856545153228 1.257795205604661 1.405549570788831 1.420470924587883 1.899043246459848 1.943835199341533 2.283664102825717 2.510312426074458 2.61680845821805 2.858854991349805 3.175115218779764 3.535368605307108 3.621614912727806 3.853926949842511 4.159126032087489 4.229625523743154 4.301415782988529 4.374171723906781 4.761406302290959 4.974347773550427 5.097134530644784 5.080191799639384 5.177511856788056 5.274688554342204 5.137390500318172 5.053060642446667
4	2.387242576100379 2.322716017542508 2.323336751425437 1.906725207144394 1.76134072401333 1.50606286938058 1.364440728444778 1.362682745966197 1.258130483941629 1.166528087486747 1.123775220064132 1.111121368761293 1.131602717857576 1.02999526973947 1.247664257185921 1.149614336339906 1.132865887538948 1.047481984889458 1.190703454896038 1.088951607059761 1.116529261281502 1.192227021140221 1.202945047372 1.208555675166873 1.35247293690459 1.366761910767359 1.833370462369852 1.8736297514624 2.204773152202149 2.425266233277988 2.528234956652177 2.763175247787606 3.075532352454753 3.428975537507217 3.518544714699023 3.75069770229193 4.05184421629991 4.118743535932904 4.191145909416747 4.263977575052001 4.646377270219931 4.858380710198351 4.980362691952981 4.966087635057595 5.064888612065863 5.159507395849683 5.025136121847606 4.945327455361451
5	2.975524844576621 2.880193152641802 2.878286605598112 2.313004061632769 2.119043942251012 1.774320278236316 1.603493902943258 1.617459682080757 1.494666651287565 1.375780757246746 1.321863144388247 1.322370679013958 1.362768968607583 1.229989900936638 1.565722719531499 1.435784764223178 1.426808116406507 1.325785586918983 1.536581992213572 1.392747517455629 1.432835881078979 1.542772634263118 1.570909067331735 1.588580489732242 1.788313315430229 1.812415800624044 2.463037296112205 2.537321280368444 3.003029406848124 3.312124214302997 3.459053566074848 3.793702508937171 4.208832116817497 4.68763544325954 4.782328409591407 5.075376008027165 5.475588045276822 5.57827608496735 5.666827953311445 5.761924193067822 6.271928305178498 6.546520779565734 6.706917807182336 6.673966860057178 6.792402864799369 6.92739816703059 6.748443324371015 6.626629347513581
6	3.034015456232863 3.115314014038251 3.143545408358877 3.090506171948822 2.999258404493542 2.934504256656471 2.619885358261693 2.393888181562105 2.123710215536946 2.026271914588217 1.957319775578817 1.709939874360574 1.546631974918887 1.471707953558374 0.9390408235968789 0.8872576425761555 0.6856691684952771 0.4641218782872888 0.2533243790118471 0.3196535865203553 0.2843297071086849 0.190776120635252 0.007010020256471607 -0.1346705761363187 -0.1840954140714538 -0.2310254131290879 -0.4037780014480638 -0.6619742858425609 -0.8226338712966835 -0.9312544071137661 -1.020734866417331 -1.194900406788215 -1.032434757662068 -0.9873401384748842 -0.6211248586820931 -0.2992727131433668 -0.1501946500803006 -0.3029412728247527 -0.1614416043753853 -0.08326275139229095 0.09935556316462672 0.3144399549554739 0.4112661395471329 0.5857323064269846 0.8158858538513988 0.7520162659079357 0.7184282240593995 0.9009737804606571
7	0.6710829935418765 0.6831425274576173 0.6863102491387347 0.6274021012262204 0.5539260919616701 0.4965684544372849 0.3537987400570118 0.2614206121251414 0.147344071394024 0.08983624553573163 0.05186400127428063 -0.05166188643167049 -0.1094585771487313 -0.1420334583156178 -0.3422595312187859 -0.3691335359591282 -0.4611416981211549 -0.5642356151461697 -0.6388856531771759 -0.6212735310661363 -0.6349160067442799 -0.6692540703107782 -0.741081144712411 -0.8014022377809615 -0.8140133224116897 -0.817864817457718 -0.8384887318574061 -0.9332909436379383 -0.9490360879214979 -0.9734300647304112 -1.003272012290958 -1.040433706865918 -0.9439277603095423 -0.9029328483077921 -0.759022089552241 -0.6161831558393772 -0.5329244536753157 -0.5864750032005681 -0.5235327749001122 -0.4701410132214905 -0.3514435852797482 -0.2381245197690317 -0.1785526640622805 -0.1182865772018537 -0.01393898851639826 -0.0183556845469475 -0.01833037061356513 0.05412905985256138
8	-0.05455535085431677 -0.2558153954346847 -0.2912223819708865 -0.8922044913707512 -1.036750159159973 -1.374695835224938 -1.254016417791091 -1.008337274159263 -0.8732425749115047 -0.9171617646366711 -0.9128390809999306 -0.6618160952632401 -0.4454008726977048 -0.5193134926006497 0.4092785047630985 0.3129703249242429 0.5028411115389628 0.6080735899763186 1.065556089357909 0.831385512286695 0.9127837684134238 1.133562156107726 1.353957648587452 1.516685203600183 1.795390372059343 1.878521984253367 2.812037104046962 3.164036890797318 3.877558497621606 4.346041157890024 4.605749456072985 5.177230176350457 5.494369958321708 5.998379605194158 5.728889143327164 5.736534849448269 6.046335540974465 6.321913583931819 6.280115350550092 6.318954559117475 6.729684752631934 6.832912782403302 6.925324165916572 6.704783345580681 6.609120598088039 6.837465145518753 6.678137822295604 6.35440043791787
9	2.528042972297187 2.377639574998819 2.357544338313017 1.576930761488665 1.209078220974784 0.6958078906558568 0.3524155884769178 0.2940946971105411 0.05406485248238208 -0.1704288219357063 -0.2861191361684469 -0.3745709162659241 -0.3531845697313963 -0.5349737655741442 -0.2715104058025964 -0.4546832908282278 -0.5622675697257917 -0.7904950040710452 -0.5827828261298019 -0.7552940468363194 -0.7187547342779738 -0.6118790107573581 -0.6295525345656408 -0.663806771794394 -0.4284358128365043 -0.3666524037451766 0.4782587275464064 0.5127814616965469 1.151356897767157 1.531877547702547 1.69131804322972 2.124914255373222 2.747682096155053 3.379789220696079 3.588811900615826 4.064065276376542 4.640232275772521 4.735628310331693 4.899267836272521 5.102612212582674 5.885120132881566 6.350232217548028 6.629207209892029 6.613150751018448 6.856633133606657 7.0595080254185 6.889837495325871 6.804349874834508
10	1.907705397985137 1.815455746707163 1.808619739757223 1.349883830725397 1.198529181297745 0.921835258356033 0.8236260096767344 0.8659494219768337 0.8024949261227707 0.7161722296049886 0.6801160607897366 0.7140172254439241 0.7707627633458229 0.6727198190606185 1.021695187909279 0.9221557412575232 0.9408509532109869 0.8869314601188947 1.089188889562619 0.9615225662126925 0.9990982706307996 1.101980814534529 1.150598388242559 1.18397461576343 1.354459430487152 1.383085927771996 1.944319935384997 2.041925193968202 2.451115417363408 2.720748474887304 2.853635460007522 3.155404864987736 3.475832057770984 3.862846850591517 3.888695689986552 4.084818211822978 4.3936322407459 4.499574170047138 4.553062264100671 4.623313492787909 5.02049578654532 5.218630211629886 5.339186385595196 5.286614208467791 5.353132218517277 5.475336931172246 5.336737372433998 5.212297760448427
