1	0.2936964773788763 0.2888118117208769 0.2796135466759312 0.2427040438817719 0.2082280971829465 0.1625381688612216 0.1171214895845815 0.09473546470663216 0.05938151078729539 0.007338981630400479 -0.03278984902967034 -0.05733514930981778 -0.05726650776273023 -0.07242537582045661 -0.1161989873783684 -0.1299658661056455 -0.1677017720744505 -0.1731126250873274 -0.187147369458027 -0.1862995629967479 -0.1870245732562781 -0.200353918740575 -0.2081991500652712 -0.2099013747629174 -0.2153618243267799 -0.2268117336439357 -0.2306176951788442 -0.2338204916308063 -0.219115874499071 -0.2175280618815889 -0.2292961519841314 -0.2087276738358603 -0.1944863419851012 -0.1838965174184027 -0.1233288584930041 -0.06337178803825441 -0.008267625558172932 0.01053646663956847 0.02410070914046418 0.08610562328099311 0.1339823682087864 0.1844438887883489 0.2156023632141373 0.2478744708285391 0.2775954617095949 0.2725404280128077 0.3069886087004555 0.3095283276384915
2	1.281011159406339 1.28324654531758 1.13433901956482 0.9394601428245914 0.9043942882201965 0.7783091839136679 0.6751045207720408 0.7101139510291296 0.5711718463480949 0.428809667470352 0.4248770443592748 0.5474467084151493 0.5442826506173127 0.5177669190198005 0.6224388527253762 0.544063743939718 0.6565937887871625 0.7151699981681012 0.6438896677785862 0.6547490961689875 0.7175132985466498 0.7195975277879332 0.6604204557430793 0.7361477815488562 0.7888641942398764 0.8708094833339931 0.852113654445441 0.9687787869553306 1.180662662440143 1.205100944343041 1.237220278377406 1.366253166652181 1.497669888702588 1.568948992474316 1.944805974678289 2.363621081284385 2.511739072045853 2.658273437344596 2.67724529030191 2.863841557984649 3.15400371189489 3.490638033207924 3.499336738511747 3.749498913090791 3.781646841303209 3.730323607727235 3.664958145375046 3.577281882590547
3	-0.5477068803965079 -0.5107469072685991 -0.5128614777862827 -0.3978178491267646 -0.2836966588046119 -0.09843058323279624 0.09093350043129976 0.1986934443926616 0.3003736644681106 0.4778770917619604 0.6814770941734219 0.8462766467779181 0.8401936690395914 0.8750256982817818 1.09507550517342 1.153771221045235 1.36108621159461 1.389106407195128 1.430812894457127 1.443354189293449 1.46262161577468 1.522307574118224 1.528292048004202 1.571977791357814 1.611277550469798 1.684712978884964 1.679815041581025 1.738750221463478 1.727767256618032 1.721558728337276 1.771713562819362 1.724225298856368 1.702450000924138 1.671890907438022 1.516048899008446 1.366598408887416 1.158725819691592 1.110032913127784 1.050526255344342 0.8157036416365989 0.6808844633119447 0.5421117816886716 0.3970991757859921 0.3152938947414657 0.1698517885690411 0.1780157354891093 0.001018535303087447 -0.04494282987416461
4	1.681097626672565 1.651983903132126 1.426666151862673 1.076677862527468 1.014527704689409 0.7275221394313901 0.4752586071514268 0.4885079043199309 0.2566149161689457 -0.01342090540491769 -0.131699794129695 -0.03517483184267917 -0.03159097661248008 -0.0547676958858003 0.02386708206338986 -0.1430158915625799 -0.06207078080634643 0.03189945800272517 -0.09257512624922061 -0.09726273038623795 -0.006921559706557677 -0.02693253078454913 -0.10457988737944 -0.02428251845821233 0.04062465613247383 0.1376963107075491 0.1314928463382636 0.2719928968461942 0.6064897982598599 0.6537017806155719 0.6969484806435751 0.9032678227632306 1.106962763798595 1.232211778695382 1.858091785253501 2.557485892938019 2.870907226937796 3.121690449997073 3.179606644279861 3.571144207666871 4.071784913646579 4.651817486905798 4.732976142749612 5.15802676076663 5.291747944397543 5.209969145217507 5.1862038413443 5.082603387402292
5	0.2348166981321942 0.2315248223283193 0.2556494343701388 0.2523183207863776 0.2006086563256629 0.1702062349448151 0.1339866840400238 0.09103650235423698 0.06871624180774089 0.02314371362328408 -0.0275762688879168 -0.08907799490801251 -0.08969577521649423 -0.1134166111418456 -0.2069642408261808 -0.2012956201469312 -0.284106091421384 -0.3111526999386547 -0.3140317907254575 -0.3113958603793244 -0.3290958919609568 -0.3496030191706431 -0.3499782493604501 -0.3673155702472455 -0.3889476977362918 -0.4272584973954576 -0.4333399735983261 -0.4643496135535733 -0.4983957078289749 -0.5041845359232351 -0.5335293300983177 -0.5335085128780696 -0.5445240119093935 -0.5481001497046618 -0.5516414946209777 -0.5697585821737103 -0.5268497287968218 -0.5383393900731682 -0.5243596786112119 -0.4832386562063369 -0.4872912206797202 -0.5011451320371196 -0.4596103926654746 -0.4783198194455821 -0.4491595797007967 -0.4435004729398299 -0.376947543538123 -0.3537834377326665
6	0.1789132391341722 0.1779387094846185 0.1546405139345088 0.1226131179120815 0.118096711093238 0.09544701176822677 0.07643238781701377 0.08108959847990267 0.05948417024480015 0.03649381223493509 0.032277893659534 0.04862755634950545 0.04851832946899541 0.04576027923996707 0.06053191297585779 0.04636474044344849 0.06167039838716035 0.07148016039076915 0.05995674686154406 0.06064589979977708 0.07044594134844852 0.07025647751929164 0.06174383979660832 0.07224173110330707 0.08016267467470711 0.09242244158704394 0.09066037778910235 0.1076555415105231 0.141395998562832 0.1457018800057495 0.1510696996085034 0.1712374224366786 0.1917632262074739 0.2034727065899033 0.2633719509320986 0.3305380119790109 0.3559571478512553 0.3798399299612393 0.3836569193140694 0.4158442317601135 0.4628666289625059 0.5176030707346532 0.5208627302105459 0.5614814663087959 0.5693457674904921 0.561201939373184 0.5528714176609584 0.5401877963736061
7	0.8258513837776963 0.7767777523231231 0.7484942610422914 0.5648824764239322 0.4259729626688966 0.1672311206906829 -0.09142038531370185 -0.21580643537815 -0.3649239493601687 -0.608513033444501 -0.8666522740745388 -1.049222704291314 -1.041017725384443 -1.082078852846696 -1.328922831620277 -1.422965018245859 -1.655963895811132 -1.674462269874211 -1.740373468845009 -1.757295640024594 -1.767316078992355 -1.840047921514646 -1.856264435473736 -1.898247804883382 -1.935465975378419 -2.008227437510569 -2.0013725823832 -2.052639288741613 -1.993272629994959 -1.978803424454648 -2.030374905280574 -1.94729047594672 -1.894359665478791 -1.840923814904014 -1.573222626705083 -1.301942254357444 -1.014607616742954 -0.9223589288968222 -0.8440832775279938 -0.5135868669890132 -0.286380002475931 -0.04299419251619017 0.1392805560112918 0.2945461462687366 0.486120732647249 0.4653161833387382 0.6703072826701258 0.7111949944819859
8	-0.2609152315993145 -0.2822959817463763 -0.444129088506239 -0.602125727651035 -0.4689206584067586 -0.5438317646752 -0.5871146622964442 -0.4721610430246926 -0.5041333639500837 -0.4984332152049627 -0.4552991581295532 -0.281469036628725 -0.2728431590274834 -0.1962965593495185 0.0773643512401094 -0.03478010675539474 0.199899538421761 0.3242178588260343 0.2752499702609999 0.2517597303926943 0.3389612521441912 0.3811372472079144 0.3602562661217681 0.4236543414841519 0.5070302795277764 0.647486389306324 0.6782763110825077 0.8065433840892512 1.050048320333774 1.092764513951624 1.198179213651215 1.283835447720356 1.399254894725148 1.469319509467967 1.75546154823856 2.12090271489179 2.162147183243086 2.312391771770083 2.309046227107696 2.398339812025336 2.641136136660952 2.950808787137698 2.894266066862822 3.144778484435213 3.158059026236626 3.10644914428232 2.935717043114176 2.841783746096449
9	2.33247876376808 2.298801694311777 2.097027587789975 1.713661012147355 1.548063068996035 1.188188043939853 0.8554105803715226 0.7937580838994132 0.499309888796611 0.1232825470862552 -0.08750381096336597 -0.08596492839698187 -0.08438898895224782 -0.1574842851921172 -0.2379941515147239 -0.4038400466122077 -0.4599877027845663 -0.4089642264947741 -0.548962071628068 -0.5460973449700334 -0.4798378566067701 -0.5376385301873182 -0.6254190901306105 -0.5653055304205021 -0.5330552062641705 -0.4955135897349082 -0.5170574072804709 -0.416557058676138 -0.1156117260522588 -0.07618304452767702 -0.08379697269542039 0.141533219066205 0.3438283292431183 0.4722651123050596 1.145604276200804 1.87079080561013 2.284528563441112 2.53426233558689 2.620444844721836 3.113847568725156 3.647875679495947 4.249233764593667 4.407986409598124 4.833101736330334 5.023644081710859 4.945092606820415 5.035141338964215 4.961250097256703
10	1.163973300539879 1.164202837402407 1.044216146185588 0.8752489152328489 0.829031075731082 0.7097231212729359 0.6082005874170658 0.6240516339745079 0.4977661434275719 0.3606769937715726 0.3393044207084332 0.4233514799453175 0.4206229215579376 0.3909253248361334 0.4499143135815107 0.3835969590566572 0.452442195428058 0.4943126648862448 0.432067927523769 0.4417479867811704 0.4898946007490861 0.4848530944077364 0.4343266655610811 0.4930753533760624 0.5311943717291916 0.5889194583338313 0.5714842381900809 0.6610035699289666 0.8321063408813001 0.8514406834227441 0.8697346884988866 0.9804148043414389 1.08958954311627 1.149849602451219 1.471640393468421 1.82586090901206 1.967760524685362 2.090223441041198 2.111389854929627 2.286078267378325 2.534449682035227 2.819749027512573 2.841449936491745 3.050735018238214 3.089023726990409 3.046761661371403 3.012961816040753 2.945683372325871
11	3.039194425853631 3.06053871281271 2.916001653116839 2.65364990618461 2.425207061454151 2.210737299002369 2.010914783022844 1.949342478074285 1.675839718252112 1.344898339298217 1.261764849720013 1.314473825567908 1.299805999923164 1.159739535082173 1.0633227954696 1.006294721402029 0.9686201450891221 0.9586316011687918 0.8535919819171043 0.8988391174826657 0.9373707071930336 0.8892124996447729 0.7857850647566922 0.8725392096700065 0.8909774595500872 0.9065694719749533 0.8361873821386513 0.9393999201052338 1.133443091151514 1.141407029854485 1.092197877016587 1.28127763932893 1.440723249118817 1.522260371689267 2.037689769266136 2.560188830085423 2.859103170143958 3.018201449704977 3.07030289490586 3.404195102233352 3.781589418772368 4.187825390550505 4.286148031908902 4.563759074400363 4.63904364562957 4.583590646455341 4.649505995823196 4.569638096867815
12	1.532580659384606 1.51728071195162 1.31807193808419 1.028682590690099 0.9810737253703963 0.7615315762017025 0.5728325790671573 0.5999413465003315 0.4052255818331885 0.1890059633456384 0.1237416118858738 0.2402823678096509 0.2409086409906406 0.2172812910815384 0.3178463452474317 0.1860246412838155 0.2907045192569392 0.3734804119117709 0.2697782073218332 0.2719268535963514 0.3538427685161402 0.3450051905010058 0.2733954989497179 0.3555588113117245 0.4186369193150716 0.5148758778619406 0.503162791545346 0.639650001052775 0.9310008758663255 0.9696693407823748 1.011473018478209 1.188770263966118 1.366537259649606 1.471184478913339 2.002099609695533 2.59593032197327 2.839746969059343 3.051382996065064 3.092077532937457 3.398360198611268 3.818281019247941 4.305720541166339 4.352753713309818 4.712228419360822 4.801035960761035 4.730235354680794 4.681240487998567 4.579811565220163
13	5.181691510863981 5.156387949552184 5.328266929312248 5.074840990039614 4.27776894507773 3.736649396019423 3.138038587572661 2.574747801028971 2.089980816755022 1.279996018284184 0.6002017372547586 -0.09752531281201608 -0.1157172157914075 -0.5073527232153816 -1.703618344416418 -1.686228220303652 -2.709108186881401 -3.038014841603202 -3.157323529326786 -3.092071404192913 -3.272282641517901 -3.556548237675299 -3.642059681238079 -3.782499055052094 -4.026405997509706 -4.471987671120223 -4.598077533574322 -4.888117652412641 -5.137238970380023 -5.198728613174739 -5.587155999359584 -5.43556485640717 -5.43930859863541 -5.415332537383558 -5.042259697794946 -4.835997219707587 -4.079777897492976 -4.087094751485059 -3.876698023113566 -3.112008530696321 -2.854289767128899 -2.689273799332065 -2.110868506211091 -2.108124760656566 -1.693466130575083 -1.670670428329929 -0.8199578279772993 -0.6052912097523493
14	1.444558611278365 1.341341706929537 1.777766444021152 1.801487089179905 1.152471079839341 0.6957267147853191 0.1451080879317943 -0.5073660895927492 -0.7138849220002349 -1.275359362752039 -2.126181427376008 -3.180767750283142 -3.170742812619334 -3.421123247937875 -4.854224457055668 -4.802441693423065 -6.122139895414214 -6.509029812359128 -6.515187879091149 -6.529136386868461 -6.818001780731187 -7.124658175118057 -7.057205858170983 -7.406480566303311 -7.755742956749506 -8.365629292867458 -8.387361490861856 -8.949978830826247 -9.542102889791193 -9.618545264136825 -10.03170293104361 -10.12164394376246 -10.36635196985339 -10.44147981899277 -10.70430868713453 -11.17512260394178 -10.58959719739817 -10.80924995952499 -10.59322801989724 -10.02731788587429 -10.2153436151012 -10.55217394948147 -9.903771786922169 -10.27277125078395 -9.771876771511668 -9.662976884978516 -8.617712305775944 -8.193072970423003
15	0.08053931193177641 0.07921500567260244 0.06448640521795256 0.04477182341011931 0.04499447213214305 0.03101987234963655 0.01946874977778857 0.02349849253999738 0.01185108543986497 -0.0001838814365767414 -0.002909636607066542 0.007435084507964783 0.007657649750429464 0.007994249791770162 0.01961332688537549 0.009759621457789034 0.02076199549909432 0.02812434613893998 0.02122603685854935 0.02083663829577256 0.0273430733507683 0.02776548450604938 0.02328226461755044 0.02928600940480638 0.03465011623382113 0.04312286815205307 0.04313315172619886 0.0536049426447493 0.07529377841167878 0.07839826570685544 0.08304500872805315 0.0948820129092075 0.1073937753354598 0.1148045069322 0.1508944189975319 0.1922492506913117 0.2068566647315131 0.2220303821828293 0.2242449516917225 0.2434110091946848 0.2723136854727931 0.3064697059770326 0.3078804934135606 0.333551974472919 0.3388317392649489 0.3337258941320158 0.3272487507270758 0.3194968274615584
16	0.4689755241447606 0.480370503764326 0.3666119319492224 0.271864362724118 0.3190357130422981 0.3044892649638556 0.3100579653323797 0.3910861679010449 0.3454000006807768 0.3331690054200632 0.4155785563066424 0.5780803776551008 0.5755418807439264 0.5874441179354063 0.7785896670762956 0.7364797654276056 0.9202699493346442 0.9861468649041885 0.9529296154154971 0.9595876673554856 1.017876943868234 1.049147353367012 1.014290954157623 1.084855208346561 1.14435911206674 1.243461110447491 1.236576633008144 1.34760365587371 1.506555975429009 1.525641370113156 1.581572454618236 1.65174858023252 1.738309475658741 1.77951299010524 1.983869182717618 2.229064673491073 2.241473561624688 2.332627442742715 2.320252055155483 2.352785479508712 2.508987162624205 2.701878980162349 2.641888283160354 2.796933993867643 2.76250574982322 2.727402362172985 2.593114143476166 2.509484777225207
17	2.549012596883259 2.564110123039559 2.46180019722869 2.250496971947934 2.040450526646834 1.85258471417125 1.673274377206982 1.600882715623965 1.370637532713714 1.081920428169146 0.9878050788116186 0.9963511874632144 0.9843605663040946 0.8599745919385486 0.7323960671093277 0.6897266419930278 0.6147263199271561 0.5922441778406876 0.5068385894055452 0.5442423544086326 0.5654360295403178 0.5158890741895112 0.4332527816839697 0.4929600875804346 0.4959643986713954 0.4876735129370756 0.4283747810657152 0.4938499204914416 0.630377763253257 0.6336666619634747 0.5786158234184614 0.7294869038583044 0.8507588312399839 0.9139524498867169 1.323420779808433 1.730732327091554 1.992640132156317 2.113496693726452 2.162708451121614 2.451648550757668 2.7507690969862 3.067667376474832 3.168745570367971 3.380328249151224 3.456460998010306 3.415255386994371 3.503971131417957 3.452863696097975
18	-0.6945825145944672 -0.681678558817396 -0.7744717823166214 -0.7745397116112681 -0.6006929332410719 -0.5017526969596292 -0.3813800658876776 -0.2308414924830395 -0.1638652012042727 -0.01645590654425873 0.1611645498571003 0.3834581997724474 0.3849350830359942 0.4629312562720652 0.7925344328276209 0.7699024177308361 1.063993457718108 1.159977360735565 1.165434768548806 1.15825009951187 1.22320752060907 1.294230939719138 1.290686061726968 1.356749997439487 1.434848970369856 1.572370888802148 1.590669140955439 1.706279414510657 1.836700350438069 1.857668384300448 1.960076104303884 1.968761195855592 2.01546371063269 2.031932703544727 2.068304685831895 2.156955297852881 2.017376611979096 2.065630294244083 2.018043481373275 1.886371104885738 1.918107910500066 1.986105048782293 1.842184186466414 1.921627584155723 1.820685690154747 1.797934836215006 1.563224888825877 1.476724270068915
19	-2.731659113928935 -2.778920249597066 -2.984938565907197 -3.075974719443227 -2.639710792041735 -2.591516496294657 -2.492774288942095 -2.208741348093232 -2.056411415602075 -1.776175043562574 -1.592090505190654 -1.263803286574416 -1.238585146828799 -0.9884801224079831 -0.3552423873302263 -0.5149127609046567 0.0008250280759078318 0.2491991977938451 0.238844660020138 0.1655941502232947 0.3079916831100368 0.4344259387127944 0.4682962927359839 0.537373359556597 0.6909135498461124 0.9619309404220813 1.068185248619077 1.25189799612492 1.575124313526124 1.649062206291089 1.893832037558673 1.913789461827433 2.016351498864535 2.085450706232775 2.233720469479082 2.528543484176668 2.352836899065994 2.515667154072583 2.460015182321517 2.344978444100048 2.512008127057921 2.784644278977071 2.577404499061286 2.840169480289986 2.78104059354864 2.723794426614834 2.316031007395213 2.183865674170657
20	1.523179862817067 1.488399412411912 1.555457406805236 1.433713772512393 1.152378218613036 0.8947869548143805 0.6162308250157768 0.3878210763730352 0.2098394175495056 -0.1068128747227355 -0.4314519296355799 -0.7500810307922902 -0.749541889332365 -0.8702303093803477 -1.353167575564174 -1.381666442703559 -1.812631812149311 -1.9251910536907 -1.976109839777372 -1.970916317333685 -2.040170248138518 -2.157130970993614 -2.174234050774156 -2.25402866737514 -2.352973770208011 -2.532822990524757 -2.557903770291585 -2.692945817292621 -2.778866984005801 -2.793232051117734 -2.933570321676052 -2.878833684513109 -2.882948674404248 -2.864405943944696 -2.708820385906487 -2.606365477187838 -2.280967018321744 -2.267782073968801 -2.172638883854599 -1.830404099505811 -1.706855569484397 -1.610520458035948 -1.356560675995835 -1.331237643958057 -1.121525059892974 -1.114310850086532 -0.7566421214632378 -0.654713719422624
21	0.3805902013115368 0.3956680834639698 0.3967065549949896 0.4062985018591334 0.3779514437186014 0.3990708973271697 0.4187443380783287 0.4174053744144489 0.4035607736446145 0.3929677716112333 0.4212528409882754 0.4422034334805472 0.4372437231141819 0.4124209497934633 0.408476431602807 0.4299006851298591 0.4378185210529457 0.4244687251146802 0.4251846825647363 0.4385721726241169 0.4361583000298696 0.4364152029240438 0.4249018484752879 0.4391527553185995 0.4388705711395673 0.4376905315058945 0.4211232468539978 0.4319052997351291 0.4234144377486317 0.4168944848491205 0.4054344093753599 0.4109493451973054 0.4134902884525374 0.4086287293519559 0.4097378395399351 0.4017307323562919 0.3933600407749253 0.3844286801428456 0.3790938923752434 0.3627536658634492 0.3538221216589736 0.3385597946690289 0.3282706616458499 0.3151422725054495 0.2908887886448578 0.291835093340664 0.2859216299625154 0.2767098722649891
22	1.55230995791438 1.530441620013833 1.238141959380043 0.8595842952641696 0.8750789839699138 0.6181447638668808 0.4096587957080011 0.5008892540943115 0.2801383759972006 0.05979803399515964 0.02813194457776325 0.2513594610303103 0.2549673977708399 0.2644857433482551 0.5179788876331278 0.3294490211180797 0.5697647475230738 0.7182890767819188 0.58589330145193 0.5799378822958465 0.7109291725192534 0.7256038139376745 0.6369351799129572 0.7610847114308933 0.8716018918773969 1.047339210958118 1.046474983449888 1.260730066384497 1.689443367607768 1.75014307156841 1.847203963465074 2.077147088512024 2.323082619663218 2.466677548556989 3.166064371896442 3.970239624674763 4.237767505750859 4.533279097975461 4.570753200756149 4.92558737741903 5.484310475395835 6.146595323298764 6.158954168962209 6.659038754724457 6.747620160174678 6.647247907571996 6.499941856314382 6.341048986773836
23	-3.469635621871299 -3.570567681715329 -4.110685348536976 -4.536098797494012 -3.812450798757804 -3.935912897427798 -3.942931827379072 -3.42426575572305 -3.332883647620496 -3.039947212378209 -2.788788698160908 -2.118773265451925 -2.072790327614058 -1.651825976504318 -0.4585477091450379 -0.8631884155560944 0.1258789476805451 0.6372690475811241 0.5243881880496372 0.3947724020590115 0.7177297909327723 0.9292519861658339 0.9264394496400393 1.116869243081002 1.441304971457508 2.000408648943938 2.179659470791063 2.619965484478192 3.450231422104857 3.616089308502294 4.08320917963334 4.277947098414789 4.617591507109364 4.834734553054171 5.576610118564081 6.633476898157705 6.553448843315795 7.032413859766282 6.974585156018727 7.059551667825982 7.73593670775815 8.659475670148254 8.345652809854913 9.134547289081704 9.120684482414617 8.95629090694923 8.205007020065656 7.885757557125165
24	5.110638921298679 5.03704480212476 5.180624908531424 4.802973494350654 3.976964146618247 3.26119433067384 2.492138388278746 1.870799314465349 1.320612348211346 0.3919512929248113 -0.4632838537894244 -1.276187019655584 -1.282718491705674 -1.658505364200662 -2.965036387134391 -3.035342691925571 -4.179388847481314 -4.49192035421814 -4.651662812704424 -4.615044615646521 -4.791355697624143 -5.112714858516528 -5.193325835645695 -5.371078330333017 -5.629039719764997 -6.10286367528192 -6.201093880568574 -6.524330336950554 -6.712514440108327 -6.754439236575004 -7.148404813313096 -6.952644350918611 -6.922649138054422 -6.858073032620408 -6.319910412334459 -5.928914265218574 -5.001683723256894 -4.936122122865743 -4.676128454276375 -3.702887626290502 -3.291986305092046 -2.951826853360614 -2.2642084100175 -2.14149000376249 -1.589102002469597 -1.582584819249528 -0.6241315545733941 -0.3815854354062713
25	-8.093530276269126 -8.136927902709454 -8.301499752573186 -8.006556305035554 -6.946738797490609 -6.393727830079306 -5.773586902027342 -5.128953423340477 -4.470687846633585 -3.453426282167574 -2.806312439223023 -2.135773105867502 -2.090418118705462 -1.515372415145347 -0.1488153177390833 -0.2510374673505286 0.8577587927759891 1.284400679141241 1.436173097071855 1.29460783830153 1.497205248389898 1.82203399821662 1.990218008738723 2.064360951123633 2.332524938789868 2.829239162241677 3.057853698373124 3.310004800230176 3.582849027754083 3.678372094009867 4.171108443311918 3.93785691143666 3.896640411723672 3.874161460433321 3.344733402713825 3.039501433588961 2.172976067976439 2.186728770833366 1.96562819751569 1.117595358811986 0.7903536318865074 0.5879925442711605 -0.02966498788803108 -0.03379482656116255 -0.4026990084667866 -0.4203564484412837 -1.352900546045459 -1.533313352105674
26	2.177738952158325 2.181110127712791 2.123228054650898 1.944981082157485 1.730336555310246 1.538425432950989 1.347835619018001 1.244351180887555 1.03912099779684 0.7608123621782619 0.620920348072985 0.5555150275915274 0.5469187418248301 0.4299614274183303 0.2293322759796924 0.1930461399191306 0.04211349482912443 0.0001552197708692663 -0.072373591799167 -0.0440649028069019 -0.04467797649765144 -0.10655508021366 -0.1698211337289088 -0.1447954188104339 -0.1650626766873873 -0.2117474794264746 -0.2602999714536901 -0.2437693329199726 -0.1659379843351819 -0.1670398737611707 -0.2385004736862273 -0.1181432712474386 -0.03235118773952003 0.01684989525740431 0.3446715141275781 0.6586431125247492 0.9191989832422032 1.00826170435052 1.064804029254639 1.348243223887399 1.589662763191731 1.837428780609281 1.966839982901404 2.123345209649889 2.224488014269843 2.19670988837122 2.340905756364633 2.327190194056058
27	-7.076343690475556 -7.328472553772009 -7.143871887831883 -7.099188631347562 -6.698434835119347 -6.962262835733682 -7.237517273149003 -7.331376914851868 -7.001618956098828 -6.763326891084906 -7.309162810670543 -7.889757805300857 -7.807366631812225 -7.421444414513758 -7.639271392657707 -7.89246964452232 -8.290732373602493 -8.18623974631187 -8.127789363168985 -8.350862308035008 -8.41049470167958 -8.454343106778227 -8.206399539531002 -8.548463750440453 -8.639133429979374 -8.776655007120365 -8.500200044880028 -8.854424093562294 -9.003206732423681 -8.934201520432932 -8.836515404386301 -9.061920366640084 -9.261943702490036 -9.26517728558059 -9.686573731997054 -10.03262038919776 -9.975294828740168 -10.00669148447962 -9.914928348329122 -9.772677942376234 -9.942178256545988 -10.07634058285079 -9.843254853120861 -9.929457372922604 -9.518016385440772 -9.468758422509133 -9.18243930774741 -8.898563862515102
