1	-0.3970898148970602 -0.3316873359638848 -0.2798315732736622 -0.2479191001247251 -0.2163256904970661 -0.2298367714812548 -0.2073566280764612 -0.1961423133907905 -0.1942463943430327 -0.1932874856281423 -0.1944857113262295 -0.1824933159491011 -0.1928215841731385 -0.189164212386808 -0.1775857176997812 -0.1820306384983972 -0.1713373674420546 -0.1695407694068966 -0.1627653264611308 -0.1597793090789018 -0.1736072122925991 -0.1462771662760798 -0.1723880301148842 -0.1600060992870136 -0.1672072690945847 -0.1633751318567732 -0.1646326651739008 -0.1606590468720385 -0.174213265317758 -0.115357470953799 -0.08624454216804076 -0.1109399700010622 -0.03902943355894672 0.06519136067153118 -0.09689581026816188 0.01948508306536762 0.05408571743502601 -0.03739117807008198 0.1919030569298325 0.2078328078328228 0.09633106187162889 0.2304742967021702 0.1962267181510877 0.1895877925372143 0.2563772152334122 0.1193082655526405 0.2327785398067872 -0.01217631765837749
2	2.338491719176722 1.240941352508872 0.5762891672093357 0.3162080195217422 0.2784032196026502 0.07611550285530906 0.2768133901158511 0.1707260658650591 -0.07604459313141039 -0.1914577324274485 -0.4292258591349399 -0.278943740434022 -0.5795466800790839 -0.3991271831474804 -0.1753505609735018 -0.4055672684661421 -0.2000990647016584 -0.1979931870626233 -0.1637705573152441 -0.1077038439079437 -0.3138225343586516 0.05770510187167331 -0.32148652901983 -0.07999754454244117 -0.3735576892974855 -0.06146569585148676 0.3380277193584614 1.086107621173876 1.425739271725789 3.541181246472278 5.35032924975069 7.06336048997438 9.950542813455142 13.17472457114556 11.86167106842543 14.46836158229884 15.35646839556625 14.49674362302453 16.52785796239011 16.79726210279497 14.93013816905801 17.37482590191265 15.90122951398285 16.87040271011391 17.98605125108595 14.87682565089719 14.45926611074636 9.395582287011468
3	8.575243156658278 6.350876291683946 5.182681726277954 4.215720233968271 3.356369659373633 3.608713310310953 3.668155154147602 3.363952359511377 3.087143104606558 3.071102084808737 2.563137509027831 2.687693211433758 2.464446201010499 2.640312955842172 2.654475022990004 2.436934257175981 2.577065615966335 2.441410499329694 2.263964902432895 2.34786979102109 2.42951492270336 2.334754907944493 2.376894222250509 2.364387901057021 2.064470925153975 2.251015257860013 2.546041070702607 3.018211348448295 3.462257879823094 3.972022802028828 5.440611735399695 6.544312201736244 6.755911189085017 8.265701425389096 7.890533245995028 9.899198418047106 11.29391547575579 12.19690319161815 9.332647313099562 10.93036468319567 11.74120504802513 13.51397031785142 10.74421370868198 14.35383955240862 15.72865583789136 15.02766867764014 11.34421267256439 9.667752911118932
4	7.201725356494928 5.175878105747842 3.915407375468239 3.195563632317597 2.698171763104737 2.691736186968995 2.723982120149058 2.468701186244499 2.16597172540569 2.056382303415624 1.716542002472788 1.797171196101214 1.548639039093688 1.727418881444854 1.841915618815112 1.614220389526225 1.755342086142212 1.705818755153425 1.637182492150089 1.688302491504756 1.631892230932339 1.731914629229029 1.601835420206078 1.71821636286142 1.432045872973008 1.724876340695366 2.15854076791057 2.90374444344201 3.414320065130799 4.95509239071971 6.715711905112031 8.662821249684654 10.68531402724669 13.14297734382886 13.03999022676836 15.03011844952074 15.94668768509125 16.10680809199305 15.42776692276424 16.00468351971951 15.41875225891565 17.08013789989845 15.26824962692911 17.17430581895201 18.0559744873339 16.155660705155 13.95807074572657 10.86055632007356
5	6.438880575789521 4.894731672324568 4.588493609433161 3.600448356799862 2.442789296517643 3.078070361741357 3.295921205648892 3.051574837796053 2.931325657084732 3.121024685737976 2.424990847152329 2.664507962329967 2.512601840341567 2.643555837883702 2.506183017590026 2.35829579081117 2.507448474359843 2.246960085492042 1.938183003307487 2.078681038376701 2.346501186907792 2.024512314336633 2.270914093683936 2.060516377565415 1.792930713847247 1.71623272191876 1.616860382858102 1.383424561577236 1.46745901156772 -0.02609658889308741 0.5010886665496134 -0.6563751079038681 -3.905666217212572 -4.313789298135199 -6.007709947857736 -4.0007896303506 -1.886024134429797 -0.2279512981083261 -5.45905882210774 -2.177413674949172 0.6755687319803463 2.814898795852769 -1.215935180184172 4.710140510764462 7.016855416268908 8.311552431926977 3.367761580613661 3.891772332673998
6	2.089801771800942 1.769051403536447 1.660083239398247 1.41213428446549 1.095223639072946 1.294313885600409 1.234646413342335 1.170045308835528 1.181586656648316 1.234816074311191 1.141863885290044 1.126969643450739 1.178761345848802 1.163250640658947 1.063819574247057 1.086683772327725 1.048984485952972 0.9922250273072244 0.9054303023859882 0.9144333867838785 1.043333374181703 0.8350180608240367 1.026091152391634 0.9069932583969581 0.9254178062754 0.8469980622033183 0.7653007220643849 0.5836386516335776 0.5854330922499418 -0.2372895626310897 -0.5231770369795326 -0.9571406079496037 -2.290755189658418 -3.224216309190126 -2.840254114622481 -3.236940025678878 -3.076989628351287 -2.329890019409302 -4.392093317328831 -3.84440392243673 -2.635578723736173 -3.034094666057555 -3.472567918679172 -2.454771235665088 -2.393794878176422 -1.205311470372545 -2.450436358448988 -0.757784765227056
7	-0.5596758411952044 -0.3259388820260113 -0.2863083233444249 -0.1702151554774403 -0.05467577506232216 -0.09953332327528151 -0.1820110999235022 -0.1534915269492968 -0.1134902519159511 -0.1280049829824427 -0.007075638664214328 -0.07231630392078342 -0.005088589723526922 -0.04722197029570516 -0.06900760300406444 -0.01814434172980412 -0.07530875842370836 -0.04297981042239087 -0.01459363491835813 -0.04372826639446273 -0.03824193405909977 -0.07316265561578558 -0.02895441641406205 -0.04393530385622631 0.03371897191674185 0.005179842943071923 -0.02252527567830886 -0.07692599902555239 -0.1056194130065659 -0.2141688607048519 -0.5201807287973577 -0.5133444491231295 -0.4865873932564047 -0.9240445530822057 -0.327150971950055 -1.040707539115189 -1.469435428093729 -1.47188310732924 -1.307684639380263 -1.800936049241846 -1.828080446553336 -2.567065317640608 -1.817980087757059 -2.710702886291087 -3.234951108948534 -2.883037455065301 -2.33199102295191 -1.514923057393793
8	0.1525085205012135 -0.09098573053318947 -0.2936728724936425 -0.2887069082554079 -0.1857880390703365 -0.3236867487304457 -0.2634567249132431 -0.2767438409830732 -0.3562671821584203 -0.4163872146376026 -0.439726220829981 -0.4031152268942531 -0.5030342274843035 -0.4474902414217986 -0.3486448140740994 -0.4212494986130562 -0.3561597765201117 -0.330570272771912 -0.287195449406523 -0.278726925122789 -0.383845168050321 -0.208693306903639 -0.3792843083244917 -0.2668476950099444 -0.3524885755050217 -0.2288165263628313 -0.07213174273812506 0.2274698540817685 0.3414414821949581 1.279820720795666 1.907993439347966 2.642670918989991 4.033998053087669 5.293962297864476 4.920755665819018 5.730399512235707 5.871304933612794 5.372871266074862 6.676729470771627 6.474658044966035 5.486478668508049 6.228840736822905 6.050253341390237 5.853925379231903 6.070137034885672 4.760732197626548 5.099483258810403 3.108725060729738
9	2.218070953974297 1.708676951352758 1.091877805778739 1.036845404104508 1.13421285070306 0.9540847633121486 0.7794247079157782 0.7202300651852925 0.6389657234775517 0.5199592198800312 0.656684553646635 0.5415343104908634 0.5503273558332249 0.553365838541481 0.5960605732343859 0.5840420729416895 0.5327356787279947 0.603708253813514 0.662323229167329 0.6151290446900362 0.5561516181155773 0.5897322673479979 0.5673822262502048 0.6347209296857425 0.65808366840674 0.7833838777684741 0.9958620668000704 1.356136078241134 1.586421005499351 2.478202747169461 2.829014029740713 4.141115639186011 5.824649116323062 6.451349165971831 7.807797729468026 7.281138468914574 6.676296616669071 6.536992654704371 7.185043074982563 6.09296045715134 5.303744430304123 4.516089543055783 5.495969632235627 4.025584200219929 3.184494298855422 2.592290109866938 3.079396526258703 2.815129410647809
10	3.723895190960574 2.932440149395461 2.426627715151613 2.071237419490579 1.744642891238625 1.855751929394157 1.760387334016984 1.642017822711811 1.571693964179437 1.560525559936272 1.460943529694773 1.429361259898655 1.429170469634654 1.450166085630616 1.401228001307693 1.37466304632328 1.354169948407895 1.318819785702779 1.251302047110757 1.254260320061364 1.333613109168914 1.188737872324436 1.317046934365735 1.259390698292367 1.228809980053003 1.254709328612479 1.329674530999698 1.422728331912383 1.586606111103783 1.450559790298245 1.641539133900779 2.028238561101078 1.790448457357499 1.653081879659772 2.354850635376643 2.236367908903834 2.359601339507965 2.96936011248513 1.320485045339492 1.55935865788015 2.223150130055808 1.965233663323938 1.556058094518656 2.319337138036988 2.283892566490033 2.746463570782995 1.449312698703675 2.207316200091752
