(pearson)
=====================================================
 #  	||  ref		trmf
=====================================================
10 	|| 	100		-41
20 	|| 	100		-39
30 	|| 	100		-37
40 	|| 	100		-40
50 	|| 	100		-40
60 	|| 	100		-41
70 	|| 	100		-39
80 	|| 	100		-38
90 	|| 	100		-40
100 	|| 	100		-41
=====================================================


(spearman)
=====================================================
 #  	||  ref		trmf
=====================================================
10 	|| 	100		-27
20 	|| 	100		-25
30 	|| 	100		-20
40 	|| 	100		-23
50 	|| 	100		-25
60 	|| 	100		-27
70 	|| 	100		-26
80 	|| 	100		-25
90 	|| 	100		-27
100 	|| 	100		-28
=====================================================
=====================================================

