1	-1.188784111032962 -1.195965126821156 -1.156718474287039 -1.156063166582854 -1.203911762970698 -1.198403783193115 -1.229528244906326 -1.110498975048621 -1.010342374389629 -1.09458126305945 -1.323490192619678 -1.282473529540599 0.4069910971034101 0.5570587389301462 0.1548130978525995 0.408601169218132 -1.670601878690675 0.431344497042185 -1.32007539869024 -1.327315824864798
2	-1.197830868149597 -1.203062549848184 -1.181915529405636 -1.161980226871907 -1.193672157654914 -1.184466645789156 -1.129995474927203 -1.093780627109956 -1.077540222115886 -1.087986437115322 -1.166589549500004 -1.140573582294649 0.03564311443213617 0.208207007429444 0.05941188723641924 0.230777819395904 -0.5586818336465009 0.2111985294855107 -1.145374872311203 -1.159029233140097
3	-1.236342096666321 -1.226224555990581 -1.236611262042859 -1.202264919833905 -1.229033923200947 -1.208926005022703 -1.149982899099282 -1.15299381830486 -1.185501265078178 -1.154177616893799 -1.146217659767564 -1.136277507492441 0.01518813862871778 0.1849098303914155 0.2088971056347688 0.3330683351341175 0.2031199861778777 0.2842970919012713 -1.126972347665702 -1.136361397514102
4	-1.219729916759189 -1.221156718020611 -1.216303974233837 -1.181994906927253 -1.203275601746419 -1.189857666867734 -1.082173902188381 -1.102776313289582 -1.145836713811323 -1.104295318056114 -1.077214477676848 -1.0628887520552 -0.1931899673585196 -0.006053471674464844 0.02788018313594162 0.1423813508504172 0.2443929640091012 0.09186945211527518 -1.045356885983457 -1.062278104110846
5	-1.254556362213094 -1.271029532756938 -1.244768343417839 -1.210652881767015 -1.227354159191263 -1.222223339989301 -1.054771811421379 -1.091386470399224 -1.142382426194954 -1.09248856164271 -1.053249755634361 -1.031271893016934 -0.4357470314230629 -0.2195819159554548 -0.1942843120731843 -0.07936563080593101 0.20793519397167 -0.1306314851605584 -1.005345816933733 -1.032134000617612
6	-1.20152103640486 -1.215004404601327 -1.194851447566873 -1.159851758601754 -1.174706577249603 -1.168187017617681 -1.005989272704402 -1.048332416449268 -1.10575817143566 -1.050601907899032 -0.9975151291624627 -0.979184476169119 -0.4267056074991575 -0.2205452223830433 -0.1661851068801226 -0.06520490619850625 0.3314360808110799 -0.1191709700804292 -0.9517265815912473 -0.9768030070977174
7	-1.15549453688644 -1.156268707437754 -1.157827367978256 -1.118721213451721 -1.133175504395916 -1.119273660796751 -0.9873994315824292 -1.03575116579011 -1.105642968292785 -1.040701354948194 -0.9628013647835405 -0.9544302428828737 -0.3132115494081203 -0.1284308817929998 -0.008355251255066688 0.07115647103130844 0.6170231928008428 0.008731088890167224 -0.9264129951149039 -0.94469334574667
8	-1.134572012179245 -1.130807117338835 -1.139163762161431 -1.099905457738834 -1.115206216650433 -1.098875361762386 -0.9840108556482393 -1.029108229398124 -1.097979134152241 -1.034377344595249 -0.9572529420756569 -0.9515976203286042 -0.2468167584929716 -0.07187492233981592 0.05568406003640955 0.1323713915905688 0.6485874858410231 0.06974549223094739 -0.9255636492984141 -0.9408848903395725
9	-1.081720914021304 -1.080657513941128 -1.086973247836877 -1.047370678412639 -1.058951145594826 -1.044530911507475 -0.9138917843820183 -0.9701209924880164 -1.047523130602575 -0.9763298051444899 -0.8818402742275907 -0.877007782741523 -0.3255773110543332 -0.1517574254416897 -0.0001110856292013838 0.06201751471431528 0.7497886522054985 -0.002832971633872927 -0.8466244918213183 -0.8637555779059459
10	-1.039210801478032 -1.041995160537434 -1.046711939358465 -1.003993676805299 -1.009328971977542 -0.9970252634735631 -0.8328614132743845 -0.9130905243473173 -1.011395740832544 -0.9215855967716974 -0.7880034910557827 -0.7852527536992628 -0.4784661984603056 -0.2990967118699293 -0.08950219875850646 -0.05256419993803044 1.000133806573582 -0.1257139520419953 -0.7451868356488363 -0.7660034295039385
