1	0.8133093228434852 0.5553325226252211 0.2385776403375732 0.1162186870488707 0.09654476582045449 0.03156436497116289 -0.2555950088061527 -0.09867323878147105 -0.1052566826930555 -0.1101895429127833 -0.1786876523423755 -0.1422407234225306 -0.06903740054916864 -0.1491810790341273 -0.3934900431784026 -0.2946063977224753 -0.2936228507489744 -0.4082487267529762 -0.4903035201348027 -0.5726182748211478 -0.5675209872289473 -0.5881500005146348 -0.799865186714343 -0.7772846916902006 -0.9186222057370664 -1.011672469566626 -1.20149433310919 -1.223298413658776 -1.228250765281452 -1.323849525418442 -1.627303645115294 -1.437272542409082 -1.419356887082174 -1.256502063889585 -1.140509271509055 -0.6486180972999093 -0.1385510721595191 0.316767281219532 0.7811415872561527 1.402334809437428 2.03717552200542 2.601121318891106 2.962380745834154 3.700867901190128 4.053665568526546 4.309115715601215 4.251590914487275 4.251566212392603
2	2.183386937530966 1.930552923892787 1.551883043627841 1.229107710973661 0.9758937392748529 0.7701129654868701 0.5588352230091219 0.4338280643023585 0.3236762787695112 0.2267948132978508 0.131276731602269 0.07273106697766828 0.03450061739521023 -0.08385254497069913 -0.2151156460999789 -0.2617855873646724 -0.3268387337539226 -0.4391677479362841 -0.4792564493095123 -0.587213898854414 -0.6066456811065664 -0.7129348663096448 -0.8254396137428188 -0.8181220691453585 -0.8906805214662081 -0.9324203318030455 -1.014193696236678 -1.06659306248774 -1.067015292959823 -1.128484884581697 -1.276902577107912 -1.167817338634965 -1.150800615151962 -0.9366553623750657 -0.806338899441387 -0.4760726469357773 -0.1556058859993147 0.1188833963615684 0.3528624231805285 0.6332872534106074 0.9864368581243309 1.194799893512195 1.278995657935183 1.52031429883329 1.658164377953437 1.698613353113584 1.566126865563249 1.423087697059646
3	1.34162913146483 1.269073979234299 1.03524705288021 0.898162352162682 0.8243424850608114 0.7554027458540576 0.716654999513159 0.6842458756432011 0.6183128774783027 0.5537815964843201 0.4819644568919391 0.4492566272839997 0.415940892872701 0.3140975075922332 0.2268212527089955 0.1693476213503964 0.107220173610569 -0.001498888783351198 -0.02058056284479341 -0.1208351414100909 -0.1335544125503355 -0.2590400027175279 -0.3613840925648699 -0.3137188061304396 -0.356671573755708 -0.3639443871681416 -0.4280544025745368 -0.4841843927787932 -0.5007918590712603 -0.6085392364094278 -0.8398014290324738 -0.8117157208129291 -0.9791115241328087 -0.9582044239895349 -1.12142937315738 -1.010900953608206 -0.9613995052114501 -0.9134991284300827 -0.9913885591888163 -0.9090946882134679 -0.7067035754776601 -0.7508749086653596 -0.9248179826128461 -0.8343069531568702 -0.7607832141402004 -0.7560516049541844 -0.9359874285529872 -1.038482307738835
4	-0.05653423721708071 -0.1913854881989613 -0.2121660962653413 -0.286636949944699 -0.3764911650533251 -0.4464280702780448 -0.6016555774098941 -0.6209761061365567 -0.614183433330119 -0.5992480546258865 -0.5851298998296091 -0.5773589914887867 -0.5471574378297874 -0.5114944066555266 -0.5349183184808974 -0.4736928869841077 -0.4375800611508965 -0.3945520654080264 -0.4132593219243051 -0.3725113421621559 -0.3687041835117817 -0.2814952006281862 -0.2649288812543535 -0.3195898619132537 -0.3408094539805437 -0.3786313272924213 -0.3869949912130238 -0.3538453997581517 -0.3327080853094989 -0.2502274986507591 -0.1032469796735693 -0.02633881895350701 0.2147124129877217 0.3733250839960079 0.7097476889553871 0.8930207157557936 1.154571413345338 1.374563584556128 1.735819766522657 1.944201886916595 2.046747144694352 2.362050702035221 2.72393801633325 2.914041629205222 2.980640791437663 3.050631301564727 3.185176373009253 3.218270401840984
5	-0.4427137783969063 -0.1852621820032968 0.1084873090548553 0.1794211154604791 0.1423797627943581 0.1723730164016713 0.4769507750373735 0.2530290220660249 0.2328962928080089 0.2138243566651341 0.2732383627407494 0.2133063659803893 0.1125900168712196 0.1797649497858465 0.4474423235455917 0.3119481706770868 0.2929578231686437 0.4037806712994016 0.4950760725210001 0.5673837340099118 0.5560507307285074 0.5513682916651608 0.7823715260593129 0.7583800147636119 0.9143614687301042 1.019412334999321 1.232185589209013 1.244515329308331 1.249760117217697 1.348754789032436 1.678839445538919 1.470369586557337 1.444312256654387 1.293095317584457 1.171994396429428 0.6450939800731885 0.09065206383093694 -0.4067523210918032 -0.9304801295505789 -1.629806292499481 -2.323752334521322 -2.974750701737555 -3.409845659481539 -4.262608280219345 -4.663425095239839 -4.969482915660534 -4.93712541058041 -4.974586421861853
6	1.972295452483341 1.644206893721164 1.183312544054196 0.8984025640619647 0.7309001244448128 0.5604991448819536 0.2408737420678452 0.2712730603602949 0.1952714866736389 0.1281407453067996 0.01788754299205016 0.004784320902069102 0.02801886195273899 -0.107096254269807 -0.3585424331733202 -0.32596857414007 -0.3706273168877134 -0.5265065807645405 -0.607325539253307 -0.7377665180120353 -0.7470900547494833 -0.8382460010250272 -1.058965386837387 -1.03323860408504 -1.17578072437243 -1.263408263013801 -1.446754001578323 -1.498793923128 -1.50457486310994 -1.618458180443051 -1.938671608545214 -1.744364194855206 -1.744677305114633 -1.509739663162456 -1.378615094006248 -0.8433277503674584 -0.309418686609943 0.1610669956748722 0.5979347648540206 1.188398030115788 1.845440913818644 2.33941010205281 2.608480532465554 3.256950213301704 3.583619204081828 3.779873175833787 3.641653201808838 3.546487934031421
7	2.654509318584602 2.365410112366118 1.821970737452019 1.498466766842029 1.318678459218576 1.139559974508707 0.8896435182158482 0.8830259675142186 0.7671347051534836 0.6581383404080816 0.5117142544154636 0.4713708285036347 0.4543669657497604 0.2604646083085979 0.00239662851678526 -0.03310891848189207 -0.1257508213232169 -0.3414902266370797 -0.415125088499896 -0.6046779135592293 -0.6234518452118414 -0.8125293713352281 -1.06622917465568 -0.9988247325861477 -1.138365562426804 -1.204202286568861 -1.393593963011445 -1.485677360542981 -1.507080168463254 -1.695506836385629 -2.151281391936096 -1.993590325024557 -2.170500811939045 -1.997807740305393 -2.085670685480872 -1.617974543884843 -1.214815268697963 -0.8546431092461062 -0.647643107249425 -0.1690094487814814 0.4778531328085394 0.7609288186470273 0.7592236154913017 1.288472570579972 1.58357218442493 1.721634004712703 1.444306569537943 1.278519123191224
8	0.5694472085550967 0.4080847496506695 0.3327187489353925 0.1631860478399141 -0.02641093295049156 -0.1619075881583384 -0.3184543025264464 -0.4383634132279193 -0.4738139872991263 -0.4959568782295397 -0.4984418203638197 -0.5255032245367796 -0.5325890421280238 -0.5182837050366342 -0.5190276966792073 -0.505371990445961 -0.4945005530186717 -0.4592841662745479 -0.4691736338146441 -0.4446995329745074 -0.4502088078101751 -0.3961749182343724 -0.3580309213097878 -0.4189239764725906 -0.4259504121152096 -0.4529066830117082 -0.4350903217472601 -0.4150223195991196 -0.3916874181049517 -0.3008931365700509 -0.1130464267845085 -0.04869373369241433 0.202898927548302 0.4031442013915799 0.768835907173622 0.9383838011748369 1.179551767791324 1.376144267447425 1.700204336830233 1.83506867055451 1.885164391422109 2.119879205621456 2.41635758266097 2.479593968915991 2.493782998874892 2.502642034435432 2.606816624635065 2.583313536292548
9	0.5720569845861055 0.6237114657726387 0.3622054176950813 0.4723115061538179 0.7358174308517297 0.8770136876159806 0.9257869974231868 1.219256831582628 1.227118920329646 1.213812497130245 1.116946263864515 1.164683319102753 1.202076991138434 1.045056752458208 0.8130075695821939 0.8133186681704293 0.7479324417598487 0.5253860647473702 0.4721057443440276 0.2969502456941209 0.3004950042480042 0.09663190943820338 -0.1927431535706392 -0.03434652263410162 -0.1513134429210865 -0.1732393733644894 -0.3830248391149509 -0.4756294365135034 -0.5325396438305151 -0.838873440303292 -1.551348901122532 -1.512891912073784 -2.068817605061177 -2.292939358057631 -2.978803739820629 -2.855871926716884 -2.89234955700841 -2.889299111260486 -3.198905339706545 -2.947865160197427 -2.447869868522995 -2.506941033157619 -2.911401069663217 -2.448066968964997 -2.175697618524528 -2.01267625281235 -2.37099920776723 -2.407261679713289
10	2.737811646913849 2.44897416383607 2.088602404551831 1.627907859353761 1.185688425954844 0.8662976304887552 0.6506472812083888 0.3210245423196983 0.1590324770649473 0.02212526621922653 -0.06412193709820091 -0.1781842814726407 -0.2733561147075061 -0.3712405117033448 -0.4035376883843495 -0.5101354339069056 -0.5872441092540318 -0.6439749072214036 -0.6561250261228952 -0.7325823051629506 -0.7641795673038365 -0.8533757967796831 -0.8537842057427111 -0.8978252229459422 -0.9165709739292818 -0.9360950424164804 -0.9228206123886483 -0.9646514993313663 -0.9467855803461035 -0.9114544366159802 -0.8063200002205019 -0.7294923262894786 -0.5491632259096734 -0.2306656392370021 0.1169348966612157 0.3795238428830296 0.6672230728920163 0.8966037598572778 1.154041538122451 1.256473727401964 1.388191608824511 1.496805737933262 1.600721466301148 1.538844368110773 1.527635671047807 1.442068545065373 1.373431311063541 1.173369203479027
11	0.5647216496674871 0.3785397052750338 0.1897985294757212 0.07881718620690456 0.01687632156384322 -0.05506185247499025 -0.2572662987586862 -0.2030010287408775 -0.2143471294683537 -0.2210621503599146 -0.2572163329643029 -0.2434973187170885 -0.203716548869259 -0.2405161928644935 -0.3731510349753983 -0.3124013105155357 -0.3065788896568935 -0.3563455443338588 -0.4039827391321367 -0.4391658773705392 -0.4374466006848208 -0.4291558736453305 -0.5321747338519474 -0.5385667458814218 -0.6174318793021675 -0.6764152734680955 -0.7743959330579704 -0.7788240958790259 -0.7743805818056834 -0.7979026914363583 -0.904885541854018 -0.7822643206913755 -0.695212683238661 -0.5489632254798258 -0.3753744357697801 -0.05847137659176752 0.2909392991758492 0.5974262025488776 0.9494573817004341 1.329270431202872 1.688415206098407 2.069204732245192 2.359638021007658 2.783956130049487 2.981060043654507 3.125095110269679 3.129035450332249 3.126003030302953
