1	-1.356018418275889 -1.038364739114851 -1.041565520500957 -0.8474842484144454 -1.330512693255552 -1.067141986054488 -1.11176577343571 -0.9498352847449697 -1.335985317458266 -0.5868622058819751
2	-1.356216348285233 -1.034618096782219 -1.03765429596896 -0.8471830056581997 -1.331147258523421 -1.063042191885425 -1.107318788803449 -0.9500174937337115 -1.335590968942182 -0.5861314534490434
3	-1.356724495967278 -1.032889027564396 -1.035988529796246 -0.8493362470212652 -1.332033421671333 -1.061449638104839 -1.104990019533671 -0.9523423659955573 -1.335443653967468 -0.5881846273273834
4	-1.35878504840818 -1.033027059166484 -1.035998576566053 -0.8494883670202366 -1.334147633112499 -1.06134789957665 -1.105091016286232 -0.9528805106686836 -1.337411290096486 -0.5876965218514562
5	-1.358768079978433 -1.032909048665341 -1.035596268258636 -0.8456567144813159 -1.333869473925745 -1.060630169859741 -1.105396901992268 -0.9492838102320784 -1.337982822627783 -0.5834698889803945
6	-1.360523822518868 -1.032599837649999 -1.035355290621648 -0.8483995744331644 -1.335910016292571 -1.060489266407824 -1.104668309806532 -0.9522507702203938 -1.339173076575736 -0.5858950465120825
7	-1.362285484476553 -1.035070027379404 -1.03801873339573 -0.8515509835049649 -1.337650250956771 -1.063398109621397 -1.107213662306514 -0.955287215959032 -1.340772451519672 -0.5890166920637097
8	-1.364896761924979 -1.036435082465815 -1.039479685108092 -0.8547012828634839 -1.340398005550594 -1.065006157280641 -1.10841932149484 -0.9586176932443465 -1.342997479164378 -0.5917629469080886
9	-1.362067558477944 -1.040041135637162 -1.043601430166346 -0.8573467881295748 -1.337241498128145 -1.06966717725193 -1.112484131394504 -0.960133741056815 -1.340482657516533 -0.5959170401160629
10	-1.362596647176402 -1.043721809936684 -1.04694436480436 -0.851531050055728 -1.336923934523323 -1.072652602279541 -1.1175488353459 -0.9543459966396829 -1.342530466537649 -0.5896667042549782
11	-1.364681399818467 -1.115988300762372 -1.121268414666425 -0.847746268902663 -1.330068371047152 -1.149461588488472 -1.20430954258641 -0.9429757904229448 -1.357297230969703 -0.5912763553109233
