1	0.01735048307178807 0.01593476218363993 0.0136891769412364 0.01246433219470068 0.01046691621230568 0.009724739367998791 0.007531518785913965 0.006692702552478648 0.002470440160345442 0.002122638506678725 0.0009182228048496753 -4.002364160101339e-05 -0.0004574997118710248 -0.0005464427901169779 0.001719835564890475 0.001228362330173969 0.0004020692501988287 -0.0004119146003753853 -0.0009013537580180115 -0.001008675341647432 -0.0009507696819103755 -0.0002784551559331316 0.000560371606942971 0.001610719787174932 0.001029212815045678 0.0004920344051040654 0.005777099491850827 0.004070989311097341 0.003635096971684573 0.001305497121059941 0.0008186229479428934 0.0009830097230118348 0.00130561759995231 0.001666633165148638 0.001542560722592116 0.001056446643611866 0.0002691511851042293 0.0001074770540187662 -0.0009928774907070599 0.001164211889804721 -0.0001710197888987483 -0.0007909467497427019 -0.0006195589679905432 0.0007629941180142268 0.000223628383472519 0.000583862553712996 0.000966498155249456 0.0004532363247744041 0.0001807161854729215 0.0004384627816062292
2	0.01575334297980059 0.01446551934818469 0.01243361143706928 0.01132653447933816 0.009517103412942467 0.008846198388357443 0.00686304657239264 0.006105515382587282 0.002298454798900513 0.001980988754885171 0.0008883693762505243 1.418958242592899e-05 -0.000377998383512018 -0.0004685350251686425 0.001618389516766826 0.001171455150549516 0.00041855270461282 -0.0003230590843644283 -0.0007775734689526468 -0.0008832750454085065 -0.0008403162279120194 -0.0002410219764964564 0.0005083929592684377 0.001452211363321628 0.0009307739674168121 0.0004484061225640979 0.005275691641522821 0.003726330001448183 0.00332906747935432 0.001214079373099933 0.0007608105313578317 0.0008987984867796978 0.001185012336816888 0.001507910950997847 0.001395917135903654 0.0009572506107193592 0.0002453883369759749 9.866249887647486e-05 -0.0008535401527404763 0.00111259795459158 -0.0001105125717401014 -0.0006718169925220229 -0.0005408691909747471 0.0006913294635222089 0.0002065513322517354 0.0005301620725135706 0.0008733201283284245 0.000413593699466411 0.0001656566886861986 0.0003996218825892062
3	0.01415620320007468 0.01299627518838808 0.01117804472951775 0.0101887355409045 0.008567289504378083 0.007967656323141963 0.006194573354979128 0.005518327413806172 0.002126469330642997 0.001839338946572122 0.0008585159071151558 6.840275005592206e-05 -0.0002984971555991928 -0.0003906273619020116 0.001516943169190432 0.00111454759251081 0.0004350356803755816 -0.0002342041970966027 -0.0006537939799175377 -0.0007578756235736058 -0.0007298637219472083 -0.0002035897052731205 0.0004564135211532253 0.001293702400210035 0.0008323349456318737 0.0004047777431842879 0.004774282871446661 0.00338166970197797 0.00302303699568566 0.001122660667535772 0.0007029971192357622 0.0008145863699275244 0.001064406353345676 0.00134918826901149 0.001249273266157895 0.0008580544238056506 0.0002216253476731312 8.984790629969375e-05 -0.0007142035950878646 0.001060983642285002 -5.000580477914698e-05 -0.0005526879286731586 -0.0004621801030861399 0.0006196644904970805 0.0001894738463527805 0.0004764614834613675 0.0007801416538620484 0.0003739509759807129 0.0001505971305080882 0.000360780896048179
4	0.01255902958216048 0.01152700484434145 0.009922455990193839 0.009050917148496688 0.007617459734684266 0.007089099845267479 0.005526089947157381 0.00493113036839093 0.001954481680525045 0.001697687393917031 0.0008286629622886369 0.0001226181445545373 -0.0002189932875417159 -0.0003127172687404266 0.001415496714703053 0.001057641075670642 0.0004515214686301084 -0.0001453445905467496 -0.0005300087102606549 -0.0006324703106042189 -0.0006194055827673758 -0.0001661536333023639 0.0004044354529173313 0.00113519165440238 0.0007338943684334949 0.0003611487965072688 0.004272867192086166 0.003037005930677356 0.002717003812238895 0.001031243577906885 0.0006451859243229247 0.0007303753623888674 0.0009438001098164455 0.001190463670251124 0.001102627168393641 0.0007588566359910016 0.0001978623251109089 8.103326818987339e-05 -0.0005748608654780969 0.001009370464689922 1.050443086313055e-05 -0.0004335534079361568 -0.000383486860869591 0.0005479990021069059 0.0001723974196600756 0.0004227601238934666 0.0006869625691104539 0.0003343077790474505 0.0001355374816396657 0.0003219394092335377
5	0.01096189233818501 0.01005776314335153 0.00866689144375765 0.007913120224431178 0.006667647561681938 0.006210559422912211 0.004857618094041586 0.004343943647760033 0.001782496945615572 0.001556038252137923 0.0007988099862634378 0.0001768316383247988 -0.0001394918762323973 -0.0002348094983984185 0.001314051016316875 0.001000734096789358 0.0004680048932220775 -5.648937771140316e-05 -0.0004062290180427678 -0.0005070707481652593 -0.0005089529832113469 -0.00012872124477136 0.0003524561665025734 0.0009766829118074835 0.0006354554905541048 0.0003175205093608212 0.00377145955546514 0.002692346516923078 0.00241097414033687 0.0009398253378911826 0.0005873728366793819 0.0006461635110162936 0.0008231943816726995 0.001031741242508635 0.0009559835221089918 0.0006596606065092365 0.0001740993948977793 7.221870186050055e-05 -0.0004355240738000964 0.0009577567179820504 7.10115029036299e-05 -0.0003144240985599294 -0.0003047976620997211 0.000476334161375087 0.0001553200288010675 0.000369059631162306 0.000593784250680458 0.0002946651448629982 0.000120477965912347 0.0002830985052356157
6	0.009364754167842708 0.008588522792238764 0.00741132797716714 0.006775324315974072 0.005717836208135989 0.005332019736085185 0.004189146726494984 0.003756757062584899 0.001610510882737436 0.001414387768204696 0.0007689556589885754 0.0002310439345568506 -5.999126041803177e-05 -0.0001569022727533808 0.001212604231507161 0.0009438261685362316 0.000484487593250674 3.236539832803267e-05 -0.0002824492654089831 -0.000381670815199269 -0.0003984996746637236 -9.128793935278366e-05 0.0003004779232529136 0.000818175095939151 0.0005370169068192669 0.0002738922943599434 0.003270052204081944 0.002347687539382875 0.002104944957195596 0.0008484076062957372 0.0005295606048011349 0.0005619526419346233 0.0007025895822586403 0.0008730195206504045 0.0008093403234041483 0.0005604647995262483 0.000150336618697745 6.340415488141903e-05 -0.0002961874249608267 0.0009061420374636199 0.0001315180495401124 -0.000195295012617202 -0.0002261080757966794 0.0004046697571997056 0.0001382431201794831 0.0003153592633087306 0.0005006066042204315 0.0002550225753040511 0.0001054184866675501 0.0002442576662203912
7	0.007767596988709899 0.00711926512240397 0.006155749970056952 0.005637515456240388 0.004768014270914325 0.004453470418518171 0.00352066851530001 0.003169564718334085 0.001438524873017376 0.001272737626473692 0.0007391030331993983 0.0002852587774782219 1.951171672864003e-05 -7.899307113683136e-05 0.001111158422267656 0.000886919730903925 0.0005009725710401511 0.0001212232394717916 -0.0001586663852957544 -0.0002562680331841984 -0.000288044043155142 -5.385360145598382e-05 0.0002484991750350522 0.0006596651012485177 0.0004385770439023367 0.0002302636394036521 0.002768640187354437 0.002003025757102881 0.001798913372076403 0.0007569900211416184 0.0004717485040645425 0.0004777411498461666 0.0005819834510436303 0.0007142957908896579 0.0006626952551668872 0.0004612677667311084 0.000126573621053067 5.458954972081979e-05 -0.0001568471997862846 0.0008545288872492044 0.0001920270647007226 -7.616266487408422e-05 -0.0001474166329354905 0.000333004499864296 0.0001211662101229007 0.0002616582770072605 0.000407427765706328 0.0002153796288433843 9.035889758070035e-05 0.0002054164371858279
8	0.006170450784792786 0.005650017139735059 0.00490018009479735 0.004499713824257344 0.003818198233603947 0.003574926465358531 0.002852194103576348 0.00258237559972385 0.001266538947910528 0.001131087408841846 0.0007092495562549254 0.0003394722707443271 9.901341015119837e-05 -1.084956095641384e-06 0.001009712134801203 0.0008300125025274464 0.0005174562804576017 0.0002100793252863749 -3.488535370298956e-05 -0.0001308669741510923 -0.0001775898700494269 -1.642000053590541e-05 0.0001965205653267909 0.0005011562300385466 0.0003401378733539545 0.0001866352227207192 0.002267230748841122 0.001658365470509227 0.001492883047415556 0.0006655722398554994 0.0004139361813519054 0.0003935298631895345 0.0004613779464309743 0.0005555731121168067 0.0005160511952480455 0.0003620714037677126 0.0001028107261688739 4.577497348052794e-05 -1.750905969883491e-05 0.000802914922258344 0.0002525346860216319 4.296779099803061e-05 -6.872633446739278e-05 0.0002613396683103449 0.0001040892267030555 0.0002079576254230604 0.0003142495162221897 0.0001757368852054405 7.529936373319063e-05 0.0001665754191707464
9	0.004573302449492489 0.004180765921039682 0.003644607522465344 0.003361909748244363 0.002868380194722955 0.002696380689334549 0.00218371839513911 0.001995185537203714 0.001094553716746938 0.0009894379373131968 0.0006793970207490085 0.0003936867410580774 0.0001785158401349322 7.682371030837484e-05 0.0009082665257520335 0.0007731059453189514 0.0005339406437456821 0.0002989360102336514 8.889600972130855e-05 -5.465791249607333e-06 -6.713583029456823e-05 2.101318205982171e-05 0.0001445412677243445 0.000342646521565948 0.0002416983550251111 0.0001430066983273528 0.001765820429261999 0.001313704476322865 0.00118685204352312 0.0005741541266507801 0.000356123339117071 0.0003093178960459812 0.0003407717051421786 0.0003968497420263972 0.000369406615219654 0.0002628747398100394 7.904770709249724e-05 3.696037564788113e-05 0.0001218295829869541 0.0007513016259183001 0.0003130428859071605 0.0001620987557387401 9.963957453035345e-06 0.0001896744606690759 8.701195135786531e-05 0.0001542568126638922 0.0002210707085359921 0.0001360940464527224 6.023978997836213e-05 0.0001277343049827907
10	0.00297615873600639 0.002711521828670408 0.002389040951024039 0.002224111164667856 0.001918566710058667 0.001817839100856408 0.001515245789552099 0.001407997827722132 0.0009225674395173733 0.0008477872885562731 0.0006495428889088004 0.0004478995043346998 0.0002580169815811878 0.0001547314109180281 0.0008068199302536924 0.000716198417322756 0.0005504240590467679 0.0003877918561047375 0.000212677045048918 0.0001199354537408821 4.331875778361392e-05 5.844743900246594e-05 9.256352253128774e-05 0.0001841385915257827 0.0001432595764276438 9.93784293521065e-05 0.00126441234684273 0.0009690453438399793 0.0008808228272828453 0.0004827370432789937 0.0002983118454979615 0.0002251075268261561 0.0002201671173114808 0.000238127868024582 0.0002227631503875366 0.0001636787266618697 5.528497714540415e-05 2.814583647570777e-05 0.0002611675830459713 0.0006996873591200091 0.000373550227654275 0.0002812290445517171 8.865449225347276e-05 0.0001180100835683223 6.993537234660219e-05 0.0001005563592204896 0.0001278931144859366 9.645143919425401e-05 4.518032062154266e-05 8.889341921308291e-05
11	0.001076937820836437 0.0008836827314062933 0.0008212073653425071 0.0007948195502831047 0.0007190634165212321 0.0007040055187130404 0.0006547015349867097 0.0006539313925035913 0.0006925182225629202 0.0006572137583870509 0.0005935160053434304 0.0004932459432742553 0.0003358269658595009 0.0002338209856080685 0.0006511253891026858 0.0006101469569906073 0.0005281884677806103 0.0004455911956676427 0.0003070573211834157 0.0002152431976748297 0.0001201789390689397 5.347068822914327e-05 -9.607609103549418e-06 -2.978672846054678e-05 1.765014045697406e-05 4.161548653527995e-05 0.0006065871721997488 0.0004957221194439951 0.0004542381747501607 0.0003151279537650752 0.000172806709403161 7.750869525160244e-05 3.926505066532087e-05 2.591802846526848e-05 3.416293576878915e-05 3.759788251055013e-05 1.931548079904595e-05 1.532478550058778e-05 0.0003728264815743192 0.0006002529471700414 0.0004084427583510298 0.0003735944595945753 0.0001409481960889125 1.644697059275279e-05 2.63076531531796e-05 3.069807907627811e-05 -5.065590432025318e-06 4.326198219048166e-05 2.349449200748799e-05 3.738973550839141e-05
12	-0.0006305821785949029 -0.0006888257926319437 -0.0005204201077946756 -0.0004192105017500826 -0.0002925187484809268 -0.0002303642724837673 -5.226003606022042e-05 3.536692961499447e-05 0.0005272156705796497 0.0005238097779952722 0.0005799682799997479 0.000568181629353547 0.0004333547017180414 0.000326353146356932 0.0005616223969833046 0.0005679850764493329 0.0005635421161562399 0.0005573816757957334 0.0004526853167187105 0.000359782385837292 0.0002454593789887198 9.695295348984501e-05 -6.576365447396367e-05 -0.0002030169400687091 -8.894542642153585e-05 -4.52749599917623e-06 8.017510909732947e-05 0.0001367678787657182 0.0001360839517932568 0.0002265168670187788 0.0001163331435600155 -1.091711746278627e-05 -9.023704156535273e-05 -0.0001458405880696217 -0.0001243553794167905 -6.920717878578848e-05 -5.83113956638709e-06 6.24195312448137e-06 0.00053749930389439 0.0005635455725344643 0.0004879462138080963 0.0005161650659603899 0.0002319833443861594 -6.083934189840846e-05 8.983534109313103e-06 -2.676536992508563e-05 -0.000106362859134066 1.519171318742592e-06 7.888081156704707e-06 -3.677656930270114e-06
13	-0.002375673223657694 -0.002295347844271229 -0.001891452002868984 -0.001660145723804344 -0.001326844865252468 -0.001185970193631498 -0.0007759883828386222 -0.0005983287066681102 0.0003549195157005507 0.0003842016762706235 0.000562786535251028 0.0006416837291783899 0.0005307614852247889 0.0004192539334434677 0.0004667537983443625 0.0005215613627384894 0.0005965264915817574 0.0006686783127017204 0.0005992291400037184 0.0005057394603957028 0.0003723437853431539 0.000140914275853791 -0.0001229132710376324 -0.000379276499965637 -0.0001976073174423086 -5.175904423620711e-05 -0.0004594038174883321 -0.0002316393998113328 -0.0001905356621975693 0.0001344601894432124 5.781639443328719e-05 -0.0001014289455844058 -0.0002223604190590616 -0.0003209177453621423 -0.0002859920954828709 -0.0001781957819502041 -3.155343779360527e-05 -3.096158745097491e-06 0.0007030639705152386 0.0005227332199134304 0.0005665764632269048 0.0006592178112912551 0.0003238783043387267 -0.0001396481565128629 -8.817483281908526e-06 -8.546376051461365e-05 -0.0002095044009992326 -4.124060651664271e-05 -8.140730366830308e-06 -4.571590646607839e-05
14	-0.004177223895505643 -0.003952972701322948 -0.003306662628364275 -0.00294150481338147 -0.002395343274492608 -0.002173483279939129 -0.001524909777850541 -0.00125476161200158 0.0001721053016901508 0.0002352618255367865 0.0005401348436367577 0.0007130232645819663 0.000627980730518165 0.000512704557790174 0.0003638145078595917 0.0004687262159691373 0.0006259444704345323 0.0007792281496951128 0.000747147308877703 0.0006538272196088445 0.0005016406264537141 0.000185599302067864 -0.0001815507482091072 -0.0005600829882917118 -0.0003093724918596497 -0.0001006260301020136 -0.001018767743102847 -0.0006142504470449434 -0.0005298746514064788 3.722709057496497e-05 -3.76721922736001e-06 -0.0001950708046774068 -0.0003584180537916808 -0.0005009777071273594 -0.0004523121733455475 -0.0002904642413027296 -5.814006440318118e-05 -1.281782048111437e-05 0.0008699655887569515 0.0004757452356116375 0.0006438897583549162 0.0008029915660309878 0.0004170660143780523 -0.0002207425176266015 -2.733292964564916e-05 -0.0001460171965712275 -0.0003154137004743055 -8.552829395042381e-05 -2.480415388219906e-05 -8.921274949664641e-05
15	-0.006054122028771427 -0.005678791835685263 -0.004780828146394 -0.004276808259245724 -0.003509443840245106 -0.003203575991741109 -0.002307451619778694 -0.001941538568251387 -2.475036173417416e-05 7.386371117219776e-05 0.0005101784255002251 0.0007814722748614478 0.0007249464966855485 0.0006068866558928571 0.0002501001915741883 0.0004073306279656165 0.000650599276470989 0.0008887782483491708 0.0008968978294920124 0.0008047576358023146 0.000634157203658618 0.0002312513433818161 -0.0002421717642799005 -0.0007469551389923527 -0.0004252782843743303 -0.0001516754529720555 -0.001604535678916173 -0.001015817018448775 -0.0008861880654681217 -6.691428929260272e-05 -6.944272785901784e-05 -0.000292888105058574 -0.0004997241756677614 -0.0006876856559206343 -0.0006248811555190716 -0.0004071091723035604 -8.587989208463034e-05 -2.305134304438623e-05 0.001038648945431609 0.0004205115457039665 0.0007194425487041615 0.0009477249991418291 0.0005119786757222141 -0.0003048860512339831 -4.680101799259784e-05 -0.0002090459634804973 -0.0004250151090581297 -0.0001318549547020695 -4.231447149965208e-05 -0.0001346560373233765
