1	-1.160386429409717 -1.086635207757732 0.02712033632705305 0.636924595627581 -0.9319375770321415 -0.8669259117636241 -0.8886644991325203 -0.9652891718947403 0.6291111224272486 1.209959680050749
2	-1.362081852659244 -1.160675870989424 0.32664298336995 0.7636356598547127 -0.8813540872351711 -0.7438811918807277 -1.173917015151824 -0.937397562865205 0.9602243276631862 1.291820319103854
3	-1.341932309603654 -1.289633450341902 -0.05478744168686565 0.7459760913817612 -1.075482041787023 -1.026372554726132 -0.9376844640753937 -1.111285391167524 0.6338510628091981 1.375866391003431
4	-1.261880732337633 -1.400538481619728 -0.5406622541931992 0.741893351274299 -1.057795975544682 -1.152100718297749 -0.4183798886239159 -1.07375799789274 0.09071542228621127 1.217086295226598
5	-1.281312606878442 -1.454065000626314 -0.6329767543016879 0.7675396042540695 -1.048767485221946 -1.172887864136773 -0.3184710327644165 -1.063057967615012 -0.009592381114006192 1.191143505030829
6	-1.482307254980993 -1.826185331934513 -1.10573071833831 0.9035760136560796 -1.318375931349816 -1.560359607355324 -0.07065150824820346 -1.319042556794779 -0.3656832828912912 1.38531492133135
7	-1.677552362777608 -1.985782504390434 -1.05608235642762 1.154153692594929 -0.7981046163918586 -1.101901679499149 0.2783998392980063 -0.828702086998708 -0.5150817379175131 0.9591961111760413
8	-1.7105776357468 -2.078250284969367 -1.21984084608731 1.226601613428044 -0.6540358072117656 -1.026957858547599 0.5587915239829295 -0.6859065872799177 -0.7506932072430091 0.7915782147254885
9	-1.512129839936937 -1.853876265734426 -1.116390576989265 1.035041736226982 -0.8214031956598495 -1.131470757612503 0.337236991441446 -0.8401182730492498 -0.5954277577437666 0.9205743002004441
10	-1.125092948726579 -1.166138926484855 -0.263518835555398 0.6101653507593314 -1.074406118983999 -1.076357023365384 -0.702366539403645 -1.09142138070618 0.3748533557223365 1.263320883591315
11	-1.162002978997256 -1.396507622166116 -0.7708689924689687 0.6564071294674468 -1.225545273967935 -1.362063901123431 -0.3081033174100047 -1.222756799823834 -0.09731519922225332 1.291406824722398
12	-0.9797130040385934 -0.7871852720452792 0.3646650216996997 0.4851037596200917 -0.8659866657678301 -0.6987214015325507 -1.163860419711549 -0.9027523428212545 0.9343066347989368 1.180807557707823
13	-1.190535590590396 -1.026625573255761 0.2435119310556009 0.7701421951633236 -0.320680841129946 -0.2703698414586615 -0.6213034946871867 -0.3834438147059139 0.5923872561128921 0.693164662916967
14	-1.103789990554144 -1.144723280421669 -0.2678357969756466 0.6716230658950969 -0.7246113840205471 -0.7712765355067673 -0.4144851951403082 -0.7521068005685226 0.209946508063334 0.9252909026163251
15	-0.9838150496604956 -0.6171149901182895 0.8020597368591424 0.5998022518930372 -0.1483301181679515 0.05821666452796052 -1.034652407059813 -0.2239527386325323 1.083500957369707 0.6106270200462766
16	-1.14866473955549 -1.083813050560853 0.009022522341213523 0.5994357134082999 -1.07295445646413 -0.9947723696559084 -0.9824674141039705 -1.100308423272553 0.6710691403022184 1.335716732924511
17	-0.9134636883577748 -0.8619699426899018 0.0101212761906049 0.4463993353421036 -0.9903939358055539 -0.9098699173104762 -0.8946454022445379 -1.007619687683776 0.5983527258722777 1.192737819471217
18	-1.172377195368087 -1.362736149250122 -0.6589624292838527 0.6679220111613797 -1.154462521988806 -1.26709390329713 -0.3664715039668119 -1.158334323677064 -0.007200483842783939 1.254612368461216
19	-1.718693074693731 -2.086032281397456 -1.211941285367125 1.152373743435902 -1.016693814988465 -1.341488264582564 0.2581564940672768 -1.037042871996043 -0.5782285630849572 1.139016106493222
20	-2.087554917569119 -2.460401352937364 -1.293006796020898 1.498560142923768 -0.6981564355541583 -1.107439869819272 0.5620965361137771 -0.7468790945091771 -0.7505255628000623 0.9196411827876967
21	-1.164564801881917 -1.435067393648812 -0.8765699302651567 0.7771163000825352 -0.7320812876634292 -0.9632311068243987 0.1968702403864984 -0.7425864396675587 -0.4319935725986566 0.7989910148913013
