1	-0.2652641846303621 -0.1910535545022978 -0.3075085134963148 -0.307118365748397 -0.3161487881702378 0.2983343592915413 0.3091583201226035 0.2905878804865052 -0.3330200712957285 -0.2237150341334143 -0.3703931443337002 -0.350894615875528 -0.3404295680815101 0.3723943657403555 0.3648764350559122 0.3040511474130073 -0.9974470769604555 -0.93513881190825 -1.008603294452271 -1.004460774610141 -1.008548897321089 0.9880485550057305 0.9982085307075652 0.9465259994506557 -0.9978521006994807 -0.9498665722268901 -1.003344704294101 -1.010844098566597 -1.005106081913334 1.00041913838724 1.000191784517378 0.9493793776971183 -0.9705321084437503 -0.9585476235745083 -0.9679002222657271 -0.8600711961262785 -0.7888022459431702 0.9693062235549559 0.9542825390733858 0.7316230756483184 -0.9667506854204257 -0.9323921386580589 -0.964926671425077 -0.853140607928034 -0.7421057949402038 0.9480755699893152 0.9406049321369735 0.6783940752670875 -0.993324932233476 -0.9631007117328062 -1.017300453109731 -1.000718216970697 -1.003105977176417 0.9799577938800854 0.9868344051053203 0.9480248910161726 -1.000407061212979 -0.9788068162729289 -1.019763886712993 -1.004561446451611 -0.9968336304770197 0.9900310959685638 0.9878367639603491 0.9404180128808617 -0.2239251120571144 -0.148298070161237 -0.270326128820806 -0.2729902134638511 -0.2936895372277527 0.279052540331882 0.2897493194313742 0.2914321747608063 -0.2736836552826092 -0.2091374046453273 -0.3193972552358625 -0.3130804110976529 -0.3171845736909654 0.3241150370457686 0.3217850748381925 0.2967729937125317 -0.9515272771760115 -0.9080436771046255 -0.982706214363834 -0.972262793038197 -0.9636490712608708 0.9291137351875314 0.9506426999938792 0.8881307182000615 -0.9990766562321775 -0.9727827926238437 -1.017813300644217 -1.033692606790313 -0.9874895113568414 0.9879664014611822 0.9920885001456924 0.9282065797510329 -0.971915554165149 -0.9322159993372252 -0.9466029888829027 -0.7723857116263013
2	-0.8898937205654939 -1.042874154276855 -0.8863419620824184 -0.8618908838815204 -0.6054275236096657 0.9577420644239391 0.7832784872178886 0.4027173846854462 -0.8628736002842092 -0.9954050940620011 -0.8990860535850133 -0.8942285636314631 -0.7501594612640695 0.9366504741560051 0.7235732290824587 0.3694700962025426 -0.97323709560728 -0.8591995509313247 -1.008562532619774 -1.131635385021172 -1.152850743228399 0.9870034589166384 0.9892193884363594 0.9272332183319555 -0.9866808309893046 -0.883968276037001 -1.010925686972556 -1.142747590729727 -1.157480090233719 1.000689072183536 0.9898370624160846 0.9177773762053743 -1.321407625207881 -1.26055816919256 -1.369276998339289 -1.495311952198874 -1.438219624644896 1.329578224551681 1.304575390110357 0.9985549455217893 -1.311753761183057 -1.271967554903618 -1.382742932994299 -1.50435943325531 -1.380181954290501 1.298059480766643 1.277096803309733 0.9251260345893912 -1.113098856568967 -1.05155474945294 -1.124082324773894 -1.220996730415954 -1.242970792409337 1.114800300903478 1.099723416919533 1.030623761549191 -1.113804594683659 -1.062077017961654 -1.122074748514317 -1.229221015340329 -1.247125061035304 1.113442663778232 1.092505749593598 0.9937291601547394 -0.8753998465680431 -0.9573214681806616 -0.8967997929977253 -0.8753680513752055 -0.7799358059418392 0.9741751582338889 0.854394254044384 0.5457720407387187 -0.922014284224125 -1.001872141651674 -0.9295012731729552 -0.8961621297198417 -0.7617626511106723 1.007216994732137 0.8888653434638305 0.5575961399946686 -0.9032093019827512 -0.8037930957947547 -0.9435574434967302 -1.034441479557507 -1.029560704665903 0.9252687056846888 0.9251820291799027 0.8093224758662925 -1.043799597790383 -0.9470219001696676 -1.086486096330408 -1.203954811884628 -1.176610569627802 1.060958332783921 1.054400604192646 0.931584091371882 -1.380255297498783 -1.296361344437055 -1.448553003794366 -1.500411842854518
3	1.781020703395463 1.633001660081691 1.767663775182796 1.759837606427138 1.527317601096393 -1.79295010903962 -1.712515325251262 -1.295620801164558 1.694848546145715 1.544880197386337 1.704166922608634 1.72605096335252 1.646473040735292 -1.7146589441372 -1.612569799788703 -1.241804402532895 0.0466618527721687 -0.0970429094546951 0.03920647858399525 0.2426718394394397 0.3479238473945883 -0.2340355585824594 -0.2424810001932528 -0.2418169144986565 0.01586937024958585 -0.1242168285197398 0.001135720489019716 0.2036427338835878 0.2691785737992599 -0.1990250250473542 -0.1999157259577008 -0.2291022575806667 0.4432603233990076 0.3280984473350146 0.4987517551544824 0.8990380990099262 0.9155982639213212 -0.4108808830386423 -0.3549512173316982 -0.3487365444434853 0.3781125300202611 0.159714556653157 0.4840283509619126 0.9636625278651827 0.934841882620312 -0.3556603993556002 -0.3190665620916497 -0.3009482078458339 0.4244840959407616 0.2389896135149587 0.3671805395290598 0.4866480796641307 0.5532253129537171 -0.5648112731250825 -0.5396952988688053 -0.5934765055028043 0.3826996969304625 0.1881906266618427 0.3216971099408492 0.4591097915630888 0.5337915709531447 -0.5212904425039085 -0.5039019029875332 -0.505874602404803 1.77690688323923 1.659537334254378 1.788873407630725 1.78673496321286 1.697491637216149 -1.785755638762131 -1.776237300315578 -1.493067947248694 1.777341709857544 1.637201101013964 1.76527369722136 1.760360475663027 1.662223048927578 -1.762126197196858 -1.755844292718453 -1.489846403127849 0.2326956849381004 0.02357579734202263 0.196357484630231 0.3136953822030948 0.4252258584023719 -0.3952559413115567 -0.3840654318667989 -0.4675709502084195 0.2609252656985334 0.1509585521339018 0.2474091123119829 0.5496763834232905 0.5001175373606978 -0.4347356013370622 -0.4339268006594806 -0.4769105766941219 0.4930943451696155 0.3982240397057512 0.6219300972721399 1.075044550254357
4	-0.8338307719532467 -1.052033043700962 -0.7985877393661778 -0.7717934500133141 -0.4768455516594417 0.8844584028455117 0.6826011361735564 0.2663157203939192 -0.752036391625942 -0.9734426925942061 -0.7646870954006931 -0.7742661187299608 -0.6214213319311878 0.8047803416466933 0.5733351533465432 0.2183951306311711 -0.3393043312177454 -0.2556136869881485 -0.3697168210425525 -0.5137377160027674 -0.5370456130264069 0.366656224552576 0.3618847542967782 0.3316583744944863 -0.3528960853526584 -0.2712508417107536 -0.3750809988941628 -0.5201521559570843 -0.542408411875288 0.3716238108811645 0.3598959833900318 0.3188182860459315 -0.7527695247722959 -0.6914322027276305 -0.8088604476531356 -1.037738992927144 -1.027734051687851 0.7617193087481698 0.7436722977209391 0.570549503250505 -0.7430795188135224 -0.7183324123652765 -0.825410936637582 -1.054598871399225 -0.9987580442168338 0.7410845369521023 0.7224909352968928 0.5275441322886519 -0.5067228044800609 -0.4559849578683198 -0.499581422267137 -0.6215918594770253 -0.6458765526578241 0.5223897169194397 0.5000732328774573 0.4541511852189802 -0.5011160567001012 -0.4545831292402693 -0.4942739433527793 -0.6270234905569788 -0.6544824857197981 0.5122748099948761 0.4903901101234247 0.4167033709354231 -0.848090853485758 -0.9901541141225551 -0.8379304096406724 -0.8123762883978484 -0.6898382430679482 0.9164350497566958 0.7767565614036492 0.4284581935839134 -0.8628364714076258 -0.9938624781957045 -0.8372125227231044 -0.8050823207903141 -0.651651659277358 0.9190280925502817 0.7905590947193235 0.4374396383826849 -0.3013449701706067 -0.2180525599971538 -0.321776166444131 -0.4326029734487065 -0.4367350864669283 0.3466371439088043 0.3304442489055105 0.2513802278213969 -0.4217253466005783 -0.3315599227731036 -0.4544947096899113 -0.5805032074520068 -0.5829174796086652 0.4536712114362536 0.4434240458516033 0.3565671006663748 -0.8178148607712673 -0.7520564515428249 -0.9150582942060211 -1.112624122187291
5	1.161881949559671 1.111101298384042 1.129900611507747 1.1227490616494 0.9366906457056751 -1.157950097702714 -1.082674037775531 -0.7738669038043329 1.064097069361186 1.028998717452444 1.053555122120241 1.078674371232722 1.017726466696322 -1.062737424258325 -0.9791606157067098 -0.7268343843993775 -0.4205850768558658 -0.4959464107654419 -0.4288641022468493 -0.2761139163354646 -0.2037856379994316 0.2848668372043076 0.2842493201160048 0.2621628550724601 -0.441033640635512 -0.5206052848990373 -0.4522181970093951 -0.3056243404940718 -0.2560637948706449 0.314575512458135 0.3147015800832153 0.2732279950171741 -0.1042136987586842 -0.1823521143788183 -0.06061768783277835 0.2836535499717321 0.3284578926882299 0.125312498560144 0.1580067068386622 0.06827313887840777 -0.148041022231878 -0.2840290235807948 -0.0681516016930009 0.3327654153671959 0.3619799750890811 0.1547345224783608 0.1777461315505364 0.07887560568434974 -0.1458887804628679 -0.2630423436787515 -0.1974044296005579 -0.09823187790057411 -0.05169483553582686 0.04156750045453331 0.06379793406343105 0.01145522043569023 -0.1785045410729965 -0.305698477145333 -0.2303395766346044 -0.1186721558613461 -0.06147427646637742 0.07713885422799649 0.08966707063822224 0.07094939392199144 1.179860322859476 1.145384499824801 1.165172715968327 1.160572405521904 1.080238342232215 -1.164530747926978 -1.142732184674608 -0.92139177256255 1.157415492950416 1.101131412953748 1.125359448257968 1.122666992071177 1.041903101453563 -1.126855095401882 -1.114334625566637 -0.9172641814084433 -0.273042614459737 -0.4025035524208725 -0.3115482455685664 -0.217592219189191 -0.1362433393058517 0.1469117452316941 0.1661058011071687 0.08431769536578133 -0.2676098210834306 -0.3374044714561163 -0.2835262650691243 -0.07351401716559811 -0.08541111580214268 0.1400950112777609 0.1433675616813948 0.08943778062625278 -0.06579303389730166 -0.116992245721372 0.04222577246492359 0.4524383167084657
6	-0.7601931533056533 -0.9712240290516908 -0.7148276345480473 -0.6904809851324758 -0.4106984442661132 0.796078507380744 0.6072924592262535 0.2174163649359751 -0.6613518555935916 -0.8859762777028808 -0.6616769028774524 -0.6774350931930145 -0.5392620528130856 0.6976068354336411 0.4867755193441258 0.1674210816912896 0.0004118020299985122 0.06387386198903462 -0.02306362091670272 -0.1643094106733597 -0.1894910867097555 0.03686170565641137 0.02988812355252113 0.01864789595272394 -0.01005290532224173 0.05579856183584871 -0.02750593442964396 -0.1660554630930301 -0.1912409880996353 0.03567353271023051 0.02526065412985243 0.005573714767142671 -0.3998910339417673 -0.3424802710331911 -0.4539705641262255 -0.7136829095922371 -0.7275389097810782 0.4066076452796192 0.3921051782561268 0.3049861060369453 -0.3889429298657415 -0.365871930308414 -0.4689753232172768 -0.7343432738583313 -0.7169273771579188 0.3917324634560868 0.3754239980246422 0.2802798393050539 -0.1709713921204388 -0.1250146701135252 -0.1541655861848788 -0.2750829878695678 -0.2996392449674282 0.1965118796513874 0.1730393281731184 0.1465914751417976 -0.1615646029787541 -0.1162521987587312 -0.1462575213243505 -0.2773318438033371 -0.3082812460314838 0.1820443930580627 0.1621608574013531 0.110724163569458 -0.7855248991177309 -0.930238316573178 -0.762724929026929 -0.7388482217027026 -0.6177716789223642 0.8303554823167031 0.7011509824742196 0.3730796106166088 -0.7834470920362675 -0.9136416338820996 -0.7457159374783822 -0.7185582663221189 -0.5743952248909139 0.8175533900568801 0.7025986671383595 0.3793281601075032 0.01058828183070302 0.08292396081535018 0.00376056644569838 -0.1051117041318955 -0.1173214722650992 0.04550466785756527 0.02374272608561894 -0.0235964547134329 -0.08431391699451848 -0.005703876048043877 -0.107250911301482 -0.23132953062993 -0.2451438185253621 0.1255290067144675 0.1150155984656784 0.05897859826236311 -0.4604758258936248 -0.4087030503244313 -0.5623388891910162 -0.8171722447166861
7	0.2085517767695344 0.2301315099256388 0.1715894191472443 0.1703054098201374 0.1098984937635031 -0.1841728284145545 -0.1581743986027621 -0.07668268525089822 0.1338412633417394 0.1832539780942213 0.1057785934481936 0.1267275733629056 0.1175816050626232 -0.1062595685794883 -0.09015103205469363 -0.05328925015358035 -0.7979977659095923 -0.7816073305645448 -0.809156259129669 -0.7580579326710283 -0.7360845028901722 0.745254074694823 0.7513567834068071 0.7094417930154663 -0.8059475430256773 -0.8002689058961007 -0.8142059813800125 -0.7727537523999315 -0.7524688062466983 0.7637939775320993 0.7632631168346325 0.7146872976691301 -0.6846652515043155 -0.7022406668711576 -0.6697040703138195 -0.4880674897649792 -0.4263820882030102 0.6916310352958353 0.6928656102051658 0.5126206780607945 -0.6973088215401305 -0.7222709776345816 -0.6710598657086971 -0.4669802112094524 -0.3836778826255349 0.6876519533217452 0.6902890074026219 0.4807468674207147 -0.7048761547736334 -0.7249036256661158 -0.7380612176329829 -0.6970496417402183 -0.6830969851920653 0.6602109299652333 0.6716082941074184 0.6267046536178342 -0.7206703546546358 -0.7498965144986163 -0.7510262081389651 -0.7068952943160406 -0.6828426667292925 0.6787916246053546 0.680993470248744 0.6413960942063103 0.240779075902152 0.2717901663887909 0.206323150375902 0.2039386383065914 0.1669408760836412 -0.1976414651879923 -0.188255693007754 -0.1220909691228441 0.2005353762958533 0.2171966359874775 0.1609764200179042 0.1652451209845087 0.1398370248134934 -0.1554878064207813 -0.1572820885842461 -0.1168957658742368 -0.715354684784922 -0.7300418522501949 -0.7495789911484101 -0.7139166447434734 -0.6799476933363451 0.6583209695779478 0.6782413362596206 0.6066137514806335 -0.7482522530256321 -0.7526888047266879 -0.7670293778201317 -0.7079282363754216 -0.682665940755295 0.6974682289873635 0.7008788055502388 0.6378888646956189 -0.674419501753568 -0.6646401627017118 -0.6238075999146135 -0.375389800778758
8	-0.8438034507644606 -0.9743100108890365 -0.8360594992157989 -0.8145584063378931 -0.5793120663839062 0.8999409699297036 0.7438714316329919 0.3937006449920299 -0.8093253372332849 -0.9253399039011271 -0.8376220593856635 -0.8364801107974399 -0.7086591769834227 0.8704375711969037 0.6815341983466952 0.3607233712332736 -0.7496225115296997 -0.6489012328647509 -0.7786410870888291 -0.896709718292469 -0.9205843781416635 0.7729669104871998 0.7744123377913006 0.7256983789152494 -0.7594422031644109 -0.6673654244863941 -0.7790157796151105 -0.9034968146032084 -0.9204456812982272 0.781645182470095 0.7723542452311046 0.7165564883360475 -1.074926781491686 -1.017031598265184 -1.1196075326793 -1.26099284208329 -1.219294451022869 1.080258929130702 1.056921386783749 0.8132401289454533 -1.063265732116215 -1.019783914988978 -1.130668827920734 -1.273096294493153 -1.174649426867694 1.051916601526037 1.032456264052443 0.7521332577719911 -0.89203218583397 -0.8312554028826014 -0.8960406246005599 -0.9879476369334804 -1.010448060739584 0.9026763085465523 0.8876099857009637 0.8346415272807218 -0.8896205373547497 -0.836001958472963 -0.891508026062015 -0.9931289111896318 -1.013515969673529 0.8981084505229773 0.8792660837940884 0.7985646873622906 -0.8349068492774983 -0.9059729837348833 -0.8497353250969573 -0.8308769822983381 -0.7415751529032258 0.9155028786280416 0.8106316504501098 0.5282047419246279 -0.8705248348442932 -0.9374935540913891 -0.8720549929042669 -0.8436011388818232 -0.7217196648500691 0.9384869039710111 0.8362419210162504 0.5377275047319862 -0.7039917259074394 -0.6104372748252147 -0.7338503619562913 -0.819864047148221 -0.8227596286346709 0.7342969136601313 0.731589361000386 0.6421620857648105 -0.8224628874627607 -0.7351941978960432 -0.8567852060302127 -0.9737454091229579 -0.9516446316593776 0.8481261235150455 0.8420398606814904 0.7444466399960055 -1.128386001245821 -1.054331554942287 -1.196945099912081 -1.283490475011241
9	0.7301266736782936 0.7252647729843494 0.6941969518995468 0.6886772252606109 0.5509224355222111 -0.7186228167505266 -0.6582211687976863 -0.4422201710084364 0.6402087013303728 0.6570408531073338 0.6217579161048764 0.6451733476231926 0.6025846346357262 -0.6285440719052431 -0.5673661288003613 -0.4046910313474501 -0.5868599225303903 -0.6210051019295558 -0.5950660224188508 -0.4858822383244414 -0.437393363910137 0.4910267137568254 0.4939206301078758 0.4636854037859192 -0.6004619024638376 -0.6418761357455084 -0.6091133155423282 -0.5077112828597786 -0.4716344609284668 0.514902412821745 0.515262212863268 0.4724627568076142 -0.3516062088703591 -0.402691487569371 -0.3195505585936268 -0.04553335470309507 0.006828560975825466 0.3652768111169902 0.3833019662023369 0.2579826276925838 -0.3804502850592277 -0.4627266155252275 -0.3232470736822913 -0.00954746712716488 0.04330346166124012 0.3792196231363266 0.3930490770139197 0.249822186946678 -0.3942456608830596 -0.465797724091902 -0.436898890586276 -0.3608344981103171 -0.3292868913599948 0.3188220268341004 0.3367109620059111 0.2904266640429114 -0.4187539568285247 -0.4996881115004645 -0.4601729016781654 -0.3757446634428008 -0.3337109541303052 0.3464025907246824 0.3548628308958241 0.3295243115751172 0.7556541385598777 0.7600569589300828 0.7308997465510489 0.7261940123966573 0.6616116091475098 -0.7300503300632213 -0.7078066539854905 -0.5468345745332416 0.72532078209622 0.7111404165160302 0.6885402483857826 0.6877398402682644 0.6271382251123344 -0.6904905095255539 -0.6789402183843728 -0.5426304609925863 -0.4735220355574923 -0.5502434992699631 -0.5087847496289389 -0.4385061817698415 -0.3804945867445257 0.3796023549183106 0.3998258821602913 0.3271355370379986 -0.4811391605235847 -0.5229431855935015 -0.4968253500337966 -0.3555677955104201 -0.3491426226120333 0.3902027602283347 0.3940121841219253 0.3400270966311493 -0.3240525486100463 -0.3483339475066797 -0.2399884517127446 0.09858214432641886
10	-0.5640745871105308 -0.452807261842588 -0.5503315461197946 -0.554438059572094 -0.5184064604547111 0.5415579843141179 0.5557266795266608 0.4718103195735986 -0.5160587930888534 -0.4172381831446674 -0.5017585203818342 -0.5182343068982512 -0.5269605168591607 0.4944009723737682 0.5137244611237504 0.4527280881208893 0.4867338647012153 0.5105507064716535 0.5042514608343096 0.4402194172061661 0.3943750507478557 -0.3940507244140203 -0.3924274547548187 -0.3625254605492575 0.5068954946893505 0.5353316334496508 0.5233989194824226 0.4649573106182556 0.4353214488990858 -0.4187354623204376 -0.4146806821892928 -0.3664461685199896 0.3938020631145245 0.4301826140594503 0.3807394462011924 0.1975771664736411 0.1567516776384464 -0.4127298916320563 -0.4301237127142445 -0.2902308142928597 0.4230783951162247 0.5146281174351898 0.3920791324417846 0.1663126742476632 0.1189659848394612 -0.4264352908588582 -0.4367592490525077 -0.280271776091808 0.3394441293794411 0.4079029874082908 0.3768196304092676 0.3445880457804975 0.3183555293671298 -0.2659955534258804 -0.2751591504899858 -0.2176773728648093 0.3623072399395979 0.4402287561318249 0.3997900004007592 0.3620416757584207 0.3284074624374567 -0.2896402918049419 -0.2912078303439396 -0.2487204758039931 -0.5746655058895005 -0.5025694616705312 -0.5648368872400547 -0.5702630311868131 -0.5521426429884536 0.5362083836380163 0.568578272700734 0.5252706481212842 -0.5500554604891275 -0.4649165906075283 -0.5326838918281025 -0.5423246618945463 -0.5356360400379729 0.5046979929686913 0.5407470457556905 0.5187291833195096 0.3602530096004022 0.4257790705946773 0.3979642597780894 0.3660180454589907 0.3059843237635275 -0.2804234393580221 -0.2902239106094717 -0.1977308819435374 0.4010974335091169 0.4203083037175969 0.4255686273548753 0.3132415043776693 0.3206404774610416 -0.3161030812593753 -0.3151560780299834 -0.2407491314469563 0.3879893504936838 0.4011655852836667 0.3399312775745003 0.09281537912837093
