(pearson)
=====================================================
 #  	||  ref		trmf
=====================================================
10 	|| 	100		93
20 	|| 	100		97
30 	|| 	100		96
40 	|| 	100		96
50 	|| 	100		95
60 	|| 	100		81
70 	|| 	100		12
80 	|| 	100		66
90 	|| 	100		64
100 	|| 	100		63
=====================================================


(spearman)
=====================================================
 #  	||  ref		trmf
=====================================================
10 	|| 	100		91
20 	|| 	100		90
30 	|| 	100		90
40 	|| 	100		87
50 	|| 	100		88
60 	|| 	100		81
70 	|| 	100		77
80 	|| 	100		81
90 	|| 	100		82
100 	|| 	100		82
=====================================================
=====================================================

