1	-0.6406613089597717 -0.7324534573662306 -0.6882783646275156 -0.6489921638812487 -0.7530657781708837 -0.8142585586463652 0.1714468318046598 1.363867544754062 -0.7364726796298993 -0.693583096876293
2	-0.8919413171849205 -0.8708031996854512 -0.8739505950631881 -0.9041721474500749 -0.9036898971606809 0.2443328452820661 0.1410735763306284 -0.1661155976686107 -0.8852130027882128 -0.8773071186467403
3	-0.907148466673243 -0.9138560134894942 -0.9053285526647274 -0.9157494811239039 -0.9515911420485987 0.02014174139018973 -0.2332146804211059 -0.1902758597777486 -0.9270433081817255 -0.9110302988940066
4	-0.9030275156681291 -0.9237019925479091 -0.9093955974168083 -0.9096654271301563 -0.9634197872753981 -0.09310434919917629 -0.4211351697516458 -0.2021285505742937 -0.9361018247841916 -0.9162147586859438
5	-0.9128787528126109 -0.9146668265474438 -0.9083596700593953 -0.9206865878825065 -0.9539667794924903 0.07379442511614724 -0.3302463051179088 -0.3566002890140954 -0.9282780491233565 -0.9143194141303148
6	-0.9152536164963148 -0.911326358884181 -0.9070612074322431 -0.9261702756640638 -0.9467023669103402 0.100035839243229 -0.009212327615313275 -0.09700448993159745 -0.9251457945702652 -0.9116250848619063
7	-0.9225210435218602 -0.9243565017581298 -0.917473910308351 -0.9339946323070434 -0.9591742229511486 0.04288393152849226 0.04710121617023447 0.03743650798954307 -0.9379160112258427 -0.9220278202120604
8	-0.9262151468412513 -0.9330113401030212 -0.9242841116727496 -0.9353093646570785 -0.9711144586929382 0.0183112927867221 -0.204972202282794 -0.1603766824853279 -0.9464620216808157 -0.9299762485257437
9	-0.9242012918343183 -0.9287315856568218 -0.92086755960224 -0.9342448777813736 -0.9655039672544992 0.03068386084406264 -0.1040249201764198 -0.08481925233284204 -0.9422343522942191 -0.9260928995361448
10	-0.9432581318958521 -0.9404306751688809 -0.9351788539220016 -0.9568611024275353 -0.9736334228298892 0.07113442335691111 0.2418393697602301 0.1783909838697007 -0.9544732565806487 -0.9389485778920943
11	-0.9401747843961979 -0.9421567218117142 -0.934973637036641 -0.9527368740703049 -0.9764495922352177 0.03504960814615686 0.1404699096216824 0.136116557047635 -0.9559221025263026 -0.9392611593050301
12	-0.941147811679188 -0.9445670282531912 -0.9370303190090303 -0.9517187326133069 -0.9815852795234169 0.03932986431401651 -0.0707842695784027 -0.06543487346922022 -0.9583697740914008 -0.9421805144022336
13	-0.9377923354676497 -0.9449132475511837 -0.9358832717428565 -0.9476458245121432 -0.9826023212023893 0.01065097420378164 -0.1386595715482079 -0.08734559378015723 -0.9584828954099144 -0.9413878657049597
14	-0.9291735694701863 -0.948875520087615 -0.9346228316727644 -0.9375554979447357 -0.9876761234453654 -0.09481454738834026 -0.2701513105274932 -0.05840308989123572 -0.9616437931423844 -0.9409632648747747
15	-0.9166437779005702 -0.9274444840564473 -0.916728379279672 -0.9278664778866498 -0.9619786977307797 -0.03922095592794257 0.03784189163616489 0.1461712316613295 -0.9403938871054675 -0.9215533938208234
16	-0.9114746177507677 -0.9049665093207414 -0.901216611097135 -0.9269024276696748 -0.9340587396929065 0.08379026898557157 0.4721524701748025 0.3714616640498246 -0.9186367754287484 -0.9038274047772211
17	-0.6693397117623776 -0.6481015096247769 -0.6526928692030226 -0.6792912281456573 -0.6719066542687255 0.2265100814790154 0.1820791655183618 -0.1159778369590314 -0.6591926182464655 -0.6547585910975202
18	-0.8149879608047169 -0.8246794184919799 -0.8155138349293277 -0.8220745183365556 -0.8593319279673559 -0.01033522932875189 -0.2735482437026706 -0.1894490877517602 -0.8363438500480316 -0.8209918195627715
19	-0.9338252043504925 -0.9215575339852513 -0.9200547244733399 -0.9503177012240775 -0.9506152821908834 0.1318461516137368 0.5504754388122632 0.3764116165218103 -0.9358585975448087 -0.9223063211190967
20	-0.8348333916652224 -0.8603451855874941 -0.8440318615187767 -0.8431790663873856 -0.8938279288787778 -0.1648860167119204 -0.1474906125576914 0.1498519253615377 -0.8713089975162368 -0.8495920780933812
21	-0.7942241942936608 -0.8308455038213066 -0.8109660346148696 -0.7948830587243535 -0.8722293175736443 -0.20774212808302 -0.9004006997342058 -0.487848021051056 -0.8409359910517088 -0.8195542486407505
22	-0.761906866520444 -0.7775170890042057 -0.7662466719706615 -0.7674832826255397 -0.811123206202132 -0.06131179667686894 -0.3599183718843856 -0.1995021833297552 -0.7880893660037329 -0.7719636731338573
23	-0.7352497191063486 -0.7279481290352126 -0.7247221895017322 -0.7555832885537799 -0.7407059474365598 0.01746753088399218 1.216933952899332 1.145092266239198 -0.7386706540136738 -0.7235411735564314
24	-0.7574216612323506 -0.7302564236127923 -0.7357703443143665 -0.7762120033838523 -0.747012169826013 0.2193828899532081 1.002725390825858 0.658870404824578 -0.742585966691433 -0.734940882085341
