(pearson)
=====================================================
 #  	||  ref		softimp
=====================================================
10 	|| 	100		67
20 	|| 	100		70
30 	|| 	100		69
40 	|| 	100		67
50 	|| 	100		66
60 	|| 	100		69
70 	|| 	100		73
80 	|| 	100		76
90 	|| 	100		77
100 	|| 	100		78
=====================================================


(spearman)
=====================================================
 #  	||  ref		softimp
=====================================================
10 	|| 	100		65
20 	|| 	100		67
30 	|| 	100		65
40 	|| 	100		66
50 	|| 	100		65
60 	|| 	100		67
70 	|| 	100		72
80 	|| 	100		76
90 	|| 	100		77
100 	|| 	100		78
=====================================================
=====================================================

