1	2.114264894367781 -0.08933262827112011 1.067782754873688 2.189259688288811 0.3838333007763409 1.630754323580967 0.6180673843750553 1.052552219308835 0.9161942457696137 0.687541808069179 1.857171207726759 -1.22801378785326 -0.3271902089734859 1.919159328628864 1.298704498395311 1.090657379416688 1.983531294582483 1.949068185949493 1.356179829560659 0.1714003476753637
2	1.925780430452529 -0.2065113292217954 1.069719102002539 1.950326314644064 0.4174892609867448 1.422085401776775 0.4637653487339866 0.8555627099182698 0.8090700220923934 0.5676406750647163 1.651563043760933 -1.180425025668743 -0.3362478337350349 1.668385610632845 1.086168885441105 0.8982818615451886 1.750100061901552 1.72975911941326 1.166800072009595 0.09049300655614601
3	1.568549434580617 -0.449262424217579 1.074167456828559 1.506108497202333 0.4033653521810811 0.9708345811589543 0.2296956668158123 0.4133903125790756 0.5081496011770406 0.2698258656929332 1.217474255049388 -1.25250755592456 -0.5156359671664713 1.201572412827474 0.6275137358793035 0.4545644578330799 1.316965480288825 1.305763171459337 0.7428112328040483 -0.1970114097649148
4	0.5327781737563669 -0.8221370084415615 0.8431502631339454 0.3203981506370829 0.2586066926115984 -0.1316680386855449 -0.2501157221712865 -0.551853715936016 -0.2174702546087656 -0.3869469265491656 0.09686366555039512 -1.168666872985376 -0.8022270859530017 0.04043846681314197 -0.4125720178768005 -0.5264819118601717 0.1949869838365814 0.1975808125595363 -0.2597546911554852 -0.7522897683571135
5	0.1581225629653366 -1.003918441786528 0.8095258166874307 -0.1389558859237584 0.3107149912400098 -0.5140004752670236 -0.5271475723939927 -0.8937392602485127 -0.4063966083166122 -0.5924835654414875 -0.2899765206193218 -1.026696393644005 -0.7819633976312119 -0.4286120445693452 -0.7897056710851548 -0.860782859946391 -0.2485872014583653 -0.2196122298097096 -0.6003992639760843 -0.8683797506937496
6	0.02702390512261404 -0.6688175943551808 0.4864866140982463 -0.158370268989847 0.1020721902457748 -0.4515473897020507 -0.2991107146998526 -0.6908881665983385 -0.4026027190028535 -0.484938929995654 -0.3022651843523639 -0.797973407176099 -0.6716722057444849 -0.3362896190632631 -0.6181512731249941 -0.6821858750612952 -0.2212456181474941 -0.2205638842109329 -0.5078332356839261 -0.714615618993715
7	0.1594699908701439 -0.3866177161445769 0.3244906078299926 0.08514941201503994 -0.06219314938291681 -0.220222999602182 -0.005228555870502971 -0.4064419271636222 -0.3205564525259183 -0.3290982550423486 -0.1074966262877614 -0.7875447862017939 -0.6606192523683128 -0.02499614778730614 -0.3286881979459533 -0.4179738689891844 0.03991447662216801 0.00599383260847116 -0.2848271585907268 -0.5975348298239881
8	-0.2592358790170072 -0.359693858055011 0.09142352761867578 -0.3301779413984791 -0.22753973830365 -0.5813821794459511 -0.04957535887514694 -0.6562795722533645 -0.5887690392785161 -0.5185493808542518 -0.508092165645965 -0.6836625045048409 -0.7405250454695826 -0.3787172580027526 -0.6164620163791298 -0.6869368009885873 -0.3310977504194439 -0.3774136931290394 -0.5992127811796858 -0.7433282508424562
9	-0.5586207496334348 -0.3233398451996904 -0.07027069777642483 -0.6401047423063195 -0.2485877208947769 -0.7768419385773149 -0.1570257060732199 -0.758959672622123 -0.665157532264405 -0.57326654540382 -0.7439126084278563 -0.4192905376617632 -0.6061985206419293 -0.6465855139215204 -0.7613864474129731 -0.7905152112100631 -0.6108985075035005 -0.6443523273525451 -0.7504379111342517 -0.6912902055392061
10	-0.04571320465255786 -0.2025981431815435 0.1058986982147555 -0.08794307007177836 -0.07115323234982898 -0.2270604229865901 -0.02971736851530945 -0.2923409561776258 -0.2440935285245304 -0.229391337715767 -0.1792946780004823 -0.3711131547075825 -0.3594304859817414 -0.1295441808401004 -0.2639520487389699 -0.3027169695243933 -0.0990660056632801 -0.1181924597218314 -0.2460617826352806 -0.3514543705105219
11	0.620153079361849 0.02077391729646899 0.2814049284964248 0.6537318333297518 0.1143500149453337 0.5159406494923816 0.1956765585411352 0.3632878353300537 0.3069293272045464 0.2422834467507016 0.5713272113315688 -0.2904838071874554 -0.03396008147293312 0.586224150586714 0.4294416474831806 0.375007531383065 0.5973588706260481 0.589048542831098 0.4399306570947987 0.1126108766622999
