1	0.1037073114979594 0.1216598521669918 0.110781109434642 0.1359226681323138 0.1461552919981385 0.1592463560875511 0.1605148269610652 0.1553036174343872 0.1505847203009236 0.1586294727108182 0.1560751473652068 0.1498329726264213 0.1389215753560319 0.1478143063001652 0.1185194371674955 0.1219202249913455 0.1163292140664622 0.1198708903524478 0.1062234663690425 0.1212176992038025 0.1169098813130215 0.1087092154195734 0.1073073251920549 0.105221542048166 0.09856975411442347 0.09505501308089839 0.06066169497219509 0.05242733558968778 0.02926899446859308 0.0137734010116951 0.004321044434354254 -0.01412187218619479 -0.02357728786855815 -0.04466443248273994 -0.04518043302076598 -0.05546264609901132 -0.06195351281896765 -0.07116007119207099 -0.06360006192567907 -0.0763024336519694 -0.09261854332816828 -0.09916584741508787 -0.1128207241645681 -0.09708831472196519 -0.1024681588430981 -0.1099472069278184 -0.1062213601467202 -0.09617493546002531
2	-0.2432148878656626 -0.467759468299586 -0.2115609919540352 -0.5885780894712663 -0.5714058993314519 -0.6881477990571722 -0.4928174627067558 -0.2930094577005954 -0.07007320770489207 -0.1349619198132961 -0.0241873915392808 0.2321510741413484 0.5167210203598394 0.400528334028957 1.179864999265776 1.213221336415759 1.428237094940404 1.531529397635295 1.82660021701446 1.560492484445158 1.572593132172913 1.790767691632515 1.962859858929286 2.075799890270735 2.192135090532347 2.220035957523687 2.876214618594014 3.135958480772329 3.491179325772868 3.774882055179403 4.042426746858098 4.425922357542783 4.392677688613056 4.751481539544477 4.584295538531373 4.606790623880949 4.545183938300735 4.770517831138975 4.473294028047093 4.636310536281798 4.700137455730638 4.647213865402753 4.771571587932208 4.388673469493007 4.367535612918535 4.440111504099544 4.275750485452689 3.969336302792668
3	2.101268654638345 1.804697577782484 2.0048278395327 1.555664898175964 1.427444872235295 1.171279137480864 1.078707363223475 1.091938237594402 1.048939499934093 0.9566345511617762 0.9565501589356857 1.011876239172136 1.069030692877749 0.8519340516451699 1.23411749885047 1.078924112772451 1.154905781740758 1.057062519816857 1.224288665845838 1.012510187340577 1.1644105853518 1.277703245899036 1.203613185239372 1.194995618971207 1.367318833305951 1.348223295385904 1.874097137275404 1.89927123912366 2.214621077883071 2.477970850861652 2.597523332494031 2.780353138298532 3.073089142839918 3.471454155570024 3.637365351807118 3.965200489809725 4.250055313924855 4.376681731658482 4.34463741214396 4.479558811223739 4.810127810676815 5.049882092902931 5.279611060561948 5.150759147325857 5.295245779958972 5.380555307686443 5.210746832345928 5.084232346950953
4	1.320364399888477 1.062011224344707 1.275074926262034 0.8690531841698713 0.8003718728198628 0.6035621837176913 0.6161303741815857 0.6934334033671419 0.7436002528675801 0.6666387392299453 0.7049901679114451 0.8289037874704497 0.961090944459174 0.7865815957781253 1.29281296219295 1.208243888523625 1.330794947274003 1.308194606804704 1.512514839350374 1.291183548469887 1.389507733408538 1.535242863200415 1.549395920981015 1.58340515008784 1.730923599094323 1.726511193858245 2.276333127204121 2.380933534916606 2.695098554001119 2.955335783028629 3.122101632256568 3.36518547433341 3.533421868121109 3.903176096738096 3.948043782212921 4.158281591606069 4.313202589396511 4.469357575145947 4.346358148183648 4.482905343182667 4.705827074469977 4.835108990271763 5.01745040125252 4.807178841995597 4.888028093590671 4.963691560988473 4.798435839826843 4.613555198407762
5	3.081861739815636 2.704354139739291 2.95859209656179 2.384487603584013 2.222488418259466 1.890791287925412 1.759887753508394 1.765318871188932 1.693041479949358 1.579302695349414 1.572556992922234 1.633384567015561 1.688721552524445 1.404546874064409 1.869812836014607 1.659273173750876 1.750729174898208 1.618264160310728 1.821614458834214 1.557952166636375 1.761429735199943 1.900414828764642 1.791464694925814 1.773578794869067 1.99922159055648 1.966555757177485 2.625848806643654 2.641660718541365 3.033921474143455 3.36786467220407 3.512393798986333 3.727735264188453 4.11937805378358 4.629890272622538 4.862977392389451 5.300659644475716 5.68671833085379 5.842431642721216 5.816913589060632 5.980076346663305 6.411063809892724 6.734314334762839 7.028298825985535 6.883490098606227 7.075781476980967 7.180535123211804 6.954892513942496 6.802562573206162
6	1.764635818386447 1.799173626099382 1.733226323919184 1.792527986923662 1.766524163277244 1.748275566957713 1.613605418012211 1.501510488023883 1.350772216981874 1.371470194055975 1.306996902686588 1.186081625036537 1.029651474311386 1.011230593681619 0.7074272360683826 0.625190662520512 0.5379383155337352 0.4547105916260185 0.3390569848129462 0.4239123132435693 0.4786404910793197 0.3969902196972246 0.2697775860312313 0.2020350578458992 0.2074480898015559 0.1665753732492821 -0.0277959621184559 -0.1765122158538386 -0.2878852222002205 -0.3556464270379421 -0.4632019563047126 -0.6356470641233175 -0.5095617464426638 -0.567496053462704 -0.4026491482298798 -0.2877671468470372 -0.1378885540602004 -0.2207155376166334 -0.06159371658828897 -0.1283550318606993 -0.06142927488394894 0.05980094922277173 0.05742624492623147 0.2451502063982853 0.3060254173264681 0.2807976878089147 0.2845164498145337 0.4094149556197141
7	0.6424998618909388 0.6102074209185416 0.5791077540044419 0.5521402983969975 0.4781679224688702 0.4180202475435918 0.2889980940112644 0.2080501683462579 0.09527149537390264 0.07782285706582964 0.02966547698283594 -0.06164974120043584 -0.1564266670914325 -0.1946225141863176 -0.3763232411795153 -0.4536552393299225 -0.5191680461872012 -0.6103561071950366 -0.6660678470209511 -0.6426403707558462 -0.5864982880193765 -0.6351587375869869 -0.7410963918043909 -0.7942373267615968 -0.7763480113725451 -0.7893261971617197 -0.8510531223142963 -0.9505231104826792 -0.9639720589124081 -0.9767829311883029 -1.044469942662685 -1.127532811328375 -0.9897693876596236 -0.980068368132693 -0.8404284739343122 -0.7155174525457416 -0.5728867540605505 -0.6182783679752144 -0.5018056338616681 -0.507195134346287 -0.3889615144336285 -0.2661953060589956 -0.217829258507377 -0.1106375139521656 -0.03891664644478862 -0.02876789297958796 -0.01671651215895952 0.06603299735569053
8	-0.507354409136364 -0.9234573507674741 -0.5464342389941749 -1.19930011562228 -1.282020852162568 -1.547141171737256 -1.38068547601369 -1.141043518796391 -0.8940608316009929 -1.03577358237954 -0.9068947146355353 -0.5941103090090567 -0.2199235494348047 -0.4464762299749132 0.6238815141416203 0.5992963476417908 0.8706610947752199 0.9278026724709852 1.355925934534603 0.9375765161289281 1.013341298482383 1.314372050403805 1.480319741632872 1.606206542444766 1.807340479033275 1.855714737500527 2.870029344341607 3.19354026033584 3.781194814207686 4.232048111146635 4.592698522256922 5.146460841883176 5.243871372521283 5.838893628657674 5.711524508030881 5.8783137507379 5.924799715808474 6.242988479643999 5.885130893224484 6.167190362048775 6.41826893324583 6.463916399140494 6.734794430290294 6.212509466943995 6.260843925143345 6.404755773709931 6.176548157044071 5.771252653827059
9	2.828138489313272 2.295162171806557 2.565315152900295 1.805759059379814 1.466453177360236 0.9732195129878335 0.6543147330894534 0.5820727459721384 0.3893361879971122 0.1952824647729343 0.1388935693844599 0.1089996186011472 0.1080140809224936 -0.2753303504743225 0.1115424852707072 -0.2188923320457119 -0.1886050076704145 -0.4715225942225073 -0.2601083120807779 -0.5843719222695889 -0.2841927889941523 -0.1648511115126302 -0.4076249373720311 -0.4852323245320011 -0.2027796528162867 -0.2217963171700178 0.5584954302987485 0.4931040472856047 1.014488471999448 1.421141920696543 1.527515991740985 1.748845229058533 2.380546307736247 3.024120992181922 3.443287602352629 4.103626069985728 4.712893885269907 4.860343691265495 4.948055573034532 5.190830195471146 5.88560037696698 6.409995984442505 6.856905123632198 6.756729933577949 7.079111631447755 7.249601345233531 7.036126840803276 6.940298627321851
10	0.6599755093812522 0.3534142928534896 0.5819154295146717 0.1172199945629985 0.003256015422159904 -0.2306572086842356 -0.2379928066261036 -0.1552590387776876 -0.100530495414852 -0.2056708227345545 -0.1655010233466161 -0.039659139386433 0.1154935178352695 -0.07734642948599477 0.4725472099472557 0.3781796547050758 0.5020543209384197 0.457645235335501 0.6900501039584207 0.4339253728792226 0.5423008142889795 0.6998046205120353 0.7088686653642406 0.7426726553155661 0.9001742640067846 0.9123862521216836 1.534444841676771 1.653055805671956 2.027516952981498 2.319625079691469 2.499101538218155 2.784801031002381 2.984148230174073 3.397197035951712 3.449940689549049 3.687318117230856 3.861545168542972 4.032961300077453 3.903760090341601 4.079372658758436 4.356096281604952 4.507323969641364 4.730792363327521 4.487935550040683 4.588298553586548 4.688940328012495 4.533519709330909 4.33734983462979
