1	0.1749809821296417 0.1806065638423078 0.1595567159709729 0.1230911280898485 0.1083325640062515 0.06592011798140157 0.0287948811163168 0.01088014484733997 -0.01253949627276777 -0.0493718370015108 -0.08266085379593176 -0.1013044438993665 -0.1017468670971649 -0.1084155219540958 -0.1357005608422608 -0.1620528293794879 -0.1791383945449998 -0.1814503457043205 -0.1896362614895586 -0.1942804276016881 -0.1862431858616173 -0.196553831709213 -0.2051282997971634 -0.2038851352897382 -0.2103920838928877 -0.2164217138959077 -0.2172315485347196 -0.2112973091652451 -0.1936809269608423 -0.1957875492325786 -0.1988261996090044 -0.1850585780320685 -0.1712462201132832 -0.158467856282054 -0.09611019515035722 -0.03763198768575362 0.009552579759654156 0.0195405642564234 0.04076750247652532 0.08606156237308785 0.1340094020618311 0.1888302946017762 0.2209738084285129 0.2441319084186567 0.2749033356820279 0.2649761311341747 0.2896325035957816 0.2947646120923614
2	0.5387146302830852 0.5695449339805106 0.4654990544708699 0.2697225532633651 0.2625938858481055 0.2759193626865546 0.2263751439182551 0.3018260334316228 0.2582539545053862 0.1719554292976727 0.1670012790443249 0.3212510800749844 0.3633022956708512 0.4251773627175915 0.5697128088631731 0.4902301661636868 0.6659757396053814 0.7487085630083377 0.7104294443087552 0.6906367930121641 0.7807203071520818 0.7970478872612535 0.7815083130658171 0.8113069853005386 0.8477661062207119 0.9186476936882699 0.934789377169588 1.098700577922236 1.276894606305362 1.350824317734309 1.421948367503313 1.454787193366716 1.562394251786628 1.693868209736402 2.04577636699466 2.476949806763349 2.531692816241473 2.728623175779436 2.717886175780551 2.79069113649617 3.103069158036508 3.356496709536445 3.432009287527504 3.589810677694156 3.607189416767593 3.593009887037611 3.525906973867083 3.401929502158031
3	-0.8555718802548162 -0.8755804776967488 -0.7995934891445386 -0.6758151298643925 -0.584785567506466 -0.3229606418369007 -0.1230673849529307 0.02376442751143743 0.1476915661277036 0.3301521131866105 0.5266518542399909 0.7131785486319102 0.7375884878900062 0.8141457051135638 1.051702595300999 1.169765340922943 1.359246920456258 1.416656072235544 1.448826766756344 1.464426844758553 1.459795673178693 1.530630399185169 1.578071692228961 1.582699967717631 1.639378539616014 1.711470715699301 1.726683111743203 1.771793819601725 1.753017618467032 1.803605088704195 1.859398228166139 1.791607438533012 1.758914159965172 1.746304364762763 1.541599696449248 1.399775569349658 1.138894590034191 1.177143824947834 1.043379838529333 0.8049098325906784 0.6691953874085645 0.461330137660378 0.3055825361370295 0.2435908826048149 0.06813162981164091 0.1215698272601262 -0.06063848549850796 -0.1527265335905302
4	1.419997431653629 1.479975969845854 1.271026342636498 0.8920686358293795 0.8145339937792635 0.6400712037781745 0.4193020424378359 0.4213377684474281 0.265862752002892 0.004239795210723688 -0.1487336590383842 -0.06071528058867979 -0.01702807253459861 0.01743378139052283 0.0536363289234886 -0.1505766226263769 -0.03308856979267518 0.04595619103971139 -0.03393709426392991 -0.07471425610012221 0.06086533503529037 0.03238398312344602 -0.0253414866515366 0.01478493432587547 0.02625631080736441 0.07690656405903243 0.08947940090801462 0.2965831052837465 0.5719461435527233 0.6430448722839055 0.7062341676742485 0.8045828938717781 0.9865424039939236 1.188782426368566 1.856684618415176 2.594338749511335 2.867729517996527 3.12845515574346 3.211773015177084 3.495203443698752 4.054091146058591 4.579822718153603 4.806076850272757 5.083550981634816 5.239149662864726 5.178788751627307 5.215289888487674 5.101593583343742
5	0.109877599681391 0.1096922033573042 0.1115102617853443 0.1183077870375098 0.1004626924708239 0.05509742023564965 0.0283914622152417 -0.007923988977433287 -0.02521196554913708 -0.0453928564481525 -0.07638852518308753 -0.1282008675922099 -0.1389098059395069 -0.1643120950333047 -0.2257096609148001 -0.2331011291443822 -0.2896027550012772 -0.3126941124168819 -0.3137452231346243 -0.3118165843390741 -0.3234418802806718 -0.3380069273441534 -0.3459607444551419 -0.3492835366068581 -0.363587575733701 -0.3862167747526555 -0.3926017004187908 -0.4234536018168528 -0.4453276125208084 -0.465215944098245 -0.4862105881147202 -0.4789000945699279 -0.4870892884400836 -0.5033849177156926 -0.5176343859328493 -0.5539133594262413 -0.5158512754851543 -0.5510918608212315 -0.5268847904688807 -0.4965111307492726 -0.5177318373746745 -0.5174468782840255 -0.502661218443016 -0.5145803625163049 -0.4886926974756393 -0.495991481409142 -0.455701151849235 -0.422698280654295
6	0.01342064791010976 0.01710799479328923 9.300647542757891e-05 -0.03224741217363413 -0.02690269251914903 -0.02474515128173326 -0.03222149010109608 -0.01737405305749075 -0.01968558358389998 -0.03057384286919872 -0.03311309084270245 -0.008977829374762216 -0.0006754469715488434 0.0166211461183959 0.0434780662992006 0.02837527607058725 0.05815833393346326 0.07530550184912092 0.07083820578113735 0.06448313302838908 0.07901066675536873 0.08259794860206976 0.08397000539202379 0.08605525792419147 0.09169733963458887 0.1046955545266212 0.1101738802217835 0.1380123082102554 0.167587216344568 0.1818063871590435 0.19667566848754 0.2009880932515546 0.2162626860463246 0.2379954470356726 0.2944987702612714 0.3649621154862669 0.3698781043817465 0.4047755117147132 0.4021783552010676 0.4126054589595693 0.4643891486093162 0.5042046317215194 0.5176418334854631 0.5439903455785884 0.5483584020516157 0.5467154616514687 0.5345466204024868 0.5134365880129784
7	0.6061326783681852 0.626979183410281 0.5183464257340936 0.333289604846449 0.2712975085902707 -0.01754645806165986 -0.2477620000026674 -0.3781858382834616 -0.4959365439208256 -0.6987852915080357 -0.9298165968246001 -1.109046755096164 -1.117570094079879 -1.143335556372559 -1.354465014886538 -1.51761573528321 -1.681730434827281 -1.703827156602578 -1.737176241847324 -1.778799015103993 -1.754187407227954 -1.823577192104876 -1.855323736423821 -1.871216800510027 -1.928006239860707 -1.983148156839879 -1.978468351492373 -1.984480771369978 -1.91979215821266 -1.945707651681221 -1.971071103563074 -1.89464202867157 -1.84809588807034 -1.802308998283675 -1.499769801760306 -1.242759810969316 -0.9649090848610484 -0.9452009905249951 -0.8039174307572401 -0.5307419075982653 -0.3031725593516462 -0.02346295583169852 0.1743546473220866 0.2831920573560629 0.4923550053012044 0.4338054675131835 0.6138642169841171 0.6826703579694842
8	-0.3373446061566837 -0.3229345023735617 -0.4198510823148734 -0.6072983306090416 -0.5369662404629232 -0.5020390203300693 -0.5277677842500899 -0.413682399266308 -0.3949548214480179 -0.4307743067920712 -0.4377658557911105 -0.2807057017988121 -0.221638311784095 -0.07686753434554677 0.1210243011469177 0.02945532046861691 0.2309584511007704 0.3566676759159455 0.3405789157515787 0.2888144444699183 0.3756601525740121 0.4076319907618952 0.4381255205748659 0.4382113236757048 0.4757180333673319 0.5671954525984817 0.6149188371348829 0.7924816939700076 0.9724480320250071 1.072893908715006 1.182876965147155 1.198457752643496 1.277638956201412 1.409581418516095 1.730551724915311 2.1461638178196 2.135388548151843 2.362937991742961 2.332057793179445 2.368500557804168 2.674712552032551 2.891412463205813 2.964990075858396 3.122256502968996 3.141167612077167 3.138812998554037 3.044129051603491 2.904392699255772
9	2.248408949049437 2.323327109371439 2.088820158869014 1.673099616699318 1.511140031868872 1.208953009771938 0.8929956322173901 0.8001634089980721 0.5590218872903187 0.1981062059538041 -0.03827641225364212 -0.04994057435703793 -0.03156998359327772 -0.0861571526698922 -0.2005360867310638 -0.4399250118972312 -0.4393521272916087 -0.4197951121368008 -0.5224787195883034 -0.5489228366383869 -0.4194562700773668 -0.4896995672513959 -0.5934533608633615 -0.5410965842389477 -0.5588698296023575 -0.5595280761051136 -0.5740055520501902 -0.412774862991388 -0.1501678343203101 -0.1248946622114005 -0.1167671046639224 0.01750177503466333 0.2184406875309606 0.4112259736969829 1.146933518422366 1.907226877035677 2.326298600778142 2.53042266769925 2.684811994880174 3.084972387773613 3.671531352647203 4.280827302340626 4.567316688463853 4.854399224104132 5.08320251517458 4.99427381421794 5.133514928873494 5.082849346672213
10	0.6311898632418556 0.6601646534018311 0.5678375618142528 0.3966097366211723 0.3720780964768869 0.3549846881188305 0.2926985233421308 0.3346349424379411 0.2794549934152681 0.185658858588441 0.1631068206396496 0.2696067122452141 0.2990625245157059 0.3310047710773728 0.4182046455215233 0.3442045674713148 0.4648239969482277 0.5206451321407357 0.4837343426788544 0.4703869258066002 0.5440886754045469 0.5484791711570308 0.5253983856684481 0.5529058053441537 0.5768235476053569 0.6245613566578123 0.6320577216689046 0.7585000016418308 0.904148475535163 0.95564111909761 1.002764919808131 1.038046610087975 1.13187271659258 1.239323991760072 1.54747539945414 1.911702588576681 1.98944313247686 2.141038147288015 2.14777605247986 2.23419132250742 2.500560673920409 2.730138328110105 2.80635569349237 2.939951867172721 2.970601327663573 2.952485965841434 2.919251358613547 2.82986859583868
11	3.023297492098383 3.102275632218267 2.945564158149483 2.672260239979902 2.437009189402453 2.26870978558516 2.06435560294199 1.974009683416629 1.722444428312923 1.427750619596096 1.329874792142199 1.381655146785808 1.37055713824176 1.197351195188878 1.094823313948359 0.986636409876545 1.003833083169904 0.954894325567183 0.8489282971244265 0.8972581331309942 0.9955603803279787 0.9393609614844161 0.7917846140796645 0.8888787724037219 0.8939443012652071 0.8789287660230525 0.8125993690358109 0.9186561041992071 1.098582908067426 1.083280989478034 1.03348550993159 1.140200947083367 1.329147283704085 1.463262383191232 1.983377837933519 2.51361272257892 2.85191879898597 2.953703109592063 3.057340481706512 3.333345217886227 3.72184017149941 4.160617636809908 4.316786807274497 4.503677660686173 4.604456539130727 4.536018292652699 4.6260588913435 4.58753199763908
12	1.403868585796266 1.458696085208896 1.285873687939008 0.9717622190793185 0.8920619225803011 0.7742457391139698 0.605265637004303 0.6173675520393128 0.4800455556491721 0.2634246346223327 0.1620051152276428 0.2678965812177878 0.3041527450898002 0.3181256731861138 0.3695985446410431 0.2142603985061125 0.3385063013335764 0.4020517990024993 0.329796744828689 0.3076360777298163 0.4264702475661281 0.4075905772216177 0.3489798258714392 0.3949751608048911 0.4137389489169009 0.4625068500057318 0.4651036836463407 0.6486278752109578 0.8856133083615821 0.9467657732359944 0.9976096990166643 1.078580506768416 1.24207402083552 1.416602911459724 1.977950841565411 2.6050685599654 2.824539770110356 3.047997114807165 3.106231908320571 3.328074114660201 3.79674726865806 4.235347100155392 4.408703094424822 4.641386370085868 4.748650963469504 4.70043239365187 4.712532824060639 4.603807130210329
13	5.174686489339339 5.265716737554565 5.111537267934817 4.894173138268451 4.359767039805146 3.53169659794778 2.922084102742298 2.304303751098755 1.762874136942058 1.13513256951119 0.5928910146461309 -0.07073639009284406 -0.2366609791289864 -0.8072861231363623 -1.791854788975933 -2.014553279637019 -2.788355036654229 -3.176042053839541 -3.316322766676026 -3.226793279083481 -3.276421073562463 -3.546875883851085 -3.836350585534649 -3.765208615493223 -3.958954473650335 -4.296233036376245 -4.46815262882938 -4.780928835536374 -4.881952045355642 -5.182832305565247 -5.541276302363402 -5.314172132563708 -5.206943136759175 -5.281910272545677 -4.882841638940718 -4.782907892058514 -3.852948120014619 -4.235863005879469 -3.776197368418955 -3.031148765794666 -2.884552195948154 -2.373878013145 -1.990323050806337 -1.944224096491755 -1.469712785537625 -1.651903785655128 -0.9818185664196397 -0.5619684747863887
14	1.7185600531538 1.709549887342337 1.72437049759748 1.818763089642511 1.507792956974692 0.5787596455930452 0.02502693795850262 -0.6825069821841092 -1.004797055630002 -1.409686712920408 -2.062518791594016 -3.102828103200731 -3.301171502448083 -3.746567076066355 -4.948052681318909 -5.135517525007037 -6.248787408362874 -6.673421842818609 -6.687577874024211 -6.679590841579441 -6.900647719748454 -7.18821443258944 -7.320625720342624 -7.406863511571387 -7.695561252574799 -8.13265290803553 -8.235407154316842 -8.824517048368437 -9.231398471088619 -9.605203024014578 -9.992613973537287 -9.84463557997098 -10.00990318834047 -10.31409552293275 -10.53975652863669 -11.19196571500676 -10.43377391821224 -11.09132600024013 -10.60385275705006 -9.977237098635593 -10.33933325090061 -10.29290705559295 -9.96334795183283 -10.16923539718601 -9.620404231160741 -9.767452248984407 -8.964958488447447 -8.321293064254458
15	0.03051719888555691 0.03310456974064326 0.02238305577652751 0.002315581693185456 0.00319050798630175 0.001157584160854877 -0.005737838349407708 0.0005447815829016748 -0.003113415609720405 -0.01217137555278774 -0.01580741163607005 -0.004104396635572063 0.0001267844786438824 0.007937956806167277 0.01986669807295517 0.01005813898268487 0.02462171880384607 0.03316385609646407 0.02990540847428584 0.02656639054301586 0.03499991590438276 0.03602509161151212 0.03558506232543221 0.03717661041258796 0.03975946842909991 0.04609381350634496 0.04858924039104899 0.06384368510966472 0.08099168294335567 0.0881790540741428 0.09549484351213754 0.09899082888892113 0.1085478974158904 0.1211480956888968 0.1563256836914836 0.1985715187276061 0.2053125401699881 0.224437459850708 0.2247558048313849 0.2339666254171642 0.2652879933598019 0.2910165761053964 0.3005048765218725 0.3163231369343312 0.320779075292531 0.3190575235838212 0.3145427131176903 0.3037076743750295
16	0.4078818749866298 0.4292431789939229 0.3729529434373856 0.263483055057983 0.2602220217928305 0.3315860795240485 0.3415291253570841 0.4224320492120865 0.4060601702759649 0.3778224135939471 0.4258848827924341 0.583235255052451 0.6146896996246668 0.6552231813780384 0.8046716323504182 0.7821898671085367 0.9491327500621948 1.010777544871304 0.9856496423757504 0.9846279447427458 1.048414726440823 1.074010428698046 1.062304674972449 1.093072834924832 1.13342535484076 1.19675711829527 1.203290853143384 1.327746869256736 1.449123583045208 1.507372885754198 1.561500716332511 1.572122208997555 1.648184454091044 1.738297059022476 1.944184621346043 2.218446307835375 2.208116910201095 2.349498320880693 2.312809884179259 2.312932250788583 2.501633359764445 2.638281702919378 2.652106407265133 2.748408756593101 2.714788469294022 2.715244039169181 2.627981177016584 2.520328315656442
17	2.52498729217285 2.589016821858461 2.463153430781333 2.245897423791167 2.04367201623071 1.87963730089994 1.697700559879968 1.602063046092756 1.387149731391496 1.135705932108838 1.037688691025106 1.04815626689407 1.032471105577933 0.8758312631453538 0.7549419214985484 0.6630125745407142 0.6423591639570989 0.5882140569233794 0.5015145495805308 0.5421996177446181 0.6147779111632731 0.5602547954890654 0.4353921008631088 0.5123467271184255 0.5077605516128834 0.4816312885981353 0.423675199543322 0.490668000396153 0.6230570068851059 0.5982866884012558 0.5447691752739297 0.635811995033024 0.7841670852916084 0.8828638542629571 1.295701914614451 1.70318764335326 2.000967294861236 2.061634760837497 2.16046731662269 2.402790897270915 2.704537101963243 3.060404974168757 3.195836098791742 3.339928519871877 3.437204491114116 3.377225073554256 3.474892661312228 3.463904652883099
18	-0.7398883017018719 -0.7456399041846601 -0.7434652475532338 -0.7553409991672579 -0.6577650683324329 -0.4559561231296421 -0.3298012149803337 -0.1681013589644925 -0.07382181511484787 0.03351521978935058 0.1683333873152837 0.3822639188917207 0.4297681658586089 0.5560863132271822 0.8251282975843777 0.8606385380894702 1.098989871625817 1.203623926573342 1.216792676851889 1.202002262981396 1.244606577319077 1.310609707662548 1.357958810705689 1.362631418312118 1.422249102197734 1.520234923249441 1.554618797338157 1.679236828908692 1.760667995724086 1.847955637906754 1.943362390400894 1.904610161000789 1.924573400072362 1.985127188176012 2.011332047498722 2.130940498182355 1.944531696163319 2.089849840931111 1.980304111966603 1.833195123268728 1.899084186982118 1.868439391346876 1.797560077419855 1.836708891267443 1.723008554775189 1.758864083979634 1.581951306576945 1.444254306110074
