1	0.0600214 -2.76415 0.453096 0.195716 0.0642603 0.067026 0.324406 0.067026 0.581785 0.710475 0.067026 0.324406 0.067026 -2.76415 0.195716 0.453096 0.067026 0.324406 0.324406 0.710475 0.324406 -0.0616639 0.0357937 0.195716 0.324406 0.324406 0.067026 -0.0616639 0.324406 0.581785 0.067026 0.067026 -0.190354 -2.76415 0.763342 0.324406 0.710475 0.324406 0.581785 1.09654 0.581785 -2.76415 0.0470377 0.839165 -0.176409 0.324406 0.839165 0.324406
2	3.13523 0.324406 0.324406 -0.319044 0.730748 1.22523 0.067026 0.581785 -2.76415 -0.319044 0.067026 0.839165 -0.190354 0.324406 -0.190354 0.453096 -0.705113 0.195716 0.581785 0.324406 0.581785 0.324406 0.109619 0.195716 0.324406 0.324406 -1.21987 0.581785 1.09654 2.76951 2.64082 4.05641 5.98676 8.29031 11.5799 16.5393 17.5688 18.341 17.6847 17.9549 16.2819 15.7672 16.2852 15.7672 18.1005 16.0246 14.4803 13.9655
3	6.43424 9.84746 5.72938 3.79903 2.38537 2.38344 -0.962493 2.64082 2.38344 -2.76415 2.12606 2.64082 2.12606 2.51213 2.76951 2.64082 2.25475 2.51213 -2.76415 2.64082 2.8982 2.75664 1.47347 2.12606 -2.76415 2.12606 2.12606 -2.76415 4.95724 5.472 6.24414 -2.76415 8.81794 11.3917 5.87405 16.0246 15.2524 8.81794 -2.76415 -2.76415 17.3115 14.995 13.0855 13.7082 15.7285 14.609 15.7672 16.0246
4	7.22659 8.54769 4.69986 3.92772 2.82906 2.51213 2.12606 1.86868 2.25475 1.6113 2.12606 2.25475 2.12606 2.38344 1.86868 2.38344 2.12606 1.86868 1.6113 -2.76415 2.12606 2.12606 1.66092 2.12606 2.38344 1.6113 1.99737 -2.76415 2.25475 2.64082 3.67034 4.44248 6.11545 12.4213 12.1722 14.4803 18.0836 18.0836 17.5688 17.0541 17.0541 16.7967 16.169 15.5098 17.867 15.8959 14.7377 14.2229
5	4.47813 9.07532 7.53104 3.79903 2.01505 2.76951 2.12606 1.86868 2.51213 2.12606 1.99737 1.6113 2.12606 1.73999 2.25475 2.12606 2.51213 -0.190354 0.967855 0.581785 2.12606 2.38344 1.55363 -2.76415 -2.76415 -2.76415 -2.76415 2.38344 -2.76415 -2.76415 3.67034 4.1851 -2.76415 -2.76415 -4.24792 -2.76415 -2.76415 -2.76415 -2.76415 -2.76415 -2.76415 -2.76415 0.292345 -2.76415 1.84577 17.0541 -2.76415 -2.76415
6	1.16185 5.98676 3.67034 2.64082 0.672943 1.86868 2.12606 1.48261 1.09654 0.967855 0.967855 1.09654 1.35392 1.35392 0.581785 0.710475 -2.76415 0.839165 0.839165 0.195716 -1.47725 -0.705113 0.594228 -2.76415 -2.76415 -2.76415 -2.76415 -2.76415 -2.76415 -2.76415 -2.76415 -2.76415 -2.76415 -2.76415 -3.27601 -2.76415 -2.76415 -2.76415 -2.76415 -2.76415 -2.76415 -2.76415 -2.88071 -2.76415 -2.76969 -2.76415 -2.76415 -2.76415
7	-0.338295 2.12606 0.839165 0.839165 0.0308113 1.48261 0.839165 0.324406 -0.705113 1.09654 1.09654 0.0670259 2.12606 0.710475 0.839165 1.09654 0.839165 1.35392 -2.76415 -2.76415 -2.76415 -2.76415 0.0564396 -2.76415 -2.76415 -2.76415 -2.76415 -1.21987 -2.76415 1.35392 -2.76415 -0.447734 0.839165 1.86868 0.15136 1.6113 1.35392 -2.76415 -2.76415 -2.76415 -2.76415 -2.76415 -2.20941 -2.76415 -2.99622 -2.76415 -2.76415 -2.76415
8	0.143901 1.09654 2.38344 -2.76415 0.230696 0.710475 0.839165 0.581785 -0.319044 0.967855 1.09654 0.967855 0.839165 1.35392 0.581785 0.839165 1.09654 1.6113 0.067026 -2.76415 -2.76415 -2.76415 -0.0205103 -2.76415 -2.76415 -2.76415 -2.76415 -2.76415 -2.76415 -2.76415 0.067026 -2.76415 9.04958 10.7483 9.26198 18.8557 -2.76415 18.3152 3.67034 16.2819 -2.76415 -2.76415 3.48297 -2.76415 1.71888 11.5204 -2.76415 -2.76415
9	0.549717 -2.76415 7.76268 5.472 0.176095 2.38344 -2.76415 2.12606 1.86868 1.73999 2.12606 1.35392 1.48261 1.09654 1.86868 1.35392 1.6113 1.48261 1.35392 -2.76415 -2.76415 -2.76415 -0.00810546 -2.76415 -2.76415 -2.76415 -2.76415 -2.76415 -2.76415 -2.76415 -2.76415 -2.76415 10.3365 -2.76415 5.03897 16.5393 -2.76415 -2.76415 -2.76415 17.5688 3.67034 9.84746 4.02616 18.0836 3.78321 -2.76415 -2.76415 -2.76415
10	1.75773 4.31379 6.50152 5.08593 0.986112 3.41296 3.79903 3.12984 3.92772 1.86868 1.22523 -2.76415 1.86868 1.48261 1.6113 1.6113 1.09654 1.22523 -1.47725 -2.76415 -2.76415 -0.447734 0.697064 -0.447734 1.09654 -2.76415 -2.76415 -2.76415 -2.76415 -2.76415 -2.76415 5.472 -2.76415 -2.76415 2.26131 13.4508 -2.76415 -2.76415 3.12984 3.41296 -2.76415 9.20401 0.129842 -2.76415 -0.493589 -2.76415 -2.76415 -2.76415
