1	-0.1499538031756105 -0.1354359923982078 -0.1029986920438238 -0.1076858194912109 -0.1033136169701299 -0.09838464584816252 -0.08424621198693927 -0.08364097823791837 -0.08210861313832943 -0.08062381566974852 -0.08273909374555793 -0.07833131942094897 -0.09500501395383877 -0.08467423202297381 -0.07945468303904461 -0.0851474448922017 -0.07546214962283986 -0.08174321316875854 -0.08170663169854123 -0.07557933715019703 -0.0828452917519444 -0.06524189081263007 -0.0779906479639314 -0.07256739451325815 -0.08193370981467418 -0.08141533166279431 -0.08408455393323065 -0.08314719520763258 -0.09547452759274327 -0.07270660157771623 -0.04943594948839378 -0.0779846671052601 -0.07308892967022268 -0.01469211335551352 -0.1218941881857356 -0.005261026987167504 0.06760037751726505 0.05244106451409206 0.1025100593053848 0.168233531664988 0.1339019833601326 0.241756254889049 0.1766514147628264 0.2660933567605286 0.3422094534892947 0.2854628009119161 0.2644814556428615 0.109405519286927
2	2.199101128883437 1.069321631722945 0.6828946318430432 0.2067360023856444 0.2026201699278447 0.04934784058387542 0.3133211613225241 0.1534437404732191 -0.06437234814550277 -0.2113983695494675 -0.2714373765960475 -0.2863840985254757 -0.6733030100601242 -0.3965788168187807 -0.1981602823300296 -0.4220986384120559 -0.2397690186897117 -0.2949026571102708 -0.2602645545735365 -0.1957242316335114 -0.4369605986054795 -0.01912050635939414 -0.2966730964353438 -0.08473759806869409 -0.3769678724318565 -0.0580982234438604 0.3026303327543604 1.039313805439446 1.301163182972783 3.373024918781891 5.062858353310881 6.864053570366796 9.599252749408601 12.60405829839284 11.73883177235319 14.4867392441745 15.51619663884511 14.9229804186816 16.35981456636512 16.77363229827114 15.07071948142688 17.13164653336882 15.9741746009141 17.07391069348565 18.08768767463604 15.40181583517251 14.7011193907458 9.944401280212764
3	8.075950342687406 5.834437032414383 4.710855505870724 3.729837746830977 3.136917110962597 3.304984114968946 3.326436387942775 3.0741419948334 2.778823014541604 2.682646078676856 2.393764710272671 2.353821000008661 2.173693273008047 2.27761901522785 2.265666026542148 2.108240490635289 2.222224745729429 2.114070293620022 2.009935620312476 2.098060786535725 2.126029902507192 2.090503635055312 2.028867923502962 2.058560497350325 1.805565647891275 1.961588104946387 2.242145117585587 2.679442585838729 3.100020058267925 3.83197823965175 5.027013661526579 6.266493363531365 6.981251147192698 8.091720969574885 8.265835713931704 9.921547425879742 11.10949617438683 12.43793885313729 10.43497586683221 11.63518562859102 11.64890107804006 13.46682963203963 11.57045309532433 14.10162686654896 14.91342941652717 14.109095747208 11.14389644089727 9.230374433818543
4	6.865628277663326 4.782598750871519 3.715630712710014 2.874322798865415 2.503343624445964 2.479721595811202 2.580440037230946 2.331183716433072 2.015987065948475 1.860860665012993 1.666791502903253 1.610720049641339 1.354923274150208 1.531895359430437 1.620155952065588 1.420016667832467 1.547725637225617 1.484136930278803 1.444828653468244 1.503418735419156 1.408847762266862 1.553356724521503 1.413402148476175 1.533197319985001 1.254697107627836 1.540566694052167 1.941914962924926 2.64846748297603 3.121561171079779 4.711346391820037 6.330919402746354 8.322334020129206 10.4091635537816 12.60769157669752 12.74500936275826 14.79029370908594 15.73104549396222 16.21710986583523 15.67537388418351 16.27943528040825 15.4143087905032 17.17467858136494 15.70077077326021 17.37825307538483 18.07297859883105 16.24167463470967 14.19337882978276 10.95712425512721
5	6.570010571170076 4.8765286573496 4.33210799971467 3.320570513252818 2.469858516696547 3.064887775523149 3.041362494320131 2.873970060102948 2.739430689998069 2.824476878158483 2.39755358541655 2.45201171135403 2.337149005315254 2.343935741442485 2.16128683812925 2.096995946268231 2.238421115153682 2.002894204513947 1.787544609828206 1.974228203728584 2.197511884561484 1.942726394444648 1.951529666771658 1.821345598628483 1.618045110498987 1.431910399322866 1.316516580392947 1.004276154101344 1.039107393017466 -0.1935862912638498 -0.1332185776411733 -1.306169581626288 -3.895501549627112 -5.042348663923866 -5.920687219121503 -4.539163669547175 -2.462593511469211 0.1719325903885702 -3.960246191305502 -1.156211163867142 0.5003303689244633 2.914420451196701 0.05066227184746547 4.555567922680164 6.12148948426066 7.348560832725147 3.101385592457669 3.278966104504384
6	1.994191594871661 1.646888617992606 1.452782115826572 1.254433399212364 0.9971908406028502 1.177769577708742 1.084073130104511 1.060178934957346 1.052286256347299 1.096069144653945 0.9898077630955409 0.9941968050141349 1.076061993502941 1.000817821069831 0.8998036344903617 0.9355232866502472 0.9163414575989288 0.8771889946522697 0.8095776464042731 0.8336457771602274 0.9596660297553072 0.7637052271313497 0.8510712498990082 0.7622895335775995 0.780624978822053 0.6735738645024653 0.5899160239733562 0.3772340521217918 0.3828355060188255 -0.3796644655789065 -0.7100649936699359 -1.251916296830051 -2.456691975245483 -3.457268389586188 -3.235570284966943 -3.648943882088767 -3.446619963629648 -2.546168227832162 -4.122702553512019 -3.588914781685217 -2.728913529191288 -2.70646836531022 -3.138102745495553 -2.301278128960125 -2.253170495503662 -1.286668759896153 -2.327128141933084 -1.019104569788477
7	-0.9677462524196515 -0.6272669360363441 -0.5506816594183126 -0.351581490442793 -0.2371794315130229 -0.3106406264738631 -0.3536152004132169 -0.3137401778709797 -0.2734551594846313 -0.2715453680644614 -0.2024360851967704 -0.2140990073287706 -0.1352820336325583 -0.1790331379885759 -0.1812713542554861 -0.1410008578097015 -0.1927355448959023 -0.1457393292957156 -0.1192389577959433 -0.160184364925798 -0.1564630508567056 -0.1878391625945638 -0.1431109413836796 -0.1544280136299667 -0.08263298839690675 -0.09129834609204343 -0.1103282767445933 -0.1465658314520807 -0.163813055376249 -0.2415474017710179 -0.4606783866553599 -0.452470438840376 -0.3878930171973677 -0.6229945854272316 -0.2703982656892285 -0.9073792557143188 -1.402198153614641 -1.68951027362132 -1.32659304596254 -1.848586230252364 -1.855202606408507 -2.552494237485425 -1.943235714757159 -2.8078857407005 -3.23342104769031 -3.045857279340514 -2.347336913925197 -1.665278705495798
8	-0.2164195415736002 -0.3890588575221399 -0.4253777840394449 -0.4696364807405813 -0.3546661964365467 -0.4838435573148275 -0.3708253592532387 -0.4062197531937748 -0.4660615770237967 -0.5291839153405126 -0.4968246143579574 -0.505046276244827 -0.6469931183154525 -0.5371259082505729 -0.4358109000011775 -0.5143189420994809 -0.4571159591644657 -0.4523424061388293 -0.4113463210517612 -0.4064197181808978 -0.5306737497793909 -0.3278570990019077 -0.4424842521116722 -0.342972628753606 -0.431612617918483 -0.2907730128158347 -0.1472258339799546 0.1623733782341105 0.240611281578804 1.178078945364976 1.806903084649173 2.587178086539493 3.926549132864322 5.22691844991007 4.921877720538347 5.853650316667541 6.026262722843431 5.448560225728551 6.564704363587105 6.41078366150819 5.53993574689981 6.077427061612775 5.969786383684937 5.864372199089077 6.101826443886392 4.908341471170447 5.192773078403932 3.287823260617685
9	3.264447205847356 2.49048749848361 1.844507171112893 1.662556411898286 1.582673426130235 1.453137786641655 1.381791522460108 1.293871530795864 1.166132186806431 1.077186899366357 1.069408357054043 1.002103053530252 1.047364974272982 1.03564167087042 1.05387908810478 1.025095213487307 0.98010739816259 1.036439374648894 1.048088349563776 0.9973901091375574 0.9880338257760881 0.9371255821930045 0.9823872209008541 1.00528580830748 0.9922576886411006 1.13314755182616 1.339714852834153 1.671202834846726 1.967992913161054 2.613230030747088 3.095597221961745 4.326637950689038 5.508924249038785 6.104784880304659 7.165580939378873 6.880325827209844 6.399331667169868 6.380671253744526 6.285526450111795 5.625259000879407 5.32502914836108 4.855488317109946 5.151822993504263 4.522670706011644 3.978672850068096 3.513360977503397 3.385870232762614 3.280425682642124
10	3.903825227624795 3.026279592707284 2.44462111885221 2.10687105631827 1.824170697567676 1.902012545656479 1.805249804909507 1.716421836458898 1.613782423168335 1.588396515752024 1.479110240348641 1.444095008871777 1.501675486058672 1.456532574134531 1.39545577447104 1.387446353399723 1.36509865252949 1.354037024738498 1.301869655113639 1.303166744814607 1.387511794734611 1.224757468656914 1.299653204926527 1.253988354905574 1.231024563689936 1.24599360997953 1.323770338264062 1.39370874440129 1.593096161081916 1.478320084562367 1.629840460264912 2.014347390040153 1.863255773640232 1.605234809648537 2.302961369888939 2.069504380115555 2.104396360309905 2.860258494034451 1.510375501975581 1.683277644607537 2.121182936796828 2.111460774750262 1.747615327005511 2.294697864220253 2.150235219060324 2.484960378015087 1.373743972451953 1.992662651789199
