1	-1.188822304371814 -1.197123194732986 -1.154728757616363 -1.153761545951116 -1.200987462977422 -1.196524605341832 -1.230147533842489 -1.112353488134501 -1.013741430943435 -1.094943450014885 -1.324081220510867 -1.280210289508752 0.4045519540251601 0.5563836582420574 0.1562746963583058 0.4101886562241843 -1.670447560382748 0.4324381593195696 -1.318926889075395 -1.327611142443983
2	-1.195536071255661 -1.203106311562039 -1.17949930647454 -1.159264271119228 -1.191208447816662 -1.182093670758326 -1.131526183083603 -1.096332564301645 -1.080482282403433 -1.088630373977939 -1.167375752061532 -1.139522161111817 0.03327495409095272 0.2078119634881649 0.05975100398024834 0.2315691463200021 -0.5564306294995561 0.2118428014739114 -1.144688353550851 -1.159658995701844
3	-1.233428173052948 -1.225365039074739 -1.234141647178637 -1.199634638104221 -1.227135022845114 -1.206584782823576 -1.152086683038902 -1.155932242270999 -1.188216261020469 -1.155045889402267 -1.147233882253524 -1.136075844565743 0.01292559803938111 0.1846962612659274 0.2084742121192807 0.3333504961206047 0.2058368172923256 0.2845885656445272 -1.126701557853104 -1.137323556695548
4	-1.216015639763883 -1.220509288443682 -1.213696391376887 -1.179136492370373 -1.201301040288048 -1.18731522774318 -1.084542674586698 -1.105934310591299 -1.148495129695288 -1.10523711583164 -1.078408860397126 -1.062927703476906 -0.1953517995074398 -0.006066971954663125 0.02729034409128174 0.1425949509583921 0.2466981801515228 0.09221691264989973 -1.045261857281814 -1.063422603589559
5	-1.249946013082001 -1.270813687768964 -1.242012953636052 -1.207495103018714 -1.225223842815823 -1.219416720134826 -1.057489008883435 -1.094977739350334 -1.145291369150093 -1.093620973719371 -1.054628384107137 -1.031446327114141 -0.4382551461897686 -0.2196996832907459 -0.1950761562293053 -0.07929891106512761 0.2108421816975545 -0.1303447720332549 -1.005329216260381 -1.033441124386354
6	-1.196894111468224 -1.214547585768589 -1.192115314660654 -1.156757589393133 -1.172682482225539 -1.16541968355602 -1.008639214557762 -1.051762494328652 -1.108404646184365 -1.051654342692428 -0.9988335136999567 -0.9794670098438955 -0.428912271617419 -0.2204848152929826 -0.1669755678186823 -0.06512698017195548 0.3341244297735204 -0.1188425273365587 -0.9517585799420051 -0.9780761290417669
7	-1.151088901237654 -1.155183145295358 -1.155137038191451 -1.115799981878726 -1.131396497550025 -1.116622166200423 -0.9899230992048991 -1.038931442189438 -1.107937479872191 -1.041641990974025 -0.9639675857274952 -0.9548622574105258 -0.3150619038846735 -0.1282050512048364 -0.009173545936744592 0.07120970331799877 0.6198755582815324 0.00903724705416791 -0.9264651278714705 -0.9458656277145731
8	-1.130399294456411 -1.129556532624716 -1.136507290951944 -1.097072076402343 -1.11348689019719 -1.096302723333707 -0.9864445626465789 -1.032136113885239 -1.100130442633534 -1.035245947005943 -0.9583915229776776 -0.9520430368710895 -0.248422999358148 -0.07150174238816 0.05494127915923479 0.1325068455575239 0.6509404788828415 0.07012763917263906 -0.9256426042802383 -0.9420430265806445
9	-1.077222124293549 -1.07932232332143 -1.084282423119746 -1.044498364327626 -1.057278860100761 -1.041911045259666 -0.9163606534812055 -0.9730946882520076 -1.049439344312797 -0.9771566499395469 -0.8829911834296312 -0.8776173043303165 -0.3269201537272478 -0.1511824325857477 -0.0009212692285577074 0.06212557072895413 0.7518086254741074 -0.002406232714064391 -0.8468000251421446 -0.8649463637888656
10	-1.033988229594301 -1.040496008096375 -1.04389701243706 -1.001002776451772 -1.007776327249974 -0.9943001293013989 -0.8356370217409946 -0.9161746366826765 -1.012968600725689 -0.9224328668976188 -0.7893942719722736 -0.7863563201885162 -0.4793102229048201 -0.298027771271931 -0.0906092035566269 -0.05255725765602165 1.000767167656745 -0.1252091426025099 -0.7457156871455767 -0.7674801272289854
11	-0.959112691168639 -0.9758113060230308 -0.965471389606834 -0.9254796647807189 -0.9277361429557484 -0.9206689976335206 -0.7326449638436408 -0.8212990607569475 -0.9191524941115224 -0.8271236496535149 -0.6893826485249899 -0.6825106887446677 -0.6177226993047821 -0.4327924196979006 -0.2353209459026649 -0.2055875346152346 0.950678733587722 -0.2743858031541275 -0.6380552645719327 -0.6647417230116005
12	-0.9412575216280519 -0.9480056228941131 -0.9520794309489171 -0.9108574036873051 -0.9149381085687521 -0.9026165740373002 -0.7452422413277394 -0.8290740832748095 -0.9272078931063826 -0.8358709545956382 -0.696550755958747 -0.6952604385897205 -0.4929534189042402 -0.3240486457650791 -0.1063176949630261 -0.08150845901080911 1.038747154727912 -0.1524800814740048 -0.6539052293913193 -0.6749715553178605
13	-0.9191331201804391 -0.9491855141982716 -0.9182912312045809 -0.8831202868776845 -0.8827890516975715 -0.883927008912932 -0.6654185829215107 -0.7537957531798675 -0.8433074398039321 -0.7576622454000985 -0.6338845350239021 -0.6191219945930636 -0.7515458035602099 -0.5563143635185742 -0.4056001574490568 -0.3695364170234562 0.7408171815246676 -0.4298293724320401 -0.5736969153370356 -0.6066423522629755
14	-0.8776828090651041 -0.89737640154948 -0.87625873065478 -0.8460640230713519 -0.8517926277267773 -0.8489975009901444 -0.6894228642731474 -0.7479654445798736 -0.8126192780038309 -0.7500037740228765 -0.6694115091582487 -0.6560721264998368 -0.5069917482749292 -0.3385819745930594 -0.2414645482604066 -0.1883172420751239 0.500685987630209 -0.237657064164795 -0.6241218389511596 -0.6489739014431207
15	-0.8900698612395122 -0.9026678090792654 -0.892170761785137 -0.8599960453891142 -0.8671974505932142 -0.8602335354588344 -0.7189777787574053 -0.7761096421152676 -0.8434722844599187 -0.779025426726793 -0.6937833566423188 -0.6844632407526907 -0.4283718378454477 -0.2671582872775221 -0.1497893613686479 -0.09942366132790406 0.5911821053149916 -0.1521967472996992 -0.6537234670288533 -0.6750223944853594
16	-0.913415294196238 -0.9199809251553833 -0.9163936274233434 -0.8844239562709144 -0.8949793123169072 -0.8847939461704786 -0.7684140748125324 -0.814665628920043 -0.8749432415837706 -0.8171743875984167 -0.7455997846863531 -0.7376862060008326 -0.3177157043192055 -0.1633945340762273 -0.05822698559465687 0.0008176636563706573 0.5392043034180551 -0.05046927180741232 -0.711821272693284 -0.7294781576411534
17	-0.9572733024201844 -0.9553462260267197 -0.9651892594150899 -0.9292301902551091 -0.9414634619108413 -0.9257251424621363 -0.8256188741172302 -0.8740346729801254 -0.9419561980300747 -0.8779820318764069 -0.7940353687742367 -0.7912634119855544 -0.242494527422352 -0.09148287325985288 0.0491914727380993 0.1042476914409729 0.6996684132422358 0.04591914795369659 -0.7650779488130622 -0.7791276095270446
18	-0.9921778210684613 -0.9814894625318266 -0.9987820079351707 -0.9658545542445266 -0.9852485554198585 -0.9654242339768865 -0.9138943782585514 -0.9344441395210606 -0.9800851012660595 -0.9363944966193535 -0.8941651756225726 -0.8911366060893465 -0.02654501368744282 0.1113000205752129 0.1977878390881291 0.2775723528286093 0.463165713655474 0.227408566620507 -0.8769283022739132 -0.8847393450820208
19	-1.02342520126359 -1.028364765680219 -1.02358389044993 -0.991891815712114 -1.007985592385413 -0.9962377363065565 -0.8935986726095925 -0.9244126648031228 -0.9723543526807054 -0.9251424619647552 -0.880537004204341 -0.8692078575846693 -0.2349666904898109 -0.07074704481414605 -0.007989208005367345 0.07720032833949458 0.3608442474112242 0.02899191707512116 -0.8490142905706988 -0.865903744334004
20	-1.030890148951356 -1.033715666125288 -1.030248606317918 -0.999832933196945 -1.018061256815616 -1.005453908435054 -0.9169497185382107 -0.9387639010735737 -0.9790449981708879 -0.938748974607359 -0.9083281332819659 -0.8965189997491055 -0.1723907028679816 -0.01211118569657774 0.03070700672301269 0.1240250706522759 0.2733730659641243 0.07895948703921461 -0.8801473283784029 -0.8953390474355684
21	-1.100943676292142 -1.133142963115394 -1.093302566027412 -1.059411535745255 -1.067158531218848 -1.068378103335232 -0.8581965743630923 -0.9233910006372558 -0.9921978026085881 -0.923861566717176 -0.8453922777808036 -0.8223900801820341 -0.674982957572398 -0.4568798134062417 -0.3860231035684325 -0.3052953143454447 0.4028806911156402 -0.3591387150823979 -0.7848974549134742 -0.8192028228287422
22	-1.17474163715713 -1.233554744704235 -1.157911335513426 -1.123610627261763 -1.124555376600021 -1.138829848831427 -0.831416947637859 -0.9227914602923387 -1.004579453948543 -0.9221533850894942 -0.823995229557405 -0.7882230477624954 -1.070652230457211 -0.8022397510679495 -0.7457692620095622 -0.6622484047083322 0.3452830871592242 -0.7178298299716076 -0.7368568146037744 -0.7875553552776933
23	-1.18836708772968 -1.247726764878715 -1.171564625608366 -1.136668839333459 -1.13751153377182 -1.151838627045419 -0.8404740636355119 -0.9336046866039093 -1.017108475371119 -0.9330606261469598 -0.832363076887302 -0.7963930749446919 -1.084872032781069 -0.8133204939156309 -0.7536195820328631 -0.6699293135678789 0.3606657462767371 -0.7265749943998069 -0.744161842980382 -0.7954353542992262
24	-1.213015736490435 -1.260701312701917 -1.20026898640756 -1.163853409247094 -1.168730594140302 -1.176549790517726 -0.9034477684633325 -0.98618474907154 -1.066191788849896 -0.9861361298758995 -0.8924429625456379 -0.8614974223900239 -0.9187136633638686 -0.6605867093804207 -0.59201516890631 -0.504394700724907 0.4018992403220393 -0.5627941192654189 -0.8145095283537301 -0.8593442476342512
25	-1.251438385702393 -1.304371888797467 -1.240181503860627 -1.199457033233714 -1.200542767945497 -1.209837368228116 -0.8997890900535006 -1.003520147839218 -1.102313575065012 -1.00504589160945 -0.8789249776385324 -0.8481329942606015 -1.070283290453239 -0.7944087059746802 -0.681142698954034 -0.6061251570415156 0.6024696055519566 -0.673619709419175 -0.7918065644691489 -0.8414129441192232
26	-1.2139064242336 -1.260735604663275 -1.203321776815598 -1.164829475919266 -1.168348209185755 -1.175265284510264 -0.8960108984128116 -0.9866797326906978 -1.07506791576593 -0.9876810689676394 -0.8787409312792931 -0.8498239403533123 -0.9463234170226272 -0.6869356116340569 -0.5914299007295659 -0.5122800239116091 0.5209608043326939 -0.5751300191500494 -0.7996927815208568 -0.8447367606567684
27	-1.232237284179444 -1.282927836172026 -1.219309571842969 -1.181613068086382 -1.185174918660193 -1.19411919625434 -0.9050763858869035 -0.9949567452913228 -1.080810575773818 -0.995247732608687 -0.8918089939625331 -0.8600653431383543 -0.9830349394934226 -0.7164876651083071 -0.6370276756248401 -0.5520701106261172 0.451563013575726 -0.6131388202841644 -0.8097325447505427 -0.8568786902621487
28	-1.207935083323333 -1.231418122738581 -1.207264679959139 -1.165427526285064 -1.174391441409214 -1.168622669027936 -0.9612901654767861 -1.038654437268249 -1.126419432305744 -1.041631182793155 -0.9328092800864396 -0.9161172679570898 -0.6459818781682449 -0.4194812196525755 -0.2829192983904615 -0.2094086823931501 0.7019102357209887 -0.2776023109036656 -0.873817625988612 -0.9059360918752827
29	-1.163354386088137 -1.142074797715344 -1.178939553677648 -1.134603053977166 -1.155801680552588 -1.126805994642442 -1.073183839816009 -1.111610547307902 -1.184166248056724 -1.11688067322742 -1.032419439116352 -1.037077984100345 -0.007197315161438693 0.1477226341647968 0.3228543317982603 0.3952989095716325 0.8687799609746287 0.3247285292260358 -1.015484645184401 -1.02136465265666
30	-1.121413957102658 -1.072701647371504 -1.145186589695349 -1.101643445830598 -1.131623387113778 -1.0890080834689 -1.13927413776323 -1.145297982042155 -1.199745610819115 -1.151010024093366 -1.096865806004691 -1.113191809210373 0.4240284913118266 0.5306030126599262 0.7037549733402096 0.7824509210028233 0.8566830877156633 0.71520545392279 -1.107862240233175 -1.096811464760528
