1	-1.93678 -1.90056 -1.63333 -0.991784 -1.54872 -1.6699 -1.19508 -0.833605 -1.39697 -1.41958 -1.2279 -1.50621 -1.59865 -1.51908 -1.17181 -1.3616 -1.17732 -1.35846 -1.57164 -1.58451 -0.896448 -1.35533 -1.12601 -1.14092 -1.43045 -1.27261 -1.33924 -1.07695 -1.35416 -1.31056 -1.49268 -1.07924 -1.20537 -1.75295 -0.733427 -1.71627 -1.69819 -1.39668 -1.45218 -1.29699 -1.6674 -1.7728 -2.14994 -1.90452 -1.69889 -2.19713 -2.30198 -2.2774 -1.96106 -2.20177
2	-1.73476 -1.77456 -1.68119 -0.974114 -1.43259 -1.58706 -1.27369 -0.63296 -1.31678 -1.41958 -1.12273 -1.23651 -1.48209 -1.39363 -1.20281 -1.27736 -1.17732 -1.27569 -1.4514 -1.33082 -0.75174 -1.35533 -1.14602 -1.02128 -1.2579 -1.22687 -1.25512 -1.4311 -1.13741 -1.11006 -1.47014 -1.3666 -0.857974 -1.68331 -1.21164 -1.59372 -1.68535 -1.24985 -1.59251 -1.31609 -1.48371 -1.56913 -2.03822 -1.74064 -2.02273 -2.41627 -2.42739 -2.26161 -1.97749 -2.10458
3	-1.49907 -1.49255 -1.35816 -1.46886 -1.58971 -1.46972 -1.34624 -1.25998 -1.30601 -1.43252 -1.15366 -0.917779 -1.16478 -1.50588 -1.17801 -1.26681 -0.957191 -1.26636 -1.25099 -1.12386 -1.22361 -1.26853 -1.23277 -1.23397 -1.12369 -1.10272 -1.24639 -1.43791 -1.70096 -1.89436 -1.12454 -1.42248 -1.71407 -1.76561 -1.06509 -1.52632 -1.76877 -1.66482 -1.54298 -1.45423 -1.53381 -1.4091 -2.12201 -1.68849 -1.95164 -2.40963 -2.41346 -2.14316 -1.67352 -1.76443
4	-1.42051 -1.43255 -1.36414 -1.54543 -1.78098 -1.60777 -1.44298 -1.68008 -1.57458 -1.54254 -1.562 -1.46331 -1.54037 -1.65114 -1.81041 -1.55681 -1.72152 -1.54908 -1.67852 -1.53778 -1.34316 -1.56233 -1.60642 -1.63275 -1.64774 -1.57973 -1.53659 -0.797711 -1.02594 -1.63489 -0.846554 -1.24687 -1.46593 -1.52504 -0.910829 -1.48343 -1.45435 -1.62652 -1.14677 -1.18575 -1.49206 -1.67096 -2.20581 -1.42777 -2.03063 -2.38971 -2.48313 -2.08788 -1.69817 -1.74014
5	-1.48785 -1.54655 -1.68119 -1.43352 -1.72633 -1.70441 -1.81181 -1.57975 -1.64008 -1.65903 -1.8466 -1.59816 -1.70226 -1.67095 -1.90961 -1.63298 -1.95999 -1.62293 -1.67184 -1.67797 -1.22361 -1.50223 -1.5864 -1.57958 -1.71804 -1.69734 -1.61472 -0.981598 -1.01356 -1.32825 -1.05692 -0.975467 -1.2488 -1.26547 -1.1268 -1.37926 -1.32601 -1.34561 -0.989937 -1.11383 -1.40022 -1.64187 -2.07313 -1.11491 -1.82527 -2.34986 -2.34378 -2.03261 -1.84604 -1.84542
6	-1.73476 -1.54055 -1.65726 -1.35106 -1.55555 -1.56636 -1.86622 -1.52959 -1.68875 -1.65256 -1.95796 -1.6901 -1.69578 -1.72377 -1.92821 -1.68066 -2.01502 -1.67062 -1.7854 -1.84488 -1.36203 -1.64246 -1.59307 -1.64605 -1.82029 -1.95218 -1.66191 -1.12462 -1.22411 -1.15724 -1.10951 -1.11117 -1.15575 -1.25281 -1.27335 -1.4099 -1.29392 -1.24985 -1.21281 -1.17637 -1.51711 -1.5473 -2.21978 -1.47247 -1.95954 -2.39635 -2.42042 -2.17475 -1.73103 -1.88591
7	-1.85261 -1.62455 -1.53164 -1.34517 -1.28914 -1.53184 -1.61833 -1.24744 -1.54173 -1.5749 -1.7043 -1.72688 -1.60512 -1.38043 -1.62441 -1.51994 -1.64203 -1.5135 -1.51152 -1.72471 -1.19216 -1.35533 -1.37288 -1.36025 -1.78195 -1.78229 -1.49958 -1.05651 -1.08787 -1.47568 -1.1621 -1.2788 -1.27982 -1.42374 -1.18079 -1.44054 -1.33242 -1.35199 -1.54298 -1.25414 -1.5839 -1.72188 -2.19184 -1.50227 -1.92005 -2.3565 -2.44133 -2.19054 -1.84604 -1.9669
8	-1.68987 -1.50455 -1.40003 -1.3864 -1.3028 -1.24193 -1.25555 -1.2349 -1.39096 -1.38722 -1.32071 -1.38362 -1.372 -1.48607 -1.31441 -1.35491 -1.28127 -1.35229 -1.4848 -1.57783 -1.10407 -1.38872 -1.3929 -1.32702 -1.24511 -1.32489 -1.33297 -1.27445 -1.36035 -1.49337 -1.37999 -1.25485 -1.31084 -1.56302 -1.20393 -1.53858 -1.57627 -1.37753 -1.45218 -1.34561 -1.57556 -1.75825 -2.28961 -1.67359 -1.99114 -2.42291 -2.47616 -2.18264 -1.95284 -1.9912
9	-1.76282 -1.54655 -1.4778 -1.34517 -1.28914 -1.26263 -1.6546 -1.191 -1.51432 -1.47135 -1.55581 -1.80043 -1.54037 -1.43325 -1.68641 -1.48585 -1.66649 -1.48099 -1.66516 -1.71135 -1.17957 -1.36201 -1.33285 -1.3669 -1.55188 -1.57973 -1.46443 -1.36299 -1.63283 -1.85308 -1.06443 -1.31073 -1.55898 -1.60101 -0.733427 -1.56309 -1.50568 -1.57544 -1.27884 -1.33434 -1.49206 -1.7728 -2.27564 -1.74809 -1.91215 -2.40299 -2.47616 -2.11947 -1.86247 -2.03979
10	-1.75721 -1.74456 -1.65128 -1.45119 -1.46675 -1.35237 -1.64251 -1.37911 -1.53523 -1.45194 -1.60531 -1.75752 -1.54684 -1.5587 -1.58721 -1.51204 -1.63592 -1.50494 -1.51152 -1.73806 -1.32428 -1.35533 -1.38623 -1.39348 -1.47519 -1.42944 -1.49007 -1.00884 -1.24269 -1.24569 -0.921685 -0.98345 -1.21158 -1.62633 -0.548312 -1.61823 -1.56985 -1.39668 -1.21281 -1.14609 -1.45031 -1.73643 -2.22676 -1.75554 -1.94374 -2.36314 -2.44829 -2.0563 -1.76389 -2.04789
11	-1.90872 -1.70855 -1.82476 -1.66322 -1.70583 -1.52494 -1.6546 -1.68635 -1.65317 -1.64993 -1.73523 -1.65945 -1.65693 -1.68415 -1.79181 -1.64655 -1.74598 -1.65576 -1.585 -1.63792 -1.44382 -1.65149 -1.61976 -1.61282 -1.65413 -1.67121 -1.62691 -0.869326 -0.945436 -1.09343 -0.718831 -0.791873 -0.709088 -1.51238 -0.640869 -1.39152 -1.44793 -1.03917 -1.15502 -1.06643 -1.42527 -1.7146 -2.17089 -1.42777 -1.83317 -2.32994 -2.39952 -1.93785 -1.76389 -1.78873
12	-1.76282 -1.74456 -1.82476 -1.80458 -1.72633 -1.69751 -1.80576 -1.79921 -1.6768 -1.68049 -1.83423 -1.83108 -1.74111 -1.75018 -1.72981 -1.69502 -1.81324 -1.76619 -1.59168 -1.8115 -1.35574 -1.68128 -1.61976 -1.52641 -1.82029 -1.73002 -1.684 -0.958217 -0.772037 -1.08061 -1.11703 -0.927573 -0.789735 -0.75267 -1.17308 -1.10353 -0.780574 -0.841256 -1.22931 -1.46281 -1.17479 -1.11814 -1.84269 -0.7946 -1.41455 -2.08424 -2.22534 -1.32191 -1.43528 -1.49717
13	-1.91433 -1.74456 -1.84869 -1.80458 -1.84929 -1.76654 -1.84204 -1.655 -1.76017 -1.76373 -1.87135 -1.86786 -1.89653 -1.7898 -1.91581 -1.78151 -2.02725 -1.9156 -1.79208 -1.89828 -1.80245 -1.76322 -1.74654 -1.69257 -1.80112 -1.67121 -1.77495 -1.46007 -1.29223 -1.46438 -1.43258 -1.70985 -1.34806 -1.17051 -1.68986 -1.43441 -1.21692 -1.03278 -1.63378 -1.90753 -1.31673 -1.16906 -1.58432 -1.249 -1.20129 -1.87174 -1.79338 -1.36929 -1.34492 -1.319
14	-1.86383 -1.67855 -1.85467 -1.74568 -1.87661 -1.78034 -1.9025 -1.9685 -1.81516 -1.81627 -1.87753 -1.93528 -1.83177 -1.86243 -1.91581 -1.82815 -1.92942 -1.92209 -1.86557 -1.99175 -1.87165 -1.81597 -1.83328 -1.79892 -1.85864 -1.89991 -1.81837 -1.50008 -1.32939 -1.53681 -1.39501 -1.57415 -1.5962 -1.44274 -1.25021 -1.48343 -1.56985 -1.45414 -1.76585 -1.92686 -1.55051 -1.50366 -1.77984 -1.76298 -1.27238 -1.99791 -1.94666 -1.25084 -1.58316 -1.52957
