1	-0.6294357106672959 -0.795545521336351 -0.629496329372798 -0.6261618328587853 -0.7643740323643121 -0.8666884029130378 0.3286455294345314 1.133458605656135 -0.7474811104700135 -0.6734877137652671
2	-0.9059935598982004 -0.925399991698573 -0.8435207889824513 -0.9089587927574287 -0.8592731125478709 0.2662013897430954 0.1161097890300259 -0.1375047400945529 -0.88900879889273 -0.8845673402519841
3	-0.9091629993925091 -0.9726244779191269 -0.86955871692894 -0.9083252751287603 -0.9179663615149569 0.02724682118680357 -0.228978230748693 -0.1979232480709289 -0.9356063261626041 -0.9128781470653574
4	-0.8992411173364544 -0.9837723825347235 -0.8715895219778095 -0.8965047257427478 -0.9355686014394876 -0.09114413434902255 -0.4012920970444641 -0.2292723789693731 -0.9469674911595451 -0.9154679525363848
5	-0.9141281039472509 -0.9723324404362294 -0.875246561458312 -0.9129353453489252 -0.9186200833838767 0.08117386787782593 -0.3394106732153539 -0.3435248164636707 -0.9374045073114896 -0.9176750778266327
6	-0.9229455698798958 -0.9701550049665092 -0.8715814288796518 -0.9240453417353043 -0.9085921658042663 0.1088251096163506 -0.01336353279455108 -0.09415779840854172 -0.9315509179577409 -0.9151930920609053
7	-0.9305838808928982 -0.9848348241831147 -0.8791559210555512 -0.9317906438036452 -0.9223258631526555 0.05472934811273823 0.05784368657935957 0.01871811919601477 -0.9440381811749169 -0.9241410296359162
8	-0.9286035516680652 -0.9931756371455447 -0.887187543077241 -0.9279493523503155 -0.9366943305862991 0.0241733380647432 -0.1989502075586693 -0.1690545276290822 -0.9548887964515435 -0.9316057215934709
9	-0.9279481218047249 -0.9899094714321369 -0.8832326740677134 -0.9279439929715457 -0.9313885688186198 0.02628369749465875 -0.1003964928926626 -0.08770558414136184 -0.9505401697054644 -0.9279327640579409
10	-0.9538536919771612 -1.003806316047477 -0.8945134315908375 -0.9563692984831473 -0.9356517491740598 0.06504672168848928 0.2481414030913621 0.1703467521115987 -0.9599524861870004 -0.9411569489993137
11	-0.9455303039605006 -1.000729390822551 -0.8908853121581428 -0.9472737926388453 -0.9355232538727064 0.04064095738944831 0.1541627229825287 0.1142559055362248 -0.957880096302694 -0.937133176710261
12	-0.9458598105387324 -1.004010286645254 -0.8976283854538176 -0.9462950362290276 -0.9430104234481426 0.05394694917258995 -0.06202293254403115 -0.08159751364673488 -0.9639235999252147 -0.9429544361841415
13	-0.9385501946456553 -1.003647033647063 -0.8948221563397949 -0.9382872557690428 -0.9452612136616049 0.01468655257649196 -0.1294612328321638 -0.1008059613707073 -0.9639291113170683 -0.940101001931606
14	-0.9232166146765045 -1.007207930620953 -0.889729658301628 -0.9214321848427953 -0.9544161192132993 -0.1000704940628297 -0.2466585057210914 -0.08916176475718594 -0.9673674182263416 -0.9354441588297679
15	-0.9192816920751201 -0.9866547602767667 -0.8728594218779676 -0.9198937584327581 -0.9265604721805094 -0.03815644055735572 0.06150071130512546 0.1115501003439924 -0.9445589109686352 -0.9185946154037592
16	-0.9269708877722017 -0.9661912063428302 -0.8600652943065188 -0.9311601076674235 -0.8944157776642553 0.08807311364207226 0.485883147538649 0.3485844169757595 -0.9211842693740926 -0.9059013861811621
17	-0.716563875240728 -0.7138508383167269 -0.6590691625816668 -0.7201741037096028 -0.6577296593548118 0.3173964137436086 0.178587666372997 -0.1388803229300718 -0.6860754327234005 -0.690351151531766
18	-0.8220395455659893 -0.8917445051565583 -0.7920929399009017 -0.8203443118349378 -0.8451750990183039 -0.04620670595747959 -0.2799009533799042 -0.1719734585734668 -0.8577854580928471 -0.8319915588382703
19	-0.9533023661259088 -0.9831437792859101 -0.8795106244334087 -0.9584078044334562 -0.9069061849025513 0.1509206807781834 0.5615038276731005 0.3523261329415444 -0.9372772299502518 -0.9260256756533328
20	-0.8248602203179679 -0.9093601807838272 -0.7951560174489459 -0.8234694253198921 -0.861361385914875 -0.1693951964278675 -0.1071869626118743 0.0936502391611809 -0.8709293509159562 -0.8375058218229197
21	-0.7763814714364271 -0.8864533712536077 -0.778278803590445 -0.7694448981449852 -0.8591441299216503 -0.2432399347405132 -0.8866807757094898 -0.4956940745745297 -0.8578766750250608 -0.8165665984638023
22	-0.7594678379287345 -0.8294004657973922 -0.735935229601491 -0.7571567920409729 -0.7887147415683201 -0.06550486459265628 -0.3506301383721246 -0.2146660796660928 -0.7986700900784219 -0.7727932399705268
23	-0.7661644183684994 -0.782686299138146 -0.6836462548538703 -0.7750731253664989 -0.7058299699398993 0.04652386326143903 1.271715695678326 1.04999193395401 -0.7348250375198474 -0.7249269494888864
24	-0.7866173721730774 -0.7830777524336873 -0.7028761781751134 -0.7950109410905438 -0.7069912449471849 0.2298313870589855 1.003156441459623 0.6455604388897853 -0.7409154514892971 -0.7416756034371798
25	-0.9226255044497547 -0.9593624868083955 -0.8682212404746771 -0.9241076335130484 -0.8967524979697269 0.1803507868537321 -0.0271737562890913 -0.1751679393557126 -0.9222863355184047 -0.9107754044561942
26	-0.9081235021399707 -0.9615619268463388 -0.8673573393989618 -0.9072839565607924 -0.9071496959111814 0.105508591040442 -0.3090970044026009 -0.3415985160758598 -0.9270055457533585 -0.9092594900474786
27	-0.9070799765851566 -0.9617612813945069 -0.8661037374829308 -0.9063312335710165 -0.9070949343753719 0.09264072986848383 -0.2818148374477315 -0.3060640576273373 -0.9266890157478218 -0.9082286302283878
28	-0.9305579181696166 -0.9795857185862173 -0.8745681834838884 -0.9326101249965856 -0.9144050291567947 0.07229821907786348 0.1708139170354294 0.0973032415019372 -0.9378026524832286 -0.9197014603269057
29	-0.9295652653145799 -0.9807717583529274 -0.8764468731822145 -0.9310682792261328 -0.9174103685925706 0.06987163043222912 0.08833256413636842 0.02982307933212792 -0.9399502964826625 -0.9212779602995561
30	-0.9435295948692644 -0.9627927457387753 -0.8734567937357514 -0.9476727739553001 -0.890492328290743 0.2553825614331609 0.3066018874767845 0.03512061459568039 -0.9223115075200655 -0.9171542899407014
31	-0.9415884281944215 -0.9668007994259663 -0.872770196157682 -0.945642027274499 -0.8948092971393188 0.2100323183443268 0.3391940416312422 0.1066051834194173 -0.9251671486821026 -0.9171162872105313
32	-0.8428218465779143 -0.8286040374867017 -0.7768744623336554 -0.8464151981515148 -0.7649229821674201 0.478126997173779 0.001920246924706113 -0.4410687915401901 -0.8003478699710652 -0.8114871872995905
33	-0.8998229868993251 -0.9591201622301914 -0.8591618455783115 -0.8992165140875522 -0.9043569751803329 0.04839409534190926 -0.2140321381257911 -0.2059959916352263 -0.9227403349244528 -0.9017824223442454
34	-0.9510664573986297 -1.000175193433251 -0.8946099517993561 -0.9529721347032161 -0.9342025990377203 0.08707288262694032 0.1314262549425386 0.05015245586818698 -0.9582246347336533 -0.9404044686793948
35	-0.9384757329842734 -0.9789596002943723 -0.8752336716384669 -0.9417689462929862 -0.9093799593657336 0.109381001198556 0.3244820545431096 0.1916167733917956 -0.9357323181767626 -0.9207745529528005
36	-0.9429349701664494 -0.9763133923837157 -0.8765034306810743 -0.9466736153606002 -0.9051254651668768 0.1553323847425249 0.3461784534354601 0.1655580065653443 -0.9335043011620707 -0.9216997155095797
37	-0.9287389519434542 -0.9835880023794673 -0.8821730193202788 -0.9289360813309044 -0.9244845574405495 0.07703942190556411 -0.1211258499040556 -0.1544167039195281 -0.945385610284209 -0.9261344392546703
38	-0.9180471119922885 -0.988899816244961 -0.8771899251481542 -0.9175667497413169 -0.9323935441064892 -0.03586027788573586 -0.1098992460662664 -0.03576823002230388 -0.9489043603411107 -0.9222357288523109
39	-0.9413889381047714 -1.004251964613602 -0.8900116137957762 -0.9426810385257812 -0.9406441303913073 -0.009359288356557785 0.1356536284281503 0.1469436816803089 -0.9608566276052232 -0.9366869867820522
40	-0.9511125407123744 -1.004133223640927 -0.8972162558228681 -0.9525692549165488 -0.939557480994847 0.0688137359346034 0.08055062205594124 0.02479000104983977 -0.962429727340342 -0.9430894840385885
41	-0.9521195072599948 -1.0026851821778 -0.8973899225447907 -0.9536787003248732 -0.9377549694486826 0.08582295654010517 0.07897009679751003 0.006993705485417561 -0.9612772352915442 -0.9430706131902888
42	-0.9419264850694696 -0.9956733037903083 -0.8898925548957808 -0.9431126635674638 -0.9325382724611871 0.06553672491971532 0.04272894559785357 -0.004269433076868047 -0.9547559549003347 -0.9352299834311477
43	-0.9377103525008369 -0.9920975793242143 -0.8847407524694675 -0.9391663534147234 -0.9283299574847601 0.05067955469413057 0.1000113564675688 0.05850555025997686 -0.9504165646531998 -0.9302777946026041
44	-0.9305595543498044 -0.9811829796034169 -0.879221662977042 -0.9316513426010099 -0.9191150661804245 0.08642216303417689 0.007679163784518941 -0.05445168590070851 -0.9415727218463805 -0.9235905167708599
45	-0.7722682691302533 -0.7149929384022007 -0.6936705743837634 -0.7783077253271103 -0.648434654838444 0.7096448986670297 0.1498015940608158 -0.5419987113752625 -0.6925070877763675 -0.7221289096047634
46	-0.8536719409031936 -0.9089777728631573 -0.8026444903849906 -0.855755071613564 -0.8483459721637148 -0.02043170806553047 0.2763366661360828 0.2745905483283571 -0.8676088932432676 -0.8456707772199845
47	-0.9314083296625226 -0.986548513073958 -0.8889114890052388 -0.9307037385853836 -0.9302235771377274 0.1012630281966039 -0.2856948414557045 -0.3171075108472624 -0.9506086714345001 -0.9320937349162162
48	-0.9481975779132892 -0.9917727085257351 -0.8943716809670601 -0.9494249484240356 -0.9282929043884033 0.1478158258548244 -0.03540645165313029 -0.149980091068752 -0.9530466051808391 -0.9386007148501718
49	-0.9229870902264045 -0.9554915817637394 -0.8631223800663436 -0.9255298126216799 -0.8894649215522965 0.1843734956893248 0.1329127779539737 -0.04356951310048325 -0.9166052950369082 -0.9061960084839391
50	-0.9187675007715732 -0.9486880666387063 -0.8570219124362933 -0.921698594118014 -0.8816978250247256 0.1915678288608153 0.1860332784332422 -0.005686692286196279 -0.9095038491992057 -0.8999741193509889
51	-0.874108708782754 -0.958894006656507 -0.8477761190111186 -0.8714002248723517 -0.9121504508391219 -0.1078156504750889 -0.3779715565744801 -0.1939949512487719 -0.9226129389594155 -0.8907373955626063
52	-0.8760719950856809 -0.9804262067549872 -0.8600238022552489 -0.871640276261555 -0.938853758095044 -0.2127065129451567 -0.5378411691983179 -0.2276034759342531 -0.9439426561340191 -0.9039815432102796
53	-0.929730715987103 -0.9820534913306869 -0.8792969231015967 -0.9306826332497932 -0.9204645393633608 0.07648946967743228 -0.003770449815160671 -0.05453669874918655 -0.9424258371099921 -0.9237233259169626
54	-0.9499094790104782 -0.9965935728787365 -0.8915141487637082 -0.9521830011667128 -0.9295321273398613 0.09527888694296578 0.1800947407142435 0.08336199609114532 -0.9542807770539294 -0.9373075683963493
55	-0.9352268719467135 -0.9973183547502105 -0.8855156172737118 -0.9362144086760454 -0.9351015330605609 0.00175342376444027 0.07763108987898197 0.08691670776229159 -0.9550835112099095 -0.9315328987943248
56	-0.6914695932664729 -0.9211889884586447 -0.7297450211547077 -0.6808866065205763 -0.9089655049149422 -1.129449201645434 -0.5396521497908353 0.6547383482981126 -0.8755565420678011 -0.777398348468145
57	-0.9369398375608947 -0.973190990563413 -0.8786175255420379 -0.939079564372579 -0.9075527932986951 0.173828602504042 0.08018445740377199 -0.07763498675314232 -0.9341042430251684 -0.9223368453034626
58	-0.9403374056494116 -0.9942535057526952 -0.8884701904298239 -0.9415114412523301 -0.931253599149052 0.06366436618328211 0.04288559509057677 -0.002361321114161223 -0.9533692014906147 -0.9337564062709324
59	-0.9360408520298258 -1.011235629658046 -0.8931615092913767 -0.9358923444092162 -0.9524540552946272 -0.06925313342082279 -0.0258289067205635 0.06818521359198501 -0.968830829222199 -0.9398447432566188
60	-0.9500895317790686 -1.009741889851657 -0.899083212526364 -0.9511110804597311 -0.9465364227771801 0.0282018345105346 0.05472134680162327 0.04226074432301434 -0.9676174768252694 -0.945380630950494
61	-0.956756418129601 -1.011526990011585 -0.9034616409882106 -0.9580611398945327 -0.9470682398050668 0.06240015946042271 0.06312188746901243 0.01639288663963107 -0.9696562289372613 -0.9496394811205878
62	-0.9562686179400819 -1.006650619714762 -0.9027006729854967 -0.9575221716580375 -0.9424662771876775 0.09804733392990267 0.01883556536710358 -0.05564540028213646 -0.9659928403839808 -0.9482051127843396
63	-0.9664548164196333 -0.9855389831520476 -0.8989573762371891 -0.9697595851483144 -0.914564234642827 0.2927465502334916 0.1368256412561376 -0.1442151182476986 -0.9467337647711853 -0.9426663431857421
64	-0.9634242235381191 -0.9819480870525523 -0.8946251074128259 -0.9670315574730792 -0.9101813067332208 0.287074156052341 0.1897056014256831 -0.09403785236326846 -0.9425518733859198 -0.9384487672084951
65	-0.9274918893989745 -0.9974776722153512 -0.8829737571139198 -0.9276628296554105 -0.9382719273135032 -0.04190528911395764 -0.003620420657872598 0.06026946585037237 -0.9557086121890961 -0.9289360046991643
66	-0.9362880315935179 -0.9592064716762457 -0.8722247659252057 -0.9393206461841045 -0.8909221932633459 0.2534792839013367 0.1371541174881258 -0.1066230770236518 -0.9209890784892505 -0.9150040272003913
67	-0.7501438448881137 -0.7261115773975885 -0.6926913863321098 -0.7527734559844123 -0.6714918046495713 0.5307741511580681 -0.1937848942989342 -0.6599921760127109 -0.7052359600308685 -0.7213551542358948
68	-0.8973741724979745 -0.8539182625015214 -0.8081920887377014 -0.9045393846728477 -0.7756911039500589 0.6389532555507648 0.3864716115536134 -0.2701239878812598 -0.8217979492605908 -0.8445798419261761
