1	0.8508572722984404 0.558120738378124 0.2000105235217522 0.09457617206436801 0.1157253578558934 0.01017412778787927 -0.2081935757191593 -0.07779471451575409 -0.08367075960895853 -0.1058529095351121 -0.1913690952904107 -0.1400453286526163 -0.07250973006100066 -0.1504229548872391 -0.4013542656908103 -0.2931632210530029 -0.2975044710777862 -0.4226028355224142 -0.3954572778867442 -0.5701603829536435 -0.5758130604396268 -0.5958455971367379 -0.8210514493795347 -0.7884568690734796 -0.9269301097503796 -1.02416041118332 -1.218847510141047 -1.226759137055544 -1.237740868588217 -1.330386032579578 -1.653108065714554 -1.447579324651936 -1.430134454169869 -1.259885340210884 -1.146643987261594 -0.6362262766019849 -0.1235930423123373 0.3439780400903233 0.7955725742932341 1.43429133193731 2.060290430323957 2.619775619140871 2.959438029406587 3.69795295400807 4.04937073283776 4.292817371534624 4.21676081723322 4.226411430234007
2	2.22583024603993 1.964156231915028 1.598773700926062 1.250723088094787 0.99340755768574 0.7723715741283869 0.5634627956982668 0.4470523679073279 0.3294518521171511 0.2353417385862896 0.1378457446995944 0.07227373918764732 0.03277993815432834 -0.08596908118040167 -0.2139491009723873 -0.2671865990509027 -0.3331069448204729 -0.4468347326209895 -0.467967775849728 -0.5814139472444895 -0.6099106305832164 -0.7177410306423305 -0.8256278430658465 -0.8208559534698818 -0.8937303555142685 -0.9335287532284836 -1.013789097984782 -1.069814119375715 -1.068092302850279 -1.128847542565163 -1.268724718537983 -1.163270197599595 -1.142694951964126 -0.9286900140168154 -0.7942335320055538 -0.4689949903573147 -0.1485133269803418 0.121009307485246 0.3575983009994454 0.6323435805182251 0.9831291648646426 1.190537412344518 1.277603690881755 1.513365885081123 1.648984944710364 1.689100177358326 1.559045922894764 1.413149712668911
3	1.325980754633501 1.223820018340482 1.022125852526906 0.8704868536486106 0.7929362977815776 0.7309943029708755 0.6820312209835581 0.678160830225727 0.6067950317704353 0.5612797635597018 0.4866113577176716 0.4532083417045084 0.4219979999442785 0.3202571605759757 0.2314723755028567 0.1751234127971241 0.118123792457241 0.01098668810576964 0.01100794370199965 -0.0981255917692775 -0.119661882828401 -0.244090080154773 -0.3456840941704293 -0.2983198720807677 -0.3444963877397721 -0.3503872779283963 -0.4188391313027887 -0.4783286511371242 -0.4925869186094097 -0.6033745998102673 -0.834856017892195 -0.8101216957772354 -0.9797297033182845 -0.9688754230719283 -1.139396179204831 -1.034845924679737 -0.9848472569283172 -0.9434097685381516 -1.018117381374217 -0.9318137818844521 -0.7223516433475328 -0.7582699108590748 -0.9245117813966669 -0.8195257003778588 -0.7392088834422711 -0.7248180780909131 -0.9005813451652784 -0.9974936694321034
4	-0.1024780959381083 -0.2065253561800284 -0.2629160989895649 -0.3126498543903907 -0.3705296331468808 -0.4560332427405548 -0.5777782829110073 -0.615510973703605 -0.5990120659345669 -0.6050751884700848 -0.5906158178863568 -0.5766079319890738 -0.5449619042635313 -0.5070188140371086 -0.5333352398331414 -0.4680029210745668 -0.4369190167874132 -0.4000989954916743 -0.4070556584503021 -0.3793740051678542 -0.3708774029562784 -0.2826035530084584 -0.2733099599038845 -0.3239984905462528 -0.3436152445004339 -0.3846337385547339 -0.3935016190390243 -0.3537425794775417 -0.3367546978279092 -0.2536888524403307 -0.1193738688466463 -0.03505725357263156 0.2026392686622164 0.3655964231113021 0.699950506442984 0.8936147261865087 1.155676654593194 1.385615953793019 1.741698410420844 1.957754455322702 2.05909232141589 2.37210594389516 2.725115772972493 2.916051510196507 2.982364245358624 3.047650528029637 3.175041568055768 3.210462472583126
5	-0.4996924573856338 -0.2021678855079568 0.1478741762869185 0.1955293070118239 0.1116338666726414 0.1911078397347981 0.411802182490955 0.227950867513538 0.2064951036111293 0.2113797859945198 0.2912799425475922 0.2129355209928473 0.1203177546314617 0.1849114064494186 0.4598918436153774 0.313229998648134 0.3014828868303968 0.4244934720242168 0.3869135265688955 0.5705147128177878 0.5702361135934547 0.5649942938274065 0.8119423250434509 0.7758711663407771 0.9273139708824095 1.037576375668167 1.25490292867092 1.249430790010305 1.262375821239726 1.356499962437964 1.708380294485382 1.480458952791636 1.453417171618151 1.290370182806014 1.16981284296513 0.6194880116273958 0.06225333018084012 -0.4509792071485617 -0.9583612869876286 -1.677121529299892 -2.357275969369217 -3.000350927014905 -3.407339583876998 -4.255116933062452 -4.651869273356522 -4.940337907174765 -4.884722738669676 -4.932546590476125
6	2.008186047572088 1.648082680708879 1.171726412169216 0.8841258570356908 0.7437558466661714 0.5394919381025195 0.2669025755973164 0.2900101457599778 0.2103649625657422 0.1362964347072488 0.01318792945377624 0.006864239367734049 0.02650412693915755 -0.1070255618755372 -0.361885119118654 -0.3256667035329633 -0.3733432622969823 -0.5369547068338169 -0.5302939245432059 -0.727828800655117 -0.7505891414474393 -0.8416442598970986 -1.069456256531423 -1.038106841321182 -1.179624594748263 -1.269001345994411 -1.456009943917933 -1.500913873722662 -1.50937829163888 -1.621681024305077 -1.951599788232767 -1.749044580526284 -1.748755375688682 -1.511303427828559 -1.382024180624607 -0.8376068756429466 -0.3017853737835661 0.173596527614276 0.6037920013997247 1.20486852150694 1.856687962067571 2.349354574505791 2.606979608076798 3.256774537362367 3.583248682953123 3.773618547635832 3.624923063984479 3.536518398617673
7	2.71751298726991 2.373615597647162 1.849613248066916 1.49906198489898 1.321978487435936 1.120848939729948 0.8894665759208545 0.8972247155464859 0.7693161641545027 0.6722575391638111 0.5135274357821479 0.4732885918713325 0.4527081595371703 0.2588129393569927 -2.530986191638461e-05 -0.03621001884546675 -0.1273694633528801 -0.3460397406477221 -0.3422993850568187 -0.5848399630996012 -0.6224322945949131 -0.8120883224773281 -1.066187559011306 -0.9970954931559245 -1.137652708276611 -1.20227878884662 -1.395245523625344 -1.48692178861504 -1.507010525006671 -1.695019286305207 -2.14947669398484 -1.990876813526447 -2.164885660185296 -1.995231854552423 -2.084159232939857 -1.617539177169986 -1.212779826654339 -0.8570831101300258 -0.6509977461205582 -0.1680839956604055 0.4763957423424421 0.7618479044192243 0.7586169688131675 1.291072689961184 1.587456478090451 1.725811337341292 1.445593259462164 1.284971965677781
8	0.520859876092418 0.3991054102804829 0.3055456961597467 0.1473275110156996 -0.02232543272598232 -0.1667298969147669 -0.3088095680073125 -0.4350772172981129 -0.4632429139170765 -0.5003315225693649 -0.4978167197142649 -0.5254986935831708 -0.5294815541595372 -0.5134879436546413 -0.514075309320624 -0.5012604844790213 -0.4940792164307036 -0.4625792495704228 -0.4866914634407262 -0.4491437520301955 -0.4499897714306844 -0.3954117687325939 -0.3590156341405284 -0.4197964074838117 -0.4263047907645072 -0.454573501845886 -0.4354282081172446 -0.4141780883865304 -0.3924597266661699 -0.3018681568051387 -0.118337338968764 -0.05251816497973821 0.1967996118841931 0.3986082565385704 0.7640107395076295 0.9365276506476399 1.177381063555945 1.378512878429071 1.702231392212635 1.837883966625311 1.88897839875688 2.122825638680848 2.418247382618376 2.481230593252852 2.495134594118592 2.50326864012629 2.606917113714838 2.582217088955747
9	0.659788445283796 0.5957164440569073 0.3620317653260216 0.4554558825708408 0.7123020064746246 0.848232983594676 0.9114699814277877 1.222427721116566 1.214849254714783 1.231057768856486 1.111477290444804 1.171099308918865 1.201684364879974 1.043305547583041 0.8038884701648231 0.8141830698757555 0.7558748809085352 0.5332924640340082 0.5947988131355429 0.325606887190788 0.307088635553668 0.1036618885177551 -0.1929012843028487 -0.02737020499057421 -0.1464434962016864 -0.1683023181760525 -0.3884074153009908 -0.4759416283283437 -0.5326360417766953 -0.839962460760787 -1.561529917184558 -1.51687348935338 -2.072554878382194 -2.303317926766246 -2.998567767738226 -2.871468287632378 -2.904483197356087 -2.904894072197547 -3.220036874821839 -2.952334185033198 -2.451843616927595 -2.50415555006257 -2.915304375510392 -2.435842436566695 -2.156586071641827 -1.991302398085257 -2.358768512836058 -2.380793648655168
10	2.71299190604769 2.459892495465718 2.129356050399823 1.638990555850828 1.186986170367289 0.8676510756055297 0.6273681802733454 0.3235499377330077 0.1582842287432285 0.02599065029082271 -0.04949382537438768 -0.1796274040923737 -0.2697318884087009 -0.3675273299025777 -0.3929070137319661 -0.5117365098210849 -0.5885560500923277 -0.6437079045311072 -0.7015628615640147 -0.7250546703680933 -0.7588073495723405 -0.8489289563794253 -0.8383212576377049 -0.8905086334652642 -0.9114846315626727 -0.9274550838288468 -0.9098917438349894 -0.9628054933250787 -0.9401581797922731 -0.9064684328423351 -0.7853255530301309 -0.720374552783462 -0.5383076541778384 -0.2254250077392948 0.1260491926390205 0.3740604298537983 0.6601430806550257 0.8797397484251047 1.147523891415794 1.236170454462327 1.372564087266941 1.484183909755983 1.604293018383886 1.540156882884416 1.528826664663024 1.45140435340498 1.396356177733229 1.188804283326906
