(pearson)
=====================================================
 #  	||  ref		softimp
=====================================================
1 	|| 	100		97
2 	|| 	100		94
3 	|| 	100		90
4 	|| 	100		77
5 	|| 	100		79
6 	|| 	100		82
7 	|| 	100		85
8 	|| 	100		86
9 	|| 	100		86
10 	|| 	100		86
=====================================================


(spearman)
=====================================================
 #  	||  ref		softimp
=====================================================
1 	|| 	100		89
2 	|| 	100		95
3 	|| 	100		92
4 	|| 	100		84
5 	|| 	100		84
6 	|| 	100		84
7 	|| 	100		88
8 	|| 	100		88
9 	|| 	100		88
10 	|| 	100		87
=====================================================
=====================================================

