1	-1.268991264426503 -1.131649563577365 -1.097069354788673 -0.8471899248498007 -1.229956214409275 -1.15690628112469 -1.201241735260624 -0.9060033569687996 -1.266879859119821 -0.6200818732637228
2	-1.26787848795082 -1.127075467489901 -1.092693928171032 -0.846284056062756 -1.229257117638735 -1.152075741830222 -1.196089536626758 -0.9053694842843102 -1.265083053323908 -0.6190363009410349
3	-1.270162509593256 -1.126983338774459 -1.092775751878806 -0.8490641139970765 -1.231767212738015 -1.152101394352036 -1.195696711723913 -0.9083301299414156 -1.266732203159408 -0.6213145941335033
4	-1.272884191451789 -1.129458679365414 -1.095051858544613 -0.8496636175284366 -1.234336205094037 -1.154443190127351 -1.198435268270828 -0.9091574989917273 -1.269660111007414 -0.6213337704393498
5	-1.274558005891125 -1.127286176562829 -1.092528376291827 -0.8458702531833945 -1.236098435360853 -1.151321866205196 -1.196241598944402 -0.906185417068846 -1.271413098234506 -0.6165137213541991
6	-1.276727977681003 -1.129944783583252 -1.095276424177142 -0.8491652989836832 -1.238219956393909 -1.154354767417694 -1.198964575857402 -0.9093579559040539 -1.273418387730148 -0.6196342615756161
7	-1.277350341940636 -1.132621457243682 -1.098098712577778 -0.8522825475980772 -1.238734807881986 -1.157590296986465 -1.20175313777522 -0.912085798861868 -1.274015567982089 -0.6230497371217549
8	-1.281454370652707 -1.130627913400131 -1.096319367804879 -0.8553643176114181 -1.243342880481497 -1.155402379592494 -1.199115957138768 -0.9158163885075921 -1.276931197199275 -0.6249102136793837
9	-1.278911383380462 -1.133194391524481 -1.099164332187431 -0.8582210904383193 -1.24059292102406 -1.15891276926716 -1.201860632732848 -0.9177415998985107 -1.27460201381697 -0.6290269909316344
10	-1.279446166090306 -1.136099868874815 -1.101296008683333 -0.8522813981531908 -1.240518510886359 -1.160985105045997 -1.205708092466767 -0.9121645518402136 -1.276659559349357 -0.622707611671324
11	-1.279872180035668 -1.136885309388784 -1.101379204128272 -0.8459139023671181 -1.240539220864546 -1.160761726624477 -1.207160579042331 -0.9063603031629778 -1.278264595096083 -0.6157674051489784
12	-1.281711548881081 -1.151997389262056 -1.115126443783548 -0.8409856222064481 -1.240540399250188 -1.175732357592278 -1.22491218624797 -0.9008889903166691 -1.283799063818144 -0.611241684005704
13	-1.283743693511997 -1.165642602275264 -1.127251212561177 -0.8338530957807312 -1.240783794026109 -1.188779352427264 -1.241169027663399 -0.8935668272842057 -1.289585301706412 -0.6041410997395287
14	-1.284090393350434 -1.173404037491672 -1.133578158497288 -0.8237485079919711 -1.239771425855871 -1.195364647706358 -1.250961761430246 -0.8837335263950549 -1.293122219382121 -0.5938235510018394
15	-1.284735496833967 -1.178669456395422 -1.137891488162923 -0.8173001664614988 -1.239528479112213 -1.199839832540582 -1.257561808641076 -0.8775082302681704 -1.295836183751635 -0.5871347952280059
16	-1.284097807201068 -1.184173665178919 -1.14264816833102 -0.8123884257968417 -1.238017706653836 -1.204983355576007 -1.264325515269958 -0.8724325130038322 -1.297149299291167 -0.582529862435079
17	-1.286911819707979 -1.187585290003002 -1.144905845190265 -0.8040294626801219 -1.240111426110184 -1.206901521909316 -1.268923371138424 -0.8650164315215727 -1.301829626771915 -0.5729284822916588
18	-1.285272010372629 -1.188937246251551 -1.14572324187711 -0.7986232752433464 -1.237991476933521 -1.207710211610726 -1.270981123876245 -0.8596661197095594 -1.301464952695045 -0.5677260540410193
19	-1.28400352683869 -1.184388580228475 -1.14089662720345 -0.7929215179322989 -1.236878013143932 -1.202177352253685 -1.266281776021937 -0.854623020594024 -1.300320593234813 -0.561551199888943
20	-1.285519638091953 -1.183515717964155 -1.138942611907106 -0.7824657096444092 -1.237988067188343 -1.199410377593545 -1.266167980315018 -0.8454270660872861 -1.303286140762129 -0.5497021768012369
21	-1.282063222344625 -1.182269579881911 -1.136636148384236 -0.7696318288846965 -1.233887949370487 -1.196555246705218 -1.2659280945891 -0.8331898830799609 -1.30194005612811 -0.5368098874673606
22	-1.282072793264467 -1.178897000151609 -1.132147259666471 -0.756820924443197 -1.233592404545973 -1.1909800186398 -1.263178793980279 -0.8217862390921186 -1.303394401895614 -0.5226620330993011
23	-1.283155457439403 -1.17393842649365 -1.126562358403194 -0.7485807253800184 -1.234814198814584 -1.184295065286046 -1.258186980332355 -0.8148874789769179 -1.304777176768868 -0.5129705757261895
24	-1.282740314671289 -1.167370120956505 -1.119263101766318 -0.7377556237397832 -1.234530960506243 -1.17570657017065 -1.251601675830168 -0.8054959165338614 -1.304871967069732 -0.5008102665552249
25	-1.281650140809898 -1.160941755952087 -1.112030409364302 -0.7259484657265526 -1.233485267745428 -1.167204672002088 -1.245275975385514 -0.7950731422207852 -1.304528295605494 -0.487813584155357
26	-1.284201187836949 -1.156787383401558 -1.106915690097363 -0.7155095308821251 -1.236018563285669 -1.160826212474308 -1.241372804175252 -0.7863638350786784 -1.307801698002201 -0.4753597434681463
27	-1.28638181106204 -1.156923655804563 -1.106133216279338 -0.7075037109772045 -1.237832613727195 -1.159419848611498 -1.242190379840549 -0.7794381877480063 -1.311182059098182 -0.4660405412711893
28	-1.290258548703818 -1.155274462862701 -1.103223334233529 -0.696003308425523 -1.241405601686992 -1.155345470407735 -1.241232111667526 -0.7697838678512413 -1.316363832322691 -0.4522522386557183
29	-1.289146567102828 -1.149577066728453 -1.097238705173849 -0.689696141408856 -1.240546208648912 -1.14848080767383 -1.235263764016453 -0.7643156376308945 -1.315236618465344 -0.4452698665045571
30	-1.294193113659947 -1.146479331852901 -1.093142811408129 -0.6806242867112816 -1.245609193140118 -1.143093741736953 -1.232406913998293 -0.757216028041811 -1.32081815992358 -0.4336062149856945
31	-1.298446596057075 -1.141638087850305 -1.087501916013548 -0.6722490619181778 -1.250079953975257 -1.136078840868938 -1.227501770162429 -0.7507591713855203 -1.325199153188278 -0.4227851772981222
32	-1.297392813075776 -1.140202218060954 -1.084796995163578 -0.6584014197855368 -1.248424146559267 -1.132536189146318 -1.227087537761079 -0.7380487249716933 -1.326220054306626 -0.4080270954595414
33	-1.297941842300711 -1.142414645311573 -1.085270187650298 -0.642524436721969 -1.247919212525607 -1.132318070812815 -1.231010581608703 -0.7234611088978569 -1.329794776505629 -0.3909061406891142
34	-1.293970340724704 -1.144436303836478 -1.085731963715424 -0.6261550006519082 -1.242749017367197 -1.13243829578147 -1.234843167488906 -0.7076201327690931 -1.329203529820977 -0.3746535792797064
35	-1.293334091958022 -1.142555092102403 -1.082897374691976 -0.6154155882194848 -1.241734615919525 -1.128853723725121 -1.233636974236251 -0.6978618129023039 -1.330011056707943 -0.3630814970857649
36	-1.293256307267336 -1.139434932835734 -1.078825048280875 -0.6043222779825043 -1.241411602356196 -1.123826340745004 -1.23102852143769 -0.687988725233123 -1.331150513975724 -0.3508393099178694
37	-1.292389122416021 -1.136549703216788 -1.075269643077182 -0.5957701778581576 -1.240382410015496 -1.119553044511723 -1.228481846153151 -0.6802723080809938 -1.331181804056632 -0.341611021182644
38	-1.293744526103187 -1.121556808862696 -1.06075326386831 -0.5934742350504895 -1.24328352490959 -1.103141790784333 -1.211440467500007 -0.6797170786777977 -1.329839502695281 -0.3373422045555401
39	-1.295275240521391 -1.114492769061707 -1.053991996923136 -0.5935992191128608 -1.24563324772788 -1.09547649699238 -1.20328855184895 -0.6807191280771245 -1.329838385156355 -0.3363546355979546
40	-1.296329115908524 -1.110362943002192 -1.049157181821321 -0.5849884593044906 -1.24671619127509 -1.089614545066395 -1.199281485508055 -0.6734052242435821 -1.331420506192656 -0.3263473148841732
41	-1.295324062698996 -1.109400091698606 -1.048243752770972 -0.5845022231846562 -1.245758938320283 -1.088656719803439 -1.198237433543818 -0.6728620901935064 -1.330373352586338 -0.3260497082005192
42	-1.29035856271093 -1.108854063348579 -1.046827005987652 -0.5731838342144763 -1.240106638668415 -1.086985736512317 -1.198697093869705 -0.6616743048007355 -1.327510999511887 -0.315331367856824
43	-1.291738370261874 -1.109255894140153 -1.04660007292498 -0.5678087891770579 -1.241204113807418 -1.08638144815745 -1.199603978606183 -0.6569823860673815 -1.329763861265584 -0.3091291761418866
44	-1.288318154206364 -1.10907156825345 -1.045431884690868 -0.5562957977962044 -1.237095453446618 -1.084851785233668 -1.200466875527193 -0.6458660590469278 -1.328444559500774 -0.2977489131543167
45	-1.288544354450701 -1.105584121863957 -1.042073153634556 -0.5558964059310597 -1.237685495660973 -1.081067655176676 -1.196492808541586 -0.6458436948536985 -1.328027138690556 -0.2969293498908058
46	-1.287833558030392 -1.105307584613205 -1.04096634587922 -0.5471659808301299 -1.236525606618831 -1.079505860165429 -1.196954527918064 -0.63776749603026 -1.328752672240755 -0.2876966730026475
47	-1.285737312888417 -1.10613962204775 -1.041289708149698 -0.541530794828435 -1.233979454127688 -1.079790815822368 -1.198443941378115 -0.6321701965819534 -1.327897346209086 -0.2823427372432847
48	-1.280558899797891 -1.109087793549906 -1.042399423864087 -0.5222881510317959 -1.227314280250785 -1.08060675160925 -1.203615341818738 -0.6134068848937254 -1.326841359896326 -0.2634493650507669
49	-1.27597250855834 -1.108831179192196 -1.041168712471733 -0.5102737378671792 -1.221985006355665 -1.079081365729025 -1.204461246032902 -0.6016273968026751 -1.324504613415354 -0.2518866248985342
50	-1.277262860437163 -1.103969099094422 -1.03557726174056 -0.5011594886873213 -1.2233646878613 -1.072333392752712 -1.19965299076478 -0.5939599530640394 -1.326244393536961 -0.2411946793475351
51	-1.276830430929016 -1.102346092461263 -1.033722157085819 -0.4978145134462108 -1.22291957883537 -1.070151379580495 -1.198090801234473 -0.5909676347992596 -1.326071389800581 -0.237569491337621
52	-1.279339383573184 -1.10275696665691 -1.033699150457128 -0.4949233112903238 -1.225310137468338 -1.069791162353824 -1.198768848127944 -0.5887476263769627 -1.328967093883151 -0.2336970101673847
53	-1.279116218964713 -1.104630366793294 -1.034934602474683 -0.4894393313840534 -1.224590027775664 -1.07094607114849 -1.201405461168933 -0.5835382843905936 -1.330038177520936 -0.2280137073229289
