1	0.01843086421760698 0.01672983478182164 0.01380135862830076 0.0131705403566409 0.01078566704861589 0.01020287343457874 0.007816626719382179 0.006833782465407935 0.002474851925977655 0.002072975739978683 0.0009023200943455139 -0.0003267005418740858 -0.0007310091973674785 -0.0006324586669430208 0.00166933001376126 0.001077667053950561 0.0003760283754428194 -0.0005372519867429795 -0.0009945927778567357 -0.001180142226368729 -0.0009191603823259972 -0.0002218859672803102 0.0007863093688195096 0.001778607804661619 0.00113602114067457 0.0005293337558290249 0.005942947572822076 0.004190987511585389 0.003762409977660396 0.001363576910831282 0.0008851892705124543 0.001025377080861238 0.001385134648537828 0.001735476457550132 0.001590835134454158 0.001100061109292931 0.0002896533795656318 0.0001167336389986009 -0.001083108229000874 0.001095366851811253 -0.000264702570787553 -0.0008703942216814784 -0.0006422494115732723 0.000824898734547089 0.0002544445184801918 0.0006082389573596383 0.0009930892057554469 0.0004731986761935411 0.0001914018519430795 0.000459703821007814
2	0.01669942792005319 0.01515916289153593 0.01251526227896824 0.01194499645258752 0.009788957488974083 0.009263066183033119 0.007109355057379891 0.006224006771500905 0.002300576337438121 0.001934950686541553 0.0008742686742922251 -0.0002436538026489137 -0.0006224142705861237 -0.0005442506273404539 0.001571972521021741 0.001035572750904692 0.0003963443002664511 -0.0004335877518300796 -0.0008586617053031855 -0.001034559932724637 -0.0008090967629370077 -0.0001888816152402602 0.0007114256463401861 0.001600699555982347 0.001025186893320587 0.0004813731593223017 0.005418045199296158 0.003829480164018068 0.003439376430930336 0.001265858828914027 0.0008208285298752949 0.0009363986890710204 0.001255124292321499 0.001567613257278477 0.001437064793241679 0.00099495327739741 0.0002636504314859851 0.0001069031180315969 -0.000931476053543661 0.001050418670318944 -0.000193175836642366 -0.0007403814185487583 -0.0005596618459380977 0.0007460749922066453 0.0002343724005547155 0.0005512650274577392 0.0008960015262690414 0.0004310283554095969 0.0001751110747802587 0.0004182079041040388
3	0.01496796892432755 0.01358846884433531 0.01122914768694259 0.01071943516326168 0.008792233706996293 0.008323245532611163 0.006402073237058095 0.005614222468944631 0.002126298848104401 0.001796924243813584 0.0008462173438819502 -0.0001606055882696524 -0.0005138176700381846 -0.0004560412443823984 0.00147461396196743 0.0009934780356762815 0.0004166605109816842 -0.0003299222918270329 -0.0007227292252471808 -0.0008889762476380075 -0.0006990323913435297 -0.0001558776033465758 0.0006365401503271306 0.001422788320579394 0.0009143509682186357 0.0004334118494482576 0.004893135214979306 0.003467967316621645 0.003116337866862545 0.001168138777800612 0.0007564661324964115 0.0008474183124239982 0.001125111499996014 0.001399747322917457 0.001283292088104331 0.0008898438827260316 0.0002376470104181757 9.707244074744829e-05 -0.0007798421758727013 0.00100547002468758 -0.0001216481835262059 -0.000610367134597371 -0.0004770736586683264 0.0006672498796511818 0.0002142996280684101 0.0004942902320134139 0.0007989120825324071 0.000388857399402854 0.0001588200369719083 0.0003767113672061293
4	0.01323650335936579 0.01201777412364321 0.009943033154900988 0.009493873986967711 0.007795510495677337 0.007383425469991014 0.005694792480433415 0.005004438835720763 0.001952021069812324 0.001658897485002023 0.0008181659896067463 -7.755686248987547e-05 -0.0004052203582700523 -0.0003678313330543002 0.001377256025048899 0.0009513843792923513 0.0004369783205424565 -0.0002262544714064627 -0.0005867937598374645 -0.0007433892838648067 -0.000588964606867807 -0.0001228705248483237 0.000561656999571879 0.001244878298500814 0.0008035152598269697 0.0003854506921141326 0.004368226641205597 0.003106456570073117 0.002793301572062947 0.001070421532940045 0.0006921067565687907 0.0007584405553115772 0.000995100674184874 0.001231882404932953 0.001129519844752103 0.0007847346595299739 0.0002116439686427225 8.724185070209415e-05 -0.0006282053409396332 0.0009605224419157601 -5.011886502537535e-05 -0.0004803502303211866 -0.0003944829753762326 0.0005884255610161586 0.0001942282028037371 0.0004373156234352469 0.0007018238121636631 0.0003466866251391575 0.0001425291436318653 0.0003352149762380502
5	0.01150506980408342 0.01044710327642769 0.008656937568615334 0.008268330808915847 0.006798801450678701 0.00644361871475904 0.004987521124872845 0.004394663545051379 0.001777746119639201 0.001520873045766949 0.000790115043927951 5.490109111561423e-06 -0.000296625367074525 -0.0002796232565797 0.001279898888648961 0.0009092902801354342 0.0004572942391415825 -0.0001225905166164718 -0.0004508632419481562 -0.0005978076927929218 -0.0004789017954941844 -8.986693618993709e-05 0.0004867726651553558 0.001066969726402765 0.000692680980101074 0.0003374900937567683 0.003843324430786838 0.002744949098010639 0.002470267819467438 0.0009727029753502941 0.0006277453706278411 0.0006694615506071355 0.0008650898489416059 0.001064018977747441 0.0009757494254020578 0.0006796268233319686 0.0001856409400671652 7.741132015172728e-05 -0.0004765736619836993 0.0009155744552480834 2.140774521415191e-05 -0.000350337832471965 -0.0003118959626425367 0.0005096016325942393 0.0001741557561652116 0.0003803416743552077 0.0006047358325659417 0.000304516295470905 0.0001262383490823964 0.0002937190551893612
6	0.009773625970625123 0.008876425074075904 0.007370836006174251 0.007042781923151845 0.005802087810799801 0.005503807586739382 0.004280246464942313 0.00378488514316563 0.001603469167082053 0.001382846786029189 0.0007620628835769784 8.853665124541296e-05 -0.0001880303784186087 -0.0001914151315616023 0.001182540415564126 0.0008671952637659705 0.0004776097916565242 -1.892621915241301e-05 -0.0003149317973888736 -0.0004522248732163352 -0.0003688376560121391 -5.686227724021441e-05 0.0004118888940085476 0.0008890610140059729 0.0005818463602732263 0.0002895293028384155 0.003318419747991538 0.002383440172578654 0.002147232884347309 0.0008749844539440636 0.0005633844726238164 0.0005804829895638257 0.0007350791745007849 0.0008961552674852847 0.0008219785684369611 0.0005745186111687285 0.000159637913827088 6.758075645183475e-05 -0.0003249411366478085 0.0008706255626717544 9.293441623159861e-05 -0.0002203247812678822 -0.0002293080625623067 0.0004307776724694305 0.0001540836525673658 0.0003233675354301009 0.0005076479284240475 0.0002623458004992227 0.0001099475032162331 0.0002522229697056877
7	0.008042170167075348 0.007305736678619065 0.006084726418836383 0.005817225442825119 0.004805368231543502 0.004563990943857932 0.003572968063042984 0.003175103713149807 0.001429192547767066 0.001244821051652395 0.0007340119937108094 0.0001715851339406899 -7.943357895164885e-05 -0.0001032056348559734 0.001085182914500154 0.0008251016208173334 0.0004979270959773312 8.474039756607074e-05 -0.0001789980238945357 -0.0003066398263661276 -0.0002587717843306043 -2.385672170645848e-05 0.0003370048978604052 0.0007111510230596353 0.0004710109459570726 0.0002415682661944669 0.002793512705068812 0.002021929994697926 0.001824196919639003 0.0007772664211770073 0.0004990240075667125 0.0004915043602964761 0.0006050679023234919 0.000728290473314341 0.0006682066642266987 0.0004694096962077535 0.0001336347967312855 5.77501690113187e-05 -0.0001733059950533612 0.0008256779950402007 0.0001644629472984342 -9.03093361390442e-05 -0.0001467187562500559 0.0003519532657759778 0.0001340116809997975 0.0002663930557222314 0.0004105594426670519 0.0002201751139629138 9.365661306960829e-05 0.0002107266774524023
8	0.006310721633970479 0.005735054225105747 0.004798621504157533 0.00459167338646194 0.003808652106278192 0.00362417751369045 0.002865691843931212 0.002565324085814688 0.001254915899630145 0.001106795174686386 0.0007059605146472554 0.0002546326006868566 2.916223759432286e-05 -1.499688589741356e-05 0.0009878249711585733 0.0007830072798992654 0.0005182434465122079 0.0001884056865331067 -4.306564318288749e-05 -0.0001610561483789646 -0.0001487070298139615 9.148188792758244e-06 0.0002621209094988914 0.0005332416829577924 0.0003601759702549823 0.0001936073686351482 0.002268607042978037 0.001660420517598087 0.001501161513401756 0.0006795480397914653 0.0004346631854117754 0.0004025256554351034 0.0004750568761317971 0.0005604262426880101 0.0005144353319828675 0.0003643011750849683 0.0001076317159704882 4.79195937776069e-05 -2.167239229548219e-05 0.0007807297542590136 0.0002359904354140707 3.970471198644338e-05 -6.413033512497864e-05 0.0002731290737635291 0.0001139395738740549 0.0002094187643019086 0.0003134712240933581 0.0001780045349680853 7.736574552453635e-05 0.0001692305018576365
9	0.004579273704941041 0.004164371244126061 0.003512516161110382 0.003366120934330494 0.002811935654304665 0.002684363806792532 0.002158415462937601 0.001955544489292558 0.001080640017095139 0.0009687700644119851 0.0006779097896480012 0.0003376807008065326 0.0001377584905200845 7.321217889543375e-05 0.0008904676557882986 0.0007409134966410545 0.0005385602234731333 0.0002920712482953997 9.286675200936486e-05 -1.547261656662032e-05 -3.864261213471501e-05 4.215264532693855e-05 0.0001872363921992377 0.0003553318708307874 0.0002493408467867807 0.0001456464426364922 0.001743701311695121 0.0012989108838635 0.001178125908487994 0.0005818294460901704 0.0003703019655667913 0.0003135464713323196 0.0003450453903011634 0.0003925616653806637 0.0003606637801272926 0.0002591925495070774 8.162856207649131e-05 3.808901157419942e-05 0.0001299613366552405 0.0007357820530885922 0.0003075182378462223 0.0001697189243699935 1.845790644720353e-05 0.0001943046663255078 9.386723208070555e-05 0.0001524444119893067 0.0002163826709927723 0.0001358339309614257 6.107486387175187e-05 0.000127734300952779
10	0.00284782931944189 0.002593694071551286 0.002226415626347972 0.002140573045419145 0.0018152229691397 0.001744553595784619 0.001451141683065766 0.001345766781378806 0.000906363162061933 0.0008307438649288936 0.0006498576884281397 0.0004207273670189528 0.0002463536314924614 0.0001614204105271022 0.0007931094849473005 0.0006988188655949838 0.0005588762662359779 0.0003957361895653184 0.0002287989877665627 0.0001301110655231291 7.14224478073805e-05 7.515817556415417e-05 0.0001123533573764593 0.0001774236397982784 0.0001385063728419902 9.768573461520689e-05 0.001218797472178937 0.0009374028732470425 0.0008550919055541517 0.0004841118366785637 0.0003059420068230329 0.0002245687434924785 0.0002150353864051523 0.0002246983763232451 0.0002068931732690625 0.0001540844675019438 5.56256668144488e-05 2.825848166798723e-05 0.0002815946385770189 0.000690833548293728 0.0003790453714674008 0.0002997326702159424 0.0001010464819022405 0.000115480996363074 7.379553701993408e-05 9.547037167259478e-05 0.0001192951791455695 9.366352322927126e-05 4.478407382847495e-05 8.623829135588626e-05
