1	-1.203051211313846 -1.101622004029113 0.05930991829824378 0.7114173734896845 -0.9334310079219966 -0.8848195941225535 -0.8957922270491416 -0.9592664716037326 0.5912911154235503 1.233105663522278
2	-1.535317563430494 -1.284299439288197 0.370882431837207 0.958802891061054 -0.8715425541612744 -0.7621802339297993 -1.196078396158234 -0.9232528349633847 0.9292634429032586 1.34799164168153
3	-1.596278196575178 -1.489566650789091 0.006202272475801377 0.9945153842487947 -1.055780673894404 -1.035832463534934 -0.9656307642426868 -1.094560817671246 0.6256294852531935 1.444652707009725
4	-1.522413965423683 -1.615005115269823 -0.4750562475437774 0.9838293722304244 -1.037864608043688 -1.157703587442318 -0.4410199300276214 -1.061386843172694 0.0944829971466402 1.282448853950745
5	-1.594444266978768 -1.714043030163921 -0.55485034101527 1.051600451379559 -1.02018047380936 -1.171120954080422 -0.3480519413636466 -1.045666527294427 0.007805246650837726 1.265152683135567
6	-1.758879114390998 -2.058380155612491 -1.024006716981512 1.155332583044593 -1.296801050884216 -1.563974840061981 -0.08936991396715931 -1.308335824957701 -0.3571421811958763 1.450921261283462
7	-1.685330976766714 -1.978339755686506 -1.004325869233163 1.214112909099414 -0.8074660557057473 -1.125178567688311 0.2883445241847651 -0.8330817133603532 -0.5602770201633727 0.9730182110282948
8	-1.491437551045287 -1.871286361215424 -1.187953762097677 1.107477926242456 -0.687961679893718 -1.061277431601906 0.5905457717953279 -0.7038532434794517 -0.828558526656053 0.7584259178791116
9	-1.244785213751772 -1.602708517094206 -1.087541393273084 0.8653702142143692 -0.8538218104413343 -1.158662805760868 0.3689494772333366 -0.8548694633682726 -0.6703689556480662 0.872409770729546
10	-0.9133216853549934 -0.9582384113487247 -0.2496455892258258 0.471574145888362 -1.101090016847379 -1.102184606641766 -0.6862067380862925 -1.099442356351048 0.3071016058464823 1.2307286004444
11	-0.9870171015604368 -1.228182363742784 -0.7459565633003885 0.5382276583574601 -1.246985189072395 -1.38231507489864 -0.2876753929979909 -1.230955154149582 -0.1535649435160332 1.260602726080339
12	-0.8347284191769767 -0.6347274229689129 0.3667990550014749 0.4070728769407737 -0.8861042105730728 -0.7256606881554665 -1.154954804719716 -0.9041082427568754 0.8654891703673236 1.16530905359822
13	-1.30673941604864 -1.102189313141527 0.2850390114563842 0.9224603267682251 -0.3122845116833399 -0.2824307754688966 -0.6406753827189149 -0.3704712374123457 0.5673032089444721 0.7334290204273893
14	-1.278360969951711 -1.280222509739645 -0.2139246455661309 0.8485934873444781 -0.7101765659570241 -0.7762313444276232 -0.4348153265426902 -0.7403114463216431 0.2061167146126532 0.9723205992303926
15	-1.184024363024052 -0.7622036075377712 0.8412660854778368 0.8211525036933934 -0.1288524082856592 0.05182033292893889 -1.068525854042238 -0.2019566492167367 1.070961833976072 0.6699275217390698
16	-1.638698841881309 -1.492638992397763 0.09570205888268163 1.027446230745543 -1.023969629336819 -0.984520578705673 -1.036936164595695 -1.068166610658199 0.7114952038239091 1.449602600234638
17	-1.234064962022002 -1.124852052078183 0.07362876703493204 0.7288312298694513 -0.9566150356616944 -0.9030649255521964 -0.9316018700977644 -0.9834765007166933 0.6198633958758824 1.267376543133308
18	-1.480637639001118 -1.620089625461825 -0.5822513222232873 0.9397784940148354 -1.124355257820142 -1.262101845470099 -0.3951329898832374 -1.140130396597645 0.01398143102422631 1.324774488267972
19	-2.044108994464185 -2.357538749207034 -1.11403168749946 1.461394343758298 -0.987310554849517 -1.340757997596712 0.2340860780993108 -1.020783053626156 -0.5643542944179152 1.214636539685188
20	-2.268283474922316 -2.600676563718637 -1.205668858076186 1.716898555977107 -0.6898053452689201 -1.124096978945597 0.5538319376902764 -0.7418724113728961 -0.773712425067276 0.9722341722961709
21	-0.7021069960723901 -1.014179284052661 -0.880738230075668 0.4390812657619141 -0.7832128018078575 -0.9964847958519019 0.2462517087998684 -0.7664113484444517 -0.5309080481789837 0.7078993517152588
22	-0.7961482429799747 -1.066256909755736 -0.7865099672924392 0.4192049369459666 -1.1358655226167 -1.283491775071772 -0.1425830444180336 -1.113646479985143 -0.26436232261928 1.091842306939987
23	-0.9111579729366585 -1.026136459938571 -0.424886956537384 0.5115534866538388 -0.993054075829539 -1.059625824680381 -0.4153086519233857 -0.9905554759536473 0.07093413078776807 1.082619683876573
24	-0.5714074245127646 -0.3708657999300533 0.3951717292775118 0.4397879763728817 0.1140384015652164 0.1758069303989665 -0.3626825422250244 0.07289759736229343 0.4269686478943806 0.153947666726581
25	-0.6339698099351019 -0.4480367367676719 0.3582734596114602 0.3614077148967457 -0.4272037434500579 -0.312673246959869 -0.7632829752596789 -0.4514929319544507 0.6336555659210393 0.6733861661208682
26	-0.5755102764490387 -0.3727055537784802 0.4016088513546607 0.4226280921841131 0.03201553906824138 0.1057377183989255 -0.4356437928352635 -0.006627184593066908 0.4706889198592172 0.2342824545471904
27	-0.8082111945357966 -0.5132903829701448 0.5880046899156041 0.6048228391949336 0.1006649628331486 0.2043013967003264 -0.592221362656938 0.04383849633926692 0.6620215721586908 0.2825833514677673
28	-0.8963383163505497 -0.8971094784105719 -0.1397076506912824 0.4791839905673647 -0.9739463663864676 -0.9572112605965122 -0.6982287087528832 -0.9787571364799417 0.3669659748969279 1.134303263189114
29	-0.8187668978489846 -0.7178904435418001 0.1190577304377269 0.4798452304409017 -0.6241886919603864 -0.5691438095156802 -0.6833383739111369 -0.6441841740605241 0.4819101912548971 0.8491332781080964
30	-0.6833854224446422 -0.9843464969723092 -0.8411021908200532 0.3075192510494042 -1.252885682632609 -1.39384514163268 -0.1715221695021391 -1.219857296574802 -0.2815509021085915 1.15685195683128
31	-1.308842794985265 -1.61832147956345 -0.9767808035520443 0.881398111244868 -0.9543812884699459 -1.218284615743653 0.167446131270068 -0.9578035875621814 -0.5008719532517188 1.014010164774169
32	-1.654074715718513 -1.986234419283617 -1.101723558607546 1.273193845907153 -0.4972322790503813 -0.8807065574405911 0.6420638278282131 -0.5296718252296784 -0.8054803871995956 0.6458561337126894
33	-1.200778901527761 -1.606618425425446 -1.193248921617339 0.7718408769002408 -1.137501675593341 -1.434793693274115 0.2549504896033301 -1.123865190238428 -0.6619052332646511 1.100870029610763
34	-0.4172979754656801 -0.7431831510717154 -0.8571860806523199 0.1093694357555376 -1.216547188419757 -1.347696804839606 -0.1070006139836777 -1.171801455631015 -0.3399578952795805 1.044131251069771
35	0.08313253698873918 -0.1208716205683711 -0.4660692783975816 -0.342571607879894 -1.321300896865045 -1.287112310016697 -0.567005258657668 -1.259338425229241 0.07907292722289935 1.104892126704681
36	-0.1409549563943022 0.1047378147484792 0.5845589332219482 0.05335507493917502 -0.0206999684356248 0.1452680947906164 -0.6399133157163294 -0.04169016197677874 0.6495002550217343 0.2103060947191815
37	-0.3808682922290899 -0.225420118247725 0.3126783357261211 0.3487171169759327 0.3244217465272743 0.3489098353275122 -0.09381853004045156 0.2870760632633921 0.2271265136317475 -0.1194033674465941
38	-0.4144528494499211 -0.2178617782709664 0.4148073413314929 0.2884539834925695 0.003482264609884983 0.09631818271041107 -0.4612688788399177 -0.02689836553346159 0.4823788488027202 0.2197520813690108
39	-0.7007044405128668 -0.6430444883440598 0.03327878079877629 0.3857141057696751 -0.6627927822023695 -0.6198402127131432 -0.6161566829204845 -0.6736574780642596 0.3959418766891746 0.8304718706350299
40	-0.7121731823197786 -0.7290012969694205 -0.1415985322214606 0.2606777772581028 -1.282443028083353 -1.214121205937694 -0.9314201190499752 -1.26775775947565 0.4846396284236451 1.374023734962582
41	-0.8157299512672902 -0.9142057987955228 -0.3681777340519502 0.4420475070746863 -0.9505383308621111 -0.9987633696272264 -0.4340451903041505 -0.9464735554315664 0.1039121236538746 1.030513042418311
42	-0.433734892877204 -0.8444423452433351 -1.065822341240299 0.08465759117547743 -1.449150606889765 -1.614094013946626 -0.076111245372726 -1.391704848565915 -0.4589085030798093 1.214510384366827
43	-0.8260732763204263 -1.254525642268506 -1.183989646493159 0.4774677862872589 -1.138104474852011 -1.405585089603491 0.2707100298931318 -1.106985432181743 -0.6869306567535767 0.9993365925219565
44	-0.4602690850038889 -0.83157562011468 -0.984091331549847 0.2425505225470408 -0.8509990053920014 -1.068986957438331 0.3170004638415638 -0.817750726346923 -0.6344032065112288 0.6777467038030291
45	-0.4362381869972413 -0.8893764499716253 -1.17421821930555 0.1325882497430775 -1.298671523590665 -1.514936591870332 0.1584184724826007 -1.243795336724626 -0.6417827826881475 1.044904799638495
46	0.6697339464775041 0.1642179746124859 -1.111136913777855 -0.7415010638250459 -1.308915142212822 -1.425510714648854 0.1606086280100678 -1.203063613171212 -0.6735368895783344 0.7624827510577172
47	0.6019581122905147 0.4228053903020254 -0.3212811142306755 -0.6699198899290647 -0.9410513910924698 -0.874447430731597 -0.3774139241551752 -0.8715573603829447 0.01672964536642102 0.6383156378041042
48	0.7022938225732894 0.644573911558908 0.0008817173554069292 -0.8261808198589277 -1.144151145479487 -0.9490958835298775 -0.8718102994975863 -1.071137688673463 0.4430852176737736 0.8857471587854242
49	0.277641994639725 0.2265858617374236 -0.05497357574643536 -0.5093098308363371 -1.229540004041755 -1.070885465560004 -0.9112373367419684 -1.172172592328603 0.4610146945021249 1.070413410530018
50	-0.5360642955769143 -0.4483518373173889 0.1360344722084668 0.2525456679074324 -0.6425232308032202 -0.559767490632311 -0.6963038939295492 -0.6489630737346944 0.4816877031610577 0.7920167754902165
51	-0.2059895618165298 -0.1376151700084323 0.1461537857048106 -0.01363623318551778 -0.6707961329257431 -0.5577004774404661 -0.7067775003049553 -0.6609197801078659 0.4740698767416821 0.7293053488804543
52	-0.2338774353017969 -0.3543138257163891 -0.3174406687279723 -0.06662747100709604 -1.15168515681824 -1.117590782319478 -0.6086407926616596 -1.114434024395084 0.1929755147297348 1.071495165163603
53	-0.3712114854076344 -0.452326628872129 -0.2487894829361429 0.09692156565771845 -0.894335010226744 -0.8821917653995492 -0.4833774208270569 -0.8743049810820891 0.1652291436279925 0.8843488605016199
54	-0.4834434742500694 -0.8269933490882891 -0.9132742626036396 0.1764086172941164 -1.174066860290316 -1.331983072390384 -0.01857641878737788 -1.132481311556506 -0.41277250037237 1.007899066197227
55	-0.2695829167340522 -0.6820819572668523 -1.047904572307925 0.03448414408116188 -1.117922009687256 -1.307473691876561 0.1826624719334305 -1.064723497408576 -0.6022310668641113 0.8603145721906876
56	-1.42180802835327 -1.552869709137873 -0.5636163051588309 1.050991084116993 -0.4659418005972464 -0.6769088546141846 0.1185461399618961 -0.5023567918128232 -0.2639857822851736 0.6909027405300311
57	-0.3185770492128324 -0.6453013688752833 -0.8505057302613626 0.1396168108678734 -0.7685513234055029 -0.9470749878468131 0.2528784373877858 -0.7349223653555529 -0.5410445292447824 0.594911175568952
58	0.9068870771584246 0.6522528865647143 -0.4486126459420224 -0.9814551549797311 -1.289445216225362 -1.194761834992499 -0.5026496586383976 -1.190130370217981 0.006210278902308639 0.8495690325516571
59	0.3560079868666491 0.3683339633562849 0.1100226079798288 -0.5124382420571737 -0.9274719281287045 -0.7522723180865042 -0.8362062948442123 -0.8811755381035417 0.4964788807457408 0.8058040852819546
60	0.5545995795322641 0.6821789937349337 0.4188561868732202 -0.5504635057842917 -0.3269574704860519 -0.1214768382035173 -0.6639479155972334 -0.3001547566779579 0.5423836153518936 0.2628529845189111
61	0.9156230449283635 0.9314036599054487 0.2019354850436967 -0.777706892338195 -0.1772293169411976 -0.02900648410944853 -0.2909345872345432 -0.1330034350195237 0.2092537585019959 -0.03554048266506971
62	0.0954324622546095 -0.007591480619077791 -0.2255148243223337 -0.2226973442208271 -0.6961272354013363 -0.6684497104887207 -0.3161750844399871 -0.6615591627729315 0.05829566412759051 0.5729018091281078
63	0.2686857117646774 0.3068403485151903 0.1536617586005828 -0.3820422853732799 -0.6544561563016228 -0.5070044386906268 -0.6686366609868489 -0.6229201564967928 0.4302428921625152 0.5834243852315304
64	0.0219435109371107 0.001808410907236218 -0.02774016874519549 -0.2495629728237748 -0.9728946387946078 -0.8569210113958132 -0.7512722930897135 -0.9372484079650096 0.4002798228620877 0.9062145931709693
65	-0.1330484235616376 -0.2111672554677031 -0.1994040082606149 -0.1000398935341085 -0.9195190669647564 -0.8723897805733708 -0.5389476648572447 -0.8886332434299095 0.2070006951611865 0.8545232782091493
66	-0.9392007479287374 -1.30314752142269 -1.039871232585679 0.5018634169167756 -1.350874284311915 -1.556906562991166 -0.05938557374502526 -1.321397435740616 -0.4272008854514784 1.269317843164184
67	-0.6608087111494918 -1.025264023175193 -0.9974414075259775 0.3416921270499222 -1.09572020022315 -1.30126849503163 0.1204368983350548 -1.063075034859316 -0.5211813617996901 0.9615124385083319
68	-0.2313102142597995 -0.7222550421774062 -1.236723769359542 0.03580944534900454 -1.057891333647145 -1.308298995030258 0.4317313105802745 -1.000114066097378 -0.8350370537025783 0.7439894935306102
69	-0.2234608381296948 -0.7109302400099823 -1.230430562640642 0.07633011751762836 -0.8622473247610807 -1.134881362402245 0.5829076138110837 -0.8110775086687837 -0.9159172002182141 0.5585198810609441
70	0.4732228377131337 -0.0008765120118367541 -1.062811450347928 -0.6524259065570576 -1.559533711950284 -1.644349409800825 -0.1051456649476047 -1.455477755809968 -0.4919152384042512 1.066675939818017
71	0.7853551197088841 0.4473412599169 -0.6764112538930748 -0.8654022868590499 -1.28688158252605 -1.268890285684533 -0.269928834681898 -1.187530784995543 -0.2278625544446836 0.8220286041502153
72	0.5383390290811361 0.2970594434435936 -0.4806676513620492 -0.6779508503222551 -1.239444897048045 -1.187121987308423 -0.4543574708435886 -1.158455719797443 -0.01573543317797018 0.8967923994648842
73	0.2752329943056287 0.2395705638750334 -0.02124037622630646 -0.4593344064784079 -1.017888648917139 -0.8760721047010361 -0.7767058637402946 -0.9688775670110215 0.4034242976426596 0.8797839617686293
74	0.2774472857275547 0.1909515376037059 -0.1485977081883038 -0.4266708918160796 -0.9223430542172698 -0.8302125913785645 -0.5660982690237781 -0.8732765538845304 0.2241646502056783 0.7558704741954683
75	0.05758031083424257 0.0961261484995017 0.1213253905928246 -0.2583198126863369 -0.8386201481346662 -0.6927581672141063 -0.7973363660306679 -0.8098072327996682 0.4971956802169582 0.8079834213205319
76	-0.6648039398753618 -0.9858490021949137 -0.8872938715351638 0.2928361788410211 -1.270466476982639 -1.421582489552139 -0.1358848167066401 -1.234758357172912 -0.3250391792788594 1.156320036232517
77	-0.677041252309079 -0.8505667290977835 -0.52670066537019 0.3057863856741806 -1.123581513838953 -1.187060257246425 -0.3971350731843345 -1.102854570999714 -0.00231809376883766 1.114318363790718
78	-1.415119472077625 -1.647475102762038 -0.7993097376166205 0.8859454802131287 -1.214857294259271 -1.400905965915381 -0.2355203807548874 -1.218794976994912 -0.184820730167263 1.335809824811616
79	-1.093673952791251 -1.380063137141618 -0.8930110816903909 0.8453988101888755 -0.3746704704999366 -0.6712809231291658 0.5603441089255417 -0.3902829356133889 -0.6887116497411681 0.4277950661801279
80	-0.8320932931555916 -1.183216875338804 -1.001165192574215 0.5647936974503461 -0.7284747661519398 -0.9937535658967549 0.4076293629386452 -0.7166194044994205 -0.672181310428834 0.6612194686086339
81	0.5315729824577461 0.1274760848626946 -0.8895383316646297 -0.5811640901636629 -1.011169886448922 -1.109469309242633 0.1577573839104639 -0.9279244487461114 -0.5550800507252435 0.5770093025300217
82	1.159803218263026 0.7321759588980987 -0.8302212897088529 -1.183188357646245 -1.445426442932393 -1.426137506804908 -0.2099780234094593 -1.318903375985709 -0.3576399298679422 0.8276008507422227
83	1.010826406999514 0.5992549004219736 -0.8177479052033891 -1.050285272672197 -1.373507750484083 -1.370310921793239 -0.1755907862629986 -1.256848739291039 -0.3621964694032671 0.8044071440110427
84	0.9505966432170645 0.7157260443862374 -0.3977192763596931 -0.9473258825998103 -0.9875139551826609 -0.9126326791873983 -0.3103757293582045 -0.8979641512228689 -0.07740471152913478 0.5651958745318468
85	0.5538620646404263 0.4327134947681281 -0.1942677133595344 -0.5369498753947608 -0.4993950392142271 -0.4542224495005027 -0.1590951055596563 -0.4508308359180517 -0.03865819582681393 0.26720556074342
86	0.200164693452886 0.1657611469677524 -0.02830715640835092 -0.4369783957768175 -1.171386350432616 -1.017726559454407 -0.897855002111756 -1.120391485256857 0.4710750123045574 1.043965776376997
87	0.04221296137962292 0.06627834279346602 0.08844826344900264 -0.3161129365899062 -1.140004421921393 -0.9670203724938217 -1.006115509945318 -1.100570657638292 0.5972293203332455 1.0886023604447
88	-0.2272670164393301 -0.3130973988968669 -0.2331660315318911 -0.04577457690353996 -1.012788735132132 -0.9707105781736914 -0.5850015239142976 -0.9822346238290015 0.2210661865850512 0.9602066304836206
89	-0.1923749731513049 -0.4116252322399419 -0.5561520044034798 -0.06350365412905742 -1.092119912437749 -1.133399397511248 -0.3073590643239291 -1.048836464005604 -0.09344661550499897 0.9417846103522628
90	-0.2566861046736121 -0.5810921146945519 -0.8253816606870724 -0.02129223179662505 -1.225115939781224 -1.334177630575637 -0.1361386984021566 -1.173303842367093 -0.3171345273650421 1.015675783006558
91	-0.2528722295953931 -0.7370226162973033 -1.221411676084598 0.02269273746417573 -1.176526797335182 -1.408989168211684 0.3188206355350509 -1.116029138256538 -0.7638942493349062 0.8660965402150345
92	-0.0906849686165037 -0.6496379362490051 -1.380376587610535 -0.06595515233442557 -1.076264430412383 -1.35686769844495 0.5774759783659983 -1.007505098440614 -0.9941930451547792 0.6849221402822195
93	0.7574222452429578 0.2073843691882024 -1.211519448531829 -0.7326457515619146 -1.024794822098734 -1.200682350055993 0.5003834095668885 -0.9221148500353958 -0.9156492148456626 0.4434899364396823
94	0.4696517349875646 0.05863457819216893 -0.9106681898657727 -0.6179799919677806 -1.372333351036092 -1.435841960812605 -0.114620380584383 -1.278885951559376 -0.4115184475436739 0.9301544593038782
95	1.157061567001783 0.8107706821012498 -0.6307747733104857 -1.178371020960684 -1.36083762121376 -1.293207612518599 -0.3515093204312486 -1.242527090579897 -0.1810052809030127 0.8000841713181474
96	1.075057833221526 1.154289714920599 0.3936654296249577 -1.006138576059089 -0.5356854249902525 -0.2738887265752158 -0.7692018245603148 -0.4763770845066144 0.5591379853864434 0.3084533923565829
97	0.3564363738296747 0.4880203889985655 0.3991149316149468 -0.455787161534423 -0.5848241133908249 -0.3669728218093902 -0.8642039887675674 -0.5578896945449399 0.654364640020763 0.5567245890854621
98	0.4307739590461718 0.5144790978211262 0.2910820194450729 -0.4741506827146101 -0.4595886093301889 -0.2842352156536905 -0.6450192528092027 -0.4307238929671224 0.4758676422472867 0.3896415375861328
99	0.1712400886268509 0.3200952677543076 0.4076501586766299 -0.2859692752766376 -0.4789208147346524 -0.2852227098784503 -0.8008799257971282 -0.4646439539997758 0.6338947297052064 0.5104917873879815
100	0.3168166029547131 0.4880090360533038 0.4980926671209739 -0.5328562949566169 -0.9961233553843761 -0.6999050040382787 -1.301386482027693 -0.959279714782725 0.9469361832584257 0.9821493831653002
101	-0.3098826847092754 -0.3568560888660395 -0.153725869319982 0.04311348377337453 -0.8832598124386543 -0.8398783878921808 -0.5699990380484276 -0.8631666464447616 0.2565194083208931 0.881403603405132
102	-0.1522269526379356 -0.3638265425957507 -0.5303301776293198 -0.09561043691561387 -1.085375914252087 -1.116949371065761 -0.3262579951968443 -1.04109589224355 -0.07251710128422333 0.9309028773263474
103	-0.7478519870999089 -1.021947117606631 -0.7951934160875832 0.4746948133466078 -0.7525297597913966 -0.9475720908594542 0.177960264757546 -0.7411610318851228 -0.448471317466656 0.7138179511805042
104	-0.5769996564617939 -0.853231585034396 -0.7744644313838895 0.3869915894438534 -0.5540024722699387 -0.7556099194066491 0.3275969155196503 -0.5420136057015958 -0.5304704813567531 0.4839028917483288
105	-0.3147067914588212 -0.7378752156819424 -1.08440942213945 0.1013923198153771 -1.000575421031665 -1.219003299367665 0.3121592708783209 -0.9526567036048236 -0.6892658267978696 0.7525337327873817
106	0.5128167010103681 0.4502154116702807 -0.04269136750994435 -0.6935153527382151 -1.225252516421999 -1.046554984526413 -0.904387713157174 -1.157241798276169 0.4501771154296661 1.0039548987547
107	0.4059005263903377 0.3745991241476234 0.01271223134484926 -0.5696160978589017 -1.03837163273197 -0.8744844691229138 -0.8197486173519799 -0.9833488990520245 0.4366586141263668 0.8714967769000409
