1	-0.2816717425297688 -0.1995665453307923 -0.3197852395666791 -0.3156864728434795 -0.301710462711493 0.316684450729119 0.3191723583856507 0.2742173003082553 -0.3460436520046042 -0.2470228311145674 -0.3824348390029995 -0.3634404564319699 -0.3340927999680863 0.3851123746623065 0.3688678565288283 0.2965564096360856 -0.9965693711020588 -0.9440965674366797 -1.004046028739109 -1.006838850796582 -1.00325668225113 0.991886958184377 0.9975564390369301 0.9405005444543664 -0.9945259764571922 -0.9474620380146085 -1.002474419430501 -1.013319723809412 -1.010832576962355 1.002392373040476 1.003341214697449 0.9369118212375778 -0.9829746269573537 -0.9707652938733365 -0.9798361707483467 -0.877311800439477 -0.8035233133176922 0.9750112747567991 0.9633218476353246 0.7267900150372534 -0.9707055529948788 -0.961391412746151 -0.9691035714500684 -0.866106684182757 -0.7585339614378024 0.9615738863499163 0.9472642198443798 0.6842932055307855 -1.001653570449269 -0.9660632284441432 -1.019719580143872 -1.010750362481564 -1.003613446135573 0.9813765846873493 0.9897262321908632 0.9422878227310095 -1.004962842117518 -0.9697522559225644 -1.02106258278016 -1.010377228658485 -1.000912533792824 0.9873281023193085 0.9946049611838373 0.944336120830371 -0.2385228921585272 -0.1667215589136581 -0.2831784823952208 -0.2843748417085424 -0.3038910919105102 0.2968874289513422 0.3028862658515499 0.2888375484698336 -0.2928893634715606 -0.2344979390697321 -0.3294748085006908 -0.3252657775392825 -0.3288368919433917 0.3370858774107519 0.3354166265704903 0.3025504021237826 -0.9543755304644338 -0.9073489498400147 -0.9792397267497088 -0.9755347616441801 -0.9596296484916899 0.9367454669400914 0.945954903737403 0.8879350746268051 -1.000256049318367 -0.9476390595011867 -1.018754591314338 -1.008651881304988 -0.9920661056653033 0.9867158079586886 0.9935035562953936 0.9197798995082692 -0.9707205415634007 -0.9565320634566018 -0.9450560413395362 -0.7864490593099021
2	-0.9093403790279033 -1.024573869529306 -0.901656473730659 -0.875011908804504 -0.6051131752698357 0.974759330420234 0.8032063150600051 0.4171333403048629 -0.8762679425356863 -1.013060266934116 -0.9141861521950826 -0.9091808617467029 -0.7661178138386651 0.9523514799822391 0.7424401046259826 0.3849243831736427 -0.9694897129223732 -0.8644667677797209 -0.9967969657787149 -1.124191793619928 -1.145381382452414 0.9830502717765796 0.9813642945196497 0.9151806106593336 -0.9767771790834812 -0.8719129168400281 -1.003214635121509 -1.136189250358638 -1.159412939138302 0.9953285578783405 0.9858615713044321 0.9040476500613932 -1.323762369601338 -1.261107693789925 -1.376486148995681 -1.502144029613648 -1.439224568935246 1.327898485650175 1.305935933735191 0.9754538599834573 -1.305293781516675 -1.257184464817184 -1.380410121229862 -1.502136112002918 -1.387967143610418 1.306638060254855 1.276161073021686 0.9124287510648178 -1.121453778556331 -1.040599969283779 -1.122181632468721 -1.220881446606841 -1.23515692165705 1.107556551585878 1.098017349162649 1.01934178813663 -1.111643563064074 -1.036096048566792 -1.116960488899329 -1.227512334532651 -1.243681196694312 1.100466570213894 1.091360253463044 0.991652227312842 -0.8906610236144971 -0.9663162118483005 -0.9092362293671575 -0.8885769941734918 -0.7979749758118586 0.989826004709693 0.8711463446257407 0.557395992454366 -0.9383910371247062 -1.01581782484442 -0.9374449595028671 -0.9074715435245769 -0.7863353966394006 1.015380041881374 0.905867725951529 0.5844786420853216 -0.9016413928414653 -0.7937411715998216 -0.9343778943539729 -1.032260774664995 -1.02020578765597 0.9186960153428284 0.9153790256390574 0.8118695482712034 -1.037168798233507 -0.92637792330616 -1.081071663837713 -1.192295577447491 -1.178682217504468 1.049315500064028 1.050719553270681 0.9250657548197928 -1.369804715612649 -1.316358661439287 -1.43806040697614 -1.497075763807509
3	1.828626732058911 1.657533231341625 1.812428497614558 1.801133959874067 1.569206882234387 -1.82989319508555 -1.754663776529361 -1.343351392193395 1.739483955265631 1.587938157187093 1.749105264132516 1.76866440619265 1.611879419574315 -1.749637946505953 -1.654055205462439 -1.273611255290974 0.04047367940135599 -0.1084566503820897 0.0306186796448632 0.2342328452719211 0.3047061945263689 -0.23372423194407 -0.2405180629673473 -0.2336787021342243 0.005800185983181521 -0.134739098538641 -0.01108350430052136 0.1922745519751028 0.2595170859265161 -0.1923520164699088 -0.1976500643153108 -0.2184416123715018 0.4190891334956379 0.3078812195072533 0.4734020675125707 0.8873760949405975 0.8976053878789197 -0.3875735509274252 -0.3347924279315992 -0.3223851847144756 0.355772882110149 0.2392393925844187 0.4661128732979783 0.9421799601974745 0.9336769124869014 -0.3331882038671524 -0.3001375250382212 -0.285964194320678 0.4379491249057212 0.2319208171848006 0.362943661214428 0.4765993886935436 0.5390813771710713 -0.5739723999107277 -0.5521462330388729 -0.6043029603776505 0.3818874319297603 0.1805591690329528 0.3183434179144209 0.452097902908208 0.5289564812827358 -0.5287360516389704 -0.5083782391599955 -0.5434964949857265 1.829773103630992 1.687087134563277 1.837151226536894 1.829815290855147 1.749034929927441 -1.825540211214464 -1.816955125730672 -1.522822182424717 1.818147680104133 1.67079556731549 1.810885315927933 1.799192259065839 1.703062198993711 -1.802058633641661 -1.796496325114159 -1.53124976866012 0.2431968521240062 0.03059122996653071 0.2020214567007753 0.3255580841060391 0.4312345286606992 -0.3946345233424777 -0.3971493839583568 -0.4878668415180598 0.2568913043537966 0.05361071957301649 0.2386055206085595 0.431282658040278 0.5013154368958231 -0.4400666016884466 -0.4478126243973721 -0.4828978462680275 0.4750466754892753 0.3662392562613812 0.6036248592598454 1.052034698773178
4	-0.8418973257639457 -1.052197948486287 -0.800945514529633 -0.7722639739671877 -0.4602114511004067 0.8918015551343342 0.6830270746447721 0.2585386966412842 -0.7491977633215262 -0.9994836703545704 -0.764554669776639 -0.7741228050529517 -0.6274868520608498 0.80850705375256 0.5692196644810018 0.201770215964781 -0.3400015358884328 -0.2586404458843483 -0.3669320958798392 -0.5162001983584104 -0.5439425651306178 0.3578596141039524 0.3509930396223268 0.3186595788766824 -0.3509738747319687 -0.2651765052935938 -0.3765470809282423 -0.5258417002170391 -0.5551722486423418 0.3644695669560741 0.3521494148929221 0.3083781416390809 -0.7753550647176086 -0.7111415425268157 -0.8411037080586543 -1.07361175155518 -1.058997542688515 0.7874207890695024 0.7712816858904198 0.5691174183978301 -0.7640644058925046 -0.7151054016000316 -0.8549176990028687 -1.082267649314955 -1.034097042274532 0.7736131471906256 0.7491057111074105 0.528815900055661 -0.5146162053437286 -0.4491289992566328 -0.5013551743848749 -0.6268707662839084 -0.6493173869157473 0.5130044893799603 0.4947575342391 0.4385102064443113 -0.5006919039383878 -0.4412502043410637 -0.4944827579584077 -0.6355222087756732 -0.6620226319660487 0.5000259546990522 0.4831809276823696 0.4040584903466307 -0.855338992096881 -1.008756227525802 -0.8404028582559361 -0.8144896369978116 -0.6895398737707887 0.9266423748935954 0.7780819559570251 0.4138051065219374 -0.8678192159073909 -1.012231609667414 -0.8361862443103047 -0.8035725529511285 -0.6551869640903365 0.9242738186171759 0.7931808957275556 0.4350174611287866 -0.290551690586872 -0.2019693921987613 -0.3099207426066983 -0.4299209521243802 -0.427272770579178 0.323996161840134 0.3122510842757407 0.2342952953731232 -0.4160758513848755 -0.3285482093134225 -0.4539895073240481 -0.5946022798237161 -0.5910923182073367 0.4397552900799167 0.4356821503703184 0.3447591904911071 -0.8406146054209547 -0.7891712898673318 -0.9430433940680466 -1.141321443453055
5	1.207110306828551 1.135428290646141 1.175332284127631 1.167813544891557 0.9939330781354456 -1.19382054602818 -1.128619548468654 -0.8364100667278175 1.108358321450872 1.060663603182365 1.098595403858012 1.122042724887765 1.017256574448802 -1.099921560057516 -1.027661134505865 -0.7733293301010377 -0.4298465333563893 -0.5147057915412113 -0.439052723954923 -0.2881896660090758 -0.2350138673825461 0.2894319859870202 0.2876607435705122 0.2669150595259408 -0.4529452705241331 -0.5346511884960773 -0.4674382563371093 -0.3206004847488731 -0.2701620603402961 0.3235015751678609 0.3208151792559869 0.2765459317774902 -0.1323578709139706 -0.2087767376440317 -0.08894837670706524 0.2658429448077237 0.3075997928085128 0.150331507497027 0.1830605250991588 0.08918001435904051 -0.1720481274805463 -0.2528596758503945 -0.08830219841338319 0.310560914164181 0.3534422099531184 0.1832474144552221 0.2011338316339693 0.09680236509649776 -0.1410854880289528 -0.273760581055778 -0.203662565546179 -0.1122881602322676 -0.06335997097196742 0.0348624223092959 0.05527730083652405 -0.001572756301152823 -0.1831938746897769 -0.3124054321907043 -0.2363333967070099 -0.1290762995726925 -0.06861904911763583 0.07049474148079189 0.08928336683807274 0.0443436990726892 1.229207105822451 1.16990345061356 1.212370535694396 1.205275792490455 1.132247129216872 -1.201945306003538 -1.185458227981501 -0.9647797595934058 1.195623591346096 1.126146638654461 1.171394684870344 1.163446344121382 1.085940191666945 -1.165952359801457 -1.156158388578934 -0.9652933642605857 -0.2682022435925455 -0.4012589544191345 -0.3083414609880854 -0.2127410159834836 -0.130214515526621 0.1505178562322798 0.1537234220297456 0.06552934308922734 -0.2740226299172503 -0.3977327643519549 -0.2939237500787896 -0.1451110900776711 -0.08762252126768633 0.1362409103698231 0.1341857208576469 0.07866857497558537 -0.0834526027649147 -0.1565745314664405 0.02532380123321381 0.4296196256868056
6	-0.760763744278146 -0.9665164862007917 -0.7114757734556062 -0.6863914471854177 -0.3987147166389253 0.7949603509734693 0.6028128306157583 0.2147016319820866 -0.6533141483422381 -0.9011574427891658 -0.6564453850379154 -0.6718306092095142 -0.5412684995654244 0.6951612862640637 0.4803190572622661 0.1533855680790657 -0.002337613574649296 0.06207536591837402 -0.02376931076003467 -0.1671437360406517 -0.1966575850983162 0.02936289993113666 0.02178884980171059 0.009864839729583 -0.01111560903555848 0.05852810096786667 -0.03083572060108434 -0.1717544922461547 -0.2022010849404421 0.03004454427160462 0.01894046872987011 0.0009699801632170902 -0.4165385484486384 -0.3570671301648731 -0.4792836429341731 -0.7401302358225086 -0.7501028781079309 0.4282688303167793 0.4147370280803981 0.304855016188383 -0.4070227472732728 -0.3601142119229679 -0.494629514751138 -0.7540486986505238 -0.7432818384132142 0.4172891414355278 0.3980113292199596 0.2798482137313553 -0.1773626551656029 -0.1192291690497123 -0.1562056754766411 -0.2773917984424325 -0.3028397477882401 0.1888389904242731 0.1688012542893826 0.1353459281735783 -0.1610650816273801 -0.1084816795359664 -0.1474152463951638 -0.2840738396244392 -0.3145885068561383 0.1731164261759727 0.1547400322496906 0.1007478823365048 -0.786121863965075 -0.9389862350319123 -0.7593794688276185 -0.7353568832819872 -0.6130708979803368 0.832129519222378 0.6963235173301017 0.3586532059714002 -0.7801118927071112 -0.9205432186620465 -0.7401099919144792 -0.7115050702087112 -0.5722792127867953 0.8165267892943786 0.698921023357265 0.3739365604698283 0.01918281362521458 0.0948982067363275 0.01142075440295224 -0.1036824388518596 -0.1113900091959328 0.02375627361200135 0.01050117893477794 -0.03732368270962773 -0.08027444589595366 -0.007679944060091293 -0.1077865013021378 -0.246791150390561 -0.2521733888216838 0.1147490003285927 0.1093904540919315 0.05197419951424439 -0.4817176869667297 -0.4344504968367394 -0.588001554623215 -0.8369582514701213
7	0.2163932082190373 0.2374478332884577 0.1821987410845992 0.1830523251044529 0.1406412917042371 -0.1879013620989384 -0.1698248080449702 -0.1092507733355355 0.1436062913654625 0.1826324684482573 0.1165051851994517 0.1365300293708006 0.1230834398605254 -0.1139370851598719 -0.1062708677339714 -0.07467069468935386 -0.796479598277708 -0.7901693796732698 -0.8052770540303884 -0.7588686707484352 -0.7388476534465417 0.7449954741801087 0.7477894960770667 0.703151472306492 -0.8035712415488329 -0.7994791578643611 -0.8144751618644643 -0.7746134297408185 -0.7562950620240224 0.7637973207117977 0.7630943586097576 0.7039144609698689 -0.697014099957596 -0.7139741548930059 -0.6818298411344471 -0.4994857234778038 -0.4373625191700253 0.6985700052978233 0.7020515807122333 0.512199908998978 -0.7027023355716654 -0.723503250525243 -0.6751686285973293 -0.4769780185081351 -0.391886951835706 0.7010711708308723 0.6974454481669622 0.4865219167506297 -0.704142767748308 -0.7257839161282784 -0.7371278946971302 -0.7032701113588551 -0.6823039139169813 0.6540579071819191 0.6659678090240392 0.6141422208956605 -0.720540502687761 -0.7413964479209754 -0.7491870229890326 -0.7091545046982495 -0.6827984105375465 0.6699093247898076 0.680608705960942 0.630447361681 0.2512487562953974 0.2717594205853495 0.2173131977356617 0.2148514727246039 0.1806503275165795 -0.2023278231509663 -0.1972097033717304 -0.1400741899881454 0.2044417260334529 0.213110650975481 0.1735785109004962 0.1744707376043665 0.1495894236209828 -0.164170094625473 -0.1657586572685946 -0.1308620210238677 -0.7116125053201404 -0.7253920250179561 -0.7420834279015472 -0.7099444267422081 -0.6708939007326045 0.6602694566997473 0.6669143291630956 0.5967360012598745 -0.7467079576497189 -0.7536868141009165 -0.7666061286426327 -0.7124216419620594 -0.6816538601605623 0.6906639802153952 0.6941567071262201 0.6249746124109834 -0.6740771357565071 -0.6890066439194578 -0.6227909264145893 -0.3863305465647574
8	-0.8515665279119869 -0.9551465378753587 -0.8401698776726905 -0.8165186161810327 -0.5693009397733889 0.9059849991746494 0.7506279041193097 0.3963180544864395 -0.8119854041507626 -0.937211421626489 -0.8422329141880921 -0.8405530101941314 -0.7103883607216686 0.8758000970589199 0.6875481246902511 0.3626241087691321 -0.7581556718136635 -0.6644039135744263 -0.7811818646904939 -0.9021106339502271 -0.9241376844313699 0.7785536116291547 0.7767533241394675 0.7236996081224375 -0.7634068941438379 -0.6695816637653073 -0.7853264241535989 -0.9103600722306117 -0.9339448637178125 0.7866613820937699 0.7783907972581571 0.7135806747649557 -1.08897848262242 -1.030167529331071 -1.138244135428598 -1.27707822366701 -1.229338108025369 1.092175823460863 1.071759738184436 0.8027479288251419 -1.071287760409838 -1.024850698918511 -1.142528881012802 -1.280465199762559 -1.190022826085763 1.072496398438939 1.045611325017752 0.749784747325948 -0.9085447332225493 -0.8321385980910236 -0.9042634519711646 -0.9972979367779626 -1.01323734481457 0.9038773110159309 0.8936718840914661 0.8309690016214735 -0.8972189504539329 -0.8256681149619017 -0.897675356849106 -1.002211053225731 -1.020655681062318 0.8951324691013164 0.8854811565245408 0.8037349210722281 -0.8395040883443783 -0.9081106858050205 -0.8516674732681992 -0.8329367180632911 -0.7473357679449191 0.9211976847472677 0.8150579919321381 0.5264450636589354 -0.8757268959525979 -0.9443316405614153 -0.8708237485107615 -0.8442176091044772 -0.7325728713307682 0.9387432585903464 0.841640722549435 0.5493772129123682 -0.7106615396416133 -0.6111965258046991 -0.7354281122533273 -0.8276003454803901 -0.8228748566019158 0.7337803026379379 0.7299951802288963 0.6479509531566146 -0.8265970809708761 -0.7255273352520263 -0.8628501658651536 -0.9703297525166732 -0.9628365212534771 0.8462425582373817 0.8471043278774597 0.7447798455490344 -1.133329250040763 -1.082980695675532 -1.201714269529585 -1.288674817893781
9	0.7499545677923987 0.7278051358730818 0.7165866703306939 0.7123219835726567 0.5941603841538249 -0.7311974055912469 -0.6835061952606691 -0.4924585505942716 0.6625902533840828 0.6622496356063893 0.6454134629506354 0.6670983266942744 0.6025485105604722 -0.6460606109656425 -0.5987018484706315 -0.4422080767204216 -0.5820980195484071 -0.6254732964758262 -0.5902468259311086 -0.4864487328082884 -0.4488190874049967 0.4848094246236882 0.4853536487953998 0.4548161246351827 -0.5971062567182012 -0.6399777680841154 -0.6090133407865577 -0.5103278283565694 -0.4748667837445406 0.5110399439920774 0.5096372540321076 0.4604479468330772 -0.3700917606898204 -0.4193558221121049 -0.3387891895389324 -0.06401278688012912 -0.01401773132659632 0.3798518763141439 0.3989124799461605 0.2677708287638969 -0.3936673868686952 -0.4465927145300745 -0.3350235546522644 -0.03013479486570419 0.03016265987986876 0.3984972948592422 0.4067725137714776 0.2609472020125383 -0.38468806816535 -0.4654267544578561 -0.4328119560260582 -0.366382260442211 -0.3306653882936895 0.3063478635217426 0.3229385481429383 0.2709144843465601 -0.4145277593463542 -0.4929446650993387 -0.4555559443263624 -0.37760928109645 -0.3333011678077656 0.3325401083335416 0.3476898395956181 0.3032264934651986 0.777873777580365 0.7604407191596839 0.7530780490270844 0.7475775890159102 0.6905539883213597 -0.7429813619547618 -0.7281841654478292 -0.5775190922371566 0.7391385014549848 0.7107171970038471 0.7114777516430795 0.7069052024314639 0.6512390119389764 -0.7065937556945022 -0.6988256445261818 -0.5740902460700159 -0.4601161003168862 -0.538028685394656 -0.4945543028880385 -0.4268602676117492 -0.3659687035328776 0.3743199870319043 0.3793566587004885 0.3031197301310005 -0.476066782178423 -0.54595168408925 -0.4946150108555721 -0.3885241534412623 -0.3445064738159483 0.3778955475656596 0.3785415640893603 0.3201100858616844 -0.3323671866506719 -0.3786475695461361 -0.2494438823421287 0.07516032533575948
10	-0.5645675527183441 -0.4576946568885651 -0.5513157249333747 -0.5551464847804681 -0.5295054298177559 0.5368962482696054 0.5545213614747057 0.4829470574556594 -0.5177447639131143 -0.4170425487260683 -0.5029398233544149 -0.5181801969326912 -0.4920070486840162 0.4902464123361238 0.5139026980960284 0.4539879925157647 0.4948317891551978 0.5248200941956157 0.5101602651149901 0.4500869430581902 0.4209281183343 -0.4014008483642135 -0.3985801820091884 -0.369041405139834 0.514182567050217 0.541097602648359 0.5328469695711843 0.476330676135205 0.4496734021472708 -0.4282478343671008 -0.4226991019415516 -0.3723395070517818 0.4175795308577669 0.4505050359573825 0.4068791491864061 0.2196677581522302 0.1792824019522105 -0.433135634351662 -0.4501133973540145 -0.301394344051462 0.4408616644734069 0.4817725270427756 0.4096631331669702 0.1899397505524388 0.135500303228209 -0.4507964817562736 -0.4545837498983001 -0.2906327019601149 0.3460012513625494 0.4158701324989679 0.3874675644513894 0.3608088170048757 0.3326948477958202 -0.2692068947228108 -0.2787181180109639 -0.2174537709604932 0.371583007141321 0.4408984472544868 0.408402113193356 0.3751793535551085 0.3400064029829084 -0.2907746791783873 -0.2994757238047824 -0.2393418975052201 -0.579861910790757 -0.4980559447625035 -0.5685745245379368 -0.5713817894021591 -0.5564610932520357 0.5337719590198997 0.5669012744234928 0.5243564328064674 -0.5476096291734452 -0.4602023201436238 -0.5369512767109434 -0.5416879554190384 -0.5322024113624866 0.5056299866746182 0.5388259209351838 0.5170206127813443 0.3626386163084908 0.4247114171866584 0.3989216240291945 0.368095941930464 0.3079944004937667 -0.2887206064965633 -0.2882234324719453 -0.1974193340798349 0.4090768750470282 0.4644132587126582 0.4362422953944538 0.373807423034385 0.3309362823217215 -0.3184646648226862 -0.3163963300799674 -0.2431368523555305 0.4020543599340265 0.436377681535678 0.3546592043436054 0.1172565343346954
