1	-0.5903450363458649 -0.8195740266085992 -0.6444483295445369 -0.5743251613629936 -0.7820040458651797 -0.7257667240037422 -0.2661962930691271 1.493009686730074 -0.7529553050299568 -0.688779344080565
2	-0.9060106131478779 -0.9275191160588196 -0.8396225138233518 -0.9105924683956288 -0.8641736984643997 0.1718451909527247 0.1558818637592767 -0.2133037942853727 -0.8923372129727239 -0.8808718130000707
3	-0.9180233468901012 -0.9718331327629333 -0.8684972319182956 -0.9190798870623405 -0.9011991528509709 0.1824423627589917 -0.2230651041631355 -0.09783683779145436 -0.9309768100430545 -0.9120553876264109
4	-0.9122887193351892 -0.9817123265942564 -0.8719630829350813 -0.9115399815510397 -0.908194831805923 0.1875762181265579 -0.416713372895852 -0.04028658628042028 -0.9385373961026862 -0.9161135478003591
5	-0.9299971744996313 -0.967792024831024 -0.8728926945929256 -0.9323970072209495 -0.8945953276689761 0.2756022437346786 -0.2605092516413335 -0.2499516772604361 -0.9300466878423015 -0.9155019015763933
6	-0.9253769369701133 -0.9715372278485193 -0.8697403422626355 -0.9276347962196634 -0.9046198387616118 0.1313830359636086 -0.00493210300730482 -0.08126329792289405 -0.9311779641693975 -0.9135192188022577
7	-0.9272767280888173 -0.9896625751887344 -0.8785737763038917 -0.9281728401687576 -0.9234216066133242 0.05868062857494278 -0.007516630648281272 0.05042560772092324 -0.9458464761413204 -0.9238146212259289
8	-0.9367999112923174 -0.9924033092319663 -0.8861752854097524 -0.9379097853578789 -0.9211938354511733 0.1671946406584082 -0.1888495107275795 -0.07933675869060455 -0.9504123778426562 -0.9307827529560693
9	-0.9345973711034838 -0.9885582411741066 -0.8821484345154524 -0.9361314068790176 -0.9201956665309375 0.1213023730812195 -0.0597030329242626 -0.04249916141188331 -0.946473513595733 -0.926850966592481
10	-0.9476631750350084 -1.007488110876866 -0.8936641085695286 -0.9494959165344579 -0.9449784215386049 -0.02453258338505714 0.2440181598169023 0.1151751686389205 -0.9625369310946477 -0.9402072002333621
11	-0.9390673361448439 -1.006416049161106 -0.8906426123000144 -0.9398368778402729 -0.9415287371286702 0.002853598299833031 0.08428131700093378 0.1204616968283461 -0.9608041284122313 -0.937050094483127
12	-0.9470461569527113 -1.007163153844021 -0.8967657089194341 -0.9480256161832366 -0.9371086516542801 0.1183701147054022 -0.1105763488104906 -0.01739331285370438 -0.9635754425326487 -0.9424003267914364
13	-0.9438293514887804 -1.004074204173988 -0.8941151821891694 -0.9447190460577609 -0.9337364656000905 0.1266826916756161 -0.1353302607224155 -0.02418681738142647 -0.9606644011472384 -0.939558906210994
14	-0.9312813631204904 -1.00654990746051 -0.8904575845965064 -0.9305124879868412 -0.9351199709789356 0.1070776796270514 -0.267777672287499 0.05523550094486331 -0.9609289318009463 -0.9363063203622572
15	-0.9146579792593403 -0.9918806348935331 -0.8736470050563411 -0.9141722778901334 -0.9269548399237267 -0.005905210715743714 -0.02752030578419645 0.1712420565730942 -0.9454496147308599 -0.9195614144754828
16	-0.9086568189373316 -0.9763302859583447 -0.8598944854929865 -0.9098879031942645 -0.9201166466714511 -0.1309985214247306 0.3816354286886939 0.2516794456138248 -0.9304813532929486 -0.9057807395684744
17	-0.6974217556326699 -0.73240015666291 -0.6568677880001378 -0.6988059380230902 -0.6791954778371686 0.1509826725209222 -0.1333905528332637 -0.1091588246250076 -0.7024567573362493 -0.6895468065964665
18	-0.8404953907153403 -0.8823233997563136 -0.79088849861806 -0.8423287621227674 -0.8194569990303752 0.1593208774950607 -0.1015252083322453 -0.1116411385323107 -0.8460710646576129 -0.8303951125645993
19	-0.9302859220771874 -0.9966119318897758 -0.8789131272740768 -0.9318335056660106 -0.9392486850767021 -0.1271479725852234 0.4069345930016722 0.239494498981885 -0.9502280669747308 -0.9256802558860453
20	-0.8231446333520709 -0.9141814521898537 -0.7977721815726132 -0.820388355697755 -0.8522758383670384 -0.01610596997050408 -0.2408886170498088 0.2490438149692771 -0.8687327429053261 -0.8403810664953466
21	-0.8130631796370997 -0.8710372063401129 -0.7788484695426945 -0.8119278109594205 -0.797954423094244 0.32468568361177 -0.7140811959744815 -0.1987497643570405 -0.8347332854540096 -0.8169872453594822
22	-0.7716430569413282 -0.8269383709936481 -0.7359685264562662 -0.7713160152342279 -0.7647307364080449 0.1713308502138847 -0.3449942492372421 -0.05943216090086655 -0.7911086610046038 -0.7730387596491506
23	-0.704803781125274 -0.8157927485415407 -0.6876094596909943 -0.7019516346536757 -0.7857332728529236 -0.5674014881347543 0.7804197310763246 0.8617507551361849 -0.7660388868789508 -0.7294399038079235
24	-0.7484246274549244 -0.801734762373831 -0.7021493985223175 -0.7508203808969283 -0.7661597454017842 -0.3029455328507347 0.8204374407608539 0.3803687949494712 -0.7624763092590603 -0.7410307530694813
25	-0.9319800391252187 -0.9551678488131121 -0.8646010735440263 -0.93649895155495 -0.8890986084946165 0.1902287544969013 0.115348119141279 -0.227834119277576 -0.9189327566134587 -0.907008466125148
26	-0.9263012107891665 -0.9544220491664726 -0.864310298875132 -0.9297199706296594 -0.8830813792375741 0.2787395635573195 -0.1625963809089747 -0.2904279949830029 -0.918441117112102 -0.9061839460821947
27	-0.9203022185473541 -0.9585415198162398 -0.8637833116745517 -0.9226935807132601 -0.8869580414659461 0.253592932923964 -0.2202681444413475 -0.226125147435086 -0.920865154494158 -0.9061159612873492
28	-0.9239222489284356 -0.985291290531276 -0.8738919596215552 -0.9251517522967876 -0.9217373991266675 0.01480632658099455 0.1085869044924376 0.08801211529026261 -0.9413399839183705 -0.919198389731801
29	-0.9278979324845597 -0.9835618114293468 -0.8753776416508497 -0.9295607335678908 -0.9187171626787869 0.05547461838792211 0.07662376352093971 0.02686146390115685 -0.9408021332639557 -0.9202859057755711
30	-0.9347081757276762 -0.9692206824373404 -0.870377100617724 -0.9386764114730319 -0.9071203699183963 0.07159560961587853 0.2814458134910145 -0.07256205721336777 -0.9298614387842788 -0.9142946614454007
31	-0.931335895923168 -0.9735027497544104 -0.8703648653210787 -0.9346939512809661 -0.9126006538007653 0.02509912894567462 0.3063063975620133 0.001630927768123212 -0.9325510597377811 -0.9148550036610332
32	-0.850077243873868 -0.8281320059378727 -0.7697939568565981 -0.8578486492524184 -0.7656870975919652 0.3686111216350332 0.1117303931790249 -0.5602168549614216 -0.8040966670236818 -0.8048079516645603
33	-0.9079538109480293 -0.9588865724420652 -0.8579198139108957 -0.9092045710103424 -0.8890236327393649 0.188665765261247 -0.2150489534687204 -0.1134708459892634 -0.9189360961950687 -0.9008189868682278
34	-0.9479091316191426 -1.003627936377622 -0.8933866955371528 -0.9497907469345764 -0.9381196947200414 0.04679881184690046 0.1154090219703766 0.03217364503305017 -0.9600393692838315 -0.9392605180897616
35	-0.9300660662976257 -0.9834677996264458 -0.8739340814694562 -0.9325044428157313 -0.9236007156133855 -0.0332795646820333 0.3219064805329379 0.1007328310286289 -0.9401394181423129 -0.9193696669869645
36	-0.9373599498927406 -0.9780998856862652 -0.8741754677728241 -0.9411343625705252 -0.9190306017481169 -0.01096926764463347 0.4163571806984507 0.02887388022277225 -0.9368119143582363 -0.9190844944617678
37	-0.9339861172182543 -0.9843906637528393 -0.8806845379325862 -0.9356657046935166 -0.9144956737529432 0.163731059129771 -0.1243403056156731 -0.09614166198881745 -0.9433282917771 -0.9248914876905553
38	-0.9198500950351334 -0.9917251795607434 -0.8775566884845675 -0.9195074931720244 -0.9229630821765676 0.08055243017348769 -0.174797534011863 0.06843910495231721 -0.9468270879575398 -0.9228609605213872
39	-0.9360510219768388 -1.008854071828893 -0.8903024082329253 -0.9363277504140561 -0.9443690161649216 -0.02105635400153467 0.07880529893999143 0.1647871187058749 -0.9622195904092748 -0.9370321788324434
40	-0.9484873973838144 -1.008001580243122 -0.896288276757502 -0.949885482827981 -0.9411111288867774 0.05890819168894253 0.043463357833177 0.03569391284762805 -0.963882498745142 -0.9423273850803304
41	-0.9507776324802102 -1.005534526468385 -0.8960834000089312 -0.9526472684888748 -0.9387245176300413 0.07193011312867797 0.06715553190321807 0.004418842816153189 -0.9622437115889096 -0.9418751183963482
42	-0.9424785364069387 -0.9973324205303781 -0.8886988037183164 -0.9442398668201871 -0.9307352713580489 0.07628523995072706 0.04786325946485914 0.001978518481819519 -0.9543729385837597 -0.9340921175017145
43	-0.9359406076422354 -0.9945994571326822 -0.8838946290561664 -0.9374441683934298 -0.9296808923434398 0.03772605138872808 0.09373280410841002 0.05405865920284484 -0.9508769169138082 -0.9294489381709369
44	-0.9301559029207613 -0.9846089671212438 -0.8779870508659553 -0.9316882213453239 -0.9172454711902758 0.1052519039510956 -0.02987103045225237 -0.02485932450463059 -0.9424501602440603 -0.9226166974533566
45	-0.7953831107456046 -0.6981074551301124 -0.6809590193313217 -0.8105000669823881 -0.6482166755321023 0.456401184504267 0.6952012390598028 -0.9308095510163725 -0.6893796431406682 -0.7086717479862594
46	-0.8472533623125164 -0.9114338100323199 -0.8029192477791741 -0.8481558117226491 -0.8576530801519416 -0.1000577650386432 0.2894663077371352 0.2182422474011088 -0.8687194488765609 -0.8456272380750505
47	-0.9419171794989344 -0.9860713280099547 -0.8868510121448004 -0.9438027714292613 -0.9117959205274072 0.2608562038734124 -0.2851531471737738 -0.2129034384183737 -0.9466940478195118 -0.9304539817990166
48	-0.9546726285420366 -0.9902309208305798 -0.8915640175609625 -0.9581262573103198 -0.9215315651120238 0.17216440088836 0.04089402128623488 -0.1656357049356508 -0.9509426990890203 -0.9358154131423341
49	-0.9239408138131551 -0.9557934565690716 -0.8601146400176787 -0.9278797927329452 -0.8926783011619803 0.1116980927103527 0.20323027942999 -0.1189591432595007 -0.9176591439490283 -0.9031411948975617
50	-0.917847744179639 -0.9496940041474552 -0.8540427244639686 -0.9218573035575828 -0.8880552850014272 0.09009927112576635 0.250801197169891 -0.0978374714942718 -0.9115747447269362 -0.8969280310138557
51	-0.8811881162108319 -0.961815064073077 -0.8491758684230616 -0.879080330069722 -0.8893195245280656 0.1609867307507747 -0.5057789514451378 0.03343804674430501 -0.9176740392177966 -0.8927169076111532
52	-0.8849101946809277 -0.984160684368766 -0.8629247848812739 -0.8807386159317214 -0.9076113749352993 0.1676517415938705 -0.7285256432838535 0.0999763599808539 -0.9368711842374541 -0.9076481517532998
53	-0.9326775041889006 -0.9825488573139736 -0.8778050113434877 -0.9347300506592316 -0.9158293981674855 0.1067000230228295 0.0204602467830102 -0.04464040804217723 -0.9410683102497827 -0.9222803657710367
54	-0.9460837786546706 -0.9997062667592479 -0.8901327588190674 -0.9482849961155908 -0.935651390865066 0.02859371008993057 0.1820512539147548 0.0412412096235158 -0.9563541263816078 -0.9359192495488723
55	-0.9309452964250632 -1.002204102112557 -0.885666261033632 -0.9311497361646111 -0.9364635062131089 0.01367475744018996 0.006331946719681456 0.1269565010921131 -0.9563499636492059 -0.931858848604778
56	-0.7352067570739873 -0.8845666471737059 -0.739793095363192 -0.7275591058201447 -0.838042953593061 -0.4235540723224149 0.02269809965761481 0.873564583028334 -0.8287550142359444 -0.7842743256340969
57	-0.921263539741043 -0.9899964864159339 -0.878051908279525 -0.9210636898387712 -0.9197446991568358 0.1185596733802846 -0.2314152809799274 0.020261540179706 -0.9459349379827873 -0.9230036900321437
58	-0.9327425713310901 -1.003451767647304 -0.8883622889493167 -0.9327060616999748 -0.9347860836066654 0.06929530231123979 -0.1223688452274612 0.07243781422253787 -0.9581630043035297 -0.9342561425906036
59	-0.9354560816801935 -1.014290252790573 -0.8940314909669981 -0.9348360410138299 -0.9466305347224755 0.01836024567361963 -0.0864072065608104 0.1517195455082295 -0.9670644802496583 -0.940828587550202
60	-0.9481233442178059 -1.013206374706191 -0.8986600367107817 -0.9489837500153907 -0.9460379721247193 0.04471436466060357 0.01525015127001821 0.07097092593434831 -0.9680427781736309 -0.9450872756259764
61	-0.9542787769413479 -1.015576278118922 -0.90263854734142 -0.9555052260122584 -0.947796472307564 0.06333892063994859 0.0177439871931768 0.03769170872315078 -0.9709928195227245 -0.9490136702599439
62	-0.955840592595711 -1.009995196268481 -0.9012673383666217 -0.9576089666508731 -0.9410597692296271 0.1091102328655804 -0.01273556957463191 -0.03353411370450342 -0.9669791891359881 -0.947021268596803
