1	2.069639771300525 0.009863754554111375 0.9980241907836146 2.11665518720572 0.5117169793940917 1.638087644127357 0.5888604272536218 1.065149733093655 0.9721951698962251 0.7237956562916532 1.834462414543489 -1.073745448110251 -0.1917815934920965 1.880237439906974 1.301622266271646 1.13341912583032 1.924608868762725 1.899797273812251 1.368432036531942 0.2613475466935606
2	1.899806436702162 -0.1110669834040463 1.002452546844769 1.900538446447331 0.5397741427411115 1.437468228096268 0.4512026421079565 0.8685690664438827 0.8638132141492288 0.603541700962789 1.640449354720757 -1.05895367170746 -0.2221093799038072 1.645328036255626 1.090931874240401 0.9409527395653468 1.709179563166256 1.697420806570727 1.182173807028913 0.1675822970250261
3	1.583969251451979 -0.364377447410923 1.016461950597356 1.504478734497415 0.5282309027604932 1.006215335520804 0.2383245788441571 0.4309483025345714 0.5704960227326614 0.3090781115896308 1.234602238583641 -1.186707285729316 -0.4311956918578898 1.209686868489609 0.6405968144203966 0.5004521841419737 1.312650185355093 1.309472606435186 0.7704743163062749 -0.1375343781505548
4	0.560071729216251 -0.7683398653130455 0.7812666429665833 0.3470123316440096 0.3529322698382574 -0.1060958192271428 -0.2258664712827995 -0.5478578861883854 -0.1694360610906498 -0.3600383300495633 0.1155641187208202 -1.165100037831434 -0.7628373232303148 0.0507830766875209 -0.4139344916077965 -0.5045926484881051 0.2036254401360077 0.2140292488600431 -0.2444897484463055 -0.726270313918662
5	0.1618178126596105 -0.9479478114195562 0.7238270340908499 -0.1305317363417476 0.3958903818795558 -0.4992368011050631 -0.501591829915253 -0.8925828748814562 -0.3588217088856318 -0.5627896926395995 -0.2853968196841488 -1.002032125592891 -0.7273404101836884 -0.4398435861747282 -0.802106538379497 -0.8420406151423587 -0.2601167616623279 -0.2200261823562659 -0.5947291906894732 -0.8300610957122224
6	0.04340736833959 -0.6276455582120717 0.4336773809253445 -0.1356403622563622 0.1660289629254102 -0.4232584865655982 -0.2858667139487695 -0.6696504220113113 -0.3522978592107991 -0.4511011142365421 -0.2800455425977136 -0.7678919619244777 -0.6171098533179253 -0.3286668174984843 -0.6047882501475335 -0.6511211560093016 -0.2136733712252968 -0.2046616734612959 -0.4834691311599915 -0.6709021050980322
7	0.1551267288490688 -0.3471887427904652 0.2810916103204528 0.08322077198513239 0.001414043867408828 -0.1959191879236477 -0.02268670173715093 -0.3744296586206715 -0.2638595433505089 -0.2905884882576545 -0.09225573637657485 -0.7048077715749062 -0.5713264839084716 -0.03197464416469686 -0.3047092333768415 -0.3794917655846154 0.03059995566628064 0.005989844064178562 -0.2545073324486821 -0.5293088681431929
8	-0.2704486794416707 -0.3474017892664382 0.05980734839222204 -0.3353747516400713 -0.1857649366617642 -0.5745780630585114 -0.07768170492779913 -0.6383670188477578 -0.5489718217330974 -0.4953577613761484 -0.5038346879512083 -0.6218641598871786 -0.6740518971260125 -0.3969434841814216 -0.6049866671459264 -0.6705404084521397 -0.3464466361485784 -0.3845584703501521 -0.5829568449980377 -0.6964468279103059
9	-0.5628755267214026 -0.3309252937354482 -0.08728339625823184 -0.6354714487564288 -0.2313996537297185 -0.7765482652120025 -0.1772750627252451 -0.7512766962641325 -0.642821094373796 -0.5625047807945871 -0.7405090767708596 -0.3955367089458217 -0.5746063486601454 -0.6599874979156322 -0.7577651744000607 -0.788615315702389 -0.6180057293624375 -0.6457979814603426 -0.7432151672983811 -0.6701248985794535
10	0.03122217272009434 -0.2276178459723884 0.1501560095031807 -0.01751004174131736 -0.01614865743584898 -0.183754202439918 -0.03511370601127951 -0.2811299366095619 -0.2054359494393905 -0.214604621447498 -0.1225957155931327 -0.4243654809033202 -0.3669389893932882 -0.08490465312822942 -0.2435721407473614 -0.2867134118867484 -0.04543867529760209 -0.06063453548164029 -0.2129240359831812 -0.3549410338080723
11	0.7220564752113191 -0.1867187826967675 0.4871438085659258 0.6688093761093872 0.3019920475439579 0.4733545372617169 0.05395457491244783 0.2060149051976253 0.3072064324562068 0.1650095407855161 0.5766214852462339 -0.4690812622441137 -0.1176305683853779 0.5251765464048975 0.294976151889326 0.2472234896691147 0.5776640092900091 0.5893135624865954 0.3678145266505288 -0.005513235863404003
12	1.146912361988637 0.6060302379095635 0.07054484359237786 1.440308230194363 -0.3457784320602408 1.09097476867702 0.9963609961359022 0.9754365960102929 0.3862833855892366 0.509193548972691 1.113127632587605 -0.7079242760907591 -0.3688944547852193 1.51555069614426 1.122673044302546 0.9200878378377606 1.415555512471766 1.283108435943724 0.9618893159318582 0.1113510873776258
13	0.9898600158404378 0.9230768656196905 -0.2630836364370091 1.423935229400442 -0.7316891790803862 1.056180623591535 1.317478953993173 1.090339684405477 0.2169548930579529 0.5015930285089381 1.018924674907187 -0.7103207341480205 -0.518121112870879 1.627030944202251 1.230347998783038 0.9782574325364917 1.457291290962323 1.260714529002517 0.9573941129396574 0.05391790595976995
14	0.3256322375040572 0.6560557829714277 -0.4281002697677396 0.6886641142593376 -0.9302457463506472 0.2854237172602105 1.082865617982499 0.4003603078024118 -0.3571044701223905 0.003349418230206873 0.2532044579744596 -0.8500220882680829 -0.8900886423531359 0.8940601537407883 0.5048719966714215 0.2576396884849961 0.7548088198970513 0.547503439135414 0.243658910368951 -0.4551551643315446
15	0.3809089409070305 0.1055067946827452 0.04956715108835187 0.4908219278848914 -0.2929681861229362 0.1856997193136823 0.446932726941274 0.1022484002129185 -0.1421888744173209 -0.04385145182491199 0.2337403587862359 -0.6954629969345945 -0.5724199352902025 0.4981906020285542 0.1911329961322671 0.05422621726215719 0.4758813035917892 0.3873515151361732 0.1211435309578549 -0.3518096832856444
16	0.4916816253783399 -0.1379326856383806 0.2864081289618673 0.5091639954905922 -0.07893262272817114 0.1624155657348565 0.2614919738981932 -0.03693429736933802 -0.1012728736806177 -0.09752846438010107 0.2628319861339947 -0.8256162787254036 -0.5978754203628174 0.4238755474808308 0.06857796283326545 -0.05447727466611935 0.4523291467142469 0.394960834433363 0.0705912421272154 -0.4218958005655538
17	0.2556012934844938 0.1665655997544241 -0.07584722472476887 0.4068718451602029 -0.4732569529407546 0.06049646327076465 0.547848664778588 0.0285526469574858 -0.306358475844235 -0.1361024434047464 0.09591931550359187 -0.787522600973422 -0.7373333901001287 0.4543732316481636 0.1177280396651594 -0.04670245379029565 0.4138605769188277 0.2953443616597912 0.008747475616058195 -0.4909355090675104
18	0.9663236767149957 0.09960835608262801 0.3881479804812276 1.032197349036708 0.1311212990929086 0.7894479220450434 0.387532556242291 0.5535077593325408 0.4210756441899117 0.3492481405314362 0.8682211114769619 -0.5333573657697646 -0.1456462956443481 0.9548924360587915 0.6677395391322963 0.5693253795849447 0.9556363310338527 0.9233959518679299 0.6662173124814023 0.1050600912437312
19	1.644544824189139 0.2517998227242708 0.6558945195991853 1.726654113738749 0.4736534582211066 1.546875712011289 0.4818443651897713 1.18857599025439 1.052167291591992 0.8458406642245966 1.636581175063183 -0.3447709930859247 0.3107827018611264 1.604888066648946 1.33373120548209 1.256534024784372 1.599925794810777 1.605538457594694 1.362239254265425 0.6507685276390296
20	1.965773320987461 0.5693909477518549 0.5585747318350845 2.194015245711562 0.2312629537797077 1.902516072273665 0.9183438780580168 1.562011739928526 1.132768007419028 1.021672003063912 1.976182330829409 -0.5547016429455254 0.1594013745622214 2.143586340010529 1.750955381046406 1.593028722020609 2.080248322635604 2.021684295492532 1.68735664654216 0.6870121555302435
21	2.089851128622199 0.7460617094065112 0.4926382722550697 2.382264913241654 0.1634853165249315 2.09999540006454 1.081219472009014 1.788334397703003 1.237453558148343 1.157244549925666 2.151721997927253 -0.5043435912325378 0.2228881590289114 2.373415824733563 1.983047458718485 1.809876433694833 2.278981818571806 2.203744102231245 1.880334076735791 0.8146677002055845
22	2.189565583799402 0.2206562192685656 0.931917458602483 2.284119018704873 0.5675380341329042 1.927605599029001 0.6602769086052118 1.403557136658317 1.236058478697224 0.9767964574588447 2.081247073593808 -0.752128480444606 0.1404181011514815 2.092686142082117 1.621727346749394 1.482547830855014 2.103954012289643 2.092328003391692 1.665767019915793 0.6135878121657092
23	1.923210487671267 0.2080985906602311 0.7814613469519237 2.040400640516086 0.3431274864313693 1.62315344246799 0.7082546777905324 1.161167127704484 0.9334456552762475 0.7618651582985245 1.769586527007619 -0.9044855146146877 -0.1308463564121396 1.884858973802214 1.374643234955795 1.20589802840183 1.887272850594615 1.842239077603412 1.384354001833767 0.3394455203528157
24	1.269210425217353 0.01253372247151728 0.5856185127648874 1.323934905976033 0.1907451145387857 0.9449906942406432 0.4614046467241927 0.5904410185470012 0.4714751960928293 0.3633184473181772 1.075697549841731 -0.8594122236249935 -0.3257695441407382 1.187553339027161 0.753405230536936 0.6127225961464197 1.209675819469645 1.166679276530123 0.7721446272035656 -0.004642696883676596
25	0.4755335945278877 -0.03729392212180681 0.2320954324456136 0.5001801483134577 6.066484521092437e-05 0.2801575368845375 0.2183863966143935 0.1278628966515021 0.06514122900706913 0.04745475978432213 0.346321406955296 -0.5123369389163716 -0.3074947064405182 0.4409890087628112 0.2054286789309704 0.1242852809468945 0.4542728287243804 0.4201598241548209 0.2063330286722571 -0.1627313623094976
26	0.2183473014490521 -0.1877326223877452 0.2157829745314031 0.1839352007259626 0.02609280518287176 -0.004252145455503522 0.03215137817468492 -0.1386137646676746 -0.08844057560702111 -0.1162545374470868 0.0654807654597846 -0.4655024331841905 -0.3362784172725038 0.1065370585015556 -0.08425475317392156 -0.1381885936980041 0.1431117839715786 0.1263613912861936 -0.05404240218655731 -0.2813505994139308
27	-0.0250511269131433 -0.2630118462305174 0.1393682034263475 -0.07782048686065991 -0.05833600227199426 -0.2734611801690742 -0.03822855473459782 -0.3700798982932306 -0.2918465885045872 -0.2863489012458908 -0.2062949703610301 -0.5003602361706291 -0.4612958141055161 -0.1472819924289848 -0.3299507611978286 -0.3824691512869153 -0.1038310489133534 -0.1262429759377169 -0.3007987131528949 -0.4521987936013809
28	-0.4089653978406504 -0.8523918540055008 0.369821645310759 -0.6707482419373881 0.152863001966099 -0.9204475329046979 -0.5552165786236279 -1.12268470530995 -0.6507430951358942 -0.7439528657946776 -0.7750529041434799 -0.7225153262693063 -0.715507017955459 -0.8811665814687236 -1.094940946876647 -1.106045055885035 -0.7340288786644109 -0.7062718081173428 -0.9381705050702355 -0.9060798546568753
29	-0.7035230628374556 -0.3528349603847354 -0.14830291274553 -0.7776399770614859 -0.3001625007017772 -0.9241214303305485 -0.1959764735825748 -0.8696571418896922 -0.7630356486451936 -0.6550454695064457 -0.8929367885221815 -0.4151868562846681 -0.6516098029991064 -0.7903001957819534 -0.8841911918677614 -0.9173270686820885 -0.7487385274014531 -0.7834656297242406 -0.8769071304936535 -0.7663031033134386
30	-0.5876859273866994 -0.2901080750790146 -0.133030591682403 -0.641653735093049 -0.2853303513490368 -0.7862904173879601 -0.1347429399098365 -0.7406110318658756 -0.6700535990427756 -0.5672564749372101 -0.7580403908464154 -0.3987745238349641 -0.5988583159499937 -0.6490083279220931 -0.7480817987446907 -0.7859021674807787 -0.6162080397317146 -0.6529099260194596 -0.748662229560686 -0.6824726377254885
31	-0.1054910915695148 -0.1571921583966348 0.01121147384420459 -0.1084313271517152 -0.2116554786493307 -0.3164474347692928 0.07508904002661444 -0.3561067590674574 -0.3800281105462397 -0.3109234345644522 -0.2701049844264395 -0.5166162913175812 -0.539374546949232 -0.1310162944373415 -0.318921348685701 -0.3911646312996326 -0.1120338845053384 -0.1595169934738915 -0.3311720348340688 -0.4996060820680868
32	-0.05583245607022713 0.006215113805087485 -0.07257472168939551 -0.01035129089532471 -0.2422887191752001 -0.1595661187437339 0.1687629386967344 -0.1521792897968714 -0.2625458580305086 -0.1741697800794616 -0.144414517101557 -0.3530503784438512 -0.3891489313244699 0.01040747539675628 -0.1244978325866925 -0.1904502546036295 0.0007289457263407325 -0.05040832427996825 -0.1667516229545142 -0.3211635949722831
33	0.05183210941512771 -0.1266072452224906 0.2304897586774351 -0.1157943231841198 0.7134937381399156 0.3028602947632299 -0.5811394171059272 0.2720989822368726 0.6575408018064693 0.394317812759085 0.2713205283388264 0.9721620403474048 1.053251483226684 -0.1964101351523307 0.1878204665519348 0.3842092109631385 -0.1507060061576327 0.003138253757009107 0.3294028760428667 0.8171201841599
34	0.254981261593057 -0.01591340616205312 0.2749961540661794 0.1031771032592022 0.8389563521417683 0.5978158193663651 -0.5531502044859165 0.5565097813809954 0.9264694554331789 0.6188032727396693 0.5513679102530186 1.17287753068793 1.322355788481081 0.02660966117975301 0.4693258091001784 0.6886912449989553 0.06003091287610451 0.2331058944520841 0.6142029115928777 1.105866400437884
35	0.451910979805306 0.2046669171311215 0.2011857570770936 0.3940071576835764 0.6996632116218785 0.8430190738347164 -0.285830168655297 0.8230097443226676 1.007870244825876 0.7568561464477157 0.7794897114396165 1.101882305625441 1.282558847989642 0.3680642203780688 0.7578004025805894 0.9343493207873997 0.3615020045439958 0.4984200191040649 0.8439828030989563 1.1781949854236
36	0.833432850593105 0.2134509424972013 0.4028421272625656 0.7620532492616922 0.9142762599011865 1.214648024080152 -0.2716088590175643 1.097262632602507 1.320370646348686 0.9812033352233186 1.17400698512725 1.12178183165431 1.469457029321406 0.6879257224775058 1.056331915502953 1.240492325817278 0.6922053162171118 0.852249769558611 1.174586787729377 1.406545107209557
37	0.9429716861623614 0.2733567888174145 0.3343628444536189 0.9803286538768008 0.4757490383059728 1.105932944729015 0.1486311029671777 0.9595456790608047 0.92974896445328 0.746694557873878 1.10602558905893 0.3609072178636898 0.7210061478003716 0.9361996883205297 0.994389056778001 1.032719744021325 0.9175226436302779 0.9725831457545495 1.026901492490014 0.8461795765321574
38	0.402334499005872 0.1561913520657309 0.1542610017059588 0.3888309458335217 0.3993351186920326 0.6098144293017265 -0.08276052415413891 0.5716527149407808 0.6383787599336431 0.4928442486765089 0.5812063049169602 0.5550242172640742 0.7102714499208874 0.3705501965767705 0.5512370915298732 0.6347339823555709 0.3620307071819518 0.4319022899489036 0.5931810341346312 0.6953859820238836
39	0.5142188484019062 0.05676633633455483 0.3577280362107231 0.3837045382811611 0.9110834873314788 0.8686764508439107 -0.4660257375759358 0.7834638647829058 1.117860008056129 0.7805869866723347 0.8285189364839507 1.167348407771962 1.413485672044195 0.2975153463617332 0.7151547921443649 0.9263579288049771 0.3243425145943714 0.4990827606694555 0.8591969922862696 1.251944067999827
40	0.4375342377676361 0.04126953391536123 0.3215426102192702 0.3108669444368629 0.8456900485588679 0.7703925974266344 -0.4548762141512137 0.6984404911503066 1.019742280684796 0.7072665547169837 0.7311511502786388 1.10298287517102 1.317210034498447 0.2316561460387292 0.6304827215126931 0.8311995944378868 0.2579728538101068 0.4224266169805924 0.7662672335234855 1.154947779900544
41	0.7391792457279336 -0.1465202972503842 0.6206606988748407 0.5333676311388176 1.127474180847386 0.9561268253871272 -0.5872949778983354 0.7374475179205879 1.2189037568984 0.7849576812485507 0.9719558865736955 0.9973544947530394 1.387729227335463 0.3542236179763763 0.6974918994848978 0.9109392983856872 0.4265483293844314 0.6268148580725863 0.9068784484524092 1.216189148532987
42	1.350981923693848 0.5807221235748349 0.3609565308069944 1.45197172961493 0.6689487758999286 1.740333593421979 0.2754486532809523 1.602769957459394 1.480396841973772 1.234187019008435 1.695284622303488 0.8001547951492192 1.277869082967291 1.443517723188941 1.629433656791424 1.707908176850519 1.383505987119726 1.467295891704729 1.64579578701887 1.464301618429291
43	2.392981162840724 1.061970926653881 0.5295232569157181 2.676775814508422 0.694745855586771 2.851840017158044 0.8894030033842442 2.598343323125203 2.131877223591546 1.872169224323061 2.811143441895418 0.6291210150408499 1.445028458277617 2.698211452303461 2.716051774764492 2.706662530526442 2.570341389289338 2.608420017774812 2.655373323806207 1.947597776794333
44	2.745932915822004 1.298825824556446 0.4776282052210833 3.178383683931064 0.3538705813822469 3.106757803348895 1.397613351752878 2.826239052942467 2.045632433327933 1.910231365946459 3.083138183887935 0.08969943709422896 0.9886253270875406 3.250230308351832 3.018388484547249 2.880679492828398 3.075292381322344 3.021249072362302 2.860241036196193 1.721910185111866
45	2.548552744907565 0.9583440222392634 0.6276189096595549 2.8553407055764 0.5094251591163457 2.766776780223978 1.083846238644604 2.419713843081543 1.87878718455348 1.673640255147677 2.788039702717755 -0.00423070971606351 0.8879263786018647 2.841427762670648 2.603307049781167 2.496123782604157 2.727818275117546 2.708730163616109 2.524444234830595 1.501557591304176
46	2.383732144188937 0.7541345632559207 0.6757009415207293 2.635133977505098 0.4851832499640955 2.470161572796728 0.9673833737108398 2.091225471121338 1.644827678084705 1.441164305880696 2.524113180420978 -0.2182890906991507 0.6448606605770002 2.580968308310421 2.28056235351963 2.16233637596776 2.499693173191424 2.477964661895538 2.229389362865874 1.213752166468551
47	2.246620794124689 0.4917157181817391 0.7607971698176249 2.442481180227246 0.4016395113284892 2.110298401224336 0.8955833475208733 1.666314340049372 1.303951311421275 1.118415008360922 2.220265902937206 -0.6544020812695043 0.1999548223681005 2.331840095712382 1.882444471311326 1.721752733678427 2.291498093895836 2.249317060037493 1.857070977129532 0.7525483329150308
48	1.425134807410758 0.09758404287355925 0.6194872655481561 1.492281810719904 0.2857421350015228 1.170767918536592 0.4839524406716326 0.8080988273749442 0.676587433985355 0.5347868262351407 1.290135857937876 -0.7074458625055771 -0.1213926089456465 1.359104182747411 0.9690198948159966 0.8455791591157666 1.371741833171513 1.343212919717645 0.9900502217816749 0.2152672556613816
49	0.5885667497121899 -0.02843107821257739 0.2710846628232602 0.6290630873194407 -0.02911534402357074 0.3465402711701311 0.2985681296017577 0.1635164443752676 0.06488993400774985 0.05446621199859517 0.4268965359687341 -0.6556807649342636 -0.4070792551294049 0.5624725459659053 0.2616196366944877 0.1546420624602901 0.5748947372114511 0.5267505986238276 0.2550657056779672 -0.2174207554084333
50	0.5610754507579806 -0.7754747853606424 0.8238259316387082 0.3054483242370057 0.5598536178228375 -0.002037610981569212 -0.3929568015330931 -0.4372699441781772 0.04370302568624428 -0.2209760877355108 0.201533871719647 -0.8221301145304108 -0.4080546188590179 -0.004268987983859155 -0.3338710515711114 -0.3610355500136215 0.1564886364684969 0.2136889768949325 -0.1276145790575797 -0.4438384407580517
51	-0.07480920580940285 -0.4542921622588139 0.2577996140441809 -0.2017490034172683 0.06889848238692528 -0.403236875751027 -0.2169807982994776 -0.5531306876275748 -0.3309345180660692 -0.380771675546633 -0.307369918033096 -0.5428331593246712 -0.4802713302212221 -0.3278117357294655 -0.5145652972590832 -0.5472131084146354 -0.2477495671947038 -0.2456323339699302 -0.4345807735243528 -0.5336873353707975
52	-0.4649176453617895 -0.8647803634934176 0.3548663284352112 -0.7358478004532844 0.1642668088707722 -0.9617953892762 -0.5946920551621111 -1.152040226707778 -0.6606796687671903 -0.7568923745852306 -0.8211694842841797 -0.6696767962832832 -0.6828857788451269 -0.9447250058662151 -1.132932289527778 -1.133362504254508 -0.7958687111494098 -0.7621882109119226 -0.9718089476692177 -0.8947292572284338
53	-0.7794523474319657 -0.3970850907559643 -0.1491074955026473 -0.8754257053075556 -0.2699384518313976 -0.9960161130275945 -0.2689506669817111 -0.93515240072432 -0.7843791081066881 -0.6873865487257721 -0.9659921013080319 -0.3623812856469353 -0.6200748209162099 -0.894650048432633 -0.9600047006144919 -0.9780371845961555 -0.8455150833115749 -0.8699727168531904 -0.9401968181854071 -0.7691911733657526
54	-0.5957476050207499 -0.1999586909141524 -0.2089353117470272 -0.610232668706586 -0.3794018611859468 -0.7638701988187458 -0.03836266746097048 -0.685517743826605 -0.6941619313148533 -0.5521333328166126 -0.7496351735737876 -0.4073675363207586 -0.633253122941669 -0.5858259325251197 -0.6918497572689146 -0.7446792526316541 -0.5718291818741722 -0.6257050206700933 -0.7219750219469402 -0.6850752088639009
55	-0.2795867733180093 0.2271970148525934 -0.3587434959397123 -0.1404888964751379 -0.5295691198591572 -0.2685359473704695 0.3522467027026173 -0.1245015594348956 -0.4232474367000463 -0.2119387514031944 -0.3067306609538255 -0.2774446404029223 -0.4642155053915415 -0.01795110202212217 -0.1165110962938872 -0.2044879746022008 -0.07846591898683487 -0.1706396515530121 -0.238996654928426 -0.3607564640661515
56	0.08569556003377843 0.6438964533146747 -0.4474414662697189 0.3434611616162879 -0.4983370612940455 0.3460803489562386 0.6184187716692426 0.5459100331118477 0.04076151405968747 0.2545926185014789 0.2464138193595067 0.1004860797571711 -0.01595081722209195 0.5461816116882262 0.5493888777705309 0.4736323356867552 0.4195142280049926 0.3265878780194912 0.3669669824432386 0.1940445111643932
57	0.2948271857695111 0.4777413220597678 -0.03566789489970258 0.2913688867409086 0.6967212019512153 0.9731218793504521 -0.2833941919368859 1.103605970514014 1.206314279644523 0.978109059622168 0.8240293679060935 1.686451804204094 1.747492291634373 0.3597096121459111 0.9784841394190831 1.21886543088353 0.3033698958923002 0.4616311273780848 1.025206801891822 1.60000492939347
58	-0.0008137647487647543 0.6902699553349536 -0.2594864890568161 -0.01405179072596729 0.896235166722759 1.067374595834521 -0.5264105029508162 1.374612280831297 1.539020135298595 1.262388872135994 0.8114344242187568 2.652969339951005 2.558646230382361 0.1342954423171082 1.145542292307671 1.526309074827853 0.04323091211967255 0.2759789920039079 1.198123364204919 2.253852315151083
59	-0.01269408282742874 0.8072356342482279 -0.3455950354210389 0.01109543720696484 0.8454415091234861 1.133253350975449 -0.4590730335994216 1.486589678519553 1.582884271436169 1.331850674517595 0.8520850279799038 2.765575369150305 2.640621800774126 0.1968897106387295 1.247887955525296 1.631686090690836 0.08370205202970218 0.3105058650702943 1.274466034659436 2.351655465773392
60	0.215294239310905 0.8268493026733003 -0.2158375038878175 0.2148730699385421 1.072616138239086 1.420047390460417 -0.5257653478042387 1.725293994790247 1.886634498332608 1.548608534143777 1.139489003455091 2.970548865628886 2.94730483103277 0.3705573384666283 1.484065868346597 1.905431039466682 0.2645380399577673 0.5282996816739114 1.544778503482112 2.648622650049653
61	0.01727641688776622 0.6724950560500291 -0.2905906844618338 0.05525867362989334 0.6224487055822099 0.9190393966722473 -0.3035240996360718 1.201533564599737 1.237686187076911 1.056778504967012 0.6960397666071128 2.136828474151883 2.040346718241719 0.2116880643560805 1.019442247386794 1.30914518425401 0.1151558862128847 0.2835336410209924 1.027161474151582 1.836833713459664
62	-0.09076634664073534 0.4271822781028522 -0.1906882667578081 -0.1157529432282585 0.6073608406740947 0.6292046326125941 -0.4113854621295618 0.8479641796537102 0.9898352232209321 0.8028069266266191 0.4549052168454459 1.818227316338236 1.724921952959094 -0.01762640889610749 0.684362071479391 0.9508606722725931 -0.07357720214181829 0.08866211838412071 0.7268933121322478 1.490230294319027
63	-0.1397363307724311 0.4548983292701473 -0.1807874611503068 -0.2140984314219503 0.8727682854797689 0.7613789432269265 -0.6396676761413197 1.017277359657922 1.284505843973874 1.006341046904443 0.5488051051085016 2.365373670263635 2.259026627438745 -0.1176007610026128 0.8019381200353038 1.16324553566945 -0.1705223241795031 0.05670349410726704 0.8867102298425273 1.916696146573118
64	0.2806135380950595 0.09648838600428139 0.291466736438847 0.07707512665018311 1.244650061555479 0.9260393407867032 -0.8343519544416718 0.939297238034806 1.457297018343219 1.011348730361993 0.8159481894455581 2.026547973318821 2.18388909197968 0.007793300460036008 0.7790423483975006 1.137516400552391 0.03511679907859071 0.3035261213574991 0.9771255934738629 1.834558303395448
