1	0.1163892376302752 0.1184729934302447 0.1286398603424818 0.1460809679473988 0.1560888407846896 0.1692889669285365 0.1638611647009953 0.1544087188060817 0.1505580232552494 0.1512466318995432 0.1455468944802389 0.1379941736935118 0.1238494811363267 0.1250728952287012 0.09216045317862509 0.09262864878158858 0.09070728956039904 0.08872829159680644 0.07275824658532574 0.08207317494333241 0.08020808019750962 0.07138505878975189 0.06889639815758544 0.0622718765356202 0.05771820850125243 0.05103809816566397 0.01609776141966901 0.002031188925352439 -0.02878740923321416 -0.04304997099171562 -0.05095978720511896 -0.07318763191196752 -0.08281977970658247 -0.1050554060662206 -0.1009892934415286 -0.1030179171531992 -0.111423250539677 -0.1238600868157505 -0.1116937814264917 -0.1239813513682011 -0.1385544748286648 -0.1412913663303706 -0.1456636551831962 -0.1315355094895465 -0.1338648744472335 -0.1408288027796346 -0.1354534133791092 -0.1212791353259117
2	-0.1277734197525939 -0.1012449837532588 -0.2580508840589862 -0.486853667392438 -0.5377569226466138 -0.6993279777067526 -0.5027197089586811 -0.279373285894677 -0.1625853344499302 -0.1022620015420227 0.03692099292280286 0.2424735546254506 0.4984765446147294 0.4977202961500254 1.175617288340325 1.198016426860779 1.310535852770421 1.421172754294966 1.74322630153576 1.568179865791191 1.603322783569444 1.788644339560781 1.874301766346843 2.041334204275644 2.129705439655444 2.204555406573815 2.783206770965361 3.073297093254009 3.555252532911978 3.805626555921599 3.970214392929269 4.329001179987831 4.40961927817837 4.790246817472599 4.651827632899058 4.617618361939313 4.685202834719771 4.914326222616531 4.658278427327544 4.806433784393985 4.936112371313365 4.865621431720622 4.875254983633257 4.593699783829758 4.572000383032883 4.639525384928647 4.465046293646841 4.1580838994864
3	1.993987286725192 2.018792526294462 1.904777417822257 1.572361368776724 1.412362989995446 1.181902324877398 1.138772566413787 1.152381281358282 1.086436693086243 1.037496300512104 1.10327276631919 1.098921046781348 1.180954250097474 1.065503920802971 1.370227337921155 1.240939658482817 1.22513112352392 1.187253058958307 1.333603069327914 1.22192354258522 1.326668627399085 1.412884865544485 1.334695953310712 1.371300365861397 1.486918932966281 1.50333474111705 1.955214576566824 2.002709426062272 2.336769740372654 2.567380994742233 2.633791547800882 2.864001349798313 3.109901504145536 3.495768248880269 3.647361142265114 3.872818015794256 4.185042637069921 4.312670681796957 4.24142668410119 4.384178285100945 4.687201504656958 4.899444158993719 4.985819722889276 4.945962381846898 5.054714694768109 5.13257352548411 4.966393286274348 4.838268621182608
4	1.855795383517606 1.8801108676424 1.768347317259298 1.451190771038541 1.301146781245795 1.081223906172484 1.049016642192079 1.070347720214869 1.0137055807756 0.9708245306296412 1.037362630047915 1.041400493477059 1.127326095828101 1.020125514866667 1.32928574567998 1.210146914872309 1.20004773910169 1.169361341512527 1.31768207658006 1.207258270634824 1.305911114170456 1.393146655110678 1.323921247943132 1.364459074918626 1.47525210703616 1.4931539771118 1.934707469386967 1.989983951642918 2.318317541189729 2.542034847955677 2.61006596966183 2.837376583363263 3.068505176132507 3.441347222415057 3.576667890974658 3.784540733775722 4.076831532095851 4.204114005570186 4.128063343840288 4.266003472601621 4.551898128020468 4.745916291755363 4.826244179188467 4.778426763422422 4.878378307165433 4.953035061455394 4.791708382398052 4.660821072894641
5	2.910177615068696 2.942385751962472 2.795734159495862 2.338735488982273 2.110311966127798 1.793693816365634 1.704474607694734 1.695141287149541 1.583347773898947 1.503405377005324 1.581251288598087 1.547810505207528 1.634731773746032 1.465979309607649 1.823173600767526 1.631140575820246 1.592838353557933 1.522568014779813 1.694633014145211 1.554060708304578 1.702536671537267 1.804408598663915 1.678793081177899 1.710339189718255 1.867812353110425 1.882611470009564 2.468826781146364 2.500573652536991 2.927325667950916 3.232081055444121 3.307727377649728 3.59830271030905 3.948037681080033 4.462973922266891 4.702829322672143 5.037244193692234 5.485450476678104 5.642391340012624 5.571579988608029 5.761771565192515 6.189029669365346 6.509276625889219 6.634878172354183 6.613098111298831 6.775360344586122 6.880973761624527 6.661394611078902 6.514179350923439
6	2.160091061565788 2.172745633922271 2.231731017735184 2.204070321325467 2.162138894839633 2.150145579987802 1.970058932766269 1.797192135056 1.656495543618094 1.585478218166116 1.522277799519576 1.355898406635126 1.192267306581428 1.110807655858072 0.7661139917673085 0.6562183012997268 0.5656510303234896 0.4591682734477424 0.2949973220663671 0.3628529441924032 0.4119005015810559 0.3207306432227566 0.1964702779197798 0.08945477471291399 0.100998340416077 0.0350636129550525 -0.1464181868447366 -0.3569248512352522 -0.5485969688374984 -0.5962724524655596 -0.6853318458410901 -0.8386172154197582 -0.7477772320627057 -0.7960866958885159 -0.5758618992609376 -0.3930812201048391 -0.2378054128237486 -0.3419254408196564 -0.1796452753997216 -0.2217194898281868 -0.1415415538597056 0.0500721302022444 0.08868325190596463 0.3000492407172563 0.3848669240147031 0.3688195633157599 0.3757585563703934 0.5358103339917883
7	0.6365592601341931 0.6259666265553153 0.637059064517373 0.5702614405823199 0.4983128461725629 0.4504762013267282 0.3305999512717346 0.2325010836567167 0.1448548265012175 0.08494073112415229 0.04922722274961991 -0.05209034975459897 -0.1246456260851194 -0.1801580903098051 -0.3460040444959742 -0.4192641633917617 -0.487339842893023 -0.5641393713074901 -0.6412260792145484 -0.6157699891260675 -0.583564818918423 -0.6280974915536044 -0.706894011177048 -0.7695860782610643 -0.756014684428209 -0.7731568627076585 -0.8075734070987365 -0.9161889155869781 -0.9589757527158668 -0.9604788570355339 -1.004418338469946 -1.046757357738658 -0.9545448744054097 -0.9391991105131713 -0.8005517393876858 -0.6720934937151155 -0.5457119462535888 -0.5867246885818468 -0.5034161712771875 -0.4901056392922422 -0.386446344795758 -0.2404251227856228 -0.1940632042869465 -0.08721586363918714 -0.01819312284324261 -0.002302506121745862 0.009721736822293358 0.09143978760707552
8	-0.348253712460891 -0.3366027179147305 -0.5900904750427249 -1.047004996576846 -1.235663589776787 -1.56441809158822 -1.382715493010578 -1.123277395962212 -1.025433405291769 -1.004132659125193 -0.8219870224219746 -0.5997989985235325 -0.247714458733397 -0.3036469019553536 0.6226442430049326 0.5857440503878986 0.6827685072345213 0.7703252592075925 1.213927547603276 0.9548285571157955 1.038620082117442 1.291441750677452 1.348734790093624 1.549072715568302 1.701466221798909 1.823802859945319 2.748655373321824 3.112844130889617 3.881857853316388 4.288084703888082 4.50934237081989 5.068415507217606 5.309764474789535 5.945814168320939 5.862596281001128 5.94129708812727 6.187524513684683 6.521638824880909 6.191043917816616 6.467607280960193 6.81199517604639 6.86398051969437 6.943104169688369 6.587871951069689 6.63369768687321 6.776654527138096 6.531483152989963 6.122248970850663
9	2.588493359017318 2.574958228910594 2.370597052458809 1.676723782761194 1.242105361707067 0.7473396377830631 0.4908905756018663 0.3850178773112618 0.1564233736695457 -0.03558571595920547 0.01780478131717654 -0.133730749537331 -0.06107660369859311 -0.3259531616966723 -0.01821225411559166 -0.330170633554361 -0.4766402067708 -0.666945833986193 -0.5121044282093357 -0.6748887697347602 -0.4664617614715288 -0.3788607726945765 -0.6154995115169355 -0.6452362564762792 -0.4388822356254666 -0.393742498063278 0.3863122657421807 0.3406620551493239 0.92703941169593 1.326029021655019 1.383293933495548 1.769098344951314 2.343513892780677 3.034138568636446 3.469748927320322 4.026675918364804 4.739988389749178 4.91728343039224 4.898878901651976 5.208995379103275 5.920875328173956 6.506827903316685 6.747907470728783 6.798056131988939 7.094570641354188 7.284713461524064 7.066835116993577 6.960019358573021
10	1.358975961127527 1.379258308014872 1.238915902051992 0.8934721340847167 0.7337429744124593 0.4914402230367048 0.5005738937968327 0.5687989502693565 0.5426978751802826 0.5115024934583987 0.6002754000987504 0.6469254450002224 0.7861440816469625 0.6894489558893014 1.119853160600741 1.017344766591958 1.027321205759926 1.019131940083833 1.225594597897913 1.085882291365362 1.180957007523097 1.300625964278785 1.256496486842952 1.328109286457311 1.446568016487225 1.486429027629213 2.024291200614145 2.140927230999539 2.558048183799681 2.817557672871739 2.915719512762957 3.209700069642961 3.443566537374795 3.867969685446092 3.959743073833761 4.141847409143038 4.424975309172676 4.593252219535359 4.466947905975386 4.633676246562862 4.932599117328346 5.099351506589747 5.180440300174308 5.07132324909377 5.1611180331822 5.250379267475771 5.074618587586612 4.889276961867584
