1	0.1805695166305898 0.1788573171339249 0.1542227438772805 0.1213813528574858 0.1065166955424298 0.06516108261209447 0.0256718781773711 0.01186230413644701 -0.01211702953323756 -0.05218202855901085 -0.0852260736890639 -0.1038572592930563 -0.103663458240323 -0.1102041883453585 -0.1369323761797043 -0.1636745676847796 -0.1802173433704848 -0.181901523894574 -0.1901315782295722 -0.1945628508193922 -0.186781727792592 -0.1969467573701627 -0.2051826332599675 -0.2041227443376275 -0.2106618358195472 -0.2164813124243368 -0.216872725891349 -0.209858514589643 -0.1926851098668848 -0.1944166389002921 -0.1975130938106449 -0.1831296133724849 -0.1697055381034251 -0.156411140022896 -0.09370151262752882 -0.03544013103046732 0.01156690137021413 0.02244627133758782 0.04276942207072956 0.08803305592908776 0.1366164857276237 0.1911539733390508 0.2232074550345296 0.2468089487735163 0.2769888580944906 0.2677376104920982 0.292190029187273 0.2969917165450575
2	0.5696308440175417 0.6036015049356637 0.3898882483816691 0.283241029223293 0.2971787816577601 0.2727840774497471 0.1993574338348347 0.3107438899104229 0.2749909871883084 0.1746760953470365 0.165664528866913 0.3223767081054214 0.3628878396486034 0.426432333984369 0.5696736675379264 0.4938185205484541 0.6691406335607661 0.7481574803199322 0.7103329652256916 0.6873747014584355 0.7821172064660865 0.7985161421092002 0.7813795282970559 0.8117148817001438 0.8500190956333979 0.9203974109383601 0.9347328362749511 1.090601471626107 1.27636799597011 1.349950997631215 1.420755242286892 1.446160710075812 1.559839306490517 1.687922180141784 2.040407494604787 2.478082204005382 2.532713594317771 2.725261649742083 2.72208455519744 2.79459079820857 3.105118998563442 3.360327907387474 3.439513077027461 3.591240972503528 3.614708306879768 3.596202337363978 3.527505144959038 3.405547234747154
3	-0.8896773915697053 -0.8644221283168851 -0.8224272273752147 -0.677335946583753 -0.573304155359174 -0.335823279172664 -0.1337348263590763 0.007932225262930212 0.1403812665437608 0.3363688438854308 0.5293235775677869 0.7186063162837742 0.7390973505294314 0.8182849336427669 1.054456342264624 1.175917303939666 1.364130348193998 1.417531533622794 1.450425814235731 1.462165680290156 1.462228387802057 1.532770996195715 1.578292875301533 1.583889890049932 1.642111927822625 1.713810178072965 1.72641151744347 1.76249855023248 1.751953288966133 1.801364349789738 1.858919991698517 1.783317871553504 1.756402293355052 1.740006200287273 1.53560627884801 1.401752739492634 1.140626052475687 1.173589184289077 1.048624651880487 0.8097686164696287 0.6716575435990362 0.4676198027036555 0.314821490320225 0.2482553482286226 0.07963988556613313 0.1268814206985124 -0.05628506906060768 -0.1468175034017524
4	1.488676109888299 1.519702943421345 1.174823290332103 0.9108280998151127 0.8548293876884739 0.6431991009891631 0.3858054026355539 0.444674264771054 0.2945426640552866 0.002476958412104952 -0.1537563789667028 -0.06389939120888276 -0.01947981067460435 0.0157984607272673 0.05152133295874592 -0.1499336790686922 -0.03179077686047586 0.04497870341531344 -0.03475200045961898 -0.0774201421250189 0.06162076255076629 0.03354927203712259 -0.02498361962135912 0.01517535101784351 0.0282845887870566 0.07864689122567273 0.09059874076465334 0.2927857243833545 0.5733764237172667 0.6450035201724271 0.7066186010646984 0.7997807249119532 0.9864188119970142 1.18661060004857 1.855338344056974 2.597007494009196 2.870189623447572 3.128687736880275 3.216484874850272 3.499637670765333 4.057833893457975 4.583435101701152 4.812908525418089 5.084978240712785 5.244404885654709 5.182306938082371 5.216948807069078 5.104855626749032
5	0.1096362001254157 0.1017155599296641 0.1238663994283408 0.1141223516794247 0.09145303283472385 0.05507046149240546 0.03113394068002364 -0.008990551681220767 -0.02880466139622178 -0.0498198555536119 -0.07992303802247425 -0.1323009545047396 -0.1419150345262928 -0.1674931277620735 -0.2280485668849947 -0.237039693615114 -0.2928105549717445 -0.3142613994288155 -0.3155630072934243 -0.3127624249864832 -0.3255795613917611 -0.3400682514802433 -0.3473446904392475 -0.3509726877303139 -0.3657618415316311 -0.3880116006343131 -0.3934908608443667 -0.421075854355671 -0.4448375649948751 -0.4641614464714128 -0.485061763582538 -0.4752181047570945 -0.4850205296220851 -0.4997171125824206 -0.5128048633226066 -0.5498474624884304 -0.5115117161767263 -0.5444512386874447 -0.5228044945508362 -0.491928590359445 -0.5112754360481994 -0.5109631941489712 -0.4967561009000289 -0.5064037344695563 -0.4822657175066995 -0.4879305134261481 -0.4473522501428812 -0.415269978840662
6	0.02130565184270126 0.02511272317430335 -0.01032669059343422 -0.02804811640821888 -0.01938812829136457 -0.02364279954641023 -0.03567099046716629 -0.01499654074972467 -0.0161694409648959 -0.02926255332859858 -0.03271402469834655 -0.008200800172178958 -0.0002513438368897575 0.01720611374215638 0.04360599507348917 0.02908518651085227 0.05865460040293709 0.07501268469708589 0.07056136495544459 0.06363095749889396 0.07908329890170307 0.08260388333274461 0.08355537900825996 0.08580444261218489 0.09176095016360522 0.1046032052733828 0.1096727710377542 0.1359823284359524 0.1670827673018074 0.1811713197018197 0.1959277790052418 0.1989245341021791 0.2154568758030134 0.2366009210196807 0.2935516443809328 0.3655617704568471 0.3707796732017393 0.4048315960327692 0.4038136074797181 0.4144501111213842 0.4661148536204979 0.5066040767739123 0.5208820624720685 0.546204141330013 0.5518786202270091 0.5493271985207882 0.537020982369674 0.5163361698195037
7	0.6468526224731678 0.615325551812413 0.5163502381303288 0.3293475010648519 0.2590973886921701 -0.01107102082893575 -0.2517848459496556 -0.3668094134105914 -0.4911148251347555 -0.7095229606613691 -0.9380488956285974 -1.118643697907998 -1.123326390803249 -1.150165632237278 -1.359055246577244 -1.524784792874081 -1.686760258931267 -1.705192531387574 -1.738997259598728 -1.778022226503785 -1.756504755625721 -1.825310912661046 -1.85513060693476 -1.872032548191122 -1.929635509372509 -1.984041093096431 -1.976885420460398 -1.975511136031126 -1.9162766975217 -1.940563238607285 -1.967176011712378 -1.88521028637335 -1.842636452489586 -1.79365021302484 -1.490657342151017 -1.238716826866582 -0.9614017456912209 -0.9367214100068462 -0.8024165814075349 -0.5293301750594428 -0.2990886439401776 -0.02255149441329496 0.1734846394534366 0.2854787127548405 0.4894837619800124 0.4360356609681387 0.6158904295408503 0.6831082020250685
8	-0.2996007442619728 -0.2826964199282614 -0.4950934073084267 -0.5899852275969651 -0.4973648143554207 -0.5023358121977695 -0.5563293593974638 -0.4065767001392626 -0.3788957229885758 -0.4238432445459649 -0.4363313249807812 -0.2761980941123071 -0.2199392748465772 -0.07321660116201759 0.122331552136029 0.0357397509055031 0.2359836605420807 0.3562116898211338 0.3407351867218834 0.2847004233088141 0.3777841489221425 0.4096050052023054 0.4376325914332921 0.4386742031057641 0.4785407539592261 0.5691168075653243 0.6140031316402654 0.7801053952929414 0.9703357372507213 1.069847644300993 1.179547618576707 1.185063643941003 1.272461602994926 1.399531221476071 1.721049240081492 2.145433677202537 2.134865292908222 2.355809050629866 2.335694170215073 2.371908309690344 2.675238999297961 2.894758044386608 2.973192440290232 3.12233524843124 3.149817244911894 3.141076070621787 3.044671500391067 2.907862408719658
9	2.328827538300012 2.355206927816416 2.016008145320427 1.694413005940835 1.544621676920288 1.221272821238603 0.8731504049456713 0.8348072637858546 0.5934332995856739 0.1948732654312278 -0.04185035519185745 -0.05414922404747179 -0.03271216368688721 -0.08887774480998516 -0.2033401268931315 -0.4422442483977484 -0.4408133539507856 -0.4209754614269202 -0.523973390108041 -0.5492771236683622 -0.4202052645986751 -0.4899697618597617 -0.5932887204361732 -0.5415191214748297 -0.5589950963483959 -0.5599158423847935 -0.5733687786824395 -0.4109355900034662 -0.1498884045143911 -0.1236877451041477 -0.1184704122099745 0.01642671948223426 0.2173407773976953 0.4104609798992579 1.145615977118459 1.902728073087712 2.321789773057538 2.526781291253137 2.679235152285799 3.079248034711256 3.665759471496079 4.271685616642571 4.558680121949265 4.843630024238776 5.071009579203394 4.984730866188793 5.123259224979888 5.073362748400299
10	0.6459772155135621 0.6731704757371609 0.4955561287986307 0.3940412750662499 0.3865587673571996 0.342314817356921 0.2615629177328986 0.3343439926465574 0.285615533396963 0.1794544695515863 0.1545050967863777 0.2636728285261332 0.2928365176505042 0.3274385043073145 0.4156457086899934 0.343937725240148 0.4658363737412398 0.5202537614637199 0.4838872983085906 0.4679637811205752 0.5450813655199308 0.5500255744833975 0.5266454930847669 0.5541347179951689 0.5796167072585188 0.6277338414827537 0.6346720335199831 0.7566860288604301 0.9080012509265967 0.9601423155400564 1.007769841777667 1.037759584588945 1.135615444989255 1.241269530527026 1.550167205200233 1.91960725726165 1.995894828546105 2.145889547435602 2.156942626677616 2.242328363640656 2.508218870107163 2.738637911245586 2.817303914199489 2.947028127708682 2.981379000663122 2.960810311357946 2.92534213822761 2.836485094331104
