1	-0.0536264759123609 -0.05605630818524136 -0.03858475381954417 -0.05012614179138012 -0.05975347721386549 -0.05226432632739535 -0.03765143928557266 -0.03691609028730533 -0.03876379921231889 -0.03400259738502729 -0.04897346206477377 -0.03984375140489378 -0.05295672004725963 -0.04757688143530223 -0.04236727217924578 -0.04875390388266028 -0.03899950923740252 -0.04658187772540508 -0.04944054140488168 -0.04241781058589972 -0.04625889587287249 -0.03347448190391425 -0.0446799852601663 -0.040979062432903 -0.05183350862167894 -0.05264859044068702 -0.05534189555383347 -0.05676384816372343 -0.06607373638715326 -0.05628204829373386 -0.03245346564579269 -0.06457876691149328 -0.08431667038133767 -0.04271627516195482 -0.142230605948145 -0.02372635576102453 0.0585715011207285 0.07413766301326236 0.07248934404335559 0.1592263982862183 0.1469149751655866 0.2675565471817239 0.1777866986011803 0.306306137009641 0.3886441053423877 0.3480401858532459 0.2818491670422026 0.1459751326849479
2	2.349722139395086 1.270392192986975 0.708534545823735 0.3570091429324725 0.2837830037126217 0.1402511609624588 0.3349390942559451 0.2195035959219098 0.02311936552933459 -0.1043851470845075 -0.3380710372699985 -0.222603041729815 -0.5396017917426253 -0.3709103271240035 -0.09064720258972107 -0.3486320339655068 -0.1766754141509221 -0.2144339476560374 -0.2097108559433153 -0.1614820984871531 -0.3780220354736424 0.02958873463164094 -0.2553501746364548 -0.03514131270756241 -0.3404437958396559 -0.01859623461948629 0.3472713390416321 1.061501521417892 1.334300679149733 3.402901820123814 5.087587826001799 6.947487210459418 9.622735682252239 12.50317465577566 11.78228071179889 14.54191062387615 15.39594763778951 14.91606282674235 16.28451268947087 16.73594268224255 15.08968818312833 17.24818826288036 15.95819739410059 17.20575461088596 18.14105099567169 15.41183603289171 14.6070024256972 9.94122242736106
3	7.908896779971617 5.88645698439238 4.696973182052019 3.741873270137519 3.098523906075216 3.248273885632521 3.265773423925568 2.999363263224968 2.761617474462583 2.714968866112139 2.329626824155934 2.37189765903442 2.135787715734904 2.269875356072329 2.270612027775389 2.083332474749763 2.214494280471785 2.087234813436709 2.006242305062753 2.113355213446573 2.11848561681908 2.087599949377699 2.039361121498448 2.056786549046476 1.815390118848595 1.968688375555643 2.244086754457924 2.704243657335923 3.119054850034434 3.830163287717783 5.043643982982235 6.218946029586524 6.946114535370036 8.188150759499729 8.212775358257129 9.854194427301682 11.22331559200621 12.46314470822166 10.41910948873752 11.60570175026336 11.63079652783168 13.31803171439766 11.52652540962552 13.97450447076953 14.89240431258738 14.15897231134021 11.23399207534023 9.277328750388842
4	6.903217621102197 4.956598462796208 3.755925929057678 2.976422811901685 2.550756031436113 2.534846727098718 2.579625287047689 2.332560955092364 2.073411010009726 1.947604341713764 1.63490685621283 1.680641133281308 1.41339775605513 1.56942023004218 1.697692164979384 1.461743824639282 1.595387814448553 1.527196527614331 1.489636396589423 1.552830911412312 1.45663714259142 1.595196401404596 1.462718200230215 1.576866254141958 1.301028813802612 1.585729075864236 1.98659490945386 2.697396614666404 3.174727935441812 4.743236009459376 6.368340910656981 8.348045564749047 10.41105573121797 12.62319932499464 12.74817535916757 14.77313310701759 15.74950563878165 16.24328544620681 15.62499782777232 16.23411147662249 15.40768828792951 17.12195579004268 15.65853100672429 17.3450476227007 18.06137474433199 16.27066925034728 14.18949502852402 10.99106525538645
5	5.799449551075678 4.507157756705906 4.057753491403654 3.059326666763004 2.16926298705665 2.660860455691206 2.770470308915566 2.592746332845714 2.484718173632944 2.666902455423854 2.151597008515243 2.264409577871893 2.057720470401004 2.144803500137407 1.946219743316215 1.872406877052658 2.042803983951858 1.774910952048886 1.613553046135083 1.834252285082077 1.99832063035745 1.778803152406289 1.801651881095546 1.657710374495417 1.478538018571634 1.29280151978775 1.166407505064931 0.9060569249514607 0.9120716727852436 -0.2998386633656902 -0.1986359810788013 -1.491500864452866 -3.95917276460532 -4.766832310009805 -6.003786463423042 -4.610991540336738 -2.204654578459543 0.1294195668969606 -3.854989599535505 -1.134571154275578 0.4451328770202077 2.595769967342418 0.00633132673247996 4.230124016892039 6.007240088110906 7.27957759526995 3.286735047272074 3.245859573086222
6	0.7981167968791248 0.7368398759824163 0.7301378911579047 0.6050753292600179 0.4490963597112106 0.5664926164777316 0.5376223919991955 0.5220448542563602 0.5380218455186041 0.5929754328265538 0.5475055964842274 0.5395347276297306 0.5695375497344728 0.5506440314661885 0.4539663740365781 0.4928850872198234 0.4855671735807214 0.4464488649251546 0.4160692087860619 0.4443519731348856 0.5209985929924261 0.3888538081743664 0.4572888456011165 0.3841813445738719 0.4152093024576421 0.3199219973123638 0.2305670239370815 0.0493240245070533 0.01065549336267621 -0.621360035305858 -0.9333798973204368 -1.499267983947409 -2.463914331440226 -3.196118220940702 -3.208754746190366 -3.556550865798441 -3.314086731868303 -2.772279851743462 -3.823732355994218 -3.449206126294714 -2.817348565367929 -2.904936726359787 -3.096924857274508 -2.608589682083867 -2.507901354348179 -1.710600516109401 -2.299101841786282 -1.312644671042824
7	-0.9164366307245825 -0.6324770659657937 -0.5413457714024235 -0.3582778586142579 -0.221291626353825 -0.2808495399283263 -0.3371746916467242 -0.3031788522470124 -0.2658450464110928 -0.2830599595265955 -0.1696929060986649 -0.2099625916741866 -0.1304739065954361 -0.1674400226529008 -0.1789689326943662 -0.132840231826628 -0.18741223252688 -0.1375703585964373 -0.1129731895515969 -0.1569865228004322 -0.1497264752419273 -0.183183984336671 -0.1395520546648691 -0.1495895626180897 -0.07824014145259624 -0.08684682382279814 -0.1049544095966349 -0.144243764329088 -0.1598495338124225 -0.2351552298623388 -0.4606258578224244 -0.4412704741939211 -0.3742034835545431 -0.6342856558780526 -0.2508943863958423 -0.8968229761240467 -1.419699542821452 -1.69395461971821 -1.320519069507812 -1.848269910434262 -1.861108837096352 -2.544965553853142 -1.941530944457301 -2.809224316656296 -3.259406873334969 -3.076725830427491 -2.377983563837506 -1.68064584314057
8	-0.1932131433716097 -0.3710418583205092 -0.4703396211119664 -0.4511043667919314 -0.3473077201375288 -0.4667733604091061 -0.3920948278104209 -0.4030929109294922 -0.4584049911151676 -0.5260204380085639 -0.5490048845837714 -0.5117760174897901 -0.6118435691393271 -0.5573894483921137 -0.416847546617872 -0.5068901159677018 -0.4579268971358852 -0.4397128836403565 -0.4162446421123655 -0.423916847791825 -0.533946863874873 -0.3325938101295211 -0.455644636375252 -0.3478112964269854 -0.4446181230671578 -0.3008958890959129 -0.1541368331289095 0.1406577357169794 0.2221633028165333 1.172680699182416 1.794447811573376 2.617349239849659 3.94210589421342 5.166485581683527 4.953547215471386 5.897876210192805 5.940283562270335 5.413246104046373 6.548212906150986 6.40292332036579 5.538978234791828 6.148828489587155 5.969044322606496 5.928573300110603 6.102624907055576 4.857947152225787 5.117336077171505 3.245553510621275
9	-0.06175118491641194 -0.1801190421853909 -0.425924124831257 -0.2493027537964472 0.003702258978563639 -0.2277927422854305 -0.2745361124574983 -0.2844625547538515 -0.3272310956417823 -0.4577628583512546 -0.3259579957246238 -0.3685343912174042 -0.3595282807047757 -0.3476694429939828 -0.2185099087870143 -0.2638610243681442 -0.301239992361194 -0.1991952298963183 -0.1381120633002869 -0.2204164402250117 -0.3240751465437475 -0.1891826090764601 -0.2359448949733287 -0.1346891699467604 -0.1431540550183655 0.04194553527606285 0.2439518211656021 0.6150462596712627 0.7918162110189021 1.881809028017589 2.394567607002558 3.707603405157936 5.561042142069635 6.670731320142455 7.360803947184189 7.351322258860899 6.551111700289718 5.674523006246173 7.227299666711178 6.15194257100978 5.165900927474647 4.706321386025932 5.421117568202461 4.02203378328885 3.408730534035535 2.241981972730984 3.337676855391871 2.343282060005167
10	2.209872395288316 1.721945128999166 1.35803301185464 1.164459990380714 1.036913516460439 1.050216711395432 0.9914846876219664 0.9222908075654481 0.8730398076055621 0.845512702528436 0.8108356960156046 0.7824816362463693 0.7816400382309386 0.7906250228503819 0.7624460811754492 0.7460434001886962 0.7368325118163257 0.7347544522793938 0.724841751950749 0.723597707900249 0.7461260386026181 0.676165364112384 0.7158595632574352 0.6996665327827344 0.6881705732262431 0.7225068831240626 0.7949107289929084 0.9008511632281277 1.03839652238318 1.12801321752296 1.303527297843369 1.686095100252997 1.880266056669788 1.959841845906795 2.380641908633204 2.262780042865749 2.269939937448214 2.544683174152872 1.980626025214737 1.933684511186263 2.034367112974902 1.936529194221264 1.860874511766215 1.955225208959543 1.842348345848009 1.887258709699604 1.40925164936131 1.56627513743509
