1	-1.186200966180612 -1.199013963616909 -1.149672901528712 -1.149593827751996 -1.192845789295102 -1.188700569242618 -1.215943700010198 -1.096210772002866 -0.9970076268756719 -1.080061893264587 -1.310545148668233 -1.268634390813644 0.4159546823441056 0.561158594672451 0.1614022885471688 0.4149460913553929 -1.67686211100006 0.4355147515566604 -1.307729842868107 -1.314850024760007
2	-1.18685572010008 -1.190843936189748 -1.175840280867849 -1.151050007569992 -1.179669992011826 -1.177416137753436 -1.120728013774462 -1.085277431379918 -1.068356764829106 -1.078017326049723 -1.156938230577137 -1.129798909182834 0.04075508453167725 0.2113775178359383 0.06383466571026798 0.2341588731222316 -0.5615502289226186 0.2152338069792139 -1.135362655936651 -1.14954347469892
3	-1.223375182411215 -1.208068159738376 -1.233941370284566 -1.192532998511357 -1.217428999195222 -1.203410892522646 -1.145976837351635 -1.150701174289427 -1.181759077065934 -1.149716147877249 -1.141274529497471 -1.13007730811828 0.01666084447667857 0.1868281792278308 0.2111905003760303 0.3342764829125842 0.202421296155946 0.2875504749329557 -1.121004549550913 -1.131392645807842
4	-1.204214527698718 -1.199566566879979 -1.212306376452742 -1.169424264423326 -1.188770764361283 -1.185628819821065 -1.077290765740571 -1.099634073453744 -1.140797010403288 -1.098786893898126 -1.071323337192165 -1.05565072525635 -0.1910447254573783 -0.003513642912970362 0.03037932188810723 0.143560145953859 0.2422455732922008 0.09569412068211042 -1.038375197769871 -1.056324737279733
5	-1.241484683296157 -1.251112665477355 -1.244557283261595 -1.199743400568003 -1.214222423620251 -1.224770021243881 -1.052635337161356 -1.09141514566878 -1.140475547113094 -1.089919154785591 -1.049872557410686 -1.026323597390055 -0.4355454905865563 -0.2182146175450722 -0.1925049432746585 -0.07893192133905536 0.2078240661559674 -0.127254377352402 -1.000539170833418 -1.028537074865894
6	-1.182889278550023 -1.189079049682608 -1.189408933613883 -1.144022245585158 -1.156929753184457 -1.165286163147237 -1.000215936455331 -1.044449143873412 -1.099513020250966 -1.044107747039953 -0.9905602837814835 -0.9708037757631207 -0.4241151536779462 -0.2175169220556383 -0.1634326063942466 -0.06413923346497814 0.329001988111656 -0.1147533779029839 -0.9435754063990923 -0.969731124713708
7	-1.131089120515641 -1.123672573843167 -1.147488867422027 -1.098697871173495 -1.111823584173464 -1.109516998329876 -0.9788717084233295 -1.028908128418413 -1.095933658075311 -1.031178083031511 -0.9531304120176614 -0.9435105709771983 -0.3086472311214847 -0.1237881897610141 -0.00498221093723578 0.07260937566683051 0.6121133456533792 0.0140395429375117 -0.9157291921600187 -0.9350144735160538
8	-1.108296876322373 -1.096476236339571 -1.126627027379104 -1.07833905424723 -1.092444727308417 -1.086107566735963 -0.9739454679994378 -1.020516405042118 -1.086411246642663 -1.023165082311857 -0.9461444363441771 -0.9393272050318693 -0.2410400780435234 -0.06641238727871354 0.05951767764999447 0.1342467539139814 0.6421947102573576 0.07549328174149983 -0.9135953639653662 -0.9298387155044247
9	-1.049667765171409 -1.039886245181127 -1.069314571032915 -1.02036988913818 -1.030930963907113 -1.027579887469545 -0.9002235515289257 -0.9576861639410326 -1.031601314362775 -0.961203896508299 -0.8671420515252753 -0.8612510431178143 -0.3172237711526997 -0.1444501652638137 0.004924677779440223 0.06468072671674899 0.7411587147581324 0.004250286820357813 -0.8312683273204323 -0.8492005657195162
10	-1.001139178818478 -0.9935400294350725 -1.02511919645335 -0.971759900659148 -0.9764357565620287 -0.9776161412485043 -0.8170403288340738 -0.8984871165420411 -0.9925305386413822 -0.9040101972952618 -0.7710512106830297 -0.7672495559573891 -0.4685311352555885 -0.2903233214365472 -0.0839757090702957 -0.04980902836991008 0.9890503418494624 -0.117560510951585 -0.727574212424564 -0.749205786138883
11	-0.9199103414433896 -0.9218617586222774 -0.9397472493323614 -0.889142439324452 -0.8891906122119508 -0.8993117665666421 -0.7085266784213488 -0.7976183629480207 -0.892269661922917 -0.8027151514929932 -0.6656712934050685 -0.6580900839788973 -0.6032971461923895 -0.4227655876626717 -0.227070173748219 -0.2016834554853602 0.9350217690812404 -0.2651633099837761 -0.6148538142822125 -0.641227664233975
12	-0.8997281560552831 -0.8924861879439823 -0.9241377118214417 -0.8731559109497209 -0.8753288743550049 -0.8772502237887537 -0.7199841780405047 -0.8041408085759685 -0.8989566897493483 -0.8101561180881993 -0.6717136086951743 -0.669754996063653 -0.4775614210822832 -0.3132315929329805 -0.09756311321801028 -0.07711943899396648 1.022456664347643 -0.142756989016783 -0.6296604884818103 -0.6503917841357684
13	-0.8774696489835661 -0.8926775152007483 -0.8888591395942194 -0.843014649824874 -0.840144053485455 -0.8613284341579366 -0.637798344835062 -0.7261657643218971 -0.8122980609040268 -0.7294375362810345 -0.6067660841178873 -0.591471463926346 -0.734216228944894 -0.5445689897944067 -0.3958190620730166 -0.3643344822947511 0.7232855917465358 -0.4193097339556567 -0.547424093057264 -0.5798355107417499
14	-0.8335997094085061 -0.8417964112322925 -0.8421066740636634 -0.8039859841465056 -0.807339338912782 -0.8193573743155615 -0.6581377320638476 -0.7158886328053466 -0.7770362895688006 -0.7175113600560175 -0.6388059535138083 -0.6253637447179957 -0.4865812700127017 -0.3250694442593939 -0.230619462377119 -0.1817861003601214 0.4805134824522341 -0.2264439239540521 -0.5948978513370426 -0.6189208928392924
15	-0.8466010369110506 -0.8479351256803814 -0.8590965696076995 -0.8192112158270911 -0.8242165024081731 -0.83034148279555 -0.6888523563631977 -0.7453543900934964 -0.8092848456584308 -0.7478010740734206 -0.6642876129113383 -0.6548178982452024 -0.4089339091861616 -0.2542001701031463 -0.1394048504902334 -0.09327600346736487 0.5719505704613623 -0.1413952638848739 -0.6255002443818843 -0.6460468737376864
16	-0.8724310439988957 -0.8687880988030947 -0.8854804959579788 -0.846456399335237 -0.8548572455440363 -0.8556017903273847 -0.7398369713410025 -0.7855845418063383 -0.8427270477279009 -0.7876883164278811 -0.7175409782686502 -0.709589713012964 -0.2995477524809352 -0.1514243732350563 -0.04829143760555347 0.006676851409589991 0.5227745748328918 -0.04037206666501819 -0.6850147968596376 -0.7019265535431781
17	-0.9191265088486081 -0.9067591733661564 -0.9382158176047163 -0.8949594267025281 -0.9052478355912292 -0.8989081738009668 -0.8006368097815808 -0.848892869838472 -0.9137914974600629 -0.8523267924210326 -0.7695214841773035 -0.7665405491330439 -0.2264658292848077 -0.08061557850618684 0.05810800304508687 0.1093555054007727 0.6843051322508759 0.05530509743966836 -0.7415340090928967 -0.7550193939962914
