1	-0.5542627406287011 -0.8147651774470051 -0.6233281831470827 -0.6054300782134684 -0.7578284867075823 -0.8394396293564563 0.1502206297417633 1.349598378985218 -0.7516352289744423 -0.6738934109213469
2	-0.8768491748805922 -0.9246120663096958 -0.8311427818605955 -0.9253339589491696 -0.8536498528096599 0.2361959307367213 0.1470423634954044 -0.1731126594753739 -0.8898944537596145 -0.8836692575121178
3	-0.8752205618479222 -0.9748343749883336 -0.8554186631763275 -0.9205052553638104 -0.9149423438093376 0.0232752859825253 -0.2324715114967078 -0.1930882900489457 -0.9364142283356031 -0.9124395912309019
4	-0.8633028564359349 -0.9874975285763741 -0.8566959460475644 -0.9063520120679411 -0.9339996223278118 -0.08306019499183506 -0.4220254240820209 -0.2035671821480781 -0.9477663669156333 -0.9152393156121855
5	-0.8850000592576066 -0.9728958039543759 -0.8603745471302007 -0.9278731100283615 -0.916140864209248 0.08102775558017684 -0.3281918570179224 -0.3566429211591722 -0.9376069413748417 -0.9172203956115362
6	-0.8887813004889638 -0.9715986039072501 -0.8586376542877278 -0.9377709391393754 -0.9035522083479489 0.0960786327760689 -0.005607161174406594 -0.1029005394628651 -0.9325539593096644 -0.9147540959087117
7	-0.891738430693281 -0.9881033392777074 -0.8666348390598401 -0.9431206886816504 -0.9172853544506998 0.03799976192733411 0.05074548794489729 0.02811144817914733 -0.9458083013087902 -0.923847022290273
8	-0.8937037609699651 -0.9954783791107529 -0.8731687190681295 -0.9406539425626368 -0.9330753234735989 0.02256631383250756 -0.2016836643781915 -0.1650174661683353 -0.9557342885314024 -0.9313365985246024
9	-0.8929723364960339 -0.9917989440962749 -0.8702449086913623 -0.9416849828615023 -0.9259665925272194 0.0320565500626827 -0.09802303317279239 -0.09020149252452961 -0.9511325776322143 -0.9279694884770412
10	-0.9140541150341717 -1.006155079407192 -0.8835653958392202 -0.9701072068422999 -0.9268877236491297 0.06220927335529952 0.2520561996499603 0.1662018123174509 -0.9611557141482056 -0.9413581825623317
11	-0.9045465551420523 -1.004331597261271 -0.8790559880050797 -0.9587001867952796 -0.9291195106174039 0.02729201824434859 0.1458414267417313 0.1250251086419215 -0.9597435783208945 -0.9370815284155889
12	-0.9080531171905264 -1.006959811671851 -0.8839612372532618 -0.9580794562595162 -0.9389820116732036 0.03856101364751344 -0.06801305370469546 -0.07323101839937221 -0.9654394343744543 -0.9424856051182239
13	-0.9017405041782854 -1.006322218493428 -0.8811752524495317 -0.9506308188789914 -0.9408760845335392 0.01281650350121333 -0.1346384316534575 -0.09359563434911135 -0.9649196184881182 -0.9398908908753715
14	-0.8843327628229025 -1.011294071491917 -0.8758871412112719 -0.9316610375809891 -0.9507616121172456 -0.08838709276348621 -0.26747710704866 -0.06327752020124944 -0.9683199063981357 -0.9355527222119611
15	-0.8773679451976902 -0.9913042505237466 -0.8609328531239253 -0.929356441780455 -0.9211004390645473 -0.04434877770269578 0.04101843664510021 0.1366383300906762 -0.9464633355012904 -0.9186883809418868
16	-0.8837349224997507 -0.9698962986010862 -0.8507632896805374 -0.9423771283577901 -0.8851009093767683 0.06614535981376846 0.4814561727891241 0.3548522433908851 -0.9235480128850748 -0.9060103212228926
17	-0.6859228598844954 -0.7172673783072616 -0.6470881362341435 -0.7243949500419108 -0.6601640676671543 0.2091375443905977 0.1682984220674683 -0.1247563242610645 -0.6904143795725238 -0.687629244705627
18	-0.7943600949323332 -0.8917516477243779 -0.7799360678836347 -0.834880856976921 -0.8391494241003052 -0.007213664254488891 -0.2701827936338326 -0.1852971585266356 -0.8564904690320504 -0.832320268086309
19	-0.9086678587728845 -0.9870049756908353 -0.869784415145515 -0.9693371732445298 -0.8980838373250833 0.1102922687405759 0.5576821473324175 0.3579713682614208 -0.9402650955089309 -0.9257045793797805
20	-0.783511133585727 -0.9159363853652361 -0.783720998727802 -0.8288548616757472 -0.8583725257867409 -0.1661261771258542 -0.1491674564226012 0.1440571911336525 -0.8731296983280922 -0.8379444302809477
21	-0.7508630966627697 -0.8882901232052876 -0.7627988293163785 -0.780187386799076 -0.8591783887213088 -0.1839230249510269 -0.9039721792284593 -0.4755533324744624 -0.8561367232343476 -0.8168729420280709
22	-0.729573146278315 -0.8319338320120944 -0.722963966378857 -0.7655600750429418 -0.7871460042355052 -0.05883011036435901 -0.365530298339161 -0.1958111933013936 -0.7989372826344 -0.7722572076302764
23	-0.7091004503328605 -0.7927525005599623 -0.6809388833427894 -0.7738008612833228 -0.6950762977600354 -0.03143547096153253 1.218727943638634 1.114995933315252 -0.7412989500373555 -0.7249335612668923
24	-0.7454378330399876 -0.7861822574704849 -0.6982441491429772 -0.8040941995575158 -0.6950783836398622 0.1765557940596892 1.008192235917414 0.640431841324229 -0.7442093879957403 -0.7413859663763964
25	-0.8945695339020897 -0.9579637878694837 -0.8555793681313038 -0.9424311336732344 -0.8899360479890545 0.1819544909033592 0.006192000804754578 -0.2150672734316159 -0.9219980628661234 -0.9105273565920701
26	-0.8814986949645703 -0.9607950250842985 -0.8530528465870848 -0.9243139347554347 -0.903201866080762 0.1149829415825694 -0.2860180847384191 -0.3692664508998222 -0.9265170099588745 -0.908977674226579
