1	0.8538731976871959 0.5515146074531112 0.2004844612231712 0.0944556645801683 0.1192528866402672 0.01375688912756332 -0.1994370532652493 -0.07618791443547294 -0.08362788473849195 -0.10280784601493 -0.1752825194317614 -0.136816692388274 -0.06550514902921103 -0.1452953149153182 -0.3891311503191059 -0.2917169582777892 -0.2964356360100322 -0.4131739111645969 -0.4957604624643037 -0.5799761141406359 -0.5752846774824716 -0.5948392657522339 -0.8102092108973087 -0.7857513367523615 -0.9229565733627381 -1.02057079640364 -1.206703635088092 -1.223705919834135 -1.236811458875288 -1.329136734764755 -1.640136668017176 -1.447645354508492 -1.430275836976222 -1.26112674261218 -1.135589270404981 -0.639232252628596 -0.1290707744306216 0.3356878945568025 0.8026123234699239 1.42825987563202 2.052023799471016 2.613052938611331 2.966967838502471 3.6940077634869 4.049211156042134 4.292901580353364 4.230897264398796 4.227728532658488
2	2.229832829738188 1.957000336074082 1.587212228459493 1.244911665194195 0.9939677448327168 0.7752517017505755 0.565161673823922 0.4489453566038504 0.3299404791744549 0.2280398233928263 0.1327158327434715 0.07119381146295022 0.03077472996091297 -0.0889241862626263 -0.218073770779376 -0.2674227878457037 -0.3321924834054086 -0.4430800195730122 -0.4831848308916306 -0.5903142957889973 -0.610680825570019 -0.7184973444093444 -0.8277098736638522 -0.8216707726790098 -0.8948162877706031 -0.9346509754961029 -1.016524783290091 -1.070852147174097 -1.068456586682087 -1.129338110445726 -1.2713626403431 -1.16362226176004 -1.143424831178775 -0.9292507415196999 -0.7968415612269804 -0.4695000954143602 -0.1480429173052327 0.1221407594187454 0.3558615321396169 0.6324276276460128 0.983936492619036 1.191671937355213 1.277302893053948 1.514498475162426 1.649079277568346 1.689080584937559 1.557271989449582 1.413311239906331
3	1.365977163022412 1.251784401076669 1.047717682444825 0.8935143754563343 0.8109671360061338 0.7464937623952929 0.6977091411003312 0.6846654432837364 0.6117006119724649 0.5515433897372987 0.4815353919663275 0.4474537291211839 0.41435201453204 0.3121776732495828 0.2258932379516563 0.1684408259923499 0.1090136493984634 0.002799696756081713 -0.01681145919775775 -0.1148464112190344 -0.1281242544453585 -0.2534699936742766 -0.3529766654671051 -0.3061954405741441 -0.3513819023408866 -0.3564036193695307 -0.4234472800779016 -0.4819169204146838 -0.4944474006186427 -0.6031314232839341 -0.8297938786973663 -0.8035311701642796 -0.9695701171221137 -0.9543501962050404 -1.120766691750711 -1.015460427457282 -0.9647039191563875 -0.9236476171470213 -1.001608574773845 -0.9198490717680416 -0.7149946741660048 -0.7548800336206484 -0.9231700845882477 -0.8274862925155824 -0.7537522426985444 -0.7439478283848117 -0.9208185085390905 -1.019585422377643
4	-0.1002001665371212 -0.1994298100742357 -0.2561288329526144 -0.3094049084696038 -0.3678006323750241 -0.4549952975603008 -0.5794388658768348 -0.6168317232921048 -0.6034942211474846 -0.597817972269871 -0.5855355936006698 -0.5747115047122557 -0.5437997016730944 -0.5070652179628139 -0.5320207429487992 -0.4694581293833636 -0.4360976648172778 -0.39555819541243 -0.4142915048280729 -0.3752983240476212 -0.370726823782548 -0.2824530824394034 -0.2701320888950514 -0.323152064660931 -0.3420008867721741 -0.3830810552259836 -0.389014119588715 -0.3522590876370865 -0.3366433305602559 -0.2532004634224544 -0.1141404622073725 -0.03473753380810513 0.2038106821545725 0.3666178999403549 0.7056334514629117 0.8945773560158472 1.154920528229428 1.38333085084641 1.745400880128949 1.957403613063731 2.056967767484105 2.36991511532844 2.726448655514246 2.913734721222411 2.982236545049055 3.047351547300652 3.178823179783589 3.210143017731823
5	-0.4848089266798169 -0.1787730626162204 0.1611757095081791 0.2072584858524046 0.1159045626623477 0.1935266396788709 0.4067710005563244 0.227676880548624 0.2064812469989161 0.2042510299576935 0.2688386835683526 0.2058224303913536 0.1070943344578755 0.1736890605856785 0.4413687870267496 0.3072639697889843 0.2956379165308294 0.4096499844453633 0.5015841946817889 0.5766843964342577 0.5656576795957453 0.5595183341768026 0.7959679385925627 0.7693223071396588 0.9199933883248415 1.031216368160307 1.239285886944259 1.245234697819408 1.261372355824983 1.356475739403058 1.697614896173897 1.485667286478001 1.461090100487335 1.301578556838743 1.168914008710396 0.6353647554247125 0.08090607752146321 -0.4295882730711106 -0.956556847085125 -1.662304990446823 -2.343011222663824 -2.99026103812258 -3.415518471599324 -4.254701401524853 -4.659199244803075 -4.950471187404338 -4.912048508196523 -4.945375077653225
6	2.014758840189765 1.640347291400548 1.166244870051939 0.8817193170519493 0.7473792383209085 0.544483246375879 0.2749808912806807 0.2925923743758671 0.2111074204193225 0.1329027250645402 0.0205971501060753 0.007880185769525776 0.02950320485114728 -0.1058222112750282 -0.3563002025878064 -0.3251784277345253 -0.3727015819079894 -0.5289134747201348 -0.6103968634773614 -0.7411675763507533 -0.7511468885596503 -0.841888711601456 -1.063626008699789 -1.037103425036697 -1.177846504327969 -1.267435524139831 -1.449483243284609 -1.49944460198424 -1.508789217394828 -1.620783606412673 -1.943669121281554 -1.748475898335793 -1.748229045490221 -1.511165671246407 -1.374512064028592 -0.8383987632650951 -0.3036520479214797 0.1701535602359797 0.6087094186878912 1.201598861559436 1.851945973337328 2.345552098057329 2.611891420179505 3.254019386751725 3.581880407161837 3.77201820809407 3.631799248924497 3.535763422167372
7	2.722980176668403 2.358256790263711 1.834859671968441 1.492054832659798 1.323418851431001 1.125791980969558 0.8989100650576236 0.901705987721006 0.7740698985609493 0.6614693061515042 0.5150116767010124 0.4729021022995522 0.4544177813543815 0.2594016253304463 0.002943977788133425 -0.03431190833472451 -0.1266644923165516 -0.3405072704484632 -0.4151200507729131 -0.6031668273659065 -0.6231375218661103 -0.8125713969945001 -1.064102966608007 -0.9970860689831369 -1.137701989031766 -1.202517560578565 -1.393928527641837 -1.487341188987253 -1.506974670142072 -1.695202709019829 -2.148068399005645 -1.991558146823697 -2.166682705936069 -1.997352245441151 -2.084218252103471 -1.620700597275787 -1.215220062044708 -0.8594981842382358 -0.651487498487979 -0.1720443627503715 0.4730470744307588 0.7596137426295043 0.7610054054863449 1.290176668922552 1.585991026220342 1.724378374886918 1.447986899658985 1.284277685972867
8	0.5253859228615805 0.4070633738428817 0.3090889166549595 0.1494186510816952 -0.01961949327655934 -0.1650260880250498 -0.3120765566225693 -0.4358941305513473 -0.4675177329898866 -0.4965665951151549 -0.4995292155526458 -0.5249760181776579 -0.5313402508901154 -0.5164461716519249 -0.5182620712499463 -0.5035066024359807 -0.4934343902781632 -0.4595521283285702 -0.4693712920883723 -0.4457102782815308 -0.4506051525628132 -0.3962329452503006 -0.3602405047221406 -0.4204293329343075 -0.4266270993557801 -0.454839603571159 -0.4359100444609516 -0.4142999532884235 -0.3930593986142628 -0.3021987349351784 -0.118136415771478 -0.05245022312690736 0.1976991040674274 0.3998976487984469 0.7656327872234584 0.9384982998252061 1.178766824356524 1.379463196013647 1.703493854306353 1.839639716489904 1.889824351163847 2.123167860170734 2.417189604042994 2.480322388752264 2.494815346817815 2.502545340946852 2.605312270059534 2.58099342768244
9	0.6755899656635979 0.5902989360869736 0.3683654026238813 0.4634281449717563 0.7193360112801784 0.8560205612772852 0.9322812776818783 1.228060404703487 1.224861299840172 1.218421196347968 1.121295423601019 1.167937670018293 1.204320915470222 1.046566301275514 0.8160362132347303 0.815064012329482 0.7498326969542123 0.5296746455233782 0.4750529808369536 0.3017352848366565 0.3038363573063503 0.1007959060151213 -0.1867956343288117 -0.02829586956845898 -0.146335762511528 -0.1679684981708687 -0.3808580795902388 -0.4743987743925953 -0.5304971158577967 -0.8365705000583374 -1.547725386300489 -1.510764509974319 -2.065588409403851 -2.295239679810416 -2.980087486971176 -2.863089274493702 -2.89651346003897 -2.898540311909512 -3.206130342938175 -2.951448086499481 -2.454281115115895 -2.507238434809885 -2.907266393351205 -2.442145015517364 -2.165881341703321 -2.002670753507454 -2.359332372762895 -2.391654410731754
10	2.720605236576475 2.460782008860302 2.117661898474694 1.633833493411432 1.18823749504344 0.8710918547200648 0.6231174953879121 0.325051690588629 0.1564939579371269 0.01790482334884247 -0.06567303410208322 -0.1821311195535451 -0.2771119045626168 -0.3758888303731383 -0.4075175500391626 -0.5142380501647373 -0.5875145305404499 -0.6421349925365285 -0.6543151002127131 -0.7288218582154807 -0.7606083062869572 -0.851206658758429 -0.8480149054533769 -0.8936942304171854 -0.9155279801819104 -0.9312923868662448 -0.9206612098365006 -0.9662165932798541 -0.9418644967335582 -0.9083957860205716 -0.7961992308365943 -0.7212438669553098 -0.5391607837017502 -0.2251686294053857 0.1170660977119457 0.3757783268602369 0.6640955521185274 0.8858027856862077 1.141639065121824 1.240132750385146 1.378172935127425 1.488959022942941 1.598333650471981 1.542427838639695 1.528099890895316 1.450105713559418 1.384383709469948 1.186512143701331
