1	-1.297260846681808 -1.133667035988881 -1.070913429119419 -0.8424371615107763 -1.184170804922651 -1.16725717604597 -1.254809742573552 -0.9086577973912696 -1.28527766682158 -0.6084074493527898
2	-1.295836428774983 -1.128914490739775 -1.066865412139597 -0.8413584050342424 -1.183526094794975 -1.162735170757431 -1.250141701789727 -0.9078377795267906 -1.283256905784805 -0.6071577015963533
3	-1.298492612163653 -1.12826365581463 -1.066831513020785 -0.8442595789563615 -1.186681010823952 -1.162696708921344 -1.249958691573239 -0.9110385079229648 -1.285204731753726 -0.6093167834861174
4	-1.301500967453112 -1.130578694447695 -1.068881771125961 -0.8450870022801503 -1.189336888627776 -1.164843656660319 -1.252543920115859 -0.9121486668345584 -1.288273282931152 -0.6094783042204872
5	-1.303855356737575 -1.127965168892879 -1.066220833597189 -0.8414855201056438 -1.191699688418218 -1.161452031456257 -1.250306152561611 -0.9095493278248715 -1.290425421277512 -0.6045063467425
6	-1.306156621703793 -1.130407963946215 -1.068776395804257 -0.8449081967523447 -1.193975202950099 -1.164384776156416 -1.252988923690193 -0.9128778960701746 -1.292535807391685 -0.6077122324673409
7	-1.306963225986704 -1.133067598830082 -1.071434984402067 -0.8479945237472115 -1.194677692229973 -1.167517252797311 -1.255669925061396 -0.9155991429351593 -1.293357258858886 -0.6110805285386832
8	-1.311159261420267 -1.13006712738642 -1.069551688212347 -0.8511344929978748 -1.199848603047226 -1.165305352946919 -1.253493954548588 -0.9195200409120108 -1.296265401190472 -0.6127040468807811
9	-1.308950679090131 -1.132592070042844 -1.072056100632007 -0.8541894532953546 -1.197574712344998 -1.168475352512816 -1.255652994545342 -0.9216572192235619 -1.294301135045197 -0.6170286202928331
10	-1.310090479996201 -1.136171318282824 -1.074036681870694 -0.8482508537948867 -1.197223344193391 -1.170239167050545 -1.25899405341659 -0.9161402473500534 -1.296749508094333 -0.6106812926305628
11	-1.311540109235785 -1.136996199536837 -1.073760833627468 -0.8421582878327055 -1.197690342274079 -1.169433258649297 -1.259791226636725 -0.9107908797074528 -1.299007726572535 -0.6037380434153086
12	-1.316689700405773 -1.152695109250533 -1.085965533034508 -0.8383145821421554 -1.199270454308893 -1.182548592842807 -1.275068054199683 -0.906838710784851 -1.307039476359831 -0.5997457043779424
13	-1.322071356259588 -1.166895540518125 -1.096604670452189 -0.8322472860803694 -1.201072536098343 -1.193743153288052 -1.288911122947506 -0.9010412584837305 -1.31530019776302 -0.5931048664499359
14	-1.324397577021222 -1.175677940560656 -1.102229856710126 -0.8225491577544856 -1.200394804461479 -1.199279743771936 -1.297179790647508 -0.8918531720766939 -1.320251787483003 -0.5829326930720817
15	-1.326553548084999 -1.181310673481166 -1.10588000089299 -0.8165410762519794 -1.200648759591681 -1.20284513184977 -1.302575761753101 -0.8862782757741664 -1.32400945187898 -0.5764152011261786
16	-1.326763972594965 -1.187445727030349 -1.110131540390086 -0.8119180094697441 -1.199056718141003 -1.207313745154336 -1.308225088410834 -0.8815526998235963 -1.325895273351454 -0.5720971461338976
17	-1.330636458560952 -1.19127249136364 -1.111994808066481 -0.8037412780959333 -1.201075323642543 -1.208608140465198 -1.312095170220796 -0.8744898916374176 -1.331181275155416 -0.5624585130793142
18	-1.329259516587249 -1.193277687508938 -1.112736040170765 -0.7982562767066811 -1.198585543190603 -1.209185037536214 -1.313644333803041 -0.8690546481037837 -1.330980789402476 -0.5572523326486478
19	-1.32808586799565 -1.188421573876242 -1.107884184092784 -0.7926109370962696 -1.197598944988567 -1.203446442873385 -1.308788108118333 -0.8641331147934914 -1.329756571663245 -0.5509915899101793
20	-1.329771137778808 -1.188113686733736 -1.105982439110898 -0.7820383321933051 -1.197918970408799 -1.200505996744233 -1.308433312304491 -0.8548514010163957 -1.332601756673441 -0.5390134169011981
21	-1.326576408838487 -1.187782277283299 -1.103649812114676 -0.7692725034064832 -1.193097568712501 -1.197284013729925 -1.307357738757428 -0.84265595542195 -1.331247726574651 -0.5263000913685596
22	-1.326626750340506 -1.184934147805288 -1.099306338492049 -0.7564401517364165 -1.191979081842351 -1.191566859811844 -1.304347740380469 -0.8312388667528317 -1.33242721548962 -0.51213381290139
23	-1.327267057332159 -1.180276306954335 -1.094177677008169 -0.747878591879206 -1.192367655451419 -1.185200576953522 -1.299835657229979 -0.823985541811969 -1.333276003204338 -0.5021526266855509
24	-1.326905001996548 -1.173742035426543 -1.087143945106813 -0.7369901974990314 -1.191809780154475 -1.176612181439882 -1.293371260978382 -0.8145947346154295 -1.333166960569087 -0.489778839510564
25	-1.3260252845159 -1.167584069905991 -1.080230280260751 -0.7249738765655173 -1.19051367247579 -1.168122585835872 -1.287160954488153 -0.8040453429351913 -1.332795129565059 -0.4764084301872782
26	-1.329002478909411 -1.163337220952062 -1.075180924051611 -0.7146107930163094 -1.192905586505343 -1.161564166046257 -1.283291052739105 -0.7955544083335329 -1.336091895401126 -0.4637573183972565
27	-1.331805789966878 -1.163741381213835 -1.074301088856298 -0.7067478726705899 -1.194562759050907 -1.159869046520242 -1.283823326046449 -0.78888602034412 -1.339743099196262 -0.45440704806815
28	-1.336427740936983 -1.162306984316722 -1.071381587539847 -0.6952783662478497 -1.197899954244773 -1.15551858151301 -1.282773509563152 -0.7794425847742826 -1.345194706685831 -0.440350037673424
29	-1.335715045453107 -1.156335892843436 -1.06551230163683 -0.6888857526074926 -1.197486595496662 -1.148554848751524 -1.276912857803844 -0.7740283927412513 -1.34428903182747 -0.432998899862035
30	-1.34135198300944 -1.153148133462952 -1.061542362218 -0.6796874396786947 -1.20247497772198 -1.143097827196449 -1.274415113300103 -0.7670029032568476 -1.350066087944822 -0.4208396817190532
31	-1.34611221939819 -1.14778935063876 -1.05593195817801 -0.6713333923372515 -1.207123071466252 -1.1359121209465 -1.269791653830066 -0.7607777239578521 -1.354541420309714 -0.4096240502182007
32	-1.345974030232168 -1.14690333129825 -1.053046562042065 -0.6576649973017057 -1.205327030372367 -1.131794278910881 -1.268572359664928 -0.7483861687433754 -1.356007058579298 -0.3948536608106722
33	-1.348001019760842 -1.149814438098428 -1.053005312627671 -0.6423091484443396 -1.204726191169249 -1.130613525071084 -1.271147978521706 -0.7345218579544668 -1.360355949478388 -0.3779952079972835
34	-1.345065454847 -1.153335645399153 -1.053256353858153 -0.6260854172086333 -1.198957093657159 -1.130055996905181 -1.273621573551146 -0.7188776765090533 -1.360373744724144 -0.3619308045642236
35	-1.345171999264231 -1.151640278303828 -1.050220823151482 -0.6155981759962212 -1.197986175536798 -1.125957345838505 -1.271762525136401 -0.7095021088498517 -1.361511082905819 -0.3504066143532676
36	-1.345610172598239 -1.148673596180888 -1.046082508927217 -0.6046369907583683 -1.197526620374872 -1.120564332676715 -1.268743077752515 -0.6998725736442659 -1.36278528151868 -0.3381108137468259
37	-1.345789568605731 -1.145389436006075 -1.042137774009305 -0.5965477709966641 -1.197255334359588 -1.115592704329448 -1.265470312561802 -0.6928381429740557 -1.363397196501998 -0.3289547933680803
38	-1.349213206057759 -1.125756894267691 -1.026201323313032 -0.5962766148420328 -1.204407444411301 -1.097408994152499 -1.2475196486486 -0.6950139744326734 -1.363050587910568 -0.325191056583409
39	-1.351372020912987 -1.11674024803024 -1.019023429738038 -0.5969951722333563 -1.20838816308522 -1.089229621590568 -1.239375145827227 -0.6968913642481119 -1.363321267807237 -0.3241742409061707
40	-1.353082261312617 -1.112175977515749 -1.014015701435429 -0.5886282807447244 -1.209848641789702 -1.082936355893009 -1.235096145764147 -0.6900082699415329 -1.365143256612604 -0.3140566959035599
41	-1.352178563283664 -1.110940618666939 -1.012957571942811 -0.5883551273780527 -1.209151604313681 -1.081792427278843 -1.233813079519542 -0.6897012858096715 -1.364127778362211 -0.3139176321006586
42	-1.347898739869077 -1.111124138872837 -1.011301481912149 -0.5773123855037787 -1.203382612466889 -1.079519234686188 -1.233124556478574 -0.678823858857052 -1.361650070362136 -0.3034820177987572
43	-1.350065796306579 -1.11133692717245 -1.010715367914762 -0.5723388115117914 -1.204830730254787 -1.078385916128903 -1.233472677820762 -0.6746839078062199 -1.364313155596939 -0.2974311441968794
44	-1.347811430819444 -1.111632360174033 -1.009163449357802 -0.5612110570644705 -1.201042798315687 -1.076081348480638 -1.233151981083797 -0.6641002946583868 -1.363724196089279 -0.2862415139242625
45	-1.348217337298219 -1.107429411212911 -1.005722525190899 -0.5609956627792624 -1.202227688040294 -1.072168623166277 -1.229261982691464 -0.6643612537942998 -1.363370198793233 -0.2853755325369838
46	-1.348321966756006 -1.107347466567868 -1.004322736079216 -0.5525666669081115 -1.201219363666643 -1.070042752082908 -1.228970027481022 -0.6567133369277136 -1.36453146571409 -0.2762587290662957
47	-1.347132514089746 -1.108340435547468 -1.004281388500245 -0.5473135931270754 -1.199142158409797 -1.069741177141798 -1.2296017940137 -0.6516162540447402 -1.364291664337197 -0.271119506986287
48	-1.343452687547499 -1.112679733315062 -1.004816739966892 -0.5287529769761836 -1.192162547292472 -1.069405147954181 -1.232680831684234 -0.633629991551359 -1.36407297771158 -0.2528853006206299
49	-1.339513448661172 -1.11341237770628 -1.003489400289974 -0.5169425117845382 -1.186523618765937 -1.067428104720505 -1.23253048911767 -0.6220679044617968 -1.36210452524407 -0.2415749043937181
50	-1.341638923728481 -1.10798803663082 -0.9977181574160082 -0.5081287882686896 -1.188502956128361 -1.060217912275505 -1.227488030111035 -0.614934024507184 -1.364210351671935 -0.2307358327467338
51	-1.341899887944112 -1.105917982511407 -0.9955624971775835 -0.5051066378619995 -1.18875695046386 -1.057579842985964 -1.225500920169289 -0.612418819718322 -1.364465623249437 -0.2271503744012332
52	-1.345260968813722 -1.105830071387297 -0.9951448309808379 -0.5026389903346049 -1.191785701653504 -1.056713407261365 -1.22579179036662 -0.6108126930659833 -1.367848867171531 -0.2233625736150185
53	-1.34553047381649 -1.108153730030454 -0.9962019147860385 -0.497378451130964 -1.190901721483135 -1.057543759877622 -1.227861036616591 -0.6058629878370582 -1.369186892104675 -0.2178864329270497
54	-1.340124821575755 -1.107615759686768 -0.9926932675636135 -0.4784291111179015 -1.183094091745547 -1.052756073292532 -1.226134453071702 -0.5876395643910683 -1.366560203364338 -0.1992309297842078
55	-1.339382626787471 -1.1054089496701 -0.9887226839898492 -0.4647296910305336 -1.18094788535417 -1.047458331815739 -1.223597889220034 -0.5752256598371637 -1.367238898075622 -0.1844719505075491
56	-1.335003184646227 -1.101455952752327 -0.9844811022218576 -0.4585756565017405 -1.176531456146798 -1.042599721364078 -1.219153991836051 -0.5691555433797485 -1.363301450420236 -0.1788404765817269
57	-1.336867856100973 -1.099378277407135 -0.9814866812845305 -0.4501614711488711 -1.177659878886046 -1.038556948142139 -1.217223372785375 -0.5620332508825595 -1.365717175759554 -0.1689155613325913
58	-1.335136962510887 -1.096871228168077 -0.9789951514600783 -0.4474250244117304 -1.176055743186509 -1.03570023439987 -1.214573750836929 -0.559442741025732 -1.364030491794164 -0.166250338923797
59	-1.333795909500108 -1.097273809893155 -0.9784419936035418 -0.4419793429895156 -1.173915810906078 -1.034821279358676 -1.214627356623362 -0.5541952066708384 -1.363570418755551 -0.1608843387556733
60	-1.334820530273155 -1.094732749677126 -0.9760399908892099 -0.4397526404093923 -1.175126394981653 -1.031903547772462 -1.212320633835694 -0.5525907406444025 -1.364339722031193 -0.1578443406926804
61	-1.333305124942314 -1.093042133289776 -0.9737554145402275 -0.4341191312716464 -1.173191414601389 -1.02907738290129 -1.210385398113622 -0.5473289332121253 -1.363368331389355 -0.1520859753409509
62	-1.328737857153368 -1.087558141643417 -0.9674101881516739 -0.4225450037841863 -1.168157878090687 -1.021516120799805 -1.204335480557674 -0.5364268387980698 -1.359678457122756 -0.1405018293284224
63	-1.325249371062962 -1.081760483868655 -0.9608788869827132 -0.4113139090040882 -1.164303396065434 -1.013691522717244 -1.198142335570293 -0.5260686179036584 -1.356877842391242 -0.1288897350387001
64	-1.325320884483921 -1.07921378181299 -0.957331120272949 -0.4019595956410052 -1.16361337114303 -1.009092341004402 -1.195511935006357 -0.5177951497124093 -1.357685181546539 -0.1184955897529966
65	-1.326182306436622 -1.079585210858965 -0.9566013830791862 -0.3953745708511476 -1.16351697652532 -1.007785680739548 -1.195793898436673 -0.511927692877581 -1.359385647817323 -0.1111647541248856
66	-1.327474993992346 -1.084817802793186 -0.9594719561819373 -0.3865667971526118 -1.162614936366462 -1.01035450800916 -1.200625917842304 -0.5036772311530051 -1.362638441682159 -0.1018744943465546
67	-1.329574963282389 -1.089113175613512 -0.9625970112804416 -0.3841042152860782 -1.163545516815015 -1.013562118041767 -1.2048579972775 -0.5014412771715215 -1.365650571965135 -0.09903303571303136
68	-1.327725517827248 -1.091767416290783 -0.9632855852547005 -0.3749982541341554 -1.15997616426698 -1.01387943265638 -1.206854966789121 -0.4925612135538947 -1.365597069820736 -0.09016426489514998
69	-1.332048131363931 -1.088607740858016 -0.9597835876204865 -0.3687209784615346 -1.164043197189227 -1.009230101540639 -1.204290703046347 -0.4879454725135867 -1.369799375658004 -0.08159083163880369
70	-1.330140872898916 -1.092729092152879 -0.9624010236559616 -0.3642793257539791 -1.160757859224629 -1.012022046603123 -1.207781148631831 -0.4831687423536621 -1.369358375194536 -0.07793565538849623
71	-1.329216303353911 -1.090693494869759 -0.9589534036509334 -0.3530200672184758 -1.158723905248261 -1.007482893975722 -1.205447352981493 -0.4729268868946462 -1.369587848831781 -0.06588419969776051
72	-1.328702975545223 -1.081371184790766 -0.9503134379691687 -0.3462951795099395 -1.159110252792853 -0.9973673312206769 -1.19646437583441 -0.467551199903291 -1.36830648991855 -0.05771126008760809
73	-1.326282564920037 -1.077640034051266 -0.9463582391503794 -0.340648779826199 -1.156666964558646 -0.9927252327581236 -1.192498683261714 -0.4622920698936635 -1.366140647335157 -0.05199884745014211
74	-1.325933681315647 -1.074769872455895 -0.9426964406681302 -0.3322678659775715 -1.155751546931197 -0.988090317873176 -1.189536635838974 -0.454855074924806 -1.366379650969518 -0.04275426120545637
75	-1.32828113125254 -1.071618385275438 -0.9384433586162733 -0.321370009822648 -1.157234572993784 -0.9824374601856659 -1.186595860839316 -0.4456594251881004 -1.369363804459997 -0.02986766107627956
76	-1.33201736771553 -1.070924640905036 -0.9366026433173056 -0.3129900138036466 -1.159961808964824 -0.9795623310133678 -1.186207772476459 -0.4387953037997445 -1.373740018938096 -0.01951931118724836
77	-1.332745520602613 -1.067218072216815 -0.9318385096580716 -0.3018458530655436 -1.159908715413404 -0.9734331407158281 -1.182528213511416 -0.4291207695967498 -1.375170919450152 -0.006842026511241904
78	-1.331454967998181 -1.065253819742699 -0.9298784167802744 -0.2996458711076402 -1.158709610873914 -0.9711776843586076 -1.180459326600461 -0.4270524860600076 -1.373916750054718 -0.004671691669676848
79	-1.336065572269723 -1.06188296665234 -0.92589666153856 -0.2913973969604484 -1.162839880635612 -0.9658411714091462 -1.177681424154127 -0.4207152164238609 -1.378597893211345 0.006144498976036756
80	-1.337676521713227 -1.058379193846038 -0.9222823167745016 -0.2864012692326159 -1.164448372796018 -0.9613396938385008 -1.174474426212115 -0.4167866333896895 -1.380087144180929 0.01247510737244811
81	-1.338468017860194 -1.05837295826842 -0.9214094403629295 -0.2808544804010161 -1.164494201403117 -0.9599439940929788 -1.174421629066492 -0.411885583660368 -1.381522702217188 0.01870996719699684
82	-1.335559877144705 -1.060191041566597 -0.9224558633107863 -0.2783841414168153 -1.160921432393041 -0.9611668894579816 -1.175676813558458 -0.4089239958412434 -1.379497948524588 0.02018276823198465
83	-1.335636034050339 -1.057212920231032 -0.9199800941631474 -0.2780116915553646 -1.161521333695651 -0.958352866806782 -1.172886775836844 -0.4088689288345791 -1.379081325212506 0.02096243045962646
84	-1.336907210552555 -1.051505917816724 -0.9148446718483404 -0.2747341260938932 -1.163446656236112 -0.9522754967138143 -1.167617961298834 -0.4066407595832178 -1.379643531790295 0.02559141055115404
85	-1.335061177998271 -1.050860611083627 -0.9140211499788762 -0.2729959462152136 -1.161502797226081 -0.9513674310475075 -1.166724443918492 -0.4047689265838363 -1.378057281735089 0.02692286347273474
86	-1.333978581718542 -1.05075883989579 -0.9135506042213238 -0.2706363932845345 -1.160130128186827 -0.950762344067146 -1.166423231070759 -0.4024258146803745 -1.377348379295263 0.02911332885023292
87	-1.329196735649614 -1.05249516625909 -0.9131350727506523 -0.2595086556124502 -1.153551276327015 -0.9499144308288978 -1.167121310834509 -0.3912358346941813 -1.374699631559661 0.03928866880032258
88	-1.32812496426343 -1.055387016790222 -0.9150585772518144 -0.2569187171813912 -1.151581523536531 -0.9519863983388513 -1.169619679019355 -0.3884138501643841 -1.374567154487786 0.04137548894572667
89	-1.329308459045269 -1.051416145239763 -0.9118959669819129 -0.2572061748365097 -1.153562176907935 -0.9483642434528229 -1.166062594325775 -0.3892580690290655 -1.374903572113257 0.04193215317542171
90	-1.330454498241504 -1.050782354435485 -0.9114180743026046 -0.2573419808008158 -1.154842076120219 -0.9477545610527808 -1.16562265672871 -0.3896549089850441 -1.375823651001694 0.04224356703272345
91	-1.328457149723593 -1.048444586413248 -0.9094972893504574 -0.2573643831641053 -1.153309614125859 -0.945736687025785 -1.163171634826626 -0.3895109739062564 -1.373569446769017 0.04183043662080835
92	-1.324731054656074 -1.047495862138576 -0.908626250330773 -0.2570387810374657 -1.149743865281392 -0.9449991413166497 -1.161785984544142 -0.388598864160253 -1.370023356767346 0.04105024376440321
93	-1.322064897561116 -1.048894649264635 -0.9101083238451975 -0.2594494609948271 -1.147145817510598 -0.9470100030544254 -1.16281261498664 -0.3901652345637108 -1.367519943918234 0.03740007140930736
94	-1.286655255323865 -0.9178584552149346 -0.8061292974141928 -0.2775841354174961 -1.139620371198567 -0.833731845496284 -1.035912634818709 -0.41187875334522 -1.309213618862798 0.02161587440730156
95	-1.282115074146308 -0.9158560114598326 -0.8039759748483841 -0.2746309270656353 -1.135096554178733 -0.8314399500897933 -1.033361878662161 -0.4085162291054025 -1.305068498852881 0.02351720053552972
96	-1.284877305645901 -0.9141042443190293 -0.8026349309099872 -0.274912736322952 -1.138218538405035 -0.8297547209193944 -1.032090277060816 -0.4094515685427402 -1.307251731599563 0.02434337313829877
