1	0.01826556750550661 0.01632528873859605 0.01346385462185606 0.01320045232353374 0.01092302065725388 0.01032208025510828 0.007885677317310351 0.006888007916952032 0.002495000762912775 0.002089973398290659 0.0009424287154268501 -0.0003133091209053596 -0.0007454446345969542 -0.0006778358154590588 0.001654556919935512 0.001098708787558044 0.0003965246056176926 -0.0005119409603907799 -0.0009783322614025187 -0.001139574971043334 -0.0008509534380851277 -0.0001553802900962147 0.0008599116242314049 0.001877584586806027 0.001176662021174837 0.0005509038523673453 0.006040836504030435 0.004323316036933294 0.003894446010574107 0.001442252870350176 0.0009304222905129021 0.001090481918995515 0.001443748222341289 0.001765134712750625 0.001624148534946614 0.001138375126759502 0.0003004286781686412 0.0001195861551646763 -0.001079460912874155 0.001096247448932472 -0.0002594459391047999 -0.0008700127941051453 -0.0006155965745585416 0.0008489808739037351 0.0002796725368696884 0.0006227336678483572 0.001073832326409803 0.000489894199827975 0.0001971771528441215 0.0004699623296706181
2	0.01656185626305717 0.01479888933546578 0.0122140081581414 0.01197472163533998 0.009914303259993221 0.009372424262505372 0.007172555105471553 0.006273792374982715 0.002319977815024727 0.001951339852031436 0.0009106981961487943 -0.0002320869285828707 -0.0006362281912919402 -0.0005855340534238657 0.001558700277991263 0.001054032311286239 0.0004135513163580077 -0.000413227433762289 -0.0008473045032011064 -0.001001843593009052 -0.0007515562711605147 -0.0001324784793372471 0.0007749577916948444 0.00168829179040429 0.001061717209144926 0.0005007879579815689 0.005506238910670533 0.00394747691897387 0.003556885053542082 0.001334058190589206 0.0008584774241581682 0.0009922638294910181 0.001305996312431613 0.001593488278384862 0.001466846196047557 0.001029563584360851 0.0002729011115682681 0.0001094067470166156 -0.0009315093637668461 0.00105073047634043 -0.0001900353794169106 -0.0007429347744588614 -0.0005381710549030692 0.0007670455277594737 0.00025561807954389 0.0005643061660780051 0.0009675485155528943 0.0004459806107879278 0.000180190126276608 0.0004273903091513761
3	0.01485812367669737 0.01327246869569719 0.01096414415745829 0.01074897381088639 0.008905571654187315 0.008422754920595752 0.006459422743176929 0.00565956825606203 0.002144953069439326 0.001812705014007576 0.0008789677754792351 -0.0001508633132618196 -0.0005270101378663686 -0.0004932309351792012 0.001462842594504157 0.001009355342927908 0.0004305781545037775 -0.0003145129557322171 -0.0007162756909818986 -0.000864111260569402 -0.0006521588351287365 -0.0001095774431042949 0.0006900018331887218 0.001498995766376974 0.0009467706674846504 0.0004506713218107661 0.004971633584527648 0.003571632013108432 0.003219318763135653 0.001225861170991265 0.0007865305224700311 0.0008940433921533632 0.001168241698236454 0.001421838990761988 0.001309541429661727 0.0009207504358997671 0.0002453730192508808 9.922717221869315e-05 -0.000783556458134047 0.001005212988904774 -0.0001206240696820738 -0.0006158555651495635 -0.0004607452259350572 0.000685108706729661 0.0002315627854291559 0.0005058777783926538 0.0008612627197592704 0.0004020663565789574 0.0001632028196578331 0.0003848176484714
4	0.013154385090222 0.01174604775792686 0.009714280489112003 0.009523226151999232 0.007896840577182301 0.00747308609583885 0.005746291377173309 0.005045344804456085 0.001969928120919844 0.001674069945725768 0.0008472373729897529 -6.963916019671932e-05 -0.0004177913425975881 -0.0004009272854858792 0.001366985581105913 0.0009646794330909984 0.0004476065529519429 -0.0002157962154719944 -0.0005852440316443207 -0.0007263758079972292 -0.0005527581856540853 -8.667353192949083e-05 0.0006050480560725795 0.001309700829241159 0.0008318243045673457 0.0004005548178531764 0.004437029594893342 0.003195789075988026 0.00288175459619515 0.001117666804568746 0.0007145864926707616 0.0007958254224766911 0.00103048891600724 0.001250190648640469 0.001152237086598666 0.0008119374348177239 0.0002178452836857615 8.904768045293504e-05 -0.0006356006878935175 0.00095969656133945 -5.121114330528018e-05 -0.0004887738279257057 -0.0003833170321195948 0.0006031726270931605 0.0002075087633656225 0.0004474495528804117 0.0007549779998717804 0.0003581522713036387 0.0001462156510569914 0.0003422451290464974
5	0.01145067681540014 0.01021964938019842 0.008464434764987972 0.008297496236596131 0.006888123742715342 0.0065234306596798 0.005033169505508652 0.004431129696905521 0.001794905871264178 0.001535437070699711 0.0008155073778744782 1.158328327095765e-05 -0.0003085748419106438 -0.0003086254853601493 0.001271129319273408 0.0009200031761303439 0.0004646332514575675 -0.0001170830015839687 -0.0004542168924644689 -0.0005886452149145906 -0.000453361912442319 -6.377256529211407e-05 0.0005200935467472859 0.001120407681442042 0.0007168794617377216 0.0003504389250007742 0.003902432180181459 0.002819949824008116 0.002544193416541002 0.001009471596090258 0.0006426409014728476 0.0006976066491613385 0.0008927364878492355 0.001078543961242319 0.0009949346609860893 0.0007031258908797927 0.0001903176265534736 7.886826142183697e-05 -0.0004876497060268639 0.0009141797984526978 1.819927340214385e-05 -0.0003616962683644771 -0.0003058921250475579 0.0005212370741728496 0.0001834539388302274 0.0003890220338277684 0.0006486938615786089 0.0003142386729490905 0.0001292286044813152 0.0002996731023895658
6	0.009746958806937716 0.008693244061543605 0.007214583377746094 0.007071760719897592 0.005879402323189327 0.005573770843826104 0.004320044307105622 0.003816911486715796 0.0016198816459235 0.001396802402409082 0.0007837761597395607 9.280527070593708e-05 -0.0001993583638852728 -0.0002163236503012277 0.001175271719064351 0.0008753259561337675 0.0004816595084743697 -1.836956414872842e-05 -0.0003231889703886263 -0.0004509135556190398 -0.0003539644946512857 -4.087068990261762e-05 0.0004351394785914729 0.000931114315972738 0.0006019342589277172 0.0003003228251920985 0.003367832236985192 0.002444109003041988 0.002206630926615237 0.0009012762818204833 0.0005706956642694206 0.0005993881940342418 0.0007549841121401102 0.0009068969501833927 0.0008376317778615376 0.0005943139546698168 0.0001627899552789638 6.868880540376093e-05 -0.0003396980034995266 0.0008686620898555737 8.760967484633969e-05 -0.0002346181701263901 -0.0002284664581066952 0.0004393014528446685 0.0001593993942136557 0.0003305943114105252 0.0005424097224328495 0.0002703248981931184 0.0001122415002969454 0.0002571009060918352
7	0.008043229357255394 0.00716682901542195 0.005964724329610079 0.005846017661809965 0.004870674890148972 0.004624105462637373 0.003606915330194443 0.003202690231959734 0.001444857797097478 0.001258168299912269 0.0007520462062291812 0.0001740291874607117 -9.014007613010296e-05 -0.0001240204135504789 0.00107941511953415 0.0008306500885319754 0.0004986874681985705 8.034609564321449e-05 -0.0001921588427377432 -0.0003131798322970392 -0.0002545655394772125 -1.796810154928112e-05 0.0003501850185458697 0.0007418195243322709 0.0004869882201595067 0.0002502064594661547 0.002833229846823498 0.002068266772618154 0.00186906724183505 0.0007930812957661636 0.0004987507107633583 0.0005011695129914705 0.0006172310132395188 0.0007352487929392163 0.0006803278061912689 0.000485501283914682 0.0001352621672787392 5.850932087735497e-05 -0.0001917437919259506 0.0008231457006858253 0.0001570218861212411 -0.0001075377698760978 -0.0001510394957551182 0.0003573653352360086 0.0001353449061872254 0.0002721662325301738 0.0004361248868355543 0.0002264109142988655 9.525434268614254e-05 0.0002145284922492115
8	0.006339507046804075 0.005640419688974608 0.004714869773603386 0.004620279036057262 0.003861950981210309 0.003674443352639275 0.002893788570641031 0.00258847080511551 0.001269833920850082 0.001119534056496965 0.0007203156836466742 0.0002552520953445421 1.907722029833615e-05 -3.171794673091747e-05 0.0009835580670259309 0.000785973532026458 0.0005157144862077378 0.0001790604496990368 -6.113008699060403e-05 -0.0001754474429487178 -0.0001551676511810918 4.933891643243255e-06 0.0002652306199339412 0.0005525254491911209 0.0003720426433599009 0.0002000902444532788 0.002298628888439879 0.001692425315877473 0.001531504188494041 0.0006848860117294253 0.0004268054342752226 0.0004029508013740067 0.0004794782000482949 0.0005636012200553345 0.0005230244255865372 0.0003766890257716944 0.0001077344241714525 4.832985025829419e-05 -4.379110835128003e-05 0.0007776286385441441 0.0002264330614771098 1.954124349714994e-05 -7.361339844792105e-05 0.0002754294481167886 0.0001112903015344693 0.0002137383503923303 0.0003298403651457235 0.0001824970467881451 7.826721106639224e-05 0.0001719562000688503
9	0.004635785162277719 0.004114009768321864 0.003465014746438658 0.003394539972976282 0.002853226715396013 0.002724780951439747 0.002180661649786921 0.001974251394297863 0.001094810786708171 0.0009809005558307374 0.0006885858986642308 0.000336475634368077 0.0001282949564780986 6.05848493167396e-05 0.0008877016387778287 0.0007412975400580974 0.0005327419505486952 0.0002777751131664075 6.989873407066229e-05 -3.771514727754637e-05 -5.577004171221141e-05 2.783548195257439e-05 0.0001802757262252819 0.0003632309114324178 0.0002570969191665174 0.0001499740026565116 0.00176402786325317 0.001316583719956157 0.001193940959641252 0.0005766905541584008 0.0003548598044642653 0.0003047316477475874 0.0003417249570428146 0.0003919533132810011 0.0003657208280262751 0.0002678766627284295 8.020661178554545e-05 3.815037356442779e-05 0.0001041617444583028 0.0007321121260120592 0.0002958445754134632 0.0001466204614157474 3.812566012007679e-06 0.0001934933566813661 8.723548254777655e-05 0.0001553104111236583 0.0002235555232611203 0.0001385831550901658 6.128006642622639e-05 0.000129383882337812
10	0.002932066935232216 0.002587605622969672 0.002215164484005471 0.002168805515726249 0.001844506278989795 0.001775122069687116 0.001467537328737334 0.001360033896469274 0.0009197867039114197 0.0008422659914437074 0.0006568547634118742 0.0004176977482389512 0.0002375115816892582 0.0001528867788338525 0.0007918443526040203 0.0006966206963223599 0.000549768665138434 0.0003764891278131827 0.0002009273545170673 0.0001000172709723148 4.362818129866672e-05 5.073812335098949e-05 9.532231330567945e-05 0.0001739379826017471 0.000142151854556419 9.985798103567666e-05 0.001229428748278906 0.0009407437660149269 0.0008563793454428485 0.0004684960704690153 0.0002829154165001739 0.0002065139437678195 0.0002039731871371377 0.0002203066927120467 0.0002084181835305805 0.0001590648535528607 5.26790600731645e-05 2.797094927440571e-05 0.0002521141430563829 0.0006865947937452918 0.0003652553983915821 0.0002736991806731991 8.123882687231903e-05 0.0001115580007082818 6.3181303461528e-05 9.688278035137197e-05 0.0001172717568313875 9.466946381129815e-05 4.429301483649792e-05 8.681176045293705e-05
