1	-1.140197010458603 -1.035472411507153 0.09495341714509001 0.7127427526362203 -0.9697548424840781 -0.892400285334793 -0.8435805479855643 -0.9917428920275356 0.4994977074259192 1.233595467284682
2	-1.467671415704038 -1.209166494724936 0.454627194840277 1.003268409379111 -0.9189713924755331 -0.7625744354777647 -1.139326442514357 -0.9675476118887714 0.8157702788822614 1.357260409306378
3	-1.583376712597929 -1.453352486006362 0.1018622292240673 1.054978331296943 -1.088090788719078 -1.023007626982544 -0.9363067884843328 -1.127218190768014 0.5525815874690332 1.463193581087104
4	-1.544102074560382 -1.611115493261572 -0.4015526768154915 1.026898481702467 -1.053757835229476 -1.140907925856188 -0.4302167822556334 -1.079569573260203 0.05932694597979599 1.301638642575933
5	-1.609020707508677 -1.704596149464472 -0.4826437229182557 1.085302937991828 -1.035953710818328 -1.15396965997294 -0.3375399319025415 -1.063479263237622 -0.02626995660347883 1.282877487383699
6	-1.786362777152954 -2.061272690850589 -0.978274868112108 1.162054148246294 -1.306404108421201 -1.549464005596527 -0.07825535235779978 -1.320175366426205 -0.3819224916092099 1.466442005829923
7	-1.695116916634436 -1.980496161027595 -0.9756523533084085 1.208990751321471 -0.8181531543992475 -1.117347010086351 0.3075890605475955 -0.8452668188193213 -0.5908794558291938 0.9845820358127941
8	-1.461701119728435 -1.854199291483053 -1.219696175251061 1.041104275035909 -0.6998103475119543 -1.071606396226304 0.6301183633866115 -0.7138694340650386 -0.8718443452723864 0.7542508754983799
9	-1.257978091776214 -1.608599352536386 -1.092499843513905 0.8316415795695923 -0.8553773236893983 -1.155477731080556 0.3808459540416314 -0.8572498760604982 -0.6808879543562385 0.8766524869425577
10	-0.9938610448574884 -0.9933333679213208 -0.1616538913888301 0.5546519531462688 -1.101313454176379 -1.073880644079589 -0.7070872342832811 -1.10507081333906 0.3143576114443433 1.257889829696599
11	-0.9909170659668626 -1.215541971446499 -0.7493236611503709 0.5090467516240786 -1.254311619840465 -1.382538650010818 -0.2697340291241463 -1.237601570877299 -0.1779104713376651 1.261889672772355
12	-0.7730487864100826 -0.5678832670592866 0.4012188315886138 0.4187183847962116 -0.9225106374904709 -0.7352091147131516 -1.104448016528385 -0.9363184789627673 0.7743299965450336 1.164801015205878
13	-1.253175738101057 -1.047482491479938 0.3659180374253939 0.9669010542212612 -0.3482246441317676 -0.2776653340073943 -0.6029336018505018 -0.4049182448823527 0.4854410141164878 0.7438630559286733
14	-1.279331117805896 -1.264228258254543 -0.1445875219715723 0.8887039432858189 -0.7289060043561068 -0.7635083089035551 -0.4204122038640494 -0.7602390779984933 0.1653132540637287 0.9875429723057995
15	-1.157118828700924 -0.7192138836654763 0.9849983280104544 0.9368746755444919 -0.1665324378129481 0.07198340460631535 -1.049150110827126 -0.240776059689837 0.9962072625433668 0.6942400417338677
16	-1.720459741842689 -1.516041649740982 0.2794074388377013 1.183928683505709 -1.038647054784982 -0.9360508924283552 -1.063286690500583 -1.090602686474849 0.6983712434837301 1.494873734449492
17	-1.295467749123394 -1.137677814957419 0.2133155339470366 0.8444519774653453 -0.9680059499599014 -0.8658825834388485 -0.9519596349240919 -1.000479856330045 0.609554648307284 1.300866457509025
18	-1.519329753857183 -1.62556124000578 -0.502988621493395 0.9850939334544438 -1.133756507066622 -1.239237192860941 -0.3979998844310509 -1.152935089187036 -0.002047765544812381 1.346246792727861
19	-2.069761154679367 -2.362939883994135 -1.048298204016108 1.477663460083134 -0.9974233511897794 -1.320217514293019 0.2406440543788072 -1.034185551607464 -0.5861651542399116 1.234519852120047
20	-2.234108996012759 -2.574164300172108 -1.178708810667122 1.686730851583659 -0.71264889236914 -1.122144057366347 0.595457232622191 -0.7643001187367895 -0.8359641007592666 0.9796629293011639
21	-0.7305005150662623 -1.031579846017677 -0.8971417606170796 0.4099399985379049 -0.7773796861683151 -0.9939311491726525 0.2471290585893122 -0.7617063304917908 -0.5231104713225621 0.7104983464619218
22	-0.8428655644348982 -1.08806203546151 -0.7798161784993718 0.4154904492856401 -1.131837590246474 -1.275091492010385 -0.1456536470575233 -1.111690597794289 -0.258542621579782 1.100653931765953
23	-0.9638472520086661 -1.041711003487774 -0.3565577870163731 0.5555563791019328 -0.9923344409123218 -1.035200781098919 -0.4349828799942903 -0.9936856953205039 0.08191303791548517 1.101596738589823
24	-0.5350555104977661 -0.3392271212427417 0.4446515006585508 0.4757468034399367 0.09142315770770065 0.1767446975491027 -0.3402717932306149 0.05127631385645103 0.3770676488423534 0.1603255535247461
25	-0.6397956533944804 -0.4307390752841839 0.4457835063999036 0.4286308719549731 -0.442431673514275 -0.294870185575367 -0.7658696137426301 -0.4683289000755143 0.609289369515318 0.6894485514903989
26	-0.6024559800566447 -0.3803105287914114 0.5018502040667506 0.5152208317935318 0.02205675873353909 0.1289194083912524 -0.4488836687524628 -0.02025332279384696 0.4608933972742442 0.2567430446820519
27	-0.8045296857072419 -0.4964020210817795 0.7017168969086941 0.7007472275653447 0.07876275962514068 0.2245291157667445 -0.5900876987989701 0.01968470275074776 0.6240198503773839 0.3040165454937378
28	-0.9879690499690911 -0.9369604933749672 -0.02546433462427066 0.5835584167183604 -0.9715612985654674 -0.9197856528769186 -0.7332322312364508 -0.9831555082091497 0.3874766577888438 1.166695083800288
29	-0.9100002668133345 -0.7602655003440515 0.2525614134974445 0.6081969026762303 -0.6236960619774459 -0.5285295981793839 -0.7215603173326675 -0.6511278773852947 0.5013761689317172 0.8852258449899427
30	-0.7414380635015626 -1.012741341095411 -0.8392420737012614 0.3014203618245106 -1.244312223672877 -1.384031062049875 -0.1808403423613319 -1.213741380957406 -0.2649701760076894 1.165468547725595
31	-1.35977600569964 -1.643888722087217 -0.9365682887153981 0.8940651088226573 -0.9511299827536276 -1.199079415198166 0.1577813592236934 -0.9583464577252204 -0.4920698022651003 1.030246025499727
32	-1.644511562693374 -1.981307539452834 -1.090601743127707 1.244369664569744 -0.5069588015498564 -0.877282679878294 0.6647147383692956 -0.5400023301360214 -0.8350546137215881 0.6518932724311318
33	-1.245619109523829 -1.62920894129971 -1.186734545253487 0.7507922154291329 -1.131106604352934 -1.422954142258624 0.250068481861895 -1.120046715515155 -0.6503756821604836 1.110007362920762
34	-0.471009575044625 -0.7713912374594306 -0.879970001517913 0.08406671111198342 -1.204697025714599 -1.343631597239268 -0.1155273341587601 -1.161570249401057 -0.3179015898044761 1.047341401472034
35	0.05155954250753444 -0.1287877275539258 -0.5100462175744039 -0.3795405939196692 -1.313809527600111 -1.29321244135043 -0.5648758187710173 -1.251003096333688 0.08726198585871089 1.09941171437046
36	-0.07776440879271353 0.1561137903736755 0.5935132111292061 0.05791972903040393 -0.04681009481384701 0.131384409303066 -0.6011303251037979 -0.06378802701625844 0.5839364636446418 0.2047103195427993
37	-0.3314941515083721 -0.1919257184021624 0.3320829612975245 0.3578640488878174 0.3044113918028196 0.3422075934560894 -0.0667682873021177 0.2691566048966749 0.1796142106435855 -0.1199268517947929
38	-0.4022332587224944 -0.1999819909314887 0.4734976155605652 0.3381710042436534 -0.0123913578132608 0.1038216997659906 -0.453196298281975 -0.04314492512118634 0.4511724815462496 0.2295906946738953
39	-0.7460654182103821 -0.6545842451893468 0.1202341377121635 0.4584328332216004 -0.6676357644379883 -0.5953870804707941 -0.6337529936094043 -0.6822896417213671 0.3964961898733156 0.8519831283715937
40	-0.8044743223152225 -0.7641006686747457 -0.04228926929815945 0.351628781739607 -1.278773795048092 -1.180117782588358 -0.9661208435829017 -1.270043197996471 0.5072322605917104 1.402776682316946
41	-0.8861322642114687 -0.9446647661052237 -0.2953787262604015 0.5022045354452721 -0.9471091527456877 -0.9723392244756529 -0.4585847805523756 -0.9479103978077417 0.121288089840632 1.053099815224793
42	-0.4952277437337482 -0.8756546758191391 -1.09857902692381 0.04507182500289567 -1.432689850059473 -1.609140555321452 -0.08903247708208989 -1.376978260719498 -0.4268565137347281 1.216129989596352
43	-0.8570189200299747 -1.272445892718604 -1.221684007980709 0.4243516721174042 -1.130641215920753 -1.407030250260201 0.2763633510459514 -1.100091219330163 -0.6794455127140836 0.9988435014161798
44	-0.4877244658673503 -0.8521585904933068 -1.033806973627487 0.1889188797532022 -0.8411759754481493 -1.074111478201625 0.3217106103252713 -0.8081185110616751 -0.6225880582421646 0.6740846869224084
45	-0.4723470546305525 -0.9123070164859038 -1.244170642494912 0.06175973248808084 -1.28646784960954 -1.52376576067771 0.1660005096900028 -1.231279903698248 -0.6286919824264972 1.038403429746289
46	0.6416309641447855 0.138250236428457 -1.272356867344897 -0.8734943390354684 -1.285163260413371 -1.45662850684652 0.1727875983418605 -1.175915808080797 -0.6435375215356157 0.7367789117166035
47	0.6152605307459101 0.4351660773474011 -0.4263525127001194 -0.7568480500542434 -0.936812922208899 -0.902202218735115 -0.3540660472958537 -0.8627216715585495 0.009133859630459821 0.616587664678658
48	0.661517041517714 0.631079486640832 -0.0412252309132177 -0.8426596897420109 -1.133918840780317 -0.955698896931568 -0.8791713265896257 -1.060181173343414 0.461692609357396 0.8804642238466646
49	0.2168475588012259 0.2039344468445955 -0.05338770721957116 -0.4912318672790911 -1.220300286116771 -1.064274031242459 -0.9281788025925261 -1.164448379780303 0.482716680620297 1.075946243516875
50	-0.4858567232318512 -0.3999306717170888 0.1375897355861767 0.2401325498303134 -0.6674061982109916 -0.5726168913970455 -0.6550253807889307 -0.6700325734360403 0.4158280171519663 0.7872559153070016
51	-0.2714080281323322 -0.1663252867398456 0.2132347414590847 0.06046419837559 -0.6680856338416987 -0.5362780118643837 -0.7316666786348918 -0.6623126127458507 0.490474931355423 0.7492229264102676
52	-0.3026289086584087 -0.3854741987202302 -0.2946095172855595 -0.03744061169006019 -1.143549509029075 -1.104214073694916 -0.6273066775304762 -1.109299410947283 0.2140686191477866 1.083858887520131
53	-0.4396505025879063 -0.4841987178028686 -0.2025267314221345 0.1431596344039097 -0.887219200060132 -0.8626045668048404 -0.5076170881423432 -0.8711216329311464 0.1885499431983063 0.9010808224661226
54	-0.521334031940652 -0.8477636305277069 -0.9519877811604646 0.1355635905497733 -1.166030601204936 -1.334837303845809 -0.01510023953110117 -1.124900685973699 -0.4037844121196904 1.007288472916384
55	-0.3289897574151653 -0.7206149530695891 -1.094589408858849 -0.01010419366309308 -1.099192323162141 -1.306385896559221 0.170455314031275 -1.047668621619795 -0.5663243536300047 0.8601170463522297
56	-1.469879401393701 -1.580128269679371 -0.4821174034729427 1.111546737567663 -0.4704760010824618 -0.6520193205199776 0.1110910708652431 -0.5117871058637805 -0.2702893627846374 0.7153845465555339
57	-0.3445120102912153 -0.6663600032026871 -0.9031229436755221 0.09033496052952888 -0.759426815458598 -0.9542951372272416 0.259857709969895 -0.7257500261535162 -0.532270600826781 0.5904497070505083
58	0.8119735046847202 0.5953914270609297 -0.5089775639512438 -1.004096730606914 -1.258747580988802 -1.194135204069168 -0.5363049045395426 -1.161509107912715 0.07286798753736101 0.8474570437534884
59	0.3737444094916274 0.3928264797019378 0.05932695784320805 -0.5499023253293718 -0.9348487281046338 -0.7715003154758808 -0.8104380993346375 -0.8846329302272524 0.4674516343235852 0.7932000058158769
60	0.5564505314897811 0.6907684595649327 0.4025856257551458 -0.5476911044607673 -0.3299738645781652 -0.1299145605017027 -0.6575431545610163 -0.3015083864751886 0.5327210144873863 0.2582218026351629
61	0.9160269026824679 0.9299658925531571 0.1412019137894582 -0.8111780829509344 -0.170277073873339 -0.04490983919610744 -0.2878520456068898 -0.123768057580995 0.2186879811731207 -0.04830092298698098
62	0.035743249248359 -0.04057808476667541 -0.2190072084632075 -0.2046366642518987 -0.6836680289721639 -0.6584878121616403 -0.3383062553929419 -0.651726496720152 0.0896415591364422 0.5807177429243779
63	0.1694745770656752 0.2533252798500998 0.213218919634575 -0.3020385975524787 -0.6376820240507421 -0.4803482312108794 -0.7157114307290364 -0.6118745718257586 0.4821869719383891 0.604419232499786
64	-0.0414797549651508 -0.02393567444506753 0.003590012031254986 -0.2093646981831524 -0.9652562187365263 -0.8423788342318131 -0.7737887135522181 -0.9324411506593926 0.4230080983868513 0.918066495813059
65	-0.2009512299151272 -0.2408147171920913 -0.1621471199557549 -0.06244818617759757 -0.908892196431799 -0.8534673756431312 -0.5679062499873825 -0.8815860447886237 0.2390676292347632 0.8680305399302567
66	-0.9751400976447038 -1.315565893516452 -1.050367512701343 0.4700948078822216 -1.346950874639944 -1.552123201164112 -0.0573577917453288 -1.318556472862046 -0.4237155940642093 1.273568050351476
67	-0.716944521567434 -1.057237159418078 -1.008530228741237 0.3202963409465248 -1.083384654093989 -1.292821641792684 0.1084769103581733 -1.053195151516956 -0.4957228521613367 0.9679098181432076
68	-0.2905404007969814 -0.7637966022905592 -1.298512719997194 -0.02746028610410483 -1.034122616728691 -1.30807994600632 0.4159094457434228 -0.9779740774217062 -0.7881432017626754 0.7406947365244658
69	-0.2654037712675333 -0.7459070878325558 -1.3068685315569 5.803198238927555e-05 -0.8416901353549373 -1.141300245365662 0.5771274418279846 -0.7910827132061944 -0.8795498327948209 0.5514168518495454
70	0.4054268630954515 -0.04227503220154245 -1.166514941449781 -0.736538370530343 -1.530897967639142 -1.654802427421339 -0.1198534870234806 -1.42675413037546 -0.4385976764889296 1.054794832896578
71	0.7148523408579474 0.4029740770921679 -0.7672441618963087 -0.9245574510009368 -1.25901044810944 -1.278025695939619 -0.288726887329248 -1.159915601960268 -0.173725333167959 0.8122814155231618
72	0.5168065477356267 0.291424223549479 -0.5664943419104146 -0.7486326859313163 -1.226912681205373 -1.203315298718323 -0.4505080383849166 -1.143525391451682 0.0009953018969640086 0.8818062212570621
73	0.2148123016564844 0.215272911949027 -0.01096757039129299 -0.4354266962577892 -1.007752791866049 -0.8666182426718377 -0.7987302859902287 -0.9607499617435692 0.4305395263603556 0.8869461744171795
74	0.1829229544707401 0.1409461227464955 -0.1205555137241301 -0.3826411002315429 -0.9016947542400389 -0.8091246592258199 -0.6090340334515909 -0.8572954256801294 0.2798067245214065 0.769879777997217
75	-0.01168614096715956 0.06750108093873798 0.1717341564487986 -0.1991039429121685 -0.8308274946772801 -0.6730656000408676 -0.8270807299447475 -0.8056771456156712 0.5247500937754034 0.8237297123866358
76	-0.7063556717648808 -1.003116958229085 -0.9015439593195375 0.2665253040775815 -1.263950016327735 -1.417407111222427 -0.1378632053721879 -1.229419104031758 -0.3152797116941604 1.159933060455666
77	-0.7568843817499601 -0.8875456675321208 -0.4725013968914364 0.3500428937480233 -1.114307970593785 -1.16225078181897 -0.4259349154742151 -1.098410379654649 0.02705684549088265 1.134145951309202
78	-1.475747606640981 -1.670053579436659 -0.7285404727436896 0.926072608774391 -1.215686463311885 -1.375079085799812 -0.2494858858128529 -1.224135649306058 -0.1804066175266346 1.358378147245512
79	-1.096697717342916 -1.383699289709855 -0.8900955064848453 0.8190450934886292 -0.3759438821272695 -0.6666642538238806 0.5680662715639916 -0.3925128824998756 -0.6952245299132388 0.4318153393009003
80	-0.8740879830210125 -1.21058435826819 -1.003983281174029 0.544600321259929 -0.7184946487423107 -0.9841641654815896 0.3986381605354733 -0.7091427488990525 -0.6519587758495549 0.6678248442933674
81	0.4460299326104794 0.06874309229856175 -0.9584086001981087 -0.6288938144930298 -0.9768860196249264 -1.10739400448021 0.1238039453016788 -0.8960626819912213 -0.4813237790739948 0.5731040171548472
82	1.070321843549847 0.6743521448063532 -0.9469524430631253 -1.261513115976413 -1.40574950135942 -1.435777065662383 -0.2415534603131955 -1.279786708200968 -0.2767751441354804 0.8138556730528498
83	0.9521968121575907 0.5613895431830542 -0.9455719239208248 -1.146174583634838 -1.341948852243297 -1.387689783443873 -0.189659875305775 -1.223989354781692 -0.3045554566690806 0.785427132895566
84	0.8825343210501454 0.6737518025419214 -0.468835730335798 -0.9873955847107454 -0.9597623562304554 -0.9170280636596726 -0.3370054032434996 -0.8709605031519491 -0.01827544848984566 0.5576195954004887
85	0.5002310418874889 0.4001283772762514 -0.2161296791029679 -0.5429859494515249 -0.4795479799994999 -0.4488198179531027 -0.1867691320763616 -0.4327931762513872 0.008772724035219472 0.2672708279768363
86	0.170762933283398 0.1659266680584076 -0.03614081231313313 -0.4392525530021593 -1.168311699546078 -1.016920369152958 -0.902195997890715 -1.116982385847297 0.4759760726553127 1.043361553748657
87	-0.04550667301896769 0.03056698921802984 0.1481796964168254 -0.246578995821715 -1.130006765358592 -0.9429306759686779 -1.043027309271386 -1.095069297125017 0.6321660003679385 1.107981317488839
88	-0.3048591592481244 -0.3473235310835954 -0.1850594506090761 0.001192741300447255 -1.001515729950774 -0.9479253447710275 -0.6181169735415127 -0.9752650998480465 0.2564170397799503 0.9769793559371792
89	-0.2960708402040488 -0.4686777466689266 -0.5231340230240765 -0.02614321704257407 -1.070335754584619 -1.108296878233118 -0.3513143368235673 -1.032664518271269 -0.03504911850294792 0.9593857748091473
90	-0.3380841307793321 -0.6251673409316584 -0.8293806100820852 -0.027151256453469 -1.204639459473843 -1.319584198186721 -0.1661753056351249 -1.156416824480244 -0.2683204831688434 1.024191896211743
91	-0.2954704053104827 -0.7656733703208376 -1.295929981702356 -0.05463690493247708 -1.157973200197987 -1.41550400290174 0.3145974479091607 -1.09764883613724 -0.7318450954875272 0.8588885420970882
92	-0.1240941616922646 -0.6798119751566025 -1.492229580143523 -0.1737937512652823 -1.054342565412581 -1.372455070500531 0.5810808586887846 -0.9846075965810915 -0.9616997422872741 0.670012125882871
93	0.6899049186702555 0.151558961905524 -1.345511516761534 -0.8389162528572649 -0.9861145434492128 -1.214809309393893 0.4804527657218786 -0.8835218908897483 -0.8427059182745974 0.4259851051761733
94	0.3994954353847268 0.01510796859898072 -0.9964307388004345 -0.6831494644708964 -1.344628266102555 -1.442145837582169 -0.1329000358915107 -1.25178445955395 -0.3579725858134573 0.921663080613896
95	1.070522083592093 0.755149597191917 -0.7354735789724184 -1.239850590000384 -1.325757007108592 -1.302902712124714 -0.3790427114519276 -1.208000613362828 -0.1104643998104941 0.7886730309905442
96	1.087288204711351 1.170171782186289 0.3265338422785165 -1.045492985710852 -0.5335295686622771 -0.2944599675274168 -0.7577951328520185 -0.4703459064245566 0.5549477852099503 0.291394805973174
97	0.300643187079715 0.4647730431689562 0.4390040029304612 -0.3957743318079982 -0.5795697405194832 -0.3535055450618202 -0.8867852949752135 -0.5552601121582458 0.673097847081526 0.5686263578506106
98	0.4208789354439065 0.5194288404063072 0.2886914322521257 -0.4671808401461659 -0.4582988926470541 -0.2847682225108711 -0.6490340681572543 -0.4288254901371515 0.4787257745844428 0.387539818942683
99	0.11653016697717 0.2989722165776172 0.4678818733475455 -0.2146045444558435 -0.4753903684438093 -0.266442860530603 -0.8275687993610514 -0.464399046561654 0.6531538190026056 0.5261841749609835
100	0.2219311196631839 0.4510644607082364 0.5820194147885092 -0.4315620376754324 -0.9864922991443695 -0.6704347339413084 -1.346584583797886 -0.9548461211706175 0.9853071585750967 1.005238159263142
