1	-1.0813 -1.37123 -0.108186 0.390415 -0.574195 -1.41474 -0.785222 -0.803573 1.13221 1.06739
2	-1.41523 -1.6823 0.639914 0.564868 -0.679121 -1.3522 -0.886384 -0.882661 1.35734 1.03746
3	-1.53703 -1.65462 0.436392 0.870596 -1.2319 -1.23605 -0.828577 -0.927428 0.486102 1.42653
4	-1.49431 -1.81526 -0.043774 0.908635 -1.42895 -1.10204 -0.669607 -0.946827 -0.430892 1.09732
5	-1.56109 -1.52946 -0.408131 1.3736 -1.2754 -1.45048 -0.6118 -0.70061 -0.313751 1.12724
6	-1.71037 -2.02257 -0.948256 1.2427 -1.53132 -1.62023 -0.250505 -0.952795 -0.602942 1.54625
7	-1.61555 -2.30849 -1.05376 0.91502 -1.301 -0.378362 0.342019 -0.939365 -0.602942 1.03746
8	-1.34067 -2.3496 -1.57331 0.429775 -0.0649232 -1.04843 0.42873 -0.658827 -0.602942 1.06739
9	-1.18871 -1.57798 -1.40052 0.834662 -1.05276 -0.968026 0.298664 -0.403657 -0.602942 1.21703
10	-0.966836 -1.04145 1.38071 0.237979 -0.963187 -2.13842 -0.207149 -0.37232 -0.601112 1.96525
11	-0.930933 -1.25034 -1.01399 0.523189 -1.18583 -1.6649 -0.481734 -0.899075 0.0102169 1.1871
12	-0.736531 -1.03074 0.262376 -0.0496022 -0.819874 -0.869749 -0.799673 -0.878184 1.51108 1.03746
13	-1.21424 -1.15805 0.337228 0.960413 -0.0162993 -0.66426 -0.741866 -0.609584 0.649001 0.349096
14	-1.23629 -1.21404 0.0557232 0.924894 -0.640733 -1.0663 -0.553993 -0.493191 -0.128888 1.12724
15	-1.15697 -0.648297 1.49438 1.09323 -0.0956331 -0.190742 -0.857481 -0.685687 0.799087 0.379024
16	-1.71907 -1.02106 1.6085 1.69513 -1.48014 -1.51302 -0.684059 -0.949811 -0.350357 1.60611
17	-1.30194 -0.629896 1.07262 1.47301 -1.40336 -1.42368 -0.698511 -0.945334 -0.0025954 1.06739
18	-1.48192 -1.23309 -0.434503 1.48168 -1.53132 -1.24499 -0.525089 -0.952795 -0.357679 1.33675
19	-1.99706 -1.86843 -1.41941 2.0589 -1.40336 -0.905486 0.240857 -0.945334 -0.601112 1.45646
20	-2.11437 -2.69629 -1.78139 1.60007 -0.505098 -0.798274 0.298664 -0.799096 -0.602942 1.09732
21	-0.68138 -1.09336 -1.0124 0.309812 -0.981101 -0.708931 0.226405 -0.537957 -0.562675 0.9776
22	-0.785035 -1.19362 -0.454108 0.162741 -1.01437 -1.36114 -0.0915349 -0.824464 -0.602942 1.60611
23	-0.953448 -0.228533 -0.381156 1.4935 -1.1628 -1.34327 -0.510637 -0.894599 -0.19844 1.06739
24	-0.527051 -0.578224 0.318079 0.265195 -0.100751 0.729491 -0.640704 -0.0738758 0.147491 0.139594
25	-0.65193 0.141409 0.405648 1.16726 -0.479506 -0.485574 -0.785222 -0.803573 0.544672 0.349096
26	-0.607531 -0.262821 1.20947 0.657537 0.16796 -0.0209902 -0.655155 -0.434994 -0.460177 0.139594
27	-0.79474 -0.26103 1.28875 0.899319 0.761684 -0.333691 -0.684059 -0.403657 -0.0135774 0.349096
28	-0.988732 -0.566568 1.12268 0.965203 -1.22422 -1.46835 -0.539541 -0.934889 -0.602942 1.1871
29	-0.9315 -0.51889 1.53445 0.912404 -1.2754 -0.628523 -0.45283 -0.845355 -0.602942 0.73817
30	-0.698922 -1.15448 -0.508699 0.145311 -1.53132 -1.38794 -0.207149 -0.952795 -0.602942 1.24696
31	-1.31332 -1.36281 -0.841502 1.26851 -1.37777 -1.09311 0.298664 -0.943842 -0.602942 0.9776
32	-1.54703 -1.9718 -1.54751 1.2481 -0.22615 -0.467705 0.631056 -0.876692 -0.602942 0.857885
33	-1.18238 -1.28509 -1.35802 1.10992 -1.23446 -1.47728 0.313116 -0.885645 -0.602942 1.33675
34	-0.422665 -0.86022 -0.722819 -0.117406 -1.1756 -1.33433 -0.163794 -0.864754 -0.602942 1.45646
35	0.0804941 -0.509555 -0.266143 -0.813395 -1.24469 -1.70064 -0.525089 -0.903552 0.171286 1.06739
36	-0.0628036 -0.437262 0.46139 -0.570173 0.173078 0.35425 -0.684059 -0.246974 0.850336 0.109665
37	-0.310942 -0.582323 -0.0154035 0.00567548 0.405961 1.06006 -0.626252 -0.160425 -0.0520142 -0.249481
38	-0.399864 -0.262488 0.67827 0.308192 0.132132 0.113024 -0.640704 -0.342476 0.112715 0.0797363
39	-0.740862 -0.117494 0.475091 1.01168 -0.538367 -0.834011 -0.669607 -0.869231 -0.187458 0.9776
40	-0.80964 -0.141795 0.783273 0.92273 -1.53132 -1.6649 -0.684059 -0.952795 -0.260671 1.78568
41	-0.875014 -0.580179 0.186035 0.915346 -1.2754 -1.00376 -0.525089 -0.934889 -0.602942 1.09732
42	-0.450739 -0.800104 -1.0833 0.130707 -1.53132 -1.87039 -0.279408 -0.952795 -0.602942 1.27689
43	-0.787928 -1.39229 -1.62755 0.259791 -1.40336 -0.735734 0.197501 -0.945334 -0.601112 1.36667
