1	-0.2819064777451046 -0.2008847572543812 -0.3194425628125376 -0.3145817639949244 -0.2980437721051167 0.3164907476310725 0.3167201890663376 0.2711112986195031 -0.345639701139502 -0.2503434238399205 -0.383074454179384 -0.3644356908312147 -0.3306565846609386 0.3832228264577071 0.370501528916142 0.3002533293717011 -0.9968328168657442 -0.9437195698091992 -1.004365786215915 -1.006048627463139 -1.003193553642313 0.9925872541909466 0.9973172670537731 0.9414133588900715 -0.9945007845229595 -0.9470499713383553 -1.002422125773313 -1.015741937058302 -1.012444475447434 1.003244449996972 1.004664212296701 0.9353882161164604 -0.9823053052279893 -0.9678992732823853 -0.9781320793194418 -0.8787802781388689 -0.8050231941650869 0.9747386317547717 0.9625276948336353 0.7255377061419659 -0.9704854966882726 -0.9595764609469164 -0.9662880664083839 -0.8672225906986154 -0.7594210967701023 0.9602610930339798 0.9440458452601067 0.685677526530689 -1.001548428114079 -0.9663965572885876 -1.020296836785159 -1.010560660832694 -1.003677379915944 0.9810017019450934 0.9882023370707392 0.9434712774199553 -1.005178916562031 -0.9704803247321132 -1.021297998710477 -1.010349220751273 -1.00022506983264 0.9873051515381037 0.9946609779592306 0.9456376846235625 -0.2376829850319026 -0.1666681501421881 -0.2825463714401961 -0.2844922467704233 -0.3038827553827378 0.2967206603881261 0.3026241941479919 0.2907180317600132 -0.291782726035721 -0.2325728646839937 -0.3288498761646583 -0.3246254858410467 -0.3301826200039132 0.3361966139220683 0.3354211715481478 0.3059580105398169 -0.9521848220308649 -0.9070177048459915 -0.9762985957706092 -0.9734968017552498 -0.9613031940462673 0.9328329654607743 0.9429123338625143 0.8888175947625694 -0.9984618965790645 -0.942382809690079 -1.020052899764681 -1.007688843026935 -0.9942405386721972 0.9850000296076694 0.9920264418333857 0.92569096060783 -0.9760103544519872 -0.9629128237077721 -0.9500031548691763 -0.7882459125195531
2	-0.9094221395412515 -1.028493975816106 -0.9007664083254837 -0.8728391416985355 -0.5991596524794689 0.9746100080408499 0.7996780956637553 0.4136735878391859 -0.8761678531239903 -1.0205073239243 -0.9151423505237465 -0.902444905261798 -0.7622454196072765 0.9511899089877307 0.7432954976340617 0.3870751904973005 -0.9705234596779924 -0.8647737030718637 -0.9972069146111748 -1.123881870534521 -1.146128980053094 0.9850825085335704 0.9821238538075732 0.9164431463713054 -0.9778715465307896 -0.8719940055018213 -1.002767970105175 -1.138800307927911 -1.160759210547922 0.9972331938101408 0.9882758832641293 0.9020112554988451 -1.32235379573173 -1.256781514602985 -1.373043275967916 -1.502684877894952 -1.438564596006647 1.32568122389625 1.303021604307638 0.9735099156030554 -1.304074467398385 -1.25372490138596 -1.374575093916106 -1.502364153359015 -1.387819393053427 1.302943464893682 1.269373259363851 0.909684776033523 -1.122915781602527 -1.040431318882016 -1.123084487611731 -1.221021551826332 -1.235125192838614 1.108980605957353 1.098628565204306 1.020841734340187 -1.112046177265823 -1.037133495108711 -1.117027582391125 -1.227597766320395 -1.242920527828566 1.102030454237318 1.092605693987067 0.9917353025187112 -0.8905767913263773 -0.9676643022085077 -0.9090097353757375 -0.8891808757425083 -0.7971046180771979 0.9906369991162203 0.8716049327621638 0.5572860318092183 -0.9393089522261986 -1.01861913640973 -0.9388616438080269 -0.9086497673484966 -0.7866957018626705 1.017021362569468 0.9069423075712668 0.586172360501601 -0.901793205929417 -0.7960082426483847 -0.9340469451753237 -1.031935788200428 -1.019746451132223 0.915490178300567 0.9123595781791394 0.8143007536009469 -1.034580646235915 -0.9185967392638827 -1.084014644199502 -1.18846856243259 -1.180110945288618 1.047419958820132 1.048867860520022 0.9336815014585207 -1.378720470017333 -1.327400111460548 -1.441730798004139 -1.493407851705353
3	1.825659969318028 1.659872507517801 1.809914970188169 1.799488908204602 1.569233625198776 -1.828046672138995 -1.754610242658467 -1.348319397776691 1.736881216868135 1.587613695956414 1.746475175831635 1.797398561493013 1.602117224173894 -1.74123723387545 -1.655245812657693 -1.279025726405761 0.03968667806170661 -0.1094682063527641 0.0305809696263219 0.2337106946376586 0.3036685053517946 -0.2340850117547772 -0.2395496582931827 -0.2323437267605655 0.007657747008050204 -0.1334360740040928 -0.01148267774365145 0.1893183497810661 0.2579692058023715 -0.190287012558796 -0.1956926169599569 -0.2208329410218441 0.420519494042552 0.3125103743339949 0.4759233332357489 0.8879443835242524 0.8967324744829125 -0.3883311548531479 -0.3364408212336086 -0.3260212377120238 0.3573143915309561 0.2428875569356899 0.468867051439124 0.944013521052386 0.9361213985374149 -0.3356432715170659 -0.3032978400510721 -0.2809050024924134 0.4384446651353076 0.2298371484654196 0.3624818640236119 0.4761059645577113 0.5384099666072328 -0.5739592873460604 -0.5525237991951482 -0.6032389452860744 0.3805502835447859 0.1801946162344866 0.3172323743419269 0.4518856117542166 0.5281018216999593 -0.5284486444844158 -0.5077111166062487 -0.5406198152753493 1.828662322738464 1.687211617595857 1.835688337683587 1.828707133675963 1.74632277551177 -1.825318270656525 -1.816350111309036 -1.519530236158054 1.818555014395881 1.675110980917168 1.811253331679782 1.79914559647143 1.700495260710957 -1.80316878373275 -1.796216613669871 -1.528629827287171 0.2425962895701475 0.03102873496618712 0.2025805580834382 0.3255335038652049 0.4262422867162842 -0.3907749097912224 -0.3923315932522964 -0.4874706989300565 0.2523057582190513 0.04546227380708288 0.2408418606099185 0.4275278627819995 0.5017849893744872 -0.4358703660062669 -0.443878027252042 -0.486430692007256 0.4814474648138948 0.3744881399556186 0.6076343387657885 1.049941478714685
4	-0.8418719764888727 -1.054961294338448 -0.8003650963937465 -0.7708221369270196 -0.4569158350167338 0.8917447880705031 0.6812541941260423 0.2580071336907105 -0.7497177200913441 -1.004995508036309 -0.7654931745077987 -0.7650880962169787 -0.6262436139801392 0.8089420914008694 0.5695888486866808 0.2024512782753503 -0.3413375614111888 -0.2596319505446228 -0.3673820847047832 -0.5165246900252378 -0.5449415000565712 0.3601854367252302 0.3526137853505951 0.3199467842414611 -0.3525203831847417 -0.2658539022125225 -0.376201234986862 -0.526980177255495 -0.555432501321321 0.3664909176348355 0.3544343965551122 0.3076752498825194 -0.7736827796463732 -0.7077788847554912 -0.8376974844057301 -1.072085942055341 -1.055976065947414 0.7843711593495313 0.7677861225192923 0.5674178145919322 -0.762190977058229 -0.7118257810956499 -0.8494864572743883 -1.080666793999922 -1.032221182752404 0.7695876030346834 0.7429385364577885 0.52407775025409 -0.5167246191060246 -0.4488430358605801 -0.5022065321223501 -0.6272053257759284 -0.6492341882337407 0.5154303886114646 0.4971907930177162 0.4399384496891015 -0.5012555312227674 -0.442040354934092 -0.4945881216638525 -0.6356006926268022 -0.6616368391531982 0.5023236312348163 0.4850660376042145 0.4037299268842326 -0.8558975713382289 -1.009697579296682 -0.8407250309238753 -0.8152519822693335 -0.6889289828402478 0.9275769911640734 0.7790888847818548 0.4130469174386703 -0.8698095383502203 -1.016490138842948 -0.8385028784080627 -0.8056921121336715 -0.65500763142464 0.926825426300273 0.7946797235245832 0.4351241768425163 -0.2931790148182299 -0.205542608709485 -0.312505978693002 -0.4315665416605091 -0.4258317371885146 0.3240967206153004 0.3119105852696717 0.2374659721510302 -0.4148312782214726 -0.3239114503588709 -0.4566637263442091 -0.5908668089666154 -0.5911088573803204 0.439400127144907 0.4352065623460298 0.3508873636363173 -0.8462519345876118 -0.7964496633401031 -0.9424887235802127 -1.134358438036727
5	1.204809192335994 1.137736563666682 1.173404366450781 1.166732831464631 0.9943455054149817 -1.19265129972765 -1.129016977279833 -0.839827722317218 1.106329041449847 1.060103691459661 1.096054976209058 1.141055022398447 1.01125947411831 -1.094640073534906 -1.026738056514932 -0.7737248364442164 -0.43081821891723 -0.5155434297406764 -0.4394610404768974 -0.2881649659175541 -0.2356642278989444 0.2899736696892942 0.2887793036216173 0.2688854782517073 -0.4517924111167342 -0.5337873695508072 -0.4678624236629447 -0.3237025983811578 -0.2719143147174938 0.3257780624383637 0.3232841904392136 0.2748264565099918 -0.1303670833066981 -0.2036116531913767 -0.08560957587741221 0.2667919322415077 0.3074773838095043 0.1489734412342541 0.1808058180595848 0.085578760670548 -0.1701287103946833 -0.2487501521636851 -0.08429400755448356 0.3125366449821385 0.3559466397966047 0.1801870189932794 0.1967969107021932 0.1008224650327404 -0.1408894800859617 -0.2756039208034315 -0.2045027139219225 -0.112490950508984 -0.06383342067041535 0.03506838454063329 0.05470512405281597 0.0004516521938527671 -0.1845056812575523 -0.3131161803544953 -0.2374690090716421 -0.1290985588696479 -0.06880944390557331 0.07105915884357004 0.09022202032690896 0.04784582741840078 1.228888037434763 1.171038261110403 1.211547885792016 1.204278936968925 1.129711554102972 -1.202142229640168 -1.184862706410758 -0.9602353930704149 1.1965650390126 1.131258898516475 1.171925284830707 1.163578802163506 1.082781732436695 -1.167490591265242 -1.155730569565658 -0.9605873903908794 -0.2682383823825361 -0.4013297239013839 -0.307098826612241 -0.212120886009364 -0.1352128490301341 0.152257829299156 0.1566475900542387 0.06735925699107842 -0.2768947176586686 -0.4015891690450084 -0.2930830691847621 -0.1475267212966088 -0.08843981879970877 0.1390015930351964 0.1369208044399743 0.07957812064626149 -0.08021144034379693 -0.152461022190821 0.02693141312390829 0.4283774793896506
6	-0.7606296524365255 -0.9687290517551496 -0.7110521957026242 -0.685475695438703 -0.397043096645294 0.794973282170122 0.6021071284017969 0.2156002345006085 -0.653896197356732 -0.9050989997282007 -0.6570819092067303 -0.6649490928118753 -0.540849984156906 0.6958226581636305 0.4803638544066084 0.1533164324523857 -0.003383150547693143 0.06116115934013609 -0.02402988562029022 -0.1676031987223991 -0.1974795985874295 0.03124972832472733 0.02326728743759423 0.01067722278405438 -0.01256058445030979 0.05777697184358072 -0.03046722206611687 -0.1718313239542942 -0.2018104084712268 0.03148262725173558 0.02048082919403379 0.0009247012408877153 -0.4152248763232907 -0.3550628657360738 -0.4767744338671583 -0.7382473538840537 -0.7467970061997967 0.4255534397098639 0.4118192861545089 0.3038305147968905 -0.4053875734171623 -0.3578005200466703 -0.4906469644399822 -0.752275745801573 -0.7413682604212128 0.4140929499576947 0.3935092530212059 0.2748572110816112 -0.1793016007347511 -0.1187341598951501 -0.1567498568879312 -0.2776906557396764 -0.302681230993085 0.1911438932825884 0.1714855499883758 0.1362482963587247 -0.1614207339039205 -0.1089112812508783 -0.1473556972268543 -0.2841003479384029 -0.3143738257530059 0.1751805852572901 0.1563917586201579 0.09994424443010119 -0.7869280918021144 -0.9398870989902821 -0.7598996433426973 -0.736066345885722 -0.6125257256485248 0.833094498840963 0.6974023565871003 0.35740211567199 -0.782358933019871 -0.925205478904373 -0.742509789966509 -0.7137184332015497 -0.5717167103713197 0.8192306607099424 0.7003703214548446 0.3730247029233337 0.01616926303508055 0.09156845501509339 0.008168915997601918 -0.1057735232659405 -0.1093428177925515 0.02488173049153992 0.01092040256919773 -0.03469842495113289 -0.07946060987092197 -0.004687041877570779 -0.1098725152700104 -0.2435084228638682 -0.2515230297466226 0.1147547195662165 0.1092305883167946 0.05588264556960391 -0.4853854270031359 -0.4393444407650056 -0.586085081410408 -0.829962968766962
7	0.2154452647467201 0.2374342838130176 0.1817491171656266 0.1834035284770047 0.1431355120234645 -0.1876331334113304 -0.1715388482648083 -0.1123208466227191 0.1431157424344572 0.1802413558732749 0.1151553019838317 0.1427760247423226 0.1231752545780396 -0.1132740410856663 -0.1048190249483938 -0.07229236051336012 -0.7970825092003405 -0.7903059880914849 -0.8056843817569973 -0.7583896082280555 -0.7390876049063253 0.7457733755244976 0.7481517402577841 0.7045371126534106 -0.8032466103113762 -0.7989854879222389 -0.8146184678578963 -0.7772942900298353 -0.7579595092682476 0.7652632154910276 0.7649407178900788 0.702398038667288 -0.6958024572018527 -0.7102067188831852 -0.6794204050678971 -0.4999514243535706 -0.4381718135476451 0.6977826593859836 0.700601949223605 0.5100662189410574 -0.7017905795810809 -0.7207669408409176 -0.6717486020126043 -0.4768599839688901 -0.3914272483112655 0.6989921566819715 0.693641866169792 0.4886432818311479 -0.7041184837159383 -0.7266707192999422 -0.7378617680261653 -0.7032486094580817 -0.682525603534093 0.6540246433834087 0.6649339625122114 0.6157301698722082 -0.7211999116971457 -0.7421689929658997 -0.7497806057077191 -0.7091598896055865 -0.6824267920565199 0.6702217684205019 0.6810940090763101 0.6325782523325254 0.2516725048531131 0.272254292991763 0.2174227589768796 0.2144009508545714 0.179750691464215 -0.2025044945563483 -0.1971213090239498 -0.1372133669068643 0.2054298423938762 0.2160825184558519 0.174090878142153 0.1748515084566879 0.1475854454666467 -0.1652238192526446 -0.1655459582713565 -0.1269474169685984 -0.7103933371509125 -0.7253957736613388 -0.7399303621335546 -0.7085334228769262 -0.6737330974842286 0.6584749341875067 0.6660810314530864 0.598158104705063 -0.7465856876858158 -0.7515914978375671 -0.7672680854804104 -0.7125620709650952 -0.6833584215359766 0.6905915275641816 0.6942274479979418 0.6293439595263162 -0.6764359153569173 -0.6918075311183423 -0.62529548167599 -0.3875925740435637
8	-0.8513402974692069 -0.9580233103109356 -0.8392322872151259 -0.8145898086201698 -0.5646597507973076 0.9056008980974638 0.747802262333337 0.3941823087775062 -0.8118027933384901 -0.9429649952416135 -0.8428847032101687 -0.8356440427130178 -0.7069785298562243 0.8745402298297147 0.6883762557784971 0.3648401262014543 -0.7592089585181244 -0.6648804697298029 -0.7816736392772781 -0.901949864475136 -0.9248086752949617 0.7805492122473268 0.7776788719239723 0.7249419758306604 -0.7646217676921548 -0.669939929073044 -0.7850517584563795 -0.9123307986251596 -0.9349254645149474 0.788408802681115 0.7805649174718327 0.7123103229097114 -1.087636548738684 -1.026628840674288 -1.135187084659748 -1.276948547290779 -1.228060543151638 1.090016222312433 1.069064528834818 0.8011514686897729 -1.070052491880693 -1.021891248389844 -1.13744985851493 -1.280151679604065 -1.189417266978325 1.069191966990889 1.03980196226616 0.7468651335047476 -0.9100096956030445 -0.8319861762231868 -0.9051220558020617 -0.9974355764023304 -1.013182498257312 0.9053623082442289 0.8945903566138531 0.8324063415708267 -0.8976350947651978 -0.82660445671738 -0.8977933455128483 -1.002273494148058 -1.020001781095059 0.8966957643467339 0.8867571892634247 0.8038528450154984 -0.8392720721230049 -0.9088087984844374 -0.8513250284175234 -0.8332993421150665 -0.7464832964786318 0.9216671993650462 0.8154054767313863 0.5263074237531893 -0.8764839937628947 -0.9467091569011683 -0.872033317561987 -0.8452359975107535 -0.7327193217921903 0.9400939342388536 0.8425114565690328 0.5506924973233837 -0.7113158295985033 -0.6135729677607435 -0.7357518751486992 -0.8277060112397239 -0.8223191145004485 0.7315135290094232 0.7277879671923849 0.6504552962844968 -0.8244922423840504 -0.7190276915855698 -0.865560695540996 -0.9669235957817105 -0.9639603404139541 0.8447968664497451 0.8456970183239578 0.7522804852135723 -1.140652092487398 -1.092162231967589 -1.20423671160036 -1.284602573376365
9	0.7481935869058702 0.7287977035212805 0.7152644321183166 0.7117998026144756 0.5954804481343335 -0.7303228437604073 -0.6844132136046484 -0.4957459715389905 0.6612487005781013 0.6607543497926732 0.6434240114242716 0.679571978425356 0.5994058663400281 -0.6429255056038647 -0.5975763567634552 -0.4414696257348106 -0.5827415262222786 -0.6258324772940604 -0.5905420136687467 -0.4861630434618509 -0.4492053573173495 0.485271283195278 0.485936733369826 0.4563228047024585 -0.5962209029548985 -0.6391739695548991 -0.6092257407699755 -0.5131132854561944 -0.4765107245434917 0.5127354266402817 0.5115944163754751 0.4587445889351578 -0.3686097183618444 -0.4150709851655455 -0.3361248562882672 -0.06396411279754437 -0.0147349587240012 0.3789418352814108 0.3972432285181711 0.2650041095571535 -0.392371032656318 -0.4433432077628253 -0.3316074536773933 -0.02928521666764477 0.03143175131557442 0.3961338832906611 0.403000144342658 0.2641826748772041 -0.3844532329833176 -0.4667362884717399 -0.4334953593937969 -0.366450754239985 -0.331003147263909 0.3062985304685804 0.3220141802220474 0.2725538327858081 -0.4154312921617921 -0.4935854904174105 -0.4563491909480488 -0.3776100265798941 -0.3332343328272789 0.3328372474846022 0.3482640119867038 0.3059197282461129 0.7777732842138314 0.7610262022445429 0.7525851449042594 0.7467597011449039 0.6887511870369715 -0.7430250761846711 -0.7277700703851679 -0.5738701938268852 0.7399980499725458 0.7146141830186582 0.7119375267552915 0.7071057953038973 0.6486327545162121 -0.7077904346585289 -0.6984530128786908 -0.5698880689953535 -0.4593627380542782 -0.5378263975167111 -0.4927137945075685 -0.4257559439675035 -0.3698167509976337 0.3742568285432345 0.3803554342532843 0.304463461011881 -0.477443013308973 -0.5470133783384195 -0.4943348838903985 -0.3899132053581545 -0.3456820524911532 0.3792075632254637 0.379904406067239 0.3223035759275031 -0.3317212773751564 -0.3777002595699451 -0.249916374984588 0.07352378569547727
10	-0.5622985785563743 -0.4571261641549823 -0.5496505480008359 -0.5544554636959095 -0.5311744487434623 0.5354114379891183 0.5552528773084539 0.4861105502587504 -0.5157828393873541 -0.4135758647111462 -0.5004143952455968 -0.5337681662275233 -0.4882503154303166 0.4860923237538434 0.5129353520125153 0.454167935097934 0.4954307389957834 0.5251196830581354 0.5101460807377504 0.4498478857232538 0.4214664000662667 -0.4020068440554907 -0.3992683817575566 -0.3703329946365145 0.5133673985327605 0.5401231903932135 0.5326040938356867 0.4788480941069518 0.4509380932268245 -0.430007948703474 -0.4246891712852807 -0.370205380920857 0.4158337884734766 0.4457480990022816 0.4036782153365871 0.2194272020043246 0.1793921422711954 -0.4314926017181677 -0.4476602353396542 -0.2983871980994421 0.4391606656304923 0.4779205061372303 0.4053162592475284 0.1889338455292018 0.1340532083815086 -0.4475768574638134 -0.4496236145261677 -0.2922598806511902 0.3461739397346656 0.4167697518317011 0.3880237324613355 0.3609085002847408 0.33290805581383 -0.2697032462410821 -0.2785308287718362 -0.2189445461091125 0.3723586692202475 0.4413679844310214 0.4089085082754774 0.3751154071470331 0.3398939856613564 -0.2914990177320531 -0.3003088502292807 -0.2412938704700146 -0.5788227107320113 -0.49740356896709 -0.5673214482069419 -0.5698553041346573 -0.5545282549447131 0.532844871523409 0.565704711310988 0.5213366633547961 -0.5470746642155723 -0.4615572392996633 -0.5360888395324812 -0.540663518305301 -0.5296603153407169 0.5052558278709387 0.5375730358535032 0.5134638820373518 0.3626319218381782 0.4251449506556352 0.3979632668204813 0.3675627775321966 0.310759830139303 -0.2890112362542394 -0.28925174093083 -0.1989826204460609 0.4100995329838573 0.4647454379318622 0.4361964205316348 0.374099256769053 0.3315208043954493 -0.319681286126149 -0.3175601352856204 -0.245592083168084 0.4023239294511999 0.4365911166943562 0.3543319406701243 0.117095204602797
