1	-0.5451431085028147 -0.8264692685379185 -0.5997653895935688 -0.5562072544734135 -0.7803007915757539 -0.5654349447948244 0.6978295781815667 0.7271068981243168 -0.7952143556665801 -0.6499461382488051
2	-0.903458115341054 -0.908084450657376 -0.8438381938710892 -0.9571372624487314 -0.8502824270470334 0.2394838604663765 0.03285185878705674 -0.0298767924553733 -0.8547712442144275 -0.8943763365700559
3	-0.9268246967253375 -0.9451137401894231 -0.8810501944961301 -0.9849846132173903 -0.8831763230937312 0.02303648771152038 -0.2301116707700984 -0.1902622308834021 -0.8864273235132631 -0.9342539276044417
4	-0.9280041336685148 -0.951030972777886 -0.8890889494976842 -0.9879015172839055 -0.8877982950270799 -0.08117789243258394 -0.3644249951554576 -0.2739043635915278 -0.8903053249561287 -0.9428903391861604
5	-0.9434675606192331 -0.9385301742618997 -0.8919289087878378 -1.005497747997772 -0.8759175438031189 0.03690712638931629 -0.3650655117571611 -0.3051846660233749 -0.8777126007807353 -0.9445225739289232
6	-0.9234380538326408 -0.9515699122755312 -0.8749973744893466 -0.9783494380437383 -0.8906105164956131 0.1014419407964612 -0.04147769280626762 -0.05505118394917466 -0.8953578121149052 -0.9284857768510184
7	-0.9252921408826582 -0.9697854609897439 -0.8801604234232491 -0.978352076218148 -0.9084040042163526 0.09258444333072116 0.04939619020687164 0.02228852342459711 -0.9142116934357906 -0.9348392972002648
8	-0.9434376074602256 -0.9675356193180022 -0.8980137622179896 -1.001990372819739 -0.9043822957755392 0.01995636752319862 -0.2043649810429232 -0.1681019620372448 -0.9080402036572831 -0.9525361929615677
9	-0.929241555601955 -0.971898674875702 -0.8889267197905824 -0.98481445032308 -0.9092578639100433 0.001044720566444246 -0.1085074122663836 -0.08412077245286835 -0.9139964363946792 -0.9439029100861257
10	-0.9234946670410935 -1.002765948327399 -0.8863078064093831 -0.9724726268385612 -0.9407536978841148 0.06320093200980199 0.2282856611439192 0.1776226812906682 -0.9486953888344645 -0.9432173344967879
11	-0.9290462780198769 -0.9919863609223578 -0.8876674171435457 -0.9801689533536387 -0.9299972957386514 0.08075302257732478 0.1482512131677723 0.1070050601862691 -0.9369845320995859 -0.9437858784488267
12	-0.9527845935451154 -0.9820784254598685 -0.9040376714572163 -1.009851432143201 -0.918952653882908 0.08435184188988744 -0.07311311416534202 -0.07652046365814379 -0.9236593482636833 -0.9592867317458863
13	-0.9462872873082961 -0.9818893653429137 -0.9027855550335527 -1.003517970673335 -0.9183977988767356 0.0192953457564614 -0.1323289533631755 -0.1084475053877406 -0.9228617993462925 -0.9582199951073936
14	-0.9354322402257781 -0.9838849635499024 -0.9009350727138051 -0.9925677748128524 -0.9197857629153823 -0.08654311838853003 -0.2118415448912289 -0.1465026439237809 -0.9240360826549092 -0.9568239453401235
15	-0.9075090200110569 -0.97591106964878 -0.8721854380224737 -0.9579863298653585 -0.9145367168039049 0.01250911129549414 0.0847836863779441 0.07230834962213011 -0.9211608027283884 -0.9275960735465284
16	-0.8802492738086822 -0.9741279176655195 -0.8431749415217603 -0.9226782078956632 -0.9157218894177047 0.1435178481766987 0.4672275366879965 0.3536170508686667 -0.9254398085233801 -0.8984370400384084
17	-0.736144081847603 -0.6830668447236019 -0.6600276677604835 -0.7808327616900489 -0.6399967298303432 0.4950066720063888 0.1328872990699023 -0.01507907247943794 -0.64276758013388 -0.6968580895317941
18	-0.8212068937716445 -0.8753634196373632 -0.7983148961123412 -0.8718344375055046 -0.8179322393357709 -0.1674838431002817 -0.2553246635819522 -0.1619567339929583 -0.8215320852428183 -0.8483325212619351
19	-0.9074258907838199 -0.9894511228092768 -0.8613641338082701 -0.9511494542108567 -0.9304196756168709 0.2377011641213071 0.5280190850313752 0.3793634971041165 -0.9403310765400295 -0.9171785043396562
20	-0.8250477281890468 -0.8943772954181144 -0.8001257018303757 -0.8722220661595349 -0.8373630578260697 -0.0902293228133631 -0.03709715857432413 -0.001971687431026045 -0.8428349628135462 -0.8511841658587211
21	-0.8287235858149732 -0.8431467733160435 -0.8091720264623447 -0.8891493281384916 -0.7836527843471139 -0.3514279973004925 -0.8051182059381842 -0.5677026134282398 -0.7825731459305924 -0.8574120252275783
22	-0.7791551408238714 -0.8019117051087977 -0.7479713925051686 -0.8293245066180196 -0.7486109585653107 -0.08332531853682935 -0.3078042023531646 -0.2275208093947248 -0.7507991717137834 -0.7933988915481561
23	-0.6578865765070645 -0.825152378379333 -0.6350139653532137 -0.6721059331745615 -0.782657924574395 0.3179351921488811 1.308367494046348 1.001028806642644 -0.7989186086902265 -0.6822017236753497
24	-0.6960151912480955 -0.8141978855706646 -0.6629080220263101 -0.7193974253717078 -0.7696790980256697 0.3112992052024338 0.9652386569341839 0.7197514451528759 -0.7824964190582244 -0.7090494037479872
25	-0.9201388105853937 -0.9427016495478424 -0.8714077427999032 -0.9757672260637532 -0.8819312561171512 0.09248840999574687 -0.09018308067026562 -0.09293789008333095 -0.8861887536659978 -0.9243666000824301
26	-0.9303460733012109 -0.9318231988993635 -0.8816860947303993 -0.9910644831901947 -0.8698054964612949 0.01854361007665959 -0.3471848717061007 -0.2857083649392124 -0.871836308744574 -0.9340003869210102
27	-0.9316742888073284 -0.9302153175928993 -0.8802337936406042 -0.9920443315494304 -0.8685624649980423 0.05612752110995289 -0.307397055199895 -0.2626740468619519 -0.8707786824186611 -0.9323509644832678
28	-0.9137425727759787 -0.9707870528217289 -0.8706110530337434 -0.9640740819520686 -0.9101786738317865 0.1064337151821633 0.1570565401611645 0.1074709772771128 -0.9169893128934568 -0.9254304909249448
29	-0.9174735090736005 -0.969524443358559 -0.8751742343327042 -0.9694290120744036 -0.9083646943429373 0.07379741415192607 0.07178765523512995 0.04563170590914964 -0.9144938942929143 -0.9299470764084649
30	-0.9246464624049328 -0.9541290402707634 -0.8665751779735609 -0.9757711635555799 -0.8949399390307614 0.2694278593168298 0.2317528629605899 0.1266201749644728 -0.9015232235742223 -0.9198612298064027
31	-0.9158760749261373 -0.9622709023623397 -0.8636906505842369 -0.9651030122421637 -0.9029952173141946 0.2274522456372102 0.2783432153715811 0.1759906166843173 -0.91031492403577 -0.9176769792976573
32	-0.863196623921556 -0.797368625913018 -0.7831697140256283 -0.9197813122654898 -0.7450310385200057 0.4115422998438669 -0.133804434903919 -0.2126420474049476 -0.7462797248168642 -0.8264828477842174
33	-0.9179529013414433 -0.9312616342812365 -0.8702884133998937 -0.9756362947045588 -0.870257606991536 0.04817102842375317 -0.2189279648356953 -0.1876507322082238 -0.8734026088541119 -0.9226152824020356
34	-0.9367607113312884 -0.9900636233499761 -0.8924352832087906 -0.9893495697534858 -0.9278380591798169 0.09530076896632454 0.1057911678854128 0.06820245170036597 -0.9343137162422859 -0.9483272949997151
35	-0.9029351057594887 -0.9806304141854848 -0.8640609234071407 -0.9498394174544963 -0.9204817562744109 0.105448863979124 0.2932918816749414 0.2201211071176406 -0.9287117947223205 -0.9196226811595135
