1	1.759929487490515 0.4676901525262852 0.4903362317286952 1.9154789575996 -1.050498728171232 1.596235095365455 0.8910136052418307 1.234844398900523 0.8368031676341362 0.7753883641872865 1.700157714390147 -0.7800698473586717 -0.1463640803224492 1.904360076341633 1.44947861709502 1.266178424426891 1.863278475836921 1.790572062451128 1.387743341103503 0.3810720379977752
2	1.559188396784198 0.3912420368679607 0.4366493445785551 1.695449590303328 -0.9595382041878407 1.384826759690463 0.7996274419347128 1.056464987289002 0.6985711501531916 0.6503310629801989 1.482906305839253 -0.7599520069615304 -0.1960565210952969 1.681394752784034 1.252712252075324 1.080008223147706 1.647126308864011 1.577150397554647 1.197077595911195 0.2782043353215001
3	1.198098676398503 0.207990331347846 0.3909749017329192 1.284351382912619 -1.076756301995528 0.9416749952731506 0.6518082751872394 0.6528792541652761 0.3658581269308435 0.3570183922963522 1.043473601209929 -0.8503343361863991 -0.4112929450680864 1.256541468271415 0.8271689802094626 0.6594806283319872 1.245069640374052 1.171025688689913 0.7838969168167342 -0.01871893317813797
4	0.1811845913508181 -0.2150651272958673 0.1894353123440568 0.1496742480862917 -0.9830616786038925 -0.1816240643114349 0.1993751135548275 -0.3210186055653135 -0.3997449295465271 -0.3272618805004548 -0.09675751952248222 -0.84102021846771 -0.7578103401459487 0.1002623925913499 -0.2318016509987401 -0.3526035675827541 0.1357218601604982 0.06982398672858178 -0.2409401564032507 -0.6235976540443566
5	-0.253162370909726 -0.333180248794275 0.1353545107150458 -0.3408252893578518 -1.048188002513232 -0.5858614964876193 -0.02466732396010696 -0.6422250229196185 -0.6103281717934914 -0.5169650337168428 -0.5225994224293073 -0.6425182760159753 -0.7214073143045748 -0.3881985292278566 -0.6066323853345151 -0.6742553438132114 -0.3332689109188454 -0.3789530697058996 -0.5959774681539619 -0.716358028490545
6	-0.191457543579663 -0.2724501868876435 0.1040977454435759 -0.2590574432448493 -0.8170705774016297 -0.4690454750796962 -0.00955389436116316 -0.5189128220967696 -0.4994968831231278 -0.4234399654442212 -0.4158875966342394 -0.5470027046028768 -0.6044501756077902 -0.2986098951536539 -0.4865879159489138 -0.5469034768403862 -0.2552174554822479 -0.2947084473700273 -0.4793818366859025 -0.5944406663780077
7	0.055029906754958 -0.1841969789568675 0.09392381267050159 0.03095016499551463 -0.5667526036888973 -0.2086911183957762 0.1112813201503227 -0.2951220033735745 -0.341222608694224 -0.2855957270607171 -0.1507407874685756 -0.6045392108823447 -0.5687817517160455 -0.005771121399185159 -0.2371718382680027 -0.3235134546389912 0.01933101385149212 -0.02821891807288011 -0.2430500223611875 -0.4920031054976025
8	-0.2781561355945533 -0.3159892637853143 0.03410460622455213 -0.3421772598000833 -0.5606418891895839 -0.5687822685784105 -0.04053001977888671 -0.6043814242351899 -0.5793439631440165 -0.4983771724493618 -0.517809015728487 -0.5797179188377072 -0.6618938205350897 -0.3847575686546605 -0.5762444256843819 -0.6432374755513881 -0.3439698242007772 -0.3869078910766442 -0.5701798831959228 -0.671807719877921
9	-0.5277791272605964 -0.3493809299116417 0.04455269882361536 -0.6335985358132419 -0.7710593218663397 -0.7619273677336134 -0.1881745253277404 -0.741081575775086 -0.6358746961829841 -0.5487501809164578 -0.730093213288857 -0.3534133156823446 -0.5364699622952961 -0.6688760447491491 -0.7537790082684604 -0.7686624934114501 -0.6139605536707403 -0.6350133770426364 -0.7317929555567465 -0.630913345787058
10	-0.01343976632067883 -0.1364151151749628 0.05914587992252786 -0.03670356483832945 -0.3986837027405467 -0.1860468958105505 0.04810352421063748 -0.2342966638660138 -0.2517199966489986 -0.2120213573657457 -0.1497712574938556 -0.3794935181384302 -0.3746130321111929 -0.06095556800295807 -0.2019121937552709 -0.2529496300368537 -0.04159738019243389 -0.0708398165257014 -0.2033520465528056 -0.3383297583357366
11	0.526692824190833 0.07144620852685388 -0.1698051962109557 0.6538946345977865 1.156212138304143 0.4240095480749846 0.3228993497179029 0.3167940129150048 0.1190753468251375 0.09473395653221135 0.4567290707077618 -0.5055453791670675 -0.2795325160450411 0.6391447457192732 0.4057093578222514 0.2759565560169451 0.5891264467882608 0.5367263526410523 0.3618200292399293 -0.1019072522572234
12	1.339452718629932 0.284791081531701 0.1330346849057017 1.518232628449536 0.30116589250073 1.149969649163376 0.7294602937727346 0.8689776741326699 0.501682533126851 0.4553994849598252 1.235187471103239 -0.8576753913399483 -0.3455658023643718 1.497620677330795 1.056154557559562 0.8510120935004752 1.4392469525972 1.355966103966134 0.9889770012802501 0.07665610986742614
13	1.397076415502746 0.2843601137044526 0.2402240443477034 1.556263945907945 -0.1843561855603571 1.1730016353498 0.7584452486545539 0.867597976295709 0.501160484312111 0.4637973142420761 1.270211903693242 -0.9113262850756256 -0.3848333490455212 1.53213258885919 1.064124380545209 0.8582393564658664 1.486071792688746 1.400540874029401 1.000556417813518 0.05967809901005578
14	0.77073548750349 -0.02057785851678855 0.2511957816263061 0.8199256224580512 -0.8118744712098969 0.411306140999907 0.4889896012502437 0.1719769481466178 -0.0507550335046345 -0.01636263501037197 0.5161902524872425 -1.010365893614474 -0.710041584709693 0.7739913054891159 0.3251364411551007 0.1462608885518223 0.778742499827823 0.6932699901499159 0.2899404517832278 -0.4108664940048961
15	0.473112561078929 -0.05627934516404891 -0.003841482070135624 0.5431825392587007 0.2284485413811356 0.2137782970954668 0.3325043408443649 0.06405955242233544 -0.114228554882569 -0.09364128361515958 0.2813789963436097 -0.7843795236567329 -0.5807797926579544 0.5075685040794369 0.1729072592145263 0.02137426225254354 0.4923957288677504 0.4223182044492572 0.1381658399675632 -0.3844059544415221
16	0.444453002573175 -0.09580319577945011 -0.07854404880613226 0.5282665677969698 0.5418482431461171 0.154461198829772 0.3377304042639299 0.004764019557725583 -0.1879104946132431 -0.1630424530354157 0.2251699139085747 -0.881440150670163 -0.6784748628874133 0.4872531227767115 0.1199610485206895 -0.05240089313303538 0.4661758124437992 0.3865444765164288 0.08003847587089065 -0.4812450242150143
17	0.4413780870546874 -0.09734838512698601 0.1990877009361063 0.4514447513467447 -0.7978086006851637 0.122044124962844 0.3142176998222285 -0.04901776898873473 -0.1868786263832922 -0.1408099211216445 0.20672297586208 -0.8237820750934974 -0.6468575239071892 0.4094164740138675 0.06030567906848413 -0.0738864800785092 0.4264103481659413 0.3589146369939131 0.03994978258942734 -0.4495216290411422
18	0.8922189283329398 0.1943317522635579 0.02093406782546698 1.029346259081846 0.5301154591798205 0.7788145159760579 0.4892251894553939 0.5985349475409253 0.341821736254491 0.3047090546420804 0.8310024266166276 -0.571620488963145 -0.2249563007631375 1.016676893646558 0.7233674158719132 0.5795689584827058 0.9682075133513571 0.9109062958800997 0.6741025317712704 0.05469368954497167
19	1.459228426996136 0.5013899284148654 0.01083476153027891 1.697258826505957 1.123242266126431 1.50743950604153 0.7191792296757343 1.278117243703649 0.8989168625745794 0.7887788027245073 1.544756176822132 -0.3889499648025441 0.158886268724661 1.709960394604528 1.433970800179337 1.279950156345805 1.613024399164613 1.563260224513349 1.360483430865965 0.5607386998250624
20	1.941931702530437 0.6356305735857223 0.4231097391518245 2.149611424493428 -0.4977694524352626 1.924122783548362 0.9386412630773427 1.576061620551224 1.14331935586069 1.035638874689448 2.002350517040357 -0.5266684649518952 0.1693318758277504 2.159447334864806 1.783520492967431 1.620055400829659 2.088619903759433 2.032532220795909 1.71282864447083 0.7148500958695536
21	2.116583624784103 0.7062171934198619 0.331317362885724 2.377739948129741 0.09316475213204299 2.127467478884848 1.027395073747515 1.762897518730068 1.269225146328969 1.138627482755832 2.202793093201266 -0.5610298647740469 0.2076787632180626 2.391318953333479 1.9881017182414 1.798299873343347 2.295372694394187 2.231846604321503 1.902600986966848 0.7978290255090443
22	1.926409880379605 0.5630215636613016 -0.01598167321879709 2.244547413390899 1.551342264680144 1.868581916185005 0.9964733171570523 1.533887938637212 1.003018212381888 0.8810345871711067 1.941574328252664 -0.8166032005107715 -0.07921160329455923 2.243448278627735 1.766542776747689 1.513604390050221 2.119150101980887 2.02789750483489 1.662708202006595 0.4810812996049103
23	1.75402098951171 0.4426316141458546 0.1392434153503656 2.000236196538784 0.6172460571041574 1.597308782382626 0.9265829049863961 1.256264107218566 0.7856405898296022 0.7043029870101202 1.689354873147483 -0.9213190138234234 -0.255630989485932 1.986019415359363 1.483563227053209 1.242168809292092 1.899318522341428 1.805808793488495 1.396458626256818 0.2761162011749517
24	1.137978586366904 0.201818113243845 0.1089324282493077 1.289287688278949 0.2441801467902296 0.9268499439951962 0.6381755005887908 0.6745149509611488 0.351781647264036 0.3225793061184546 1.009291362016538 -0.8499734204634507 -0.4098817559934275 1.264497971147786 0.8442891074848575 0.6509940255642084 1.217512218200228 1.136744738716159 0.785022183897034 -0.03905625244449008
25	0.4505822427954581 0.02893859782133896 0.1785466849696316 0.4726739146644529 -0.5952016825284722 0.2888051596665773 0.2648482456470461 0.1606324537138444 0.04669215961679415 0.05853501707612375 0.3412518037756628 -0.4610728850991325 -0.2930864416345341 0.4531600805222421 0.2386345176382855 0.1572380128502841 0.4570249892695573 0.4184818964728623 0.222224037805956 -0.1304683753166152
26	0.1606356828920934 -0.07149127471736207 0.1255362585049436 0.1488103537571071 -0.5741379697456822 -0.006491209273613082 0.1263809320533229 -0.08540627132324742 -0.1341139881926014 -0.103995425035495 0.03619559772846577 -0.39688275325232 -0.3330887548573983 0.1267913222288658 -0.03711878154979179 -0.09525454921391294 0.1430517407136534 0.1119740262551032 -0.0425255471852543 -0.2502226784540454
27	-0.06346550480263886 -0.1787215959282243 0.09244078339996235 -0.1048063144450697 -0.6189375722658983 -0.2728427473955137 0.032087753178177 -0.3245756878082768 -0.3286226652935758 -0.276096295291538 -0.2297454688879595 -0.4344666602772035 -0.4484856391771191 -0.1341658358671499 -0.2915462396667783 -0.3442325147001633 -0.1049168726728094 -0.1371344214480471 -0.289303952237379 -0.4182937531088834
28	-0.670865742398525 -0.4525656027434031 0.03656221752201802 -0.8004309173174081 -0.8900875146578557 -0.977088758908172 -0.2337658334676763 -0.951961586945598 -0.8242298943554671 -0.7127928099943912 -0.9354696485924228 -0.4788410646864356 -0.7087442216539688 -0.8467451134687758 -0.9654416261352606 -0.9910021887444219 -0.7790082653432949 -0.8087208027920786 -0.9393019476027313 -0.8262937502077122
29	-0.6489201202042383 -0.4148053233160844 -0.02072607073361509 -0.7585051504846916 -0.5729339699733018 -0.9104203492603999 -0.2319881863932663 -0.8737695509325729 -0.7554977491465221 -0.6578797439650634 -0.8788363338645021 -0.406066744561682 -0.6260661178555916 -0.7989523276288836 -0.8917636403792141 -0.9136275902425677 -0.7428837739313031 -0.7684542983835128 -0.8693143714994112 -0.7468673524023516
30	-0.5292523679088277 -0.3567622490015783 0.01344924921550936 -0.6273962731662833 -0.6278593963235847 -0.7689059447907869 -0.1833104964913237 -0.7477868216509126 -0.6499529062247545 -0.563265144222427 -0.7369134763075956 -0.3801816445439951 -0.5602027941046182 -0.6638348774575689 -0.7581787367581313 -0.7803299638058052 -0.6125154687705914 -0.6365632605756658 -0.7386216225827913 -0.6530652643602729
31	-0.06294457276249518 -0.197271177192941 0.100971791511016 -0.1072232443939537 -0.6742412343113428 -0.2967803858656484 0.04011265959410582 -0.355760137325568 -0.3628935517374383 -0.3049012880416582 -0.2484606979024866 -0.4890184023790867 -0.5014410111016944 -0.1400082027701212 -0.3178714056993848 -0.3780518947560992 -0.1081551390264516 -0.1446062385608487 -0.3159485597088309 -0.4654235115256888
32	0.03630953716418398 -0.1084743377128394 0.1202160740942843 0.005600686817407637 -0.6441810122241819 -0.1272455234157223 0.06287094116923254 -0.1842887729720928 -0.2001331071656959 -0.1624507165015703 -0.08942284550601708 -0.3474561846873772 -0.3306063382052151 -0.01644436081232094 -0.1507145317987821 -0.1936944608459681 0.007023638801897328 -0.01860130392437958 -0.1498953882233819 -0.2837233030516503
33	-0.2046723666834953 0.2719489721059007 -0.1478874392793622 -0.1853123075944682 0.814885689547255 0.2348966272152793 -0.2435975595079692 0.3972651649851975 0.5062307111471331 0.4217790379222332 0.1349387341916716 1.050966446174904 0.9476755381800792 -0.1244400293014455 0.2874224046920449 0.4462796475247227 -0.1577771899357377 -0.07333717420369391 0.3037511831523368 0.78749460573983
34	-0.02526649479209389 0.4066228499730474 -0.2088239993893515 0.04279844776317944 1.309919542518598 0.5186622438589696 -0.1831467251188054 0.6830411849038877 0.7512353501711162 0.6295974892705882 0.4015247631731603 1.209230668189692 1.170438411103412 0.1187011347263805 0.5742217362922911 0.7391725973634511 0.05920326793489671 0.1526941525362017 0.5806277137682349 1.037422374510408
35	0.2586103379010192 0.4889333673391913 -0.1551364862100592 0.3587491019742717 1.268167448415472 0.7874124476496651 -0.04049406098500398 0.8978672019614032 0.8985971029320448 0.7633609821244616 0.6840092778010809 1.098693403241887 1.163605017893211 0.4341890114672532 0.8223609674682122 0.9574209842034992 0.3640616676020672 0.4463971123698987 0.8173574406736512 1.11351494555396
36	0.5520338201737669 0.6194804027428402 -0.2096366083385748 0.7162123111139489 1.790186538362238 1.133827403781411 0.09524174190386425 1.212910857490544 1.133662842248039 0.964303343317085 1.027496174609472 1.097789834455945 1.274513443218901 0.7997902278112106 1.162001099550985 1.27198278554963 0.7001045243856854 0.777236793827299 1.139666067344195 1.296084238464486
37	0.8007536067769545 0.4410552391243262 -0.209098031368794 0.9949428623441964 1.781569653563133 1.058422928288679 0.3369950579566899 1.00694824911283 0.7978061313868373 0.6781255000699781 1.025757265118892 0.2393140956929495 0.5400622868576022 1.032750885395806 1.052768811083421 1.01502670826085 0.9371747246177604 0.941109546926997 1.00527532786026 0.7098364494572178
38	0.2928698344305454 0.3025759571330536 -0.1579419069577546 0.3912159050014797 1.154327459026909 0.5734908720784356 0.0660331095845378 0.6100460021266502 0.5524691728214355 0.4658857011298674 0.5213933059698751 0.494344114219454 0.59531537747168 0.4309705538983091 0.5909227978761321 0.6308791822413555 0.373775052950909 0.4062619675531077 0.5745636116470528 0.6145007662384805
39	0.2077737060830859 0.4926148389341669 -0.3042927179705507 0.3397310231623556 1.961945439513772 0.7768807586913931 -0.06318624970650669 0.9142798892751023 0.9044224815876722 0.7563616730430224 0.6593171070270399 1.144468293255036 1.201212940943363 0.4190523607048378 0.8307637056336045 0.960510999075457 0.3303642529545979 0.413104630411489 0.8189113452556512 1.130303098311712
40	0.1625853095114541 0.4600319364390674 -0.1711035394159446 0.2512524565188049 1.270901143764683 0.6949440151499927 -0.08844594373796848 0.8231006355394401 0.8468180288681324 0.716621396098886 0.587275356819184 1.133367181640156 1.163125069934221 0.3266494485623507 0.7365623708105883 0.881547422192308 0.260500004096672 0.3464454711390388 0.7355214709642265 1.08531041883848
41	0.3007845641852171 0.4909824970209699 -0.3299264704187896 0.453468126298358 2.134023234164231 0.8333564601950397 -8.301059557632234e-05 0.9465373132893474 0.8991024382349605 0.7507713806558505 0.7254270697960197 1.013344503549621 1.111259253737614 0.5275819983491135 0.8824214657703852 0.9833024439687253 0.4317777059645962 0.5019635996061999 0.8624459901438645 1.076033970902213
42	1.239317244995204 0.7930863186245688 0.2083937150718602 1.404120905884454 0.2820654599412696 1.722445649831075 0.4291470460834875 1.639576315849216 1.446830519828312 1.272839794281816 1.670365733001207 0.8136167384650124 1.218507438556539 1.480981532052789 1.670256112839613 1.735564992754425 1.396830406783397 1.45326957035371 1.639240507643579 1.449437670436914
43	2.327979599048805 1.175011432466195 0.2987704556106641 2.648988509714578 0.7299689794145714 2.848496834504496 0.9555609522884991 2.59084370867164 2.133175717016551 1.881151149549726 2.826377004807766 0.5643119470147432 1.369615442065628 2.736486804257884 2.734027049506106 2.699325170862497 2.590608161661395 2.61544808984325 2.654319869993578 1.898212973774514
44	2.840164085847754 1.204856887848566 0.6072259764518151 3.158336107652689 -0.4569672476735522 3.162067955422022 1.249552519075531 2.749423508226484 2.182055709121119 1.952204353452267 3.205634284973267 0.05320475257014003 1.040336746515782 3.222756997329448 2.979927361122016 2.865764129672633 3.095885537427038 3.080782405534007 2.888805778354178 1.755012145177805
45	2.502745756954667 1.03730188348384 0.3469543829620168 2.831724655781741 0.4840827700584526 2.77504087726693 1.127173150329766 2.417635790987914 1.874977719596308 1.664653824973353 2.810230114772399 -0.06589052197999848 0.8236931994419897 2.884666123971637 2.631089873260779 2.493472194975656 2.749161136964751 2.72163715115973 2.536464723205625 1.460293014065912
46	2.300348054547808 0.8831859562568413 0.2813236669616109 2.609728864510247 0.5709244976968734 2.46601251854721 1.070712864276699 2.116073583386405 1.592674505671211 1.414782714591104 2.514401479760514 -0.2792056727489671 0.5499377052924016 2.645752375461701 2.331699955975501 2.167779722092166 2.52162505065027 2.477474945288488 2.238759537273381 1.156160972315476
47	2.132475758007432 0.6853633265761394 0.3636684735151788 2.386636166984655 -0.07038364428993733 2.107407315910407 1.044521516670764 1.728691602141407 1.230691685017709 1.108149765432688 2.191473932578404 -0.637465355415426 0.1373584782619666 2.395468660772939 1.96192854347361 1.762773693986784 2.304933384754745 2.235828234714856 1.876633103087673 0.7399276160618082
48	1.278013026769609 0.307096656274383 0.09630402816358007 1.458131683739525 0.4624874188233025 1.144941142425688 0.682492674700333 0.8915030553431418 0.5437965453697526 0.4881496310249117 1.215684363728424 -0.7186263731440142 -0.2313474152243602 1.444989699943132 1.061319518846429 0.8776441397762408 1.38233143532551 1.310196453805119 0.9967603535734693 0.1607346741597573
49	0.5665610686360177 0.02652690934006511 0.1789219065222165 0.6059528811879675 -0.5366375829111589 0.3554188363025089 0.3411161408993424 0.19439193727799 0.03980736111303644 0.05383843962892523 0.4215966278566537 -0.618914451032011 -0.4024530278473079 0.5797725613478649 0.2960240528590518 0.1828941455771514 0.5791996379273412 0.5263248728493564 0.2717303007557508 -0.1951310620436291
50	0.1195180833937217 -0.1091435040023763 0.2347595820809631 0.07112773453841961 -1.151565809054036 -0.08989806071736391 0.107966117719568 -0.1790663716925382 -0.20152906073149 -0.1539745846843183 -0.03676421744180192 -0.4335181639896881 -0.3922786345904204 0.04412248446862341 -0.1311565527744593 -0.1807473637045824 0.07989193030264388 0.04924555685846745 -0.1279439203225422 -0.3133120810822203
51	-0.2096094079350435 -0.2314793016022522 0.08200211900084209 -0.2724276149212437 -0.6883831294107374 -0.4260544474396161 -0.03804334040786287 -0.4549725116552067 -0.4234920748590031 -0.3599767869961438 -0.3865143837407209 -0.4051075847040898 -0.4728587241653122 -0.3034908555863318 -0.4366850022071976 -0.4763971185902386 -0.2656074362397999 -0.2938733864089458 -0.4278584128586429 -0.4821719829035749
52	-0.7295724166919567 -0.4571313742267966 0.04267631265828006 -0.8697963378936689 -0.9546109405841104 -1.018748097717549 -0.2702649623502427 -0.9794908801586101 -0.8313820362496349 -0.7190762228412562 -0.9822860223450183 -0.4149854253506867 -0.6693226985547015 -0.9138076992622561 -1.003522910365562 -1.014815882240496 -0.8425092835220516 -0.8661093169385856 -0.973226585237408 -0.8077343980462089
53	-0.7385399056864864 -0.430558563782109 -0.01408348343353388 -0.8640495430293106 -0.6653450990724478 -0.9848050759178879 -0.2835281977631782 -0.9294216489224784 -0.7827310757589065 -0.6817072518398175 -0.9589861826120823 -0.335509964383617 -0.5915517648512066 -0.9025681944097441 -0.9611345405132937 -0.9656241449522559 -0.840736636962469 -0.8592458740683642 -0.9329456553207756 -0.7415551416656784
54	-0.4865775199793125 -0.347224582214577 0.02181081729465687 -0.5800936998255002 -0.6377539327230365 -0.7321081641203474 -0.160609354249878 -0.7201022362103868 -0.6330520593554844 -0.5476499765819582 -0.6973124191915712 -0.4052481132266159 -0.5693776018519277 -0.6171180152143253 -0.7247383787958848 -0.7526467136503996 -0.5671332580413396 -0.5935401874012877 -0.7070108671051875 -0.6489163982453972
55	-0.03758142448553695 -0.1312585392514598 0.1069187405490784 -0.07687359826810858 -0.6376366754038455 -0.1989817012077413 0.0262987408931623 -0.2425135052372843 -0.2410002682275163 -0.1993743945719727 -0.1643529422437568 -0.3226215023737872 -0.3326685279668881 -0.09904733987567113 -0.2172629566873041 -0.2529945249869666 -0.07261311362991758 -0.09563783607603359 -0.2134912168714926 -0.3069578795838554
56	0.39980173946432 0.1609814759543663 0.111693179692018 0.4373197428006722 -0.1972980908315999 0.4315484284102948 0.1776888255527804 0.368422550510784 0.2915430128826318 0.2633952775410336 0.4411972390266798 -0.01288195306745597 0.1247163368565861 0.4447367090656295 0.4026259622620413 0.3861866573855276 0.4311290729609332 0.428037497703818 0.3912242657373822 0.2279998877402025
57	0.1768868569986843 0.6500624638115365 -0.1277228851311485 0.2641245350751222 1.218311067851108 0.9384903520122662 -0.1683864785331737 1.125259685760933 1.199299811225928 1.023184182268322 0.7860967614943517 1.694167839133337 1.703990127275218 0.3731353057402697 0.9901616370121031 1.22465762090184 0.2973332450428318 0.4300426508103802 1.000227335243694 1.574320443008495
58	-0.09924368069296464 0.8568281601079519 -0.1187527078421325 -0.04748896218557624 1.188592670047897 1.032150637670899 -0.4414634578411404 1.366130528275916 1.588383005906152 1.355577774298015 0.7962376165031796 2.675301678779162 2.545567550526834 0.1138811681524213 1.121139973515152 1.524940090111827 0.03413599232729329 0.2506544672303557 1.160218877041608 2.248768115464384
59	-0.06321170753187906 0.9038672623459639 -0.09189974863455853 -0.01115839767002918 1.115423675839596 1.110299528244461 -0.4414707291125584 1.448568355208528 1.675178689006715 1.432646183272091 0.8677927401168057 2.775288774152728 2.652683941307595 0.1567355510279669 1.197670811452458 1.617243419498822 0.0754856595514363 0.3004309042467653 1.238443195926136 2.35541487864881
60	0.08660721050687635 1.042881262502383 -0.1079833109857526 0.1712517542898405 1.382002203000994 1.37713064771378 -0.4057537972297842 1.723574351572463 1.929463277307717 1.651592732615705 1.115244511979458 2.994436414969829 2.919495065319897 0.3564078775620329 1.465763172404628 1.907399920911864 0.255959583908971 0.4964914941511703 1.501947141509397 2.636991807456397
61	-0.008048231877484579 0.7006274077079404 -0.1789345981668387 0.06688226321334728 1.405167129007657 0.8963519994166635 -0.3070302937133792 1.155673529601895 1.296164061224958 1.100623651224949 0.7075974886086771 2.075429668634742 2.007097294201381 0.1951744103295175 0.9715127622882759 1.271143913762614 0.1158687176727792 0.2806632678995876 0.9928263639931981 1.791885083386651
62	-0.1506786257928157 0.5580648045173053 0.02039480304069312 -0.1557283715762757 0.2573428667708266 0.6104776312277059 -0.3511476620601738 0.844102946894103 1.037681696304309 0.8922512207259363 0.4520097240997584 1.874773239120109 1.745715549145271 -0.04632254332801022 0.6654789756073252 0.9646387851661193 -0.08147411769723027 0.07403064109903974 0.7035559012694984 1.520066502532815
63	-0.2669926798545928 0.6974236096836712 -0.02822577787273648 -0.2710099047105666 0.5379981255574723 0.7211800373600926 -0.485564161370712 1.039042117688088 1.297710351070477 1.11089090008534 0.5115606629436473 2.433890707634113 2.244708446492415 -0.1298846380208983 0.8013080671688965 1.188621318250128 -0.1779576574922004 0.0233625442381127 0.8504222228996814 1.932720235990581
64	-0.08779451725679077 0.6799665631257232 -0.1866958232962924 -0.02370306228597746 1.383572521452268 0.8232019278472353 -0.3488006172157222 1.09795445805494 1.259430692543773 1.067620313279608 0.6303278293299606 2.11540637413665 2.016999201887681 0.1051425872566255 0.903631454672586 1.21379474526981 0.02962615767905222 0.1984780140092166 0.9287796136234161 1.777769154757533
65	-0.02277433380740732 0.6668459383868294 -0.3508218550822979 0.09386959612195096 2.198481616817479 0.8626617084665439 -0.2875830524867255 1.127742416464697 1.231492462169614 1.031630365130014 0.6722488806430591 1.957091011882021 1.901984537407769 0.2173721862443077 0.9531538401805054 1.217584877260248 0.1179062732205728 0.2686483563399383 0.9618200749196925 1.690894831638258
66	0.781563893583205 0.8493668573002998 0.2933946042355354 0.857211046844481 -0.3289202353848942 1.509530945701981 0.1001079628189807 1.565807898187306 1.561860765429091 1.373577635757503 1.395654464043331 1.595087443005683 1.795474498642269 0.9685983893183434 1.489026316918921 1.71293418402984 0.9100576503154989 1.038304383894948 1.49740082930061 1.836089473387841
67	1.965997452915291 1.283155638876904 0.08234291688596726 2.293938026106065 1.66233101601381 2.789550835731929 0.6893461416496222 2.686161690294836 2.338165879031873 2.037016422517187 2.688091966394996 1.31369706248725 1.975401392354852 2.421219062757854 2.733249456882174 2.814324241052751 2.251929544686965 2.336733819128642 2.667861319627254 2.333455205519834
68	2.681617616773439 1.325165640105922 0.4985089536894477 3.009511973666119 0.07548460273663814 3.2295871306706 1.101153647304964 2.910908928846581 2.406831125412008 2.135469979341463 3.219082782086149 0.5974038298121889 1.514451682075803 3.104653740827502 3.080220408219052 3.048384945488405 2.959879295687322 2.988303525340685 2.997862545406774 2.132355406222077
69	2.576569525028477 1.055550186170293 0.3530103995248047 2.915843887780754 0.5088220893817179 2.841768314566762 1.166327860474189 2.469861650368821 1.907340017349353 1.693706489175208 2.880938769741388 -0.1057705193338451 0.811857435737779 2.968117091147981 2.692979721227788 2.545053700549861 2.829019716116674 2.797475189409242 2.594684048588952 1.470953338965515
70	2.361068372778866 0.8593504328885435 0.08535884924136605 2.730306844240729 1.528449865387761 2.492670958108631 1.136524435568725 2.133013736993694 1.544528819640079 1.358921951653126 2.544174511558134 -0.4707752516592639 0.4039806135125415 2.759374750087265 2.371020654020573 2.153214994775997 2.60797860285549 2.542210059330076 2.259149448384835 1.03985825478986
71	2.167718363993861 0.6394547500804542 0.2519961622739575 2.454749925546935 0.4503347595135886 2.082255717740395 1.097025881281412 1.686607638881826 1.143333203077765 1.024800520242642 2.176422398109943 -0.8444730457841827 -0.0396501782103893 2.453711818722117 1.941317310937083 1.696427746827779 2.350160537487057 2.26073938321896 1.843654646243336 0.5898254236259638
