1	0.119156794496421 0.1246378831851277 0.1257269047594363 0.1488325774075395 0.1585344971427747 0.1739042520854504 0.1672588911940599 0.1586266897489095 0.1518706692515104 0.1537354075791353 0.1495622672666193 0.1404659460733011 0.1255778226164558 0.126197796657676 0.09512393619405884 0.09494817910490493 0.09056873616278341 0.08917294366729055 0.07257109576322808 0.08198715273009084 0.08064290036933483 0.07196528343427724 0.06739130152777495 0.06156902351395083 0.05507344528984431 0.04944254535327044 0.01356036910082431 -0.0003051741028768397 -0.03128034834472052 -0.04598212426291264 -0.05400760668642788 -0.07687770623937647 -0.08601550084236444 -0.1086893265866861 -0.1034057242693807 -0.1060556532728674 -0.1124809194003292 -0.1256009196212038 -0.1128481896607493 -0.1251760955888822 -0.1394339783267022 -0.1412275850622854 -0.14556971084958 -0.1310382450108422 -0.1327163559053751 -0.1392086732789195 -0.1336487839596978 -0.1194881517826436
2	-0.1133234063985897 -0.1429262686741372 -0.1497938391680012 -0.4786470231595191 -0.529501592417431 -0.7259389101487826 -0.5159231578143477 -0.3143167685984006 -0.1489546690001088 -0.116233665491468 0.006146849554993629 0.2270137943099608 0.4940515358675721 0.4954182260789859 1.13409219960001 1.158444598377153 1.311843178693118 1.40387876646929 1.735528862458975 1.565011372840992 1.587704533991389 1.765993641550712 1.888406158264402 2.03452359671497 2.156745860985763 2.216185236359883 2.80910261749128 3.087313853102162 3.57101976409995 3.821371156222889 3.988560930955645 4.348577344699792 4.429959002567792 4.813138648187302 4.658637198502877 4.640349139639524 4.687210614853853 4.926312557464281 4.665376056555544 4.813172751772177 4.942095086598852 4.862166997688852 4.874029037251102 4.591720582608347 4.561381279947768 4.619506073885902 4.441651094027682 4.14092040507175
3	1.949116200487912 1.940583196112526 1.995718551784867 1.557561577037841 1.401951276767129 1.148900961137729 1.127957707981647 1.134885922254549 1.091769452853776 1.038389902884437 1.054076366596382 1.0834967048541 1.175938195200757 1.063694061077723 1.338953084200827 1.220865276692514 1.235205196278702 1.192748832485757 1.331175035839113 1.222852757529602 1.322183003533802 1.403902963917361 1.349623837924 1.373053269748208 1.504555923982991 1.514437872461132 1.981303519706947 2.018533397461538 2.349554030746127 2.571064839995301 2.632461205533867 2.873841150612387 3.121249004533336 3.509719378960295 3.647444520459242 3.886985467518543 4.192634176470763 4.321035623791257 4.245908505420383 4.390336174319954 4.691177988197008 4.89833985618329 4.982268178515608 4.941852766375695 5.048393147335422 5.12586242254154 4.960017788229753 4.830957708582675
4	1.803188322062353 1.794142170105023 1.844902390274577 1.425249778445896 1.279255523094746 1.036668618017624 1.026574362582862 1.041825715180132 1.009178470296838 0.9613212022490475 0.9812437321734866 1.018170914824303 1.11531876603215 1.011510124231393 1.294156271376305 1.185953166670051 1.206029080918525 1.170857053405486 1.313438246890164 1.205775144187452 1.298696429680929 1.382115337009732 1.337265227841966 1.365372772090733 1.492404525030385 1.504047402674159 1.961797221874356 2.008384659964824 2.335617197417188 2.551480723574044 2.615607882871291 2.854546573219225 3.086913094213606 3.463055770179052 3.583712718231744 3.804506967872079 4.089311449957578 4.218539278019622 4.137618397911618 4.277566301040832 4.561365646813703 4.749424224921787 4.827491660781073 4.777793515193941 4.874970889782603 4.949082045955879 4.78770657880192 4.655110448703363
5	2.839361998687235 2.829592687993298 2.911041877949085 2.309654573014171 2.086317918088049 1.739377774749049 1.680684577894398 1.664545431999768 1.579735805916057 1.496399032445917 1.503134254860014 1.517335318648196 1.618857192113391 1.454072672710978 1.775015022449676 1.598622507005505 1.599039938468684 1.524163340107166 1.684340161729084 1.547328213998605 1.689976162275503 1.786718335310771 1.691065118108272 1.706217361220656 1.883254662110005 1.890807239622478 2.500211168608512 2.518995226583705 2.94358078602861 3.236491366892355 3.30486173037659 3.613509557531122 3.966836690083147 4.487615868668842 4.709869939328473 5.064074094452619 5.506887516566049 5.664575810852303 5.588124274085762 5.782030333537561 6.208259763630186 6.523547769071549 6.645973940108892 6.622926219834533 6.783749428186343 6.890726890094106 6.671526120664372 6.521337388597286
6	2.12083050816261 2.159012665453366 2.210183917186199 2.191540364151342 2.151912764350365 2.154938030359705 1.978672292133808 1.818992204030151 1.652682184348074 1.601369191996269 1.518292566542853 1.361615685506119 1.196346909830555 1.113622939790225 0.7812909317660572 0.6762574559230153 0.5722251672881411 0.4771592225998481 0.2989174474283778 0.3667277712303058 0.4214852693599363 0.3323885388451007 0.1944324310465889 0.09472791119616619 0.08808862734416331 0.03198463896260297 -0.1507950986708525 -0.3596884132805991 -0.5547551995446907 -0.6113138293335861 -0.7058451391932405 -0.8539152404410952 -0.7607618070577246 -0.8107730103842674 -0.5866736054910699 -0.4071772939009021 -0.235753215408282 -0.3481999067873546 -0.1839092437945361 -0.2246515618047822 -0.1449222252425351 0.05186764579701041 0.08706051147341572 0.2992731750709222 0.3902438689692315 0.381886472065869 0.3919825889312446 0.5466004190502962
7	0.6106057401816831 0.608249542831236 0.6344087340079336 0.5619026016151615 0.4924319844312109 0.4484918202577532 0.3331623308526927 0.241455529738744 0.1429234822040727 0.09347218518005375 0.03993003286279689 -0.05159482434243748 -0.1247659965103972 -0.178831704042579 -0.3423361918439079 -0.4104507112197501 -0.4825032935020773 -0.5527470147352805 -0.6383494617452559 -0.6139450512997241 -0.5780182056842185 -0.6214159777212798 -0.7058572794028989 -0.7651639230543412 -0.7587230415849966 -0.7731034902671192 -0.80740025312248 -0.9155369585919834 -0.9613572178457195 -0.9659854655252511 -1.013991358569758 -1.050924891681939 -0.9592573683641258 -0.9431867499535179 -0.8034576854083457 -0.6750101488540378 -0.5440376135295059 -0.5892652850975034 -0.5055264701911317 -0.491282566695396 -0.3884444481957346 -0.2405855702849061 -0.196449029810772 -0.08928457840381963 -0.01744418315244368 0.002457930448156136 0.01621061059229131 0.09483547584336745
8	-0.3446117544315027 -0.418259199220036 -0.4107765629200223 -1.036150290399994 -1.221859049002662 -1.605658641462103 -1.398255227882171 -1.16855660276901 -1.002617834592153 -1.015854378756676 -0.8811459073244712 -0.6238808728133306 -0.2558986386277913 -0.3054425502424711 0.5567409433392434 0.5290676089299422 0.6883227588558859 0.7525512864374001 1.202530641243458 0.9485256042177331 1.0172772351679 1.259950670195811 1.370055421385957 1.540135442457004 1.741639405339217 1.83953602933945 2.786538066348121 3.131748269670093 3.899176396945788 4.304909638742053 4.525368070243688 5.092932524364346 5.333532435107548 5.975918936598064 5.869073952901084 5.974887148189695 6.189246418354666 6.535239408404889 6.197498949122453 6.474468694927303 6.817076365475851 6.856103169589309 6.936782505477421 6.581384586791194 6.616154044798487 6.747788484697628 6.498909839060371 6.097281871542561
9	2.500064080686723 2.434253482595615 2.545446195501895 1.662727774108655 1.24016135391892 0.7071174535938437 0.4930028832614864 0.381230398218634 0.1788690012328289 -0.008345316407023117 -0.06804837945157394 -0.1489002649091087 -0.06268175902890229 -0.3170701754927288 -0.06461331306689198 -0.3490509261117639 -0.4487318513609892 -0.6383190328831985 -0.509691636180973 -0.6700020529577284 -0.4634773607735602 -0.3823919764988803 -0.5872749195668422 -0.6352411602950349 -0.4077455047366932 -0.3754288797826686 0.4263916115306471 0.3626045917325575 0.9354978032760787 1.319794920088595 1.361107894729189 1.773810643437506 2.346550671861599 3.044410707110226 3.460455781490737 4.044085451890035 4.745246389968639 4.917897710085301 4.894650401661851 5.208192631673227 5.914961063853429 6.495186236862281 6.729377095143861 6.781168539813428 7.077413239093604 7.271188001456421 7.056287809035983 6.945978619259948
10	1.31141753458436 1.287769654398792 1.329127965206377 0.8679441073888755 0.7120660061459313 0.4402884830659392 0.4728475007851682 0.5309072264230511 0.5381451825592656 0.4962547442396102 0.5385552359231712 0.6191462240067463 0.7711584419417228 0.6787699566252697 1.076698577442661 0.985131303864331 1.032003642466241 1.015962761385 1.219926663584577 1.08296045461184 1.170447821617457 1.285507566785436 1.271764489540963 1.327888193954446 1.469326431694405 1.499418654949432 2.055761814694832 2.162563952591816 2.579525928160082 2.833306091967789 2.928571305948773 3.234454450020192 3.468932452836051 3.897933522910381 3.972623187612814 4.170037453223349 4.440269178849477 4.613041833921565 4.48070616807919 4.649436840134601 4.946332870762533 5.105195656239075 5.184741448925749 5.073234145521964 5.158364818519991 5.245049246584072 5.068306957511028 4.882390243405104
