1	0.1733105083227379 0.1677104211799769 0.1504908600857832 0.1175453521527884 0.1038284894309236 0.06026374729402716 0.0231772928163304 0.007405643374875853 -0.01819026260440334 -0.05142207239869196 -0.08429357074881608 -0.1016099918105878 -0.1023005451518917 -0.1106193815089685 -0.1347017959616709 -0.162500544529736 -0.1807719646341348 -0.1827012386057053 -0.1894870623832955 -0.1964498509690265 -0.1869956214007938 -0.1964440186006526 -0.2046829485047184 -0.2042728284906256 -0.2095925418919267 -0.2151656834064606 -0.216653773359511 -0.2091422416032666 -0.1915117607744878 -0.1933255316840601 -0.1942395912388434 -0.1822629171766727 -0.1685414754248005 -0.1548964834959223 -0.09163747108773378 -0.03278545302456066 0.01437382126955785 0.02574324064511637 0.04596468406591795 0.09129053342998854 0.140819574583035 0.195682870829042 0.2279860732530599 0.2520683323321173 0.2821993887035687 0.2731070623952051 0.2972164065136818 0.3019405537732985
2	0.5445148901520638 0.574895597868225 0.4105574134493313 0.3014411747107467 0.3096336638940659 0.2548326654907967 0.2024003425041749 0.2981175524340411 0.2308812414624192 0.1773334316330243 0.170915790569996 0.3590581116662264 0.3899268263334109 0.4536939455610861 0.5951712746444788 0.5090625968626178 0.6669028765856337 0.740794237877203 0.7022838113848702 0.682599131621581 0.791100408816668 0.805432495150727 0.8046943663220909 0.7952170750381231 0.8263202817316048 0.8901830359026977 0.8945644433658577 1.073120910449755 1.292353557182266 1.363816118851024 1.458456479652351 1.443842018482154 1.5541425845824 1.676360767160876 2.034170966495499 2.475769576963031 2.524768653102111 2.723346156265782 2.719418032154743 2.792659488428302 3.101458163663763 3.35994801470584 3.441378797285205 3.597325169436858 3.626267506094717 3.598837184347634 3.537175359928881 3.414761455417454
3	-0.8855678567939075 -0.8383431318369697 -0.8177273628445789 -0.6727097149024437 -0.5757110311293637 -0.3384523775976502 -0.1384346031767886 0.01014160278067521 0.137730628917709 0.3178488895435497 0.5130880782107138 0.7140267655028728 0.7360508294467482 0.8307001606674448 1.054273077236315 1.176759899983544 1.370407541145693 1.42504534302241 1.449359832054496 1.477469632843686 1.475057214745639 1.540708675416569 1.596458289935689 1.585550934725957 1.633896902918479 1.701888837359676 1.717299597883313 1.764108389354939 1.768931005114149 1.820352051968465 1.879037376424778 1.79691331156053 1.766031692579088 1.745335338079443 1.541230030002742 1.408536286540387 1.139903378193961 1.176047727431148 1.049776846917845 0.8086320777291987 0.6653756602285896 0.4608182593013093 0.3072142065020769 0.2407720667092537 0.07446956666711982 0.1163708450363393 -0.06379133084475115 -0.1563896349464234
4	1.42720637996334 1.436941820948875 1.180786499321958 0.9149713739307634 0.857737475307366 0.604292982233165 0.3816466140376368 0.4142754935933163 0.2235632891136728 0.01446257167561568 -0.1376203229338113 -0.008289068428421026 0.02125965557827915 0.04760674720685593 0.09282481983453585 -0.1232809217029718 -0.0327000796399519 0.03667053921657474 -0.03712612585131143 -0.087187102580464 0.07369243578484248 0.04696010053895745 0.006175025922585134 -0.0003471048343998861 0.01002681570106308 0.05434773877644665 0.05019734125006373 0.2782004643637893 0.5963113430970335 0.6642601768503223 0.7610562503363855 0.7992387456381873 0.9829738344468868 1.177347682542098 1.850827258447828 2.59541813145791 2.862184016004313 3.127754014157583 3.213908874111217 3.496822371298572 4.054391286849213 4.582369644737801 4.814100168104812 5.091410298930262 5.25554921022839 5.184837366570617 5.225491555890953 5.113249355944882
5	0.1048475102905209 0.09379654722658623 0.1124069539305164 0.1031855021613773 0.08344011280158653 0.05194788664127042 0.02593074564611133 -0.01221422633507259 -0.02594744847178046 -0.04980634612665542 -0.08038578443785488 -0.1381284568727693 -0.1464589915701571 -0.1738648598878728 -0.2306761287840023 -0.2383936641529795 -0.2916198604932699 -0.3119454615130591 -0.3115921810402683 -0.3122946637419645 -0.3262749907388512 -0.3391602596873058 -0.3499692822478717 -0.3458504981443567 -0.35792011451508 -0.3779782740739741 -0.3823176220379473 -0.4141633058806349 -0.4442170433296959 -0.4633105579535251 -0.4869513571596615 -0.4710542164606937 -0.4795955711317936 -0.4924817132668682 -0.5062676294403023 -0.543428401380705 -0.5040724130672298 -0.5376226993361463 -0.5161095781603697 -0.4856627282435587 -0.5035550474092396 -0.5037821651411286 -0.489962275849573 -0.5000351805073457 -0.4774122477016369 -0.4807747933894706 -0.4425387755458497 -0.4106959091785534
6	0.02565746157448722 0.02905506021716804 0.00273863178423101 -0.01471179302494038 -0.008217934755730244 -0.01724936875121864 -0.02528547280205716 -0.008175982048687962 -0.01555123482034877 -0.02136792350956767 -0.02358189674857427 0.005715314752506374 0.01176764064734197 0.02831900344262171 0.05318680672602294 0.03773775795898364 0.06358569760410186 0.07820584720669801 0.07357880372279443 0.0679904087532115 0.08508750251433472 0.08773701512277474 0.09095801787605158 0.08742274051225417 0.09234155628603541 0.1032258289153451 0.1062557626437436 0.1353445813291876 0.170296580202442 0.1838062635597532 0.2015078836275299 0.1983006576727521 0.2137719116242427 0.2332034322235786 0.2893814645127707 0.359802589817121 0.3642186822815792 0.397992106519871 0.3968833528837996 0.4073730924025027 0.4569866753114612 0.4968960390822383 0.5108981396101838 0.5360823055256935 0.542264965815566 0.5381641267856467 0.5275324061644467 0.5074487578935086
7	0.6173209776144872 0.561189836081581 0.4976970246060837 0.3112679395695882 0.2480384609090873 -0.0285898236828147 -0.2587417649190017 -0.3841497371291814 -0.5140741412284076 -0.7034425585462701 -0.9292735478074953 -1.110211444994927 -1.117902448192869 -1.155486497449233 -1.348579864788451 -1.517966960279563 -1.687192962908339 -1.706653543036177 -1.730652003790516 -1.785937363885054 -1.758556808039162 -1.824376660042747 -1.859184995365605 -1.865672069104153 -1.91162007047854 -1.965288958004864 -1.962537116142049 -1.965714643006751 -1.917807824195543 -1.940101938486219 -1.960789439695424 -1.881018074620811 -1.837178031020753 -1.785177077522954 -1.480758773195558 -1.227478631341551 -0.9472525470786466 -0.9219064953979044 -0.787826109212207 -0.5142930317485124 -0.2787123909666442 -0.001374467474025472 0.1954988535910468 0.309005457506636 0.5114936243819639 0.4609239900897026 0.6377222347977135 0.7053277145978001
8	-0.3321458707367346 -0.3162782653410292 -0.4799118300775457 -0.5762203912755719 -0.4917614540617574 -0.5285276043110382 -0.5583203399013471 -0.4251452443864001 -0.4371101274583291 -0.4387001508971453 -0.4426730983023721 -0.2455462668099 -0.1980277488073435 -0.04276594915460991 0.148967539735393 0.05190499787565431 0.2360699671662688 0.3517137307536761 0.3351576186796272 0.2862621709481408 0.3917157718752015 0.416774720337516 0.4645192514936616 0.4277644586048593 0.4627203697096515 0.5418195340664762 0.5778904654180906 0.768463844316736 0.9877068090284545 1.091236612897139 1.225017126957389 1.191506101783358 1.271299116658833 1.390682984644899 1.717809362465775 2.146600294882721 2.126761473386668 2.355728623264535 2.333963198993815 2.369530640780124 2.669550857661314 2.891871519123621 2.972304265982781 3.126032080620092 3.160043536458502 3.140046810769477 3.051582281899429 2.913549617512408
9	2.259556004908565 2.253922921365599 2.006599415582167 1.682635966120435 1.538210727301032 1.177652498946825 0.8610751688905383 0.7970564531429032 0.5264447764175598 0.2151196285574735 -0.02218129361218748 -0.005838698168678399 0.001093810450336802 -0.07372188187432205 -0.1701050196429092 -0.4233475161427862 -0.4493225609143145 -0.4360213687353518 -0.5288383346942722 -0.5719229268866582 -0.4202216302466003 -0.4831855944011176 -0.5761818789186002 -0.5610906485185849 -0.5773185803666909 -0.5783364653090843 -0.6080490379505922 -0.4270228933124547 -0.1352373971352509 -0.1160713713857937 -0.07787268073069388 0.008448192831524285 0.2110793952557203 0.402548943650074 1.142647712823299 1.903303076381451 2.320913998621892 2.531237898362333 2.682843178401705 3.083922045033408 3.674465433060787 4.283422916513675 4.573218530409364 4.863339285937275 5.093317045540843 5.003182595458328 5.14420260250032 5.094643634234783
10	0.6409734838077072 0.6630347957842602 0.5278827346884778 0.4240835051017772 0.4114368979480653 0.3422102371982069 0.2778160035794501 0.3363220397040076 0.262467643910003 0.1951688448392459 0.1711724067492749 0.3033567491703197 0.3240695030383879 0.3546412053034984 0.4414192010041761 0.3615351494398947 0.4675686427091268 0.5167165245914431 0.4803152308325127 0.4655812877105895 0.5540954009306729 0.5580705117357644 0.5457743988433741 0.5427439500384983 0.5628512736024732 0.6061255330474918 0.6040178652114773 0.7426208283516803 0.9197335833478761 0.9685016943717026 1.034418582376653 1.032855794781778 1.129159029198673 1.230485188139965 1.543676860545525 1.915608556590624 1.989835011668744 2.143229401657944 2.154359220629632 2.241491486994384 2.506325775618339 2.739841058809486 2.820464032878951 2.953355917991559 2.991862980401155 2.96469571199641 2.935350530547264 2.847031002581566
