(pearson)
=====================================================
 #  	||  ref		trmf	softimp	cdrec_k3	cdrec_k2	dynammo	grouse	stmvl
=====================================================
4 	|| 	100		44		47		46		36		41		43		69
8 	|| 	100		46		49		49		35		43		45		68
12 	|| 	100		47		50		51		36		43		42		67
16 	|| 	100		50		53		54		41		48		46		66
20 	|| 	100		50		54		53		43		49		47		64
24 	|| 	100		54		57		57		48		54		51		66
28 	|| 	100		56		59		58		50		56		53		66
32 	|| 	100		51		56		53		47		52		47		59
36 	|| 	100		37		41		35		37		38		39		48
40 	|| 	100		60		62		60		62		61		62		64
=====================================================


(spearman)
=====================================================
 #  	||  ref		trmf	softimp	cdrec_k3	cdrec_k2	dynammo	grouse	stmvl
=====================================================
4 	|| 	100		45		48		48		35		43		46		69
8 	|| 	100		54		55		57		43		51		53		67
12 	|| 	100		59		59		61		47		55		55		67
16 	|| 	100		59		59		62		50		57		56		67
20 	|| 	100		54		56		56		46		52		51		61
24 	|| 	100		56		58		58		50		55		54		62
28 	|| 	100		58		61		60		53		59		56		65
32 	|| 	100		54		58		55		50		55		52		60
36 	|| 	100		45		48		44		41		45		45		51
40 	|| 	100		46		48		46		44		46		46		52
=====================================================
=====================================================

