1	-0.04544600407021462 -0.05203142427140471 -0.0321339580986735 -0.0445177541776107 -0.05625880346081275 -0.04766109908359226 -0.03480441215359516 -0.03385188928442474 -0.03569275043184773 -0.03010756444284059 -0.04538146514845712 -0.03656210623668529 -0.04921269258990833 -0.04306282009090449 -0.0398056136324975 -0.04590628172483277 -0.03557314141437866 -0.04348402316151646 -0.04656612721183331 -0.03961500893612786 -0.04312131285377107 -0.0308484080559422 -0.04176543633908093 -0.03855190043915918 -0.04935423169935017 -0.05030096416107696 -0.05301942990332358 -0.05442121200493819 -0.06322400843622739 -0.05500773605506525 -0.03105203227901324 -0.06373150436660145 -0.08531542834035875 -0.04417215098822085 -0.1440323796677561 -0.02499065454085512 0.05753994027347455 0.07583556553361409 0.06757802122272641 0.1575789842304943 0.1475466933129087 0.2681991646614966 0.1753625469569238 0.3077793301655792 0.3921906253957463 0.353617992313393 0.283029705399105 0.1490957800310773
2	2.487098783073352 1.25109293595379 0.7753519533821086 0.3922437915813371 0.3094772551676011 0.1611015231921864 0.3376157034044832 0.2125216565308993 0.0281400071332068 -0.09488725857733923 -0.3230513055233313 -0.2058077604204634 -0.5244226058731508 -0.352886741968379 -0.1299524729753294 -0.3644036852130652 -0.1782540016948927 -0.2216381951524504 -0.2217216861901707 -0.1835782898603421 -0.3983634968929841 0.007051110397612572 -0.2836142644481382 -0.06926307410621892 -0.3685477071528597 -0.04694669220052969 0.3135768260987292 1.03303038572391 1.308219872013478 3.371903707665525 5.041135366281429 6.912296979850609 9.606250221247873 12.47946509500314 11.7769215509006 14.590552030763 15.39562406360829 14.89463849507077 16.35571984931859 16.78253336908024 15.12470859855066 17.26387548914953 15.95831466707187 17.2183507157972 18.11903930824039 15.37679044236888 14.5719241215552 9.904490927044515
3	7.72162729084298 5.749506419318907 4.654627459577231 3.774298554635711 3.090195654596486 3.268124386854664 3.253299409351995 3.008915346269194 2.764194740571341 2.757418965770003 2.359005742807454 2.385058859523192 2.172894181822173 2.288169470443947 2.281033110307647 2.133022893888763 2.25099415964348 2.125401292990305 2.047491533839905 2.165784174448851 2.173423965138102 2.140207752943134 2.103736646787014 2.120253868123981 1.871954913641696 2.024142225430441 2.306398604785224 2.760981629900828 3.181223987371127 3.876803650249379 5.116958432976341 6.266089873752096 6.946859522093678 8.210334009673437 8.184840860025588 9.774021897363257 11.2012429382515 12.50643335721192 10.22227894838449 11.51512229601754 11.58796817884403 13.30045561658473 11.46703418304664 13.96655315733021 14.98719253635052 14.29624140846139 11.30717459566224 9.369244449182027
4	6.761705387554837 4.793364429963941 3.695243050494923 2.96048958120734 2.521012567099774 2.511122932290308 2.532885785026495 2.295441872903791 2.03917672070056 1.93652619954752 1.623903845614306 1.660748786619956 1.407477802258708 1.547990071497156 1.651098080283569 1.453331111201827 1.58193213142912 1.515573078985766 1.479887468564322 1.543482035349664 1.446577283267964 1.587410918243634 1.457464829584166 1.57170929571246 1.295587219737839 1.581829825933909 1.985571905956111 2.698006994870691 3.177463486889272 4.752771181457402 6.386575498934037 8.369379025458722 10.44387377167813 12.67773850940038 12.78975109396278 14.79903199708984 15.76650389461245 16.25732598279079 15.60138483497837 16.22857062046527 15.40071163236964 17.10564192274702 15.6418149925729 17.31561078005845 18.05665900209083 16.26312144415168 14.1955205819266 10.99389406222939
5	5.324747584875149 4.227644045303888 3.876939611128816 3.01662444631954 2.078069394847899 2.614546917342419 2.673509493965227 2.544013647010963 2.419709027656993 2.65566705558563 2.126872733968149 2.213010725660492 2.047266566359397 2.124224472661731 1.947226849655094 1.900030661218886 2.050000436371014 1.790036327527975 1.637695087965903 1.875219585478285 2.039115884852172 1.823496731735672 1.865585574636844 1.723944041201574 1.533967933867936 1.350249009329717 1.238835132897538 0.9736344572727875 0.9867686599589863 -0.2236188320946049 -0.07072494406857607 -1.3908194125738 -3.891166441140269 -4.631287804632613 -5.956294580290331 -4.670113982194175 -2.195486337621584 0.2066900015020059 -4.129136591576179 -1.257459958027541 0.3709442832086769 2.543408617448945 -0.08027371880804998 4.164518151127183 6.109244221326807 7.421734753786829 3.395130283747212 3.360381027388595
6	0.5765853149832848 0.6046040020463864 0.6086564854499161 0.5297073100724157 0.3805920635421325 0.4999879916143506 0.4671340077324851 0.4650843169924613 0.4773606174469864 0.5388441607159274 0.4958299619075772 0.4825051556887442 0.5213223351613145 0.498729076390268 0.422015121599742 0.4616324555920751 0.4462173099793575 0.4128291127619491 0.3872316886760498 0.4182595636831773 0.4912636749524597 0.3658655281606966 0.4367147883570396 0.3681962709606652 0.3973069431797394 0.3050253751602487 0.2206623510716922 0.04072908348520793 0.0006332039246596607 -0.610171469913807 -0.9089194056682757 -1.468312885047081 -2.408147217014972 -3.10912755748613 -3.137865369924911 -3.520254416492354 -3.280720351704585 -2.757970410959775 -3.825666571309175 -3.449579081970015 -2.833659416570811 -2.928886240444518 -3.095273225381823 -2.654058886886761 -2.532401305932775 -1.751125942044818 -2.290385676252529 -1.322028231156744
7	-0.9230733173802402 -0.6344246163164825 -0.5639998549969769 -0.3896145275991426 -0.237225304146309 -0.3062592173373389 -0.3506583701275225 -0.3211725479647841 -0.2822724495113828 -0.3090212767908631 -0.1920333756210563 -0.2282884078100078 -0.1546607021662537 -0.1917214138905455 -0.1957374174862945 -0.1561384171983275 -0.2104302562157681 -0.1596298240700701 -0.1346819309860151 -0.1805571503133334 -0.1752794152175281 -0.2057736879704423 -0.1657118757553755 -0.1735615558211707 -0.1012366207512892 -0.1089629122295786 -0.1281743342032485 -0.1662440724058164 -0.1849542660480781 -0.2499818615283813 -0.4801669967340875 -0.4535176982171188 -0.3688541599820533 -0.6287098598778585 -0.2367522264273897 -0.8729581863784263 -1.407932556027232 -1.706427448484125 -1.260666432409146 -1.819898296953548 -1.852005813348737 -2.539517098671804 -1.917200856254905 -2.809451872633341 -3.285171959288303 -3.120419910929483 -2.391214762690959 -1.708516135436225
8	-0.09721771275011934 -0.3624465697118737 -0.4366112146087521 -0.4494357436712687 -0.3413052539386375 -0.4692027561834378 -0.3935780543860821 -0.4144177039534467 -0.4621583870203986 -0.5356981081295292 -0.5546493470316005 -0.5118494306254857 -0.6195157009391566 -0.5606567388066855 -0.4458412049481474 -0.5319673264294017 -0.4727868666598321 -0.4584065792761674 -0.4382147375851483 -0.4523785450437534 -0.5625342164395463 -0.360352347454118 -0.4900930001890266 -0.3843705140561051 -0.4777889451361224 -0.3343161380473809 -0.1923946780050835 0.1052322379462957 0.1849892947276857 1.136442434199484 1.745814517068227 2.574523372664289 3.914302426226225 5.132414609282153 4.928657185022404 5.92246628119694 5.937631240347351 5.38691198838353 6.622736638069597 6.449939363650706 5.568730256910116 6.176402958993991 5.990382890041507 5.957157866343271 6.099071380422567 4.835400838063154 5.103609385557592 3.214005632852138
9	-0.07638519981437832 -0.2553404963186188 -0.492812934732592 -0.3411378866493942 -0.0480096833911299 -0.3095575812099073 -0.3375088458802193 -0.3615138431643274 -0.3929376965721215 -0.544035730725784 -0.3966721334225282 -0.42957909308772 -0.4337639428181939 -0.423843288855573 -0.3058006787059762 -0.3501302744744524 -0.3814157241786943 -0.2776703184294974 -0.2166924091363947 -0.3102586035620812 -0.419770103713595 -0.2756664350917842 -0.3349810496295375 -0.2296085470992587 -0.2316397228688181 -0.04272814325094423 0.1549881807048367 0.5341044147993912 0.7038097553681035 1.829100555213335 2.32324718468601 3.670277130954038 5.599112372568068 6.716751159281277 7.442253688703059 7.477489546573564 6.604873733371632 5.636439091811244 7.450952533461568 6.265692718335224 5.210350674547063 4.71884119057896 5.491535510179192 4.005418467978789 3.300780786831275 2.068473596804505 3.27373207194797 2.234143731564095
10	2.005705316467537 1.573063578999892 1.234292783977225 1.078684076996765 0.9647662418264434 0.9729349080418546 0.9151073115116399 0.8539952179625205 0.8047665937449099 0.7811512053947228 0.7509443102868875 0.71993097583418 0.7239940409031225 0.7247759247461056 0.7079053733791209 0.6996266534557837 0.6837232070315964 0.6867124103599954 0.6808438553511326 0.680106871025013 0.6980574337565058 0.6364351267562635 0.6749755650341339 0.6639846344954609 0.6516865648337167 0.6892628214092578 0.7647881547936871 0.8730760279987764 1.007165415676502 1.122587222621313 1.306045166649889 1.699240979079783 1.928738272678874 2.037472965346841 2.447836096166419 2.314096065739893 2.307961675737049 2.54742523435062 2.025951944361783 1.960091458028622 2.031876273750159 1.926223688616246 1.882020349564791 1.922335101666122 1.810898790014149 1.826862407735119 1.411994069306015 1.538690790965743
