1	-1.177318790436147 -1.21487906194797 -1.142942874418704 -1.155412597047272 -1.192343102125362 -1.178030097088342 -1.1999338065681 -1.091724384646577 -1.010885528223986 -1.083023609573447 -1.311537227836609 -1.261883714934979 0.4207479556002677 0.5645496374317222 0.164946488927018 0.4173734078393541 -1.682213497093608 0.4370955535650026 -1.302364313149521 -1.308930668392664
2	-1.173473313262457 -1.198227726630327 -1.164635145639156 -1.149741812307247 -1.178727778012131 -1.166559765662309 -1.1133275179153 -1.088160597583684 -1.084249286985928 -1.078627173498812 -1.161654343465198 -1.122648213431397 0.04454016701517964 0.2126788280074903 0.06551913729826589 0.2351664050973789 -0.5653885823653598 0.2166012470110407 -1.130817003028481 -1.144406712173817
3	-1.207674252545081 -1.210218869432043 -1.222448842699829 -1.190066599437453 -1.214827529173085 -1.194018169735907 -1.142763803985968 -1.157020618376908 -1.197474726029116 -1.147876228978198 -1.148955155346667 -1.120749527887448 0.01990753179581375 0.187062471316921 0.2120135684818379 0.3347852161081587 0.2000813780405767 0.2888955057122196 -1.117594626119715 -1.127355993532317
4	-1.188078443886246 -1.20133132751359 -1.198852089022614 -1.164117719437112 -1.187802645540059 -1.175276311160514 -1.076391757519154 -1.108348787895102 -1.158936932360132 -1.09829266348612 -1.079296781828217 -1.048312670976871 -0.1873513732295801 -0.00309598028482989 0.03209367068749388 0.1447753186533264 0.2428482367728969 0.0979585284583102 -1.034957869132338 -1.05224270342826
5	-1.224182877230173 -1.253249067527896 -1.2279507654426 -1.190876541819886 -1.215111832072256 -1.212534237920486 -1.053400547213499 -1.10243100201063 -1.161757811079452 -1.090744825382494 -1.057992776789534 -1.020811143783474 -0.4324594944067515 -0.2186575701324878 -0.1915285404987187 -0.07856833499315452 0.2083885210458405 -0.1254868423682739 -0.9964493522931659 -1.023782345190467
6	-1.165910422336394 -1.190116049478159 -1.173300960660288 -1.135138244801363 -1.15737618230931 -1.153764639261843 -1.001590238116382 -1.055279350583502 -1.119304301404792 -1.044232188735808 -0.9987812929005561 -0.9652375757786148 -0.4211922344124236 -0.2180404125096272 -0.1631612324651749 -0.06423164830746741 0.3271761210240411 -0.1133276398856194 -0.9398970849924831 -0.9654286420335867
7	-1.113921893377377 -1.122055887137372 -1.132726966904818 -1.090768277152405 -1.110286148325187 -1.099306617629604 -0.9805607770312845 -1.039000508714899 -1.112800333853198 -1.029270579769357 -0.9616772198049278 -0.9362069224349682 -0.3054567915641382 -0.1240773454617814 -0.004841994209576633 0.07263643185854612 0.6093206398381636 0.01561559057500513 -0.91258483393168 -0.9312517414206067
8	-1.091922766240772 -1.094949594837365 -1.113220696079383 -1.071755843896909 -1.09073299799263 -1.076933767514485 -0.9756912498771949 -1.030333850672187 -1.102538785295241 -1.021169847152221 -0.9550459453643753 -0.9319278773658891 -0.2376303366336507 -0.06634780797818088 0.05987646540084902 0.1346089313483509 0.6390650017295019 0.07731263292964352 -0.9110983228640805 -0.9267316517006265
9	-1.03308939959582 -1.037003072511167 -1.055171905522973 -1.012294626622916 -1.029239053969787 -1.018216376161407 -0.9032064259054268 -0.9680340099273126 -1.047196851217723 -0.9590288401184154 -0.8760576228830288 -0.8545995395841837 -0.3128575638469729 -0.1435895472944528 0.005764735765073964 0.06565351745648632 0.7368355339815846 0.006877160896057318 -0.8290401630902738 -0.8463463621854636
10	-0.9841305524140918 -0.9889023920054453 -1.009776673764333 -0.9613702001505254 -0.9754028630507348 -0.9683936621382343 -0.8227798302702125 -0.910893577349381 -1.008544158838541 -0.9017116114323762 -0.7808034788327348 -0.7616285676545224 -0.4648584666189722 -0.2902664328293373 -0.08444573226824363 -0.04987435635331267 0.9827024611400591 -0.1155561399527181 -0.7257896007881399 -0.7468400800294641
11	-0.9036211939111853 -0.9174204598736108 -0.9235819304467429 -0.8770419277755565 -0.8894558737871117 -0.8898214267736337 -0.7155025047773699 -0.8106725977230058 -0.9085440737860657 -0.8013424030444849 -0.6750968737464024 -0.6545626026760292 -0.5995132682664251 -0.4225166559907294 -0.2278788892710926 -0.2019567649542811 0.9264000039653009 -0.2631704388447895 -0.6132906469033723 -0.6391249989098946
12	-0.8839927580679532 -0.8874584332984362 -0.9097395986886582 -0.8629317698442753 -0.8745928827156644 -0.8690149407600195 -0.7266489848069135 -0.8164176669607104 -0.9136294638554727 -0.8080070904549146 -0.6814894973966557 -0.6652824642814728 -0.4732267400548275 -0.3123493536509367 -0.09783873231033245 -0.0767322031302584 1.013774824660415 -0.140243853829851 -0.6287610113203147 -0.6489429334229322
13	-0.8612572326519142 -0.8889661858400679 -0.8710522788892088 -0.828851806632644 -0.8414695957188717 -0.8503160730412229 -0.6446092088589733 -0.739132017770976 -0.8294076382104246 -0.7292199244805548 -0.6149243234324632 -0.5896564526590174 -0.7296299697987917 -0.543598520867082 -0.3956464877945222 -0.3638692947029233 0.7155381864608023 -0.4165545197411756 -0.5451641629685618 -0.577014889679845
14	-0.8192007411129153 -0.839517862995335 -0.8273343947990858 -0.7936351945770194 -0.8073692385793001 -0.8095185197744079 -0.6618491739084542 -0.7253743833491906 -0.7911409349631348 -0.7168735097285955 -0.6458739235521259 -0.6226108781743052 -0.4805411605203437 -0.3222910229764501 -0.228955053115768 -0.1798092905397974 0.4716934339354455 -0.2226702401733145 -0.5930030713278025 -0.6164532989337469
15	-0.8326038077618556 -0.8456474844011346 -0.8456274694405707 -0.8103456988237212 -0.8239208249409832 -0.8216291126745263 -0.6926280307633609 -0.7548744503285238 -0.8230085794273977 -0.7467736992573218 -0.671988269507205 -0.651300067731821 -0.4037940044452792 -0.2521619731420779 -0.138498821222736 -0.09195681979899949 0.5632447711320006 -0.1383498374500529 -0.6240400562393574 -0.6440471317528359
16	-0.8589204958973529 -0.8673006532440761 -0.8733230183625378 -0.8394685500894843 -0.8541232760338867 -0.8475653109457777 -0.7424659909760966 -0.7942110180049173 -0.8559586769250712 -0.786436175311284 -0.7252474135064337 -0.7051764559528281 -0.2949910639137061 -0.1497783938836061 -0.0477100921489415 0.007653135427669801 0.5144023435948372 -0.03786794277413109 -0.6836014180121734 -0.699992843300233
17	-0.9052996861173953 -0.9047222201752897 -0.9269233989757394 -0.8891481894035226 -0.9038903878720019 -0.89174540715734 -0.8035402693636647 -0.8579728773719391 -0.9270299270719862 -0.8503891734422164 -0.7781713229747331 -0.7608504343282977 -0.2226999027208721 -0.07975626868296198 0.05809569270051294 0.1097986288334893 0.6768966135067827 0.05724830272164291 -0.740437100126789 -0.7534073528716453
18	-0.9455235016027089 -0.9399098537609302 -0.9654777335903537 -0.933780930384613 -0.9512926359669274 -0.9325084133389796 -0.890592842750613 -0.9173969107676472 -0.9658219974691947 -0.9104114631950183 -0.8795063479065929 -0.861531852150841 -0.006858472237282045 0.1231379830024673 0.2070792778444366 0.2839663682602573 0.4420775291354254 0.2382553851059381 -0.8542367387112099 -0.8608383022538918
19	-0.9799883443584122 -0.9902730347402371 -0.9916930859837152 -0.9594223566606798 -0.9779350949495748 -0.968541276287868 -0.8735625295036481 -0.9116667792798736 -0.9637841882078726 -0.9031749839301385 -0.8679174698193562 -0.8433782297222167 -0.2185201658340057 -0.0617792437121516 -0.0008304776327850723 0.08130225479576345 0.3414836443185628 0.03782236143541153 -0.8275121193162579 -0.8432963919607958
20	-0.9892154388396287 -0.9986039501851459 -0.9998404148768039 -0.9697818264746019 -0.9891625584726353 -0.9781058961874916 -0.896396951977757 -0.9255964123997887 -0.970659248846644 -0.9172772948450661 -0.895876927991315 -0.8709172086601232 -0.1561180737731825 -0.003261195999225188 0.03796155301469809 0.1283190755538038 0.2550624945338093 0.08752866807643653 -0.8590919512156975 -0.8731352105900734
21	-1.062030632531974 -1.097700593682733 -1.064631787371424 -1.025293658117634 -1.044435125168011 -1.051560238899672 -0.8475359556219902 -0.9223049467904976 -0.9970029960145356 -0.9108348712333835 -0.8389231869424245 -0.804469253854771 -0.6646063930480898 -0.452991929060053 -0.3815373970059142 -0.3044519610399477 0.3915973895011346 -0.3525080110030144 -0.7670575735396725 -0.8005355588969864
22	-1.140740468614281 -1.202391432110824 -1.13205840813712 -1.088402636416396 -1.108858493946479 -1.131951567659766 -0.8284538879871287 -0.9313142919157403 -1.020874452572315 -0.917025725784272 -0.8228021806966233 -0.7777174923478224 -1.065489373944157 -0.8027778547523936 -0.7445131139661924 -0.6648616072335637 0.3366635364473751 -0.7137685257139298 -0.7222612760845657 -0.772357032213613
