1	-0.5450758363492311 -0.6710347514026346 -0.6082750812486333 -0.5737287638377325 -0.7083885388394162 -0.8721744077196969 0.4055732686911412 0.9921260989071989 -0.6712495477586853 -0.6113704548407407
2	-0.8555012857291445 -0.8893167995741474 -0.8795057925080173 -0.8865786908786361 -0.8740639520309874 0.27417838715642 0.09971207367057484 -0.1103892070833171 -0.8928918488149931 -0.8817222830860324
3	-0.8704843144347862 -0.940331857481679 -0.9105947555560496 -0.8979246924306206 -0.9346191551693047 0.03563665189633 -0.232121620990116 -0.19228067857978 -0.9422705110491343 -0.9150069319907188
4	-0.8668752008133096 -0.9537275711125409 -0.9144685617352635 -0.8920959357802989 -0.9527682854423747 -0.08224202013566324 -0.3980380521826197 -0.2345133844626139 -0.9548199878283579 -0.9199294182005942
5	-0.8799653184876594 -0.9480233344779876 -0.9192067177509254 -0.9057884912745171 -0.9396391935877179 0.08808382663763298 -0.3493771564672996 -0.3245457128432521 -0.9497972242897721 -0.9240009154837217
6	-0.8796448727910976 -0.9357307947130086 -0.9138625365124755 -0.910351896628087 -0.9270345804473012 0.1157994253336983 -0.01879576875022469 -0.08388480685752503 -0.938561003832977 -0.9171592000208996
7	-0.8905338743747082 -0.9507036348610235 -0.9268162794368607 -0.9229850061982524 -0.9443522435627463 0.0664713255348732 0.05944749093668865 0.01557610932821385 -0.9536515495656996 -0.9299708340870215
8	-0.8940349801209866 -0.9652431026760823 -0.9350383320719796 -0.922804794126458 -0.9596798548654119 0.03205864597182217 -0.200591943384211 -0.1641240859231802 -0.967332490187116 -0.9394219186681565
9	-0.8924750215486715 -0.9613478568418113 -0.9325285676237962 -0.9227110787446363 -0.9562604848044164 0.02761848615965051 -0.1008596179459786 -0.08186850069526939 -0.9637141127542868 -0.9364928976210647
10	-0.9117783474114969 -0.9686685987045217 -0.9470268442049078 -0.9479042803113126 -0.9628737917015708 0.06389836265841098 0.2519497515909678 0.1703211330658685 -0.9722387236941719 -0.9494524168315407
11	-0.9067347053512039 -0.9672645625952986 -0.9434692189875203 -0.9413288072964837 -0.9618530145046563 0.04987974803535666 0.1591780523795316 0.1073955713893847 -0.9705050757120125 -0.946312996019761
12	-0.9073088357254586 -0.9720248129740598 -0.9456690114448673 -0.9385148506904564 -0.9652500303530757 0.06694401906517901 -0.06252752504088373 -0.08096095158131786 -0.9746625863634722 -0.9494114613357906
13	-0.9025949307526457 -0.9736542820143803 -0.9437074340811742 -0.9327913939344465 -0.9687122014717291 0.0216561058014371 -0.1287882730682747 -0.09924876026371368 -0.9759498784143049 -0.9478500542317062
14	-0.8925686364254375 -0.9784710556372822 -0.9401885559082434 -0.9211515978552814 -0.9783960619585726 -0.09474759846929669 -0.2390617459591583 -0.09869542520068512 -0.9800704337383928 -0.9451115942326141
15	-0.8830802217970767 -0.9527135619651922 -0.9236054190644842 -0.9157734531000421 -0.9506243058016516 -0.02885452620801093 0.07086839432326462 0.09655387357183197 -0.9553938205514583 -0.9269673459210757
16	-0.8811516254667636 -0.9258628398062159 -0.9108670414219948 -0.9197224353379438 -0.9195220694987574 0.09412605577363749 0.4932558121947995 0.3377878045124561 -0.930145401293044 -0.9120463151943923
17	-0.6560581828786767 -0.6622395523534899 -0.6655967106052347 -0.6806164855831153 -0.6436995396521918 0.370875586769455 0.1619796960423953 -0.1384535085790609 -0.6657050308202187 -0.6664484269022429
18	-0.7805744277248899 -0.8556429016245708 -0.822100852283682 -0.8044024628375208 -0.8545530937136154 -0.06416755067137049 -0.2820753324283844 -0.158229942899671 -0.8568809340736251 -0.8266620787800195
19	-0.9045738899270799 -0.9413443925976287 -0.9310058891190215 -0.9448373188870779 -0.9319569429380578 0.16569791276472 0.5666559895642084 0.3422419518563033 -0.9461214998016969 -0.931751316323439
20	-0.8025361386173547 -0.8840591134220704 -0.8474602924251146 -0.8303692729580729 -0.8874433613553406 -0.1557392919195686 -0.0901481855722161 0.06338617925602817 -0.8856585058132009 -0.8515652814647483
21	-0.7534092933444346 -0.8633164968012955 -0.8097346714887089 -0.7678394135620508 -0.8690653164006528 -0.2544177553717439 -0.8844703044492804 -0.4916630312036717 -0.8621391831821644 -0.8173321529808043
22	-0.716921384182004 -0.7886430976075527 -0.7562052946337597 -0.7374240331187426 -0.787504288998633 -0.06154870875360315 -0.351205010775424 -0.2162652324639391 -0.7895005220328317 -0.7607962119145026
23	-0.710494636025597 -0.7220515982488012 -0.7244722417261508 -0.7552298417023191 -0.7193856798503752 0.07665008420857926 1.300654212729463 0.9863950504687676 -0.7281724505094341 -0.7215615568369451
24	-0.7191132915953891 -0.7218596805071809 -0.7287962071652103 -0.7591570150946502 -0.7112837508335335 0.2370615834038071 1.007058057709028 0.6328969166354451 -0.7276096009753056 -0.7266934050062424
