1	0.6150343911038922 0.7281408112332987 0.3337609061381068 0.1695414222483686 0.1582869282571486 0.04400290817358236 -0.1989170076803092 -0.06664207649913478 -0.09188154838759204 -0.1173643494475621 -0.2003271863060858 -0.1571777993401046 -0.08367804156234422 -0.1685242152608675 -0.4135602022097006 -0.2943180738607188 -0.3029783632586148 -0.4191443993402942 -0.5059672452079774 -0.5833650004482275 -0.5751739448355209 -0.5834792235541804 -0.82220461998897 -0.7816380260609416 -0.9068033533676112 -1.014166457583679 -1.216857352993938 -1.217248538514579 -1.230877221144487 -1.315002047148056 -1.648157364463206 -1.442795021396317 -1.423986056998099 -1.264511009387366 -1.13504786892159 -0.6568028268781227 -0.1376939125682484 0.3148975055592374 0.7647949731355297 1.421435829885443 2.032894330087794 2.628545384813248 2.973916768698328 3.698064057817708 4.091708675144504 4.306422541164624 4.233777993409678 4.240197184147495
2	2.522587022960959 2.205303604919914 1.846932582644434 1.465760834492788 1.155006749576713 0.9025290284719341 0.6854499125691716 0.5192178556554909 0.3863847814378045 0.2679227345449169 0.1688509213012009 0.08562919638789368 0.02795059363954555 -0.1023256387657637 -0.2296073737514377 -0.3114622092365525 -0.3843834093192208 -0.5028567912959689 -0.5383516537004588 -0.6604238757197115 -0.6873107652558644 -0.8183647309475236 -0.9082268435470067 -0.9166503672631394 -0.9968950576485718 -1.028328297671349 -1.094158161068089 -1.167852961988345 -1.160506571885379 -1.224162942426591 -1.334294773567459 -1.233104295306272 -1.19954859204653 -0.945869671688875 -0.7887532916349165 -0.4345524082280545 -0.1023159236661212 0.1839829698754576 0.4361128964375526 0.6828094040261492 1.046437338316998 1.221172591624211 1.304393533103825 1.513073905191197 1.611740206498299 1.652504070290566 1.513747384764016 1.334326953735844
3	1.44768451760326 1.245429944924199 1.081484172812259 0.9373248931006324 0.8431679825376139 0.7719213624339908 0.736418550368977 0.7006802839997183 0.6322923273543603 0.5693590277125236 0.5044994226269636 0.459968046206389 0.4203230796168171 0.3179269744632652 0.2329805780540946 0.1540010612830996 0.09504032635152541 -0.01357111701475969 -0.02830445656176873 -0.134765341321023 -0.1516926221448874 -0.2900464292148617 -0.3698338904227135 -0.3366482714567159 -0.3905711975913808 -0.3870695840445247 -0.4394497256997468 -0.514099302448595 -0.5233404980184898 -0.6371580060687138 -0.838554717901359 -0.8227232342725357 -0.9846041902766522 -0.9510213134526152 -1.112654100255656 -0.9910474962446181 -0.9432620484144782 -0.8927003810880439 -0.956580887887418 -0.9033051712807922 -0.6870703090282709 -0.7570768346423503 -0.9203442954067108 -0.8324198801692788 -0.7910784818832258 -0.764366274903044 -0.9365001905189847 -1.0520956791323
4	-0.2604690582577235 -0.1535663892148514 -0.2481478233326021 -0.3244622875166617 -0.3866228041252877 -0.4703414050072288 -0.6123199750542007 -0.6301290612725098 -0.6249103100523504 -0.6184511632947255 -0.6124504976575487 -0.5922068538417536 -0.55574429575651 -0.5193460918849437 -0.5441810184160562 -0.4589028597966054 -0.4266483827588715 -0.3829973337756729 -0.4062975805119221 -0.3578769128256315 -0.3494448249854147 -0.247181906914968 -0.2551874269332517 -0.2935071984119164 -0.3013401896753886 -0.3513083707258292 -0.372095829130605 -0.3176507050426692 -0.3046216977015394 -0.2138698578572298 -0.09795973328222332 -0.007767697321322603 0.2289837563726471 0.3741189647872969 0.7109461212086049 0.8795993821434207 1.142375723326724 1.357829323516589 1.702591925074219 1.942279408769698 2.025733523162049 2.369492287784062 2.7190502896594 2.907834605791742 3.010230872951242 3.052944182485809 3.178866502629244 3.226514395022409
5	0.07306301796986472 -0.1816705019565225 0.2038580045155805 0.2855929853722991 0.1946126862549081 0.2561630498173872 0.4957129584565821 0.2691375106755505 0.2561889086492976 0.2484457294331994 0.3212054474685513 0.2371388314051027 0.1226191757779961 0.1868468763534522 0.4586006537468491 0.2765503762007371 0.2624720139202983 0.3709120812325129 0.4706240750730223 0.5279587520206844 0.5081699658768303 0.4730977438222018 0.7493448039942066 0.6947097619856418 0.8282766524929948 0.9560409083294321 1.194301707555807 1.169110202206094 1.189005266891113 1.274503463214027 1.663972660112237 1.433657039164558 1.418580228906376 1.298744209556162 1.182618981803058 0.6871370813007622 0.130699380271866 -0.355450541935918 -0.8510859859776528 -1.61326241308416 -2.275901418829039 -2.985282553972769 -3.404266880859462 -4.265679834857513 -4.738981261132868 -5.001468771890541 -4.956708760339525 -5.026671592062926
6	1.805962475626335 1.716677112252341 1.239480701623304 0.9265467383773771 0.7664497479334528 0.5592592279606245 0.2782075367064106 0.2977130528674812 0.2092705051924205 0.1278545428123752 0.01190826459343432 -3.811419305356198e-05 0.02251923395061088 -0.1149008764411863 -0.3668813766372885 -0.327700755167228 -0.3760880589549092 -0.5326735737166819 -0.615120887956657 -0.7441362961289552 -0.7527001196489298 -0.8398560558423875 -1.069945823643633 -1.037797686105203 -1.174966348721502 -1.26774276570782 -1.455889098237866 -1.501180792355413 -1.509682857928223 -1.61948246211409 -1.94944047221464 -1.75018845307827 -1.749490478818917 -1.514730718240193 -1.377990794982047 -0.8476740903501513 -0.3093320822125724 0.1600936568287624 0.5928996552804479 1.196942494381353 1.846530183365984 2.352688714795895 2.617141198317686 3.260670218169307 3.602936799412442 3.784650888443753 3.640570516961861 3.547169884221427
7	2.956318250318094 2.64230913514041 2.139405870369962 1.746017035511456 1.503186604556438 1.267396557125848 1.032413918559399 0.9772383278609532 0.8333524791429364 0.7016044756443581 0.5517307340916741 0.484583256407016 0.4466237814913542 0.240648109833465 -0.01214015016548518 -0.08510945474352716 -0.18585458725038 -0.4069540185346501 -0.4752381146790285 -0.6791096072062086 -0.7060701934839683 -0.9202829894519701 -1.148648610529979 -1.098020967738932 -1.245430554707454 -1.300257638423407 -1.472499811495042 -1.587628596290116 -1.600574089753933 -1.7905472145685 -2.203406697109765 -2.055793859411774 -2.2145271740761 -2.00126663883741 -2.060221474395687 -1.571049607322166 -1.156563180998105 -0.786675369241344 -0.5604922429753342 -0.1183794013963759 0.536851047379811 0.7846221140867093 0.7833796595535282 1.276479336459047 1.530997715746187 1.668901043930765 1.386471850181625 1.183252020634108
8	0.4159866545392611 0.3878057239242561 0.2774677087075502 0.1158192750964642 -0.04909715687564742 -0.1885391564771791 -0.3407375009188059 -0.4506200869339081 -0.4831331276716505 -0.5094811186056031 -0.5142199144533705 -0.533219334631316 -0.5352855874162392 -0.5189772957664369 -0.5208181860052966 -0.4935610884883045 -0.4828134733267729 -0.4466554608548596 -0.458880685002506 -0.4295561030717166 -0.4322070098343789 -0.3696372096682762 -0.3434215688241528 -0.3963520479840449 -0.3974597799579958 -0.4299840664389568 -0.4184872450568063 -0.3875844000314811 -0.3681247038505375 -0.2741206230512461 -0.1026658390675296 -0.03214228198008077 0.2157398110245646 0.4060524811724025 0.7677026608294345 0.9295573358168815 1.169051672407762 1.362790123497025 1.67777189596711 1.827707560124243 1.86970414282194 2.11818689122788 2.40954928427701 2.476465811271146 2.507642617658667 2.506845298566749 2.608390139601868 2.594955633510372
9	0.5181549005436152 0.5381255622749284 0.3562576436328196 0.4570987296611189 0.7085520411182028 0.8473398904854272 0.9348476895396408 1.223314382126516 1.226292165815013 1.220508341018206 1.129080428548496 1.17165064830416 1.207533680289595 1.052385685533547 0.8217958279480381 0.8128748876616724 0.7511547609738524 0.5308662817066641 0.4803199058282557 0.3034970511183562 0.3047689701270082 0.09756957999078887 -0.1788797516182238 -0.02769245579588177 -0.1513507317543184 -0.1678083638641072 -0.3729229925226779 -0.4761828155786931 -0.5290602044283448 -0.8389117780561867 -1.535484753021053 -1.506648480144593 -2.061562236431167 -2.285778039339619 -2.974869438961188 -2.853346225820722 -2.892935522228615 -2.893415047425047 -3.194984029236438 -2.956769033110386 -2.450356783312088 -2.518854812969936 -2.912264245627481 -2.4442337235577 -2.183669487520579 -2.005063758446139 -2.354988684521698 -2.392443845421298
10	2.676633607300626 2.273897731011546 1.99266560878122 1.558457905234564 1.132374009056492 0.8274503295277038 0.606982481170526 0.3072855002656355 0.1568713032836308 0.0255980601999047 -0.04755522834238457 -0.1659523093708635 -0.259748631485098 -0.3525370632394423 -0.385256426299037 -0.5063706353330767 -0.5737850706588695 -0.6286855532154904 -0.6370826467226587 -0.716394703247982 -0.7500917265285332 -0.848066739049702 -0.8266025049893391 -0.8848962018062728 -0.9179189005455028 -0.9256100558218222 -0.9027779698494841 -0.9622848067657306 -0.9368754654607866 -0.9118979634254981 -0.7838075727578863 -0.7203441367306046 -0.542117225169519 -0.2241874132052017 0.1077090206286016 0.380229812324036 0.6591868787171509 0.8896697055012698 1.158533725932545 1.233784499041256 1.387108504057005 1.471449574884059 1.590510504175824 1.546286626495454 1.50336883676489 1.455258324911964 1.400018269719398 1.198184226883887
