1	-1.369639915923868 -1.132969780281437 -1.109461594674549 -0.8531561856498949 -1.313038964177128 -1.156946853689494 -1.209320408527161 -0.9267944354809494 -1.338839851627245 -0.5963861403630734
2	-1.370206814067616 -1.128402311981929 -1.105452603881639 -0.8523444266332517 -1.313918930609874 -1.152180373457855 -1.204403869138884 -0.9265518408298357 -1.338409071557102 -0.5948461870988021
3	-1.370359078840688 -1.128165962196733 -1.105566342495507 -0.8549510201668817 -1.314251272124981 -1.152364523815935 -1.203953949383997 -0.9289881897944623 -1.338078701685993 -0.5975677400506103
4	-1.372171833657569 -1.130657796028348 -1.10781344197053 -0.8554634650253033 -1.315869943538207 -1.154788128137478 -1.206685309804108 -0.9295627698936141 -1.340177891573518 -0.5978015039282845
5	-1.372058514550004 -1.128263476513458 -1.10528256456552 -0.8515474935265007 -1.315708010587719 -1.151743822285028 -1.20435929128518 -0.9261640106434232 -1.340138493159027 -0.5933823937415457
6	-1.37353536773357 -1.130884884879624 -1.107961650425036 -0.854796740739955 -1.317155612849725 -1.154783624420861 -1.207018403397874 -0.929175130487619 -1.34154033896282 -0.5966730726607308
7	-1.375491199296267 -1.133496866866578 -1.11064742027448 -0.8580721261659692 -1.319078355394337 -1.157775805271362 -1.209677510379338 -0.9322964545849487 -1.343359132077353 -0.5998370660223441
8	-1.378540817941006 -1.131044535204585 -1.108981403069751 -0.8611298924327543 -1.322478587751334 -1.155555519376552 -1.206845981437576 -0.9358571076140993 -1.345004006988546 -0.6018762292452129
9	-1.375490161228475 -1.133620223688104 -1.11146609477541 -0.8640043091090701 -1.319437933366433 -1.158888936760685 -1.209367373159611 -0.9377212699700073 -1.342453515765362 -0.6062129809742018
10	-1.375991048585342 -1.136571610639441 -1.113304428452392 -0.8580924667525157 -1.319323103217094 -1.160818515303709 -1.213049261871316 -0.9321348805497609 -1.344510811203392 -0.6000265746410051
11	-1.375046566011513 -1.137290396743079 -1.113125212922885 -0.8516501639684846 -1.317930010876742 -1.16054885425638 -1.214293867232281 -0.926000217152263 -1.344856517816483 -0.5934968438524222
12	-1.377812700710774 -1.152807491791918 -1.12595335077838 -0.8468691317241666 -1.319100451476677 -1.175068197608578 -1.231682374680199 -0.920753214905775 -1.351652205719871 -0.5891371780474206
13	-1.379365774849978 -1.166764937869744 -1.137133574583711 -0.8397735206246763 -1.319055761047309 -1.187745045674883 -1.247508848553801 -0.9133055857781324 -1.357378371294239 -0.5825179326731714
14	-1.37827701821366 -1.174808476317559 -1.142794972965187 -0.8295795932029922 -1.316690649475277 -1.194208609397453 -1.257036599523912 -0.9030657997902649 -1.359885820826954 -0.5727924089914259
15	-1.377503177123678 -1.180116013505089 -1.146556120441508 -0.8230763217285334 -1.315089271045117 -1.198515743400634 -1.263305336694039 -0.8965037070107559 -1.361456272598624 -0.5666321887097655
16	-1.375793184816734 -1.185745121358968 -1.150757285721602 -0.818124763842273 -1.312634746829498 -1.20348728433557 -1.269785188200795 -0.8911683513193734 -1.36202995773632 -0.5624709650447667
17	-1.378076558614922 -1.188984941677694 -1.152597716938719 -0.8098064209980803 -1.314105401243189 -1.2051465388696 -1.274008425790156 -0.8836694696182792 -1.366107853430969 -0.5531622688014268
18	-1.375709557330413 -1.190354784084714 -1.153065801940252 -0.8043826965047755 -1.311319045098579 -1.205826000332106 -1.275851790745226 -0.8781574083755547 -1.365187320889156 -0.548250977465947
19	-1.376692715569414 -1.185439434154783 -1.148214551608638 -0.7989645101536171 -1.312350323898366 -1.199905443274282 -1.270911188773609 -0.8737985469306474 -1.365768405077567 -0.5415998043351995
20	-1.376587273629589 -1.184402592203515 -1.146052935728969 -0.7884101042090049 -1.311671101055403 -1.197114762158942 -1.270566904451852 -0.8641993079740909 -1.367095262462618 -0.5302031305835067
21	-1.37450378139557 -1.183200714222017 -1.143445896228764 -0.7757289712458659 -1.308920124832496 -1.193979508667845 -1.270151136842547 -0.8523129622207036 -1.366970546846228 -0.5171426718314983
22	-1.376229897761995 -1.179685121044619 -1.138947991675796 -0.7630886845486983 -1.310119721003907 -1.188192374485037 -1.26730106571718 -0.8413461936814525 -1.36966907131459 -0.5026565481360626
23	-1.372728379272586 -1.174612522736694 -1.133462248295057 -0.7544215563978526 -1.306534514950087 -1.181970454522595 -1.262317513309757 -0.8332241647871552 -1.366761983178664 -0.4939432425608294
24	-1.368354228675122 -1.167839095347897 -1.126193468550936 -0.743256149872243 -1.302070169015344 -1.173703586785184 -1.255640117124091 -0.8228062651467316 -1.36308234466507 -0.4826490195292599
25	-1.369322193280692 -1.161205969416591 -1.119120832339283 -0.7316387190518338 -1.302838731740012 -1.165027738820648 -1.249286675943087 -0.8129146570096302 -1.36422689140685 -0.4691705705502719
26	-1.375679934381092 -1.156745770191152 -1.114230966145822 -0.7215556634211223 -1.308846171169753 -1.158308499460369 -1.245330944446433 -0.805199960540819 -1.370396688310532 -0.4558399649768664
27	-1.381681036090761 -1.1567708551927 -1.113479108243118 -0.7139036063595597 -1.314289009255358 -1.156524693067768 -1.246085863804647 -0.7992563083664964 -1.376909240993446 -0.4457097426646663
28	-1.387483350145077 -1.154885875808148 -1.110641492780863 -0.7025938814799692 -1.319462344822427 -1.15223291239001 -1.2450224616843 -0.7900929203678366 -1.383378556158031 -0.4315165506390712
29	-1.387065607435605 -1.148860447601066 -1.104709131386527 -0.6964010956993772 -1.319152778480236 -1.145194243268493 -1.238890866155384 -0.7848716670889304 -1.382586127248224 -0.4243657205254541
