(pearson)
=====================================================
 #  	||  ref		trmf
=====================================================
100 	|| 	100		84
200 	|| 	100		68
300 	|| 	100		80
400 	|| 	100		83
500 	|| 	100		81
600 	|| 	100		83
700 	|| 	100		82
800 	|| 	100		84
=====================================================


(spearman)
=====================================================
 #  	||  ref		trmf
=====================================================
100 	|| 	100		73
200 	|| 	100		67
300 	|| 	100		79
400 	|| 	100		84
500 	|| 	100		84
600 	|| 	100		86
700 	|| 	100		85
800 	|| 	100		87
=====================================================
=====================================================

