1	0.01896428311574398 0.01657203870729318 0.01411394126362649 0.01341063178319589 0.01092623071013307 0.01025816689822832 0.007867289986340819 0.00691545985054211 0.002411728759516978 0.001992578556530717 0.000903421947415048 -0.0005232195759032432 -0.00105434672973196 -0.0009186393863671472 0.001686084347685699 0.001192855045572645 0.0004736421704439689 -0.0005161621098797702 -0.001008513889175952 -0.00122898764213916 -0.0009669660252787384 -0.0003005880980675265 0.0006616909030524755 0.001605105801882057 0.001067658725340712 0.0005830117339124168 0.006044018535934639 0.004346401589292012 0.003847146550638446 0.001290815599355638 0.0006310543643295143 0.0008142187113887803 0.001140843913677979 0.001613869881809176 0.001531406793593608 0.001005605538340552 0.0002935913120889953 0.0001121389535597521 -0.001008398688073608 0.001174343683850331 -0.0002116424545040254 -0.0008698971663453233 -0.0006121151008680231 0.0007297317462251316 0.0001757591510347895 0.0006155720743615279 0.0009554768602555176 0.0004472471948619035 0.0001563862597477231 0.0003947067217620675
2	0.01627912224687884 0.01463261979105472 0.01248357432647587 0.011867757098765 0.009699984472617862 0.009114091356998557 0.007031637937394692 0.006157842117293692 0.002089429871692937 0.001718492809493665 0.0007731404453867854 -0.0004325761546445251 -0.0008762071181020105 -0.000766260353789298 0.001508778053726738 0.001100430410290327 0.0005091355274581461 -0.0003021537079347957 -0.0006835854943875306 -0.000848457151158725 -0.0006025234966668663 -3.036415893228692e-05 0.0007743606986851247 0.001530870648588703 0.0009686008058386933 0.000523588425918474 0.005435826415334483 0.003984830021147786 0.003558435470174866 0.001349300910280301 0.0007972323779305931 0.0009330930497362989 0.001176682037352542 0.001520179301898168 0.001397494539187901 0.0009104921872109519 0.0002884033398432682 0.0001057010353936453 -0.0006929022695774716 0.001087139630978739 -8.63834918167433e-05 -0.000592313148614163 -0.0003648370880986964 0.000712797064655524 0.0002626351820596037 0.0005585398053320465 0.0009407980203369529 0.0004116013754089878 0.0001512275645585881 0.000364472721085655
3	0.01359390555369919 0.01269316507441711 0.01085317750086467 0.01032485419021357 0.00847371613900768 0.007969995260326925 0.006195971320700602 0.005400210738071313 0.00176712377531984 0.001444400748709933 0.0006428555140112867 -0.0003419312993416708 -0.0006980639552726975 -0.0006138782485823427 0.001331468043791853 0.001008004010496284 0.0005446301296868197 -8.813987563305904e-05 -0.0003586487616348987 -0.0004679167878090056 -0.0002380710583922541 0.0002398678684840463 0.0008870352105644398 0.001456635817566917 0.0008695414624130488 0.0004641641267672773 0.004827624043194234 0.003623253434564402 0.003269720931164621 0.00140778982845176 0.000963416535963264 0.001051972447488108 0.001212523151793477 0.001426488366326229 0.001263580490333486 0.0008153774085246504 0.0002832156620957117 9.926307706035768e-05 -0.0003773978999256835 0.0009999339651881232 3.887860874122025e-05 -0.0003147221626607767 -0.0001175523580667784 0.0006958630274428372 0.0003495142514106602 0.0005015066908273913 0.0009261202975688711 0.0003759551009143137 0.0001460689338631886 0.0003342383591667505
4	0.01090869103028742 0.01075371335752263 0.00922278338103498 0.008781953897796992 0.007247450116697888 0.006825901399311084 0.005360306688964531 0.004642581162786137 0.0014448188425879 0.001170309754752642 0.0005125714846573874 -0.0002512857237078823 -0.0005199202868578437 -0.0004614957903325114 0.001154159218579658 0.0009155787569487858 0.0005801257962979623 0.0001258749564967542 -3.371114053902954e-05 -8.737561999543583e-05 0.0001263821108439316 0.0005101005459078338 0.0009997102623887756 0.001382401392511642 0.0007704823166362995 0.0004047399715865925 0.004219423447357101 0.00326167840479337 0.002981007873364155 0.001466279882054202 0.001129601630701053 0.001170852587636345 0.001248364869480401 0.001332797870845768 0.001129666761848119 0.0007202628442070135 0.0002780281185195348 9.282517008264738e-05 -6.189256757897435e-05 0.0009127294341276021 0.000164141551428955 -3.713025765258142e-05 0.0001297329775965367 0.0006789292649832921 0.0004363936542811351 0.0004444737218793661 0.0009114429149760914 0.0003403089774016041 0.0001409103866644378 0.0003040041323135264
5	0.008223498332738116 0.008814280582674895 0.007592405159585971 0.007239068640553745 0.006021196099106505 0.005681818693932693 0.004524650215698336 0.00388495846910317 0.001122514638110402 0.0008962190558179511 0.0003822865293843528 -0.0001606425515283504 -0.0003417791795939231 -0.0003091153677861945 0.000976850298463942 0.0008231528918044691 0.0006156201869320899 0.0003398874963656595 0.0002912240160687888 0.0002931631265359682 0.0004908335455358519 0.0007803326405213451 0.001112386242363952 0.001308169236191007 0.0006714245436502033 0.000345316444408877 0.003611228718250048 0.00290010738909309 0.002692298313866837 0.001524770529090006 0.001295786950553656 0.001289733554819092 0.001284207989414368 0.001239109458490764 0.0009957549638888218 0.0006251494925704268 0.0002728408964523837 8.638735755818251e-05 0.0002536100594973029 0.0008255243095050156 0.0002894027350212124 0.0002404591314395816 0.0003770169706445754 0.0006619964196475719 0.0005232731982721492 0.0003874414677570329 0.0008967668282656853 0.0003046632992790516 0.0001357519662483148 0.0002737703017978649
6	0.005538303801967598 0.006874844195053182 0.005962023745730054 0.005696180316110007 0.004794939420138092 0.004537733449458336 0.003688991572071817 0.003127333968681712 0.0008002100170050906 0.0006221280377631509 0.00025200141297489 -6.999948866585286e-05 -0.0001636381711475482 -0.0001567350088754825 0.0007995408242585617 0.0007307264483480302 0.000651113947380572 0.000553899318058241 0.0006161583162398182 0.0006737009307242741 0.0008552839257910403 0.001050563632350246 0.001225061149029123 0.001233936189144642 0.0005723664169964666 0.0002858927450805164 0.003003032137854327 0.002538534659793442 0.002403587080895146 0.001583259824072202 0.001461970928796511 0.001408613284962641 0.001320050030635551 0.001145420235785322 0.000861842616706788 0.0005300358132598022 0.000267653466064207 7.994948618512221e-05 0.0005691118660362275 0.0007383185972638409 0.00041466340374271 0.0005180477780692218 0.0006243002039120149 0.000645063081554 0.0006101521720394 0.0003304090059915418 0.0008820900635720917 0.0002690174385466072 0.0001305934447326886 0.0002435363042352269
7	0.00285310255526018 0.00493540022369407 0.004331636043532731 0.004153286069469918 0.003568678056151313 0.003393643905474926 0.002853329895208432 0.002369707240154662 0.0004779068026989542 0.0003480385695552122 0.0001217182424617143 2.064575003500186e-05 1.450462456752374e-05 -4.353304380917415e-06 0.0006222328065212718 0.0006383015086378601 0.0006866091593656133 0.0007679126250649478 0.0009410936348163562 0.001054239379017655 0.00121973431921854 0.001320793959303752 0.001337734684779455 0.001159701389083695 0.000473307508260597 0.0002264687826431403 0.002394833532360974 0.002176960361929442 0.002114874378738191 0.0016417485800933 0.001628154087765411 0.00152749178018545 0.00135589066118069 0.001051729564913282 0.0007279291545189171 0.0004349214977722628 0.0002624657838141633 7.351157155074884e-05 0.0008846150104542433 0.0006511143382846485 0.0005399254494171505 0.0007956377630179699 0.0008715836501793818 0.0006281290005866846 0.000697030641681738 0.0002733761808963703 0.0008674121828242457 0.0002333713721600911 0.0001254348510533906 0.0002133021158174894
8	0.0001679012902423343 0.002995958861035069 0.002701250531834707 0.0026103938931227 0.002342418402418674 0.002249555929606825 0.00201766940466053 0.001612081184375077 0.0001556021899389704 7.394766544282732e-05 -8.56640827641433e-06 0.000111289758842307 0.0001926466108233125 0.0001480278216838694 0.0004449236824837996 0.0005458756016597839 0.0007221037008416949 0.0009819256105898075 0.001266029201623175 0.001434778459920275 0.001584185772302139 0.001591025632672981 0.001450409723954697 0.001085467924641866 0.0003742490542285963 0.0001670449422917973 0.001786635765695664 0.001815387021643554 0.001826162692953755 0.001700238283970842 0.001794338581819158 0.001646371758616409 0.001391732676983539 0.0009580399621384035 0.0005940163704904886 0.0003398075386344837 0.0002572783323828777 6.707369417023484e-05 0.001200118160762629 0.0005639091587298442 0.0006651870041786765 0.001073227653632848 0.001118867695970543 0.0006111955541699477 0.0007839098130174604 0.0002163435614192767 0.0008527352538116438 0.0001977254388207074 0.0001202763311920875 0.0001830680554391472
9	-0.002517312209203818 0.001056511515406984 0.001070860160280814 0.001067497167842714 0.001116155386689408 0.001105464874734905 0.00118200701624341 0.0008544531782579865 -0.0001667038616099364 -0.0002001445335083348 -0.0001388517701203176 0.0002019342045847239 0.0003707895423446986 0.0003004097485921302 0.000267614077800916 0.0004534497091274736 0.0007575990312873173 0.001195940474390699 0.001590967461918199 0.001815320674255972 0.001948640452943649 0.001861260125001914 0.001563086735213633 0.0010112352190156 0.0002751905224657251 0.0001076209914970686 0.001178436911889352 0.001453813767037319 0.00153745144309762 0.001758729903926275 0.001960525603027879 0.001765253918572543 0.001427576247667074 0.0008643508914895394 0.0004601035676572058 0.0002446934811629288 0.0002520911121432427 6.063585201872839e-05 0.001515623883052344 0.0004767040376944978 0.000790449721543545 0.001350819816410064 0.001366153964353228 0.0005942626416483337 0.0008707901624480911 0.0001593108941267386 0.0008380591155502649 0.0001620795340293233 0.0001151179044505721 0.0001528340346051111
10	-0.005202477518145653 -0.0008829111076173258 -0.000559509914945001 -0.0004753804926580482 -0.000110093252315038 -3.86129132275156e-05 0.000346353278527139 9.683396355175664e-05 -0.0004890032179410077 -0.0004742306576207166 -0.0002691333999106736 0.0002925778328050458 0.0005489294707984238 0.0004527890476091517 9.030750210582393e-05 0.0003610249115853545 0.0007930923981272212 0.001409949128402215 0.001915896224010582 0.002195851581399024 0.002313083328418999 0.002131484238451148 0.001675756453700676 0.0009369997347586471 0.0001761323682405766 4.819755837688872e-05 0.0005702435250946773 0.001092241328375153 0.001248739607364093 0.001817215050412577 0.002126703595683485 0.001884128167434125 0.001463414181646778 0.0007706599794995272 0.0003261909816002812 0.0001495799116684169 0.0002469030868438168 5.419791297575965e-05 0.001831120675333571 0.0003894998262716638 0.000915708838339091 0.001628404166673234 0.001613432214064114 0.0005773278214623124 0.0009576662009706924 0.0001022784931029399 0.0008233800931225441 0.0001264336242479077 0.0001099591819324448 0.0001225999545746669
