1	-1.050033612900513 -0.9909003490671835 0.09524297669520325 0.7260911022314421 -0.9835198461773109 -0.8884129201673858 -0.8192985222562458 -1.009984204350437 0.4817841956814136 1.230248836662213
2	-1.247218231621055 -1.055146093700053 0.4474734054680038 0.9331787639517004 -0.9433680346345903 -0.7586681424506648 -1.106260199712063 -0.9922175420189079 0.7872061462166512 1.329480592733614
3	-1.298311935001973 -1.234791752781424 0.08978022631119068 0.919135977366983 -1.115108313440759 -1.018955470759191 -0.9068194069656302 -1.150499028130071 0.5261187455553614 1.419103610365914
4	-1.260883523710755 -1.381796291336385 -0.4186679756175081 0.8641408733911932 -1.078392851747622 -1.137978039523031 -0.4056828254349956 -1.098290925743073 0.03724238992554165 1.252168781527056
5	-1.292268676329683 -1.442520099986479 -0.5026135026505351 0.8910880363176251 -1.062513355865073 -1.151235354300639 -0.3133646256319012 -1.082252144059495 -0.04879732122700611 1.225319820257474
6	-1.49168714968406 -1.817144894950288 -0.999803590455262 0.98022805322704 -1.331261320243436 -1.546571432679566 -0.05386403053796704 -1.338300379371983 -0.4025204309265848 1.412352605139893
7	-1.632824866626158 -1.942144710156584 -0.9731367367895112 1.222980664885345 -0.8297115884234537 -1.109743719413219 0.3260448006748545 -0.8625414990193114 -0.5978017708504659 0.9828334247563559
8	-1.605580200739622 -1.998818386990231 -1.205283175673616 1.214888759758188 -0.6981247819252174 -1.063479160014413 0.6454951698481131 -0.7272797574074055 -0.8701725699776257 0.7955308802256048
9	-1.46455327470272 -1.811044704693394 -1.062655612282266 1.06205041100785 -0.8487509466736516 -1.143623745337366 0.3863391771115741 -0.8691066326844832 -0.668169016622686 0.9345633534717593
10	-1.145400613185146 -1.163553678969677 -0.1247007507515545 0.7727783415905468 -1.098794490509154 -1.060563266612578 -0.7012951538099066 -1.120157409833826 0.3235417927641591 1.31147674131746
11	-1.112127748241569 -1.350150685793353 -0.7289900195189192 0.6726749737820301 -1.251965121562578 -1.37410646177264 -0.2613512778809762 -1.248749927878528 -0.173044617821495 1.30182627975316
12	-0.8496283208713026 -0.6779417434115245 0.4219003426070714 0.5780671900062324 -0.9256814221054777 -0.7281146560744172 -1.087322283416745 -0.9525935995307337 0.7673487196671833 1.201007965556049
13	-1.111629114836844 -0.9495840535236654 0.3668863767072482 0.9379803566183597 -0.3661370888944889 -0.272317415047006 -0.5795225482981624 -0.4251048968255304 0.4673871357719346 0.7292017130244696
14	-1.089295736179407 -1.116914170816433 -0.1514129390953153 0.8007461699906566 -0.7475771694108891 -0.7594354351812664 -0.4003432384673255 -0.7771898227080819 0.1489922689770943 0.9586184570789562
15	-0.9458146201182118 -0.5629373547637816 0.9891059081633621 0.8654157121346904 -0.1893836790721484 0.07861170869189883 -1.026936305802893 -0.2633410228252215 0.9763497971597962 0.6680156514046086
16	-1.247761571587491 -1.12357900674604 0.2612325629077201 0.8924833963735258 -1.076438111454238 -0.930718628376112 -1.038298717507956 -1.115346933432696 0.6708270302634527 1.410424194875991
17	-0.9852283840966034 -0.8874824824541656 0.2074178546922206 0.6719827788868552 -0.9938979091610488 -0.8599392071707233 -0.9351462799182082 -1.019694460449751 0.5927554896534819 1.249818435317787
18	-1.213361024088763 -1.372121658737709 -0.5186638595306935 0.7972481865617987 -1.158761781412337 -1.235378460687159 -0.3785495406330405 -1.17039267059283 -0.02000484270257251 1.291347505419338
19	-1.743400642345019 -2.084567115986932 -1.067287705094844 1.272387291583717 -1.025361040162629 -1.3148918028074 0.26376963302229 -1.054792755095773 -0.6045605707379409 1.174236512737931
20	-2.017594930766098 -2.395538523409523 -1.194661912795485 1.57752591678461 -0.7359064247235231 -1.116870524400549 0.6252285461607158 -0.7866652111598461 -0.8560242912114455 0.9432065800087406
21	-1.118438891620699 -1.396814770448292 -0.8481370170514787 0.7839509488834717 -0.7577946825650429 -0.9798810546110333 0.24215434215183 -0.7685041194967742 -0.4971900443565535 0.8083709873640518
22	-1.039798206781063 -1.286923557928414 -0.7503200116904412 0.6355276384621441 -1.123934521857952 -1.264845696528446 -0.143311745766894 -1.120545996212839 -0.2459697284389173 1.156626423877034
23	-1.044083476833036 -1.137011785054535 -0.3253672338495763 0.6941228158869494 -0.9925444352454427 -1.022630364835724 -0.434812334932278 -1.006207247702958 0.093603601608218 1.135986371733811
24	-0.6284961909728504 -0.4420478535254593 0.4659579424742933 0.6133221656654492 0.0911382436605723 0.1836294950073843 -0.3319378989453221 0.04005091627168692 0.376924478510933 0.1930503588173797
25	-0.6148091374685571 -0.4317340098604064 0.4652078858818444 0.4778674278613278 -0.4493196419711674 -0.2866094833131795 -0.7608071134102189 -0.481015678827626 0.609411915720709 0.6993908140567409
26	-0.5958138012449391 -0.3911555156707881 0.5200003422387791 0.5700228419700629 0.01625509593817181 0.1365549960326211 -0.4432799273131451 -0.03202286194023847 0.4605299972925236 0.2680554964615915
27	-0.6752073078314235 -0.40025679114109 0.7078237936337907 0.6632709136385135 0.0639494676237134 0.2301163455593615 -0.5766662000875525 0.004241881811326594 0.6128242043857434 0.2893179879532176
28	-0.8045205754757526 -0.7948868989391509 -0.02258402480390449 0.4974624552315753 -0.987473208930431 -0.9132393357788255 -0.7243308642456471 -0.9969278245185839 0.380775536829876 1.140407389897823
29	-0.7275573192188847 -0.6170779112634018 0.2579434728216732 0.5237796588736034 -0.6398919837466321 -0.5215321872590023 -0.7135486095930322 -0.6652125778814557 0.4949185510270988 0.8593630565646363
30	-0.7890304163359693 -1.072260086123185 -0.8290203188978992 0.3780908241800105 -1.243646197592383 -1.378422730982928 -0.1769209050759509 -1.220103384410565 -0.2604775448657749 1.184071324466347
31	-1.238094527444518 -1.546408560840303 -0.9375754970296201 0.8395538232732385 -0.9633076575761667 -1.192723685285231 0.1680924018024158 -0.9709133993163651 -0.4955708722597405 1.012630617495122
32	-1.600408402080836 -1.950813915939254 -1.088758012498304 1.258348040475688 -0.5167676333539268 -0.870099249267163 0.6805969990399163 -0.5552567138496548 -0.8394702146928744 0.6510039706412019
33	-1.4090950681746 -1.792912738225771 -1.157843819274817 0.9434360327608184 -1.12609219734177 -1.410704969060274 0.2522942261372186 -1.131098742405804 -0.6358607541065276 1.158719650491179
34	-0.7680003369281614 -1.05678333847093 -0.843524346042438 0.3709077067908325 -1.188409534098957 -1.33346573555373 -0.1205702309463417 -1.165196711020546 -0.297180949404462 1.122854889357735
35	-0.368856293856907 -0.532179867000009 -0.4633499717446521 0.01119347135487924 -1.28881333204772 -1.283472028330112 -0.573506994921769 -1.251244150908209 0.1122522667632795 1.203063371397769
36	-0.3264131540616748 -0.09156500600278147 0.6254575475155566 0.3218468436455589 -0.03642179018288159 0.1379163440857354 -0.596177189787918 -0.07115878950058599 0.5894295301099999 0.2715828473497391
37	-0.491768269790277 -0.3483056485593388 0.3545607710303132 0.533545498205134 0.3094300913340397 0.3480885583568548 -0.06140521440024202 0.2615435005986931 0.1830096985271854 -0.07612895334715326
38	-0.4487431189074036 -0.258929566267627 0.4908243964069329 0.4290797333842193 -0.01423195575641913 0.1096610643432275 -0.4472898678237878 -0.05254929587568786 0.4507474991645253 0.2507423151750164
39	-0.6423293435018631 -0.5810872532822721 0.1287684227051157 0.4308267517640088 -0.6782836050838661 -0.5889881674873295 -0.6277068213505508 -0.6938711895327878 0.3934805538089499 0.8418803969640548
40	-0.5853168997416126 -0.5912814215347797 -0.0443366922155238 0.2288807358946552 -1.295373391208483 -1.17540973739447 -0.958851701368303 -1.281568775616215 0.4995098061548906 1.367577194194068
41	-0.6877826963419317 -0.7819583129905031 -0.3013356381619715 0.3818862186935762 -0.9624006023030268 -0.9686560204561256 -0.4502449623529478 -0.9582544645992551 0.1134339972201631 1.018658967366338
42	-0.6320848032669587 -1.012224185897029 -1.082644950851225 0.1809014536384572 -1.424537782384681 -1.603377794604765 -0.09161956172603544 -1.378820074842062 -0.414499477687173 1.252103654238926
43	-0.9665452079390426 -1.381612288884004 -1.209740118220132 0.5422908954997717 -1.126201601267962 -1.400999141597359 0.2794969593576731 -1.105430488806682 -0.671288117475586 1.028767673967123
44	-0.8514806218895247 -1.190915905788607 -0.995479883688376 0.5208134649300231 -0.8209950447153622 -1.063976699490903 0.3165850132756032 -0.810623821046298 -0.5995786563955905 0.7616560355047169
45	-0.8148759690776555 -1.235841236647908 -1.212242023792288 0.3736883802724234 -1.266802503003173 -1.51551548217028 0.1630245702692257 -1.23279653388285 -0.6086328919079333 1.120591006849499
46	0.005359853829399756 -0.4431437364392354 -1.224622365604071 -0.3592528115428179 -1.24215455623866 -1.450634261795971 0.1550732149938117 -1.163651294221561 -0.6068453852082311 0.8764404724454782
47	0.05463067495576172 -0.08735672288168844 -0.3764772288127871 -0.2763730036594386 -0.9011250640797257 -0.8952457451838327 -0.3669412176620362 -0.8561967831434157 0.03864471570037518 0.7455082744404424
48	0.190098201612642 0.183293156168526 0.01139714148963295 -0.4216850513070359 -1.103536915911741 -0.9469467233140438 -0.8954555580878243 -1.055422920949179 0.4914969029339581 0.9939072705230486
49	-0.01929154803269663 -0.03247265171136821 -0.0212439197008693 -0.2584774458476959 -1.205571449249035 -1.057696291118487 -0.9360480929274974 -1.164482973353611 0.4988921610271245 1.137994626380564
50	-0.4469111372418662 -0.3889279805549074 0.134988007743376 0.2563670603316363 -0.6740556376806865 -0.5722008652658923 -0.6394501312496095 -0.6792504339939524 0.4031653912490222 0.7874706791252643
51	-0.2245421886066564 -0.1414414275662513 0.2219612447461412 0.06170132666731892 -0.6728054919865794 -0.5321337556758217 -0.730087305030966 -0.668362159463993 0.4902268314837378 0.7481416608255205
52	-0.2704585309618395 -0.3739505871802294 -0.2918991097592592 -0.03480943770238207 -1.146132607883292 -1.101880946557784 -0.6247182676589973 -1.113040337334698 0.2135565726455754 1.083493190765033
53	-0.3746803460301638 -0.4401680315027863 -0.1983204003090814 0.1221523973559589 -0.8926016528551756 -0.8588284574659405 -0.5057483477679943 -0.8766662969576126 0.1885791931405935 0.8943796631422465
54	-0.5253105138837266 -0.8614279886501994 -0.9559393193185913 0.1510935002112594 -1.166201020775258 -1.334034230363028 -0.009748678296868492 -1.12719110428446 -0.4044935397605887 1.01037051040628
55	-0.4987675836466188 -0.8792824401405697 -1.077925497957723 0.1378819297256298 -1.088104714053298 -1.301223310555379 0.1646349867623347 -1.046801491262287 -0.5511149679081359 0.9002509031910277
56	-1.272538896641645 -1.415602239242996 -0.4891364588237719 1.00470969474685 -0.4891999447550328 -0.6466213578381907 0.1281292145268574 -0.527997125584744 -0.2825920679629574 0.6821504558451851
57	-0.6183567587906706 -0.9222502674454265 -0.8798456979875089 0.3354254488197916 -0.7438844170547154 -0.9485751112878756 0.2589332552959688 -0.7267274791634141 -0.5181501354353059 0.6547584158802338
58	0.2191251432629475 0.04591110064635245 -0.4456703603496899 -0.5007107917272138 -1.218679170238699 -1.183260180473226 -0.5623132506937569 -1.151787768303316 0.1156989864356607 0.9849105772525477
59	0.04651748034719261 0.07365808531331816 0.09155837452306122 -0.2449558819793599 -0.915221360270092 -0.7670078303105485 -0.8138653174457523 -0.8837883153260448 0.4809475380207778 0.8735807165794127
60	0.2951518480125749 0.4406922951071166 0.4306195466478035 -0.3117781120485364 -0.3135782667540739 -0.1264864218553154 -0.6641705682736473 -0.2990406804615192 0.5452586602707786 0.3211953989622605
61	0.5784952498970275 0.6222441870665676 0.1685282857954254 -0.543883277318068 -0.1464047083087328 -0.04352378480425998 -0.3007668463951809 -0.1145056082879439 0.2371122859985773 0.02506066836591886
62	-0.05224425515595664 -0.1285803599504111 -0.2061087488063849 -0.1193682738182895 -0.6775703021100041 -0.65532743345346 -0.3431885794572508 -0.6511325729122361 0.0981118356612532 0.6038710550052225
63	0.07774915602171323 0.1578543220461411 0.2367645975970414 -0.1999460614450379 -0.6314897838174318 -0.474311168564934 -0.7254835119521212 -0.612317803173531 0.4950624551835781 0.6323966545450211
64	-0.009185813459915331 -0.01094848632459011 0.007856175140478759 -0.211536265522292 -0.9670284011864917 -0.8405520154449211 -0.7743333343581409 -0.934445095708872 0.4235788031219292 0.9171423975076725
65	-0.1141105696839793 -0.1737261981455966 -0.1613503927180155 -0.1149331891858265 -0.913905167083399 -0.8512748864045455 -0.5695092650226111 -0.8840133386665127 0.2398397121371334 0.8541603514546073
66	-0.7062929516972143 -1.082855929170457 -1.079384015214176 0.2614842889363311 -1.364654602367439 -1.554495310133978 -0.0436010556251492 -1.325164366988678 -0.439418233726882 1.21607673048707
67	-0.6569872808204891 -1.009329572410837 -1.01228634539309 0.2841243171049507 -1.087730961569987 -1.290218590957539 0.1113002523641495 -1.057016986428013 -0.4946836471020601 0.9577241326016301
68	-0.5639039733937099 -1.011786538686682 -1.270631846067663 0.2015892111724742 -1.016245250667037 -1.300416862988668 0.4043317408346415 -0.9754170285156863 -0.7636772261023316 0.8033586747860356
69	-0.5713335869469857 -1.020848553197985 -1.278438821316069 0.2520611585576626 -0.8219921827741709 -1.13397921170646 0.5661226334753218 -0.7880377381869969 -0.854843706737537 0.6200918074301235
70	0.01221013754933709 -0.4050993766643898 -1.134055745064805 -0.4194423055298983 -1.502576765813368 -1.649816769961058 -0.1363198499736039 -1.417345417601905 -0.4100175181085239 1.142232882302221
71	0.3675278952899897 0.08344225191884501 -0.740962520466328 -0.6546003998748495 -1.232522560376781 -1.275739695610161 -0.3052064445201402 -1.148474620478761 -0.1493809543366887 0.8875044431086359
72	0.2226983002337278 0.0142317598087744 -0.5432195631998141 -0.5066479890663348 -1.205625907271161 -1.2010681477094 -0.4612261122905001 -1.136167032230868 0.01921115792629154 0.9481691970852739
73	0.1620741299796369 0.1528027325396491 0.0009725702358614669 -0.3742047681393917 -1.003082374689366 -0.864190201923792 -0.8046852157041 -0.9596646424157202 0.4376891757026623 0.9040214727797237
74	0.2802809054947746 0.2222841244385356 -0.1261037103867872 -0.4655688079478245 -0.904791150018061 -0.8100525327514833 -0.6138952792669244 -0.8546010345673335 0.2802989567041934 0.7492628541896769
75	0.07330948054833983 0.1299316500522244 0.1742117068908725 -0.2461076132319009 -0.8356564107379897 -0.6712608726561906 -0.8290144356677318 -0.8078852877720559 0.5245380457020928 0.811245656219342
76	-0.4405524130917793 -0.7714006382640496 -0.9331184637884264 0.05021092754605209 -1.280229874004831 -1.421620912921198 -0.125543797355278 -1.2333028111795 -0.331622337449532 1.10098007470227
77	-0.3445895065419284 -0.5240139450099417 -0.5081207689974765 0.02067641947412879 -1.13986304685479 -1.165810989432875 -0.4147346163388574 -1.10479945016551 0.007053445054880438 1.045245211628084
78	-0.9489509404934371 -1.207457631823626 -0.7729537216755515 0.52340879141354 -1.251594132103224 -1.377648369871968 -0.22785903611812 -1.238170325903378 -0.2094384661406702 1.247548338163888
79	-0.7903694330996487 -1.103366205159057 -0.9233609725045435 0.566622813710059 -0.3970110718124314 -0.6694028919537418 0.5829549975697431 -0.3999800752951404 -0.7131589634596776 0.3625599073076031
80	-0.8003994929145365 -1.145616621720783 -1.00883561139267 0.4960330646944145 -0.7246301478731249 -0.9811194403203928 0.4030751194925351 -0.7143907573709349 -0.6520486274259485 0.6539100805395869
81	-0.03796581215470565 -0.3697490025254742 -0.9088630144306981 -0.2338220837503014 -0.9435181425114284 -1.097863927725689 0.09990895609602858 -0.8868112439826856 -0.4422773665598053 0.6820299976176619
82	0.4692748473851021 0.1267705692665224 -0.89300651488628 -0.7845164941410228 -1.362096450440878 -1.428565019814151 -0.2712052023316954 -1.26360683458241 -0.23238890095862 0.9462010873787323
83	0.5666593770939974 0.2112322960177303 -0.9218815241116982 -0.8622341690503821 -1.311301882877755 -1.387418350685524 -0.2086237043069771 -1.208385712544792 -0.2783513035407478 0.8654354928757826
