1	-0.3152289569280735 -0.2014190988127602 -0.3244216676583666 -0.3202748454360801 -0.3075401618855426 0.3209293862932195 0.3241104674057215 0.2817248753092925 -0.3504703250890304 -0.2505375932198323 -0.3861790743374934 -0.3670781043037538 -0.3555444443975975 0.3925038381873119 0.3702194906691791 0.2959530902374642 -0.9956044163568477 -0.9432808126370318 -1.003246299012712 -1.008005077610503 -1.003370846321224 0.991115799569511 0.9970787361274278 0.9392183653293285 -0.9939121228628808 -0.9458916254900077 -1.001176653191702 -1.011577668233708 -1.009292609189797 0.9997957108515807 1.0019381308204 0.941853594426441 -0.9849318627300233 -0.9729754647119099 -0.9817583255663078 -0.8785055363006897 -0.8046383986878827 0.9766631636447409 0.9635663086481854 0.7283450308114789 -0.9716189237848584 -0.9642668529924683 -0.9707660309103384 -0.8679330029403668 -0.7568263329949579 0.9627022671342594 0.9497239566652921 0.6863898593846564 -1.002584388561588 -0.9645867063181264 -1.018823947368581 -1.009971488727056 -1.003968247300543 0.9825636911472952 0.9900736955844897 0.9446218448436003 -1.005218785189846 -0.9688821185800515 -1.02015446394159 -1.010619978368357 -1.001182749835996 0.9877526993130621 0.9944342603525054 0.9436251050626669 -0.2434239517708496 -0.1726642340802975 -0.2881055055617194 -0.2892637510739297 -0.3072065676422847 0.3020871690337283 0.3073680547293158 0.2924581533234082 -0.2974944539636059 -0.2389229425408227 -0.3339256312020152 -0.329685296435281 -0.332981308674214 0.3416459321882321 0.3398217460580203 0.3061763006313338 -0.9534347445768085 -0.9059619096081462 -0.9781247629997737 -0.9748681005700347 -0.9591303575089177 0.9361467680270112 0.9453963163810093 0.8876865374454352 -0.9993969223840172 -0.9464710740774379 -1.017851995870417 -1.008340912733927 -0.9919978380316787 0.9863998379819471 0.9931016975002883 0.9196640422395426 -0.9710632979988126 -0.9566913086660839 -0.9457535782326371 -0.788624491530614
2	-0.8918937968988974 -1.02151805423384 -0.9061942882133651 -0.8797317948094558 -0.6122553468049892 0.9778410726058006 0.8086525631036545 0.4284719294719861 -0.8802555770320653 -1.01385234786846 -0.9169949151177446 -0.9119663880899924 -0.777782959801131 0.9585977900677793 0.7448715030446872 0.3870376791025857 -0.9682552175040743 -0.8641698900145064 -0.9957798999142985 -1.12471499627359 -1.143565581410638 0.9826594798870989 0.9808555421132245 0.9145512606135093 -0.9760008403468324 -0.8707177122452093 -1.001867032689835 -1.13383251400742 -1.15740369394093 0.9923081323636759 0.98479334586106 0.9125719999571582 -1.325311933243798 -1.263491102595238 -1.377605755757095 -1.501351286359049 -1.440514628080248 1.329212388077317 1.305882491995561 0.9769887871655832 -1.305538172480468 -1.260372259687453 -1.38121653175918 -1.502978566739346 -1.383740393011812 1.307328257336636 1.279253219132057 0.9148127261226352 -1.121681047191225 -1.040945358053736 -1.121055049396362 -1.218942383392156 -1.235108369644087 1.107572443903383 1.097952292732181 1.021156889272836 -1.112561852488269 -1.036257773739467 -1.116515702197433 -1.226630300497963 -1.243634616058184 1.100090416285957 1.091082748897914 0.9920780251134824 -0.8943147942064955 -0.9699079113787058 -0.9134238037855041 -0.8931464694248902 -0.8014683003416724 0.9933328221616635 0.8757429060677093 0.5626962323635497 -0.9422084377088563 -1.018893788642066 -0.9416045067531739 -0.9122279699580259 -0.7912099016168139 1.019283824227188 0.9105156454613169 0.5898341301710434 -0.9007805826556693 -0.793037607572237 -0.933429702482928 -1.031620683673818 -1.020073033915746 0.9184063511684823 0.9150745338121375 0.8127825581153741 -1.036075244531047 -0.9259707600493263 -1.079976914194819 -1.191613118411982 -1.178631166399464 1.049117179723967 1.050457974775332 0.9258361863909437 -1.369214072705852 -1.316323307135306 -1.437962311656016 -1.498262788984932
3	1.816604983348974 1.650728443343081 1.809814760748169 1.798540490886122 1.5643456163938 -1.826808952641186 -1.750998590881732 -1.339914080849018 1.736766391097274 1.584277157168436 1.745965495465834 1.765919230225666 1.686110260127868 -1.755278773152382 -1.646893219407871 -1.268313857671099 0.04125580128464947 -0.1068029642441264 0.03160209197599639 0.2346179608003374 0.3051278717914855 -0.2324155719463908 -0.2400646607313692 -0.2340057435049081 0.004727251168666012 -0.1356745045172239 -0.01048074443807026 0.1931443665218243 0.261597231056148 -0.1935218965596441 -0.198381596546741 -0.216766698880594 0.4195336479396664 0.3065881375995821 0.4732712430008397 0.8876761604048415 0.9004986727726678 -0.3877003116700721 -0.3364324618128064 -0.3248947792065409 0.355339365699281 0.2371364081738343 0.4658113417343095 0.9433688763432205 0.9327012935284417 -0.3337419296031459 -0.2998845056121339 -0.2861356573045704 0.4357567040516189 0.2333741140642562 0.3631058726311665 0.4755776804739065 0.5397766735919584 -0.5713808533102017 -0.5504727563828905 -0.6031598656236014 0.3824833051363536 0.1811925098878648 0.3195260433820123 0.4516653586136252 0.5295297212343991 -0.5265202994459581 -0.5071696505269642 -0.5441725262906592 1.824904255532944 1.682125598024633 1.833577763808653 1.826919721026311 1.747128987477168 -1.820943636670851 -1.814235613294503 -1.522145537675015 1.814172412886494 1.667097926883522 1.808266581481563 1.797188954450371 1.702059791309873 -1.798892504378142 -1.79445152137171 -1.530601897490401 0.2416993028904949 0.02968054209537938 0.2016464080427995 0.3249315797465905 0.4314894019072945 -0.3930698551807057 -0.39584883641992 -0.4879942028553064 0.2561301996815112 0.05346123373281923 0.2388905274596591 0.4311637248540308 0.5018058000597669 -0.4388749238545196 -0.4471239107859728 -0.4838230968512464 0.4759293228744744 0.3671732028578694 0.6055970884689658 1.05357636582277
4	-0.7950986729985875 -1.049595003843803 -0.8048112416452178 -0.7763451092109857 -0.4656091948691378 0.8943810519547573 0.6875430528264104 0.2671673077243821 -0.7524188240344487 -0.9999401380573631 -0.7669176504474919 -0.7765891670849216 -0.6245624125868077 0.8119348468266195 0.5728421675688079 0.2058800857821118 -0.3388525223602781 -0.2583134543530629 -0.3659290551428293 -0.5157891735701328 -0.541674462118082 0.3577745977561134 0.3504988502811664 0.3186881595938564 -0.3500991300871287 -0.2644099263357207 -0.3755483514556393 -0.524346162911048 -0.5540096842506022 0.3626643393535052 0.3517013296846426 0.3142879978455548 -0.7760567071831079 -0.7124982225221259 -0.8414583847446518 -1.073000469027244 -1.061004251872111 0.7880970058010417 0.7714095473196499 0.5699950897393057 -0.7640164661074692 -0.7168512137274945 -0.8551367384234509 -1.083162956995182 -1.031864555126938 0.773918504700966 0.7511703512945234 0.5302530296216895 -0.5142343131085928 -0.450647003882943 -0.5007404883665637 -0.6254614129345087 -0.6493157086836353 0.5122784299551544 0.4945752415915619 0.4389422522725953 -0.5016135981861793 -0.4419930305035251 -0.4946473555759172 -0.6345246679630564 -0.6621084978559887 0.4994002041817321 0.483114960718482 0.4052388455347203 -0.8581074318974752 -1.010754428376193 -0.8437223481760596 -0.8182523595309475 -0.6930468905802558 0.9290202964538715 0.7821372325426924 0.4186821214976955 -0.8709793946232829 -1.014788091355836 -0.8397883637982405 -0.8078659318725948 -0.6595545218306007 0.9275914683587062 0.7973287094273775 0.4399799042350334 -0.2899896814326505 -0.2017213964143018 -0.3093569378084889 -0.4296264557881783 -0.4275353622639075 0.3240215534195569 0.3121981130837242 0.2354567553594932 -0.4152982303496857 -0.3286246517254444 -0.4532559660210808 -0.5942346452300047 -0.591344315866934 0.4398004387408433 0.4357101750154365 0.3457487385554796 -0.840216944796324 -0.7894570749369745 -0.9432011190106705 -1.142582818070852
5	1.1938654260746 1.141690983745187 1.185049221369774 1.177536518397897 1.000022403871689 -1.203336804288013 -1.137158575891104 -0.8413120257970524 1.117460918758194 1.067911502202704 1.107653442005272 1.131638671059868 1.072334024807519 -1.113523118530212 -1.034559780453018 -0.7799999336604744 -0.4313966176104719 -0.51669461581605 -0.4406758314633071 -0.289643263083388 -0.2354546731216502 0.2908742270743482 0.2885924940926481 0.2667483387318075 -0.4562964292330725 -0.5384063679769535 -0.4694678531868779 -0.3207564392896091 -0.2689886116859938 0.3227628026487649 0.3208344158364418 0.2806231072963129 -0.1328553479150729 -0.2114423276727516 -0.08948827755850278 0.2693587832556107 0.3134301561580511 0.1511851624818132 0.1825806944769858 0.08789912617015791 -0.1732131418381707 -0.2569851382251788 -0.08890690383515513 0.3149719717391413 0.3580936631446454 0.1839775175108702 0.2032094059174724 0.09758604601703301 -0.142503375325386 -0.2729012053142132 -0.2031915442051253 -0.1119612132638505 -0.06175285337648431 0.03548212671701686 0.05498627150357312 -0.001973310800201262 -0.1826890646042559 -0.3129042767537866 -0.2354619486959195 -0.1290203464805299 -0.0671562900190857 0.07085742736684959 0.08877476376696473 0.04161255348074807 1.237374345326379 1.176156104063128 1.22146713802845 1.214875076064781 1.142756667442607 -1.209859115652833 -1.195297690671692 -0.9746156182333701 1.204347289795993 1.133759127451955 1.181091873169784 1.173595884460074 1.096343407434785 -1.174954784135127 -1.16624749955892 -0.9751584616984912 -0.2694453479420946 -0.4034359760605902 -0.3091387172475383 -0.2130369062860213 -0.1289754032891657 0.1506485948596831 0.1536683356864298 0.06349310002389254 -0.2749754085802194 -0.3995491747639224 -0.2943631166375296 -0.1446434709520608 -0.08615355710053769 0.1361473158684499 0.1336325420985826 0.07642457462089619 -0.08250670180996643 -0.1562948220347729 0.02791703445383189 0.4351752426375747
6	-0.7077682054537912 -0.9633417497657153 -0.7133506167127401 -0.6884687122358784 -0.4014192783958856 0.7958025229778208 0.6050987727701378 0.2198392905950461 -0.654658775037859 -0.9003656756769518 -0.6572052073311463 -0.672738365782495 -0.5356365259031205 0.696206585849657 0.4826997784198845 0.1568428988692446 -0.001602498772351402 0.06207119964194498 -0.02313378936273962 -0.1664265144889826 -0.1945937715270546 0.02940046987221369 0.02140662043835919 0.01023626012322951 -0.01043712211876505 0.0588098718472574 -0.03034739504370419 -0.1709855542608559 -0.2017291588653267 0.02922337903576453 0.01894744911999345 0.004623463093150762 -0.4166421422966977 -0.3575940256591959 -0.479071340037022 -0.7393224836248259 -0.7518051987813515 0.4284371137125333 0.4149221828589268 0.3053254309378271 -0.4067363419018466 -0.3607599016933227 -0.4943734495810768 -0.7544419519719008 -0.741839836980183 0.4173107736838185 0.3991661927352338 0.2805389607023779 -0.1765873957427159 -0.1210936099268823 -0.1559008860856731 -0.2763034214130186 -0.3027533491028347 0.1876384987132011 0.1683884037222544 0.1348836835995046 -0.1618093599001766 -0.1094272976749798 -0.1478693805335077 -0.2830780786662117 -0.3146066979211454 0.1722599254488577 0.1546154583937813 0.1019788382732229 -0.7868442629354132 -0.9387724959746565 -0.7606410400806944 -0.7370546311364273 -0.6150384808448996 0.8324379975499717 0.698405348153977 0.361766122274603 -0.7813193419137526 -0.9213528539695547 -0.7418146394476467 -0.7138630076076958 -0.5748031982588513 0.8179437951205739 0.7011460590277553 0.3771297671857868 0.01954928029918883 0.09480751239211666 0.0116714486264147 -0.1035452475988844 -0.1117317874608087 0.02380098749934156 0.01047068967273069 -0.03631708153135741 -0.07975728303844093 -0.008064448878928415 -0.1073860621469136 -0.2465370794976178 -0.2524230793827423 0.1147668084655716 0.1094405431850568 0.0528566332057952 -0.4813636630477254 -0.4347711518534244 -0.588109624732955 -0.8376051711234523
7	0.1958195670008863 0.2424600554123695 0.1865602609032724 0.1874067271577625 0.1422483194533876 -0.1925629159446062 -0.1733799295179212 -0.1087141225871237 0.1476930744161929 0.1866136683896691 0.1210270564076757 0.1413735787575173 0.1323663736114571 -0.1177194808200944 -0.1112378010443477 -0.07986333316702771 -0.7971793792468758 -0.7914525084402019 -0.8061296617477097 -0.7604211338007395 -0.7391456429223286 0.7453746919518813 0.7481579989004625 0.7026051289758395 -0.8052068052136369 -0.8009484292302746 -0.8152390968359525 -0.7739159136820958 -0.7551043352327573 0.7622914457352866 0.7626522549046578 0.7090430948094892 -0.6982189333648605 -0.7163843567113948 -0.6828645021998354 -0.4974753142820081 -0.4344711807628977 0.6997602621597362 0.7019689825482582 0.5125637671626668 -0.7035855526538826 -0.7270030236262786 -0.6760549404152288 -0.4749644664199583 -0.3873687407113495 0.7019846131478602 0.6998032940346584 0.4880289615203606 -0.7050807030645779 -0.7248857186941229 -0.7364181992356126 -0.7023459915792295 -0.6815389034740935 0.6545482546842072 0.6656828817982107 0.6149651892906819 -0.72054242663274 -0.7414608348339113 -0.7484540822403445 -0.7090394002149908 -0.6820465951643336 0.669937269483173 0.6800266325785731 0.6286805027474177 0.255076192905931 0.2741017613501306 0.2213976730847233 0.2190950632258995 0.1859713984305639 -0.2058487101408169 -0.2017247541232506 -0.1443163786542315 0.2085653451674797 0.2167781765422262 0.1780616758584602 0.179076623419197 0.1541758366675946 -0.1683596754127369 -0.1703355003882354 -0.1351223052647137 -0.7117693505420034 -0.7260606687313277 -0.742079924995952 -0.7097285917870738 -0.6700128039511227 0.6599035622647669 0.6665156647613503 0.5956481891715532 -0.7467695534724241 -0.75431233127036 -0.7665029374479237 -0.71188948252782 -0.6807724050744455 0.6903002804279637 0.6935677323550087 0.6238875926150526 -0.6735454708663027 -0.6888605413457484 -0.6215658771808941 -0.3837955632539914
8	-0.8293333879782436 -0.9494609063801381 -0.840800730917741 -0.8173262421265759 -0.5723500209585316 0.9053414436674356 0.7520587171872748 0.403296701123656 -0.8122708547491123 -0.935017231973628 -0.8415306233125773 -0.8398164595862927 -0.7189230100881879 0.8781269686569921 0.6867037810073937 0.3623012238264953 -0.7576620213948928 -0.6649752121985892 -0.780900449980592 -0.9026559193309261 -0.9226014463858331 0.7783692022986454 0.7764561575774236 0.7233859542633875 -0.7632741384910293 -0.6693825709322855 -0.7848638330209511 -0.9087496842071032 -0.9325582428321579 0.7845097404532426 0.7778174787624583 0.72068620573292 -1.09009488723809 -1.032100683285332 -1.138882805470733 -1.275407362980253 -1.229568166910781 1.093157765694753 1.071816326870389 0.8039693621943398 -1.071422752994452 -1.027514757668896 -1.142922044667537 -1.280114822661831 -1.185410113089863 1.073081637065018 1.048202190071702 0.7516451773825015 -0.9083896508807394 -0.8328059203614336 -0.9033241303922076 -0.9954128741671002 -1.012872333215771 0.9032439435554616 0.8931257282603261 0.8317767868103275 -0.8979509658248177 -0.8261679562550308 -0.8974587520960212 -1.001226620760657 -1.020316701952644 0.8943230783243536 0.8848939156496027 0.8037930175316965 -0.8391852178650492 -0.9078905568403172 -0.8518722616503012 -0.8335163258104873 -0.7472758920340491 0.9207828077726798 0.8157304915980869 0.5283142423077207 -0.875666721255661 -0.9439195084536565 -0.8711555221004997 -0.8451149452820839 -0.733769481859233 0.938860480917447 0.8424479149898568 0.5512934401318552 -0.7100173721560814 -0.6110879495552888 -0.734857501490648 -0.8270631294887487 -0.8226107966052142 0.7333400951274248 0.7295442381845473 0.6483949521355359 -0.8258001607949661 -0.7257033671738793 -0.8621491187341133 -0.9696152746671922 -0.9625490026915902 0.8458450977648966 0.8466674630219756 0.7451703829883525 -1.13264663044996 -1.082981352449517 -1.201266832696407 -1.28839644718013
9	0.7332134735128039 0.7341822004813948 0.7246040557821619 0.7203351128883566 0.5988850906508604 -0.7392433173540617 -0.6905046922180759 -0.4955292824994145 0.6700929177945474 0.668687903995729 0.6530665479618472 0.6751994224970936 0.6361673637666968 -0.6557772841774844 -0.6053889129580334 -0.4486743751342839 -0.5834950090262729 -0.6274103354450831 -0.5917492611194385 -0.4880515328427706 -0.4493270105365779 0.4858868943108878 0.4861713354288468 0.454617122182646 -0.5998777686771404 -0.642943457009451 -0.6107017267359567 -0.5102632633564003 -0.473837467234075 0.5101763064285241 0.5096243686560017 0.4649307998977459 -0.3708635249957972 -0.4218534429839428 -0.3394750929204093 -0.06094548268650621 -0.009244226043189427 0.3808113341995667 0.3986266659560136 0.2672255239726099 -0.3946837096135607 -0.450368533555437 -0.3356749103424819 -0.02653122487225019 0.03498578025718684 0.3992961838165008 0.4089072380633016 0.2620005683556504 -0.3859001070820289 -0.4646461664290933 -0.4323268711075124 -0.3658152932336047 -0.3294339908147698 0.3068823748579936 0.3226428436035103 0.2710309661152628 -0.4143002183536438 -0.4933607444670871 -0.4548520312959548 -0.3775541752903787 -0.3321494227303548 0.3327489272787625 0.3471634861178349 0.3009489560274725 0.7848547586035617 0.7657157382364695 0.7606613986340477 0.7554986388368047 0.6993712466903917 -0.7496733470117199 -0.7363436196179881 -0.5853718408558094 0.7465361381984614 0.7172979271911898 0.7195379251388536 0.71526500953925 0.6596493162296662 -0.7141621511757628 -0.7071299916051165 -0.5819725321097459 -0.4609981227513949 -0.539719573202892 -0.4951515688520908 -0.4270111903396212 -0.3649487902171974 0.3742883690195504 0.3792196868145054 0.3015602444330271 -0.4767409705075942 -0.547401981219206 -0.4949500786530509 -0.3880630386728319 -0.343311797888361 0.3777192435495403 0.3780221805373731 0.3184355554596234 -0.331572720198435 -0.3784130866058955 -0.2473710943804113 0.07969628676111741
10	-0.5547119291694871 -0.4506199717979218 -0.5447841220782887 -0.5487001564995886 -0.522301117557571 0.5302484035163436 0.5476558454885246 0.4756072002102794 -0.5116785817273762 -0.4102950089524667 -0.4971946110817874 -0.512576108378488 -0.5192333048004577 0.4868558464121719 0.5076168384141859 0.4506550539388015 0.4932253908816643 0.5228689903415433 0.5086705643916607 0.4504634609994244 0.4204364919199003 -0.4012249980105243 -0.3979464301303905 -0.3677946967567804 0.5137894178608609 0.5400293643580131 0.5313984020077964 0.4749840907776052 0.4480088475053811 -0.4256179230558523 -0.4211055355400508 -0.3762986423680826 0.4196824794976174 0.4535434813383414 0.4094340864587225 0.2225062708100406 0.1815888663409262 -0.4353413813940514 -0.4507915683709496 -0.3019830150240689 0.4427540372501223 0.4856639978213304 0.41224090088617 0.1930544641966555 0.1373484127948855 -0.4524528101223478 -0.457619190738823 -0.2926893589645235 0.3474981289055319 0.4149104392426282 0.3868885438320546 0.3611790454653148 0.3331631530775608 -0.2708993853323038 -0.2796578974316826 -0.2189647868794357 0.3717141916275401 0.4403692694520829 0.4075060149940039 0.3758485781858534 0.3405886510637218 -0.2919327759425269 -0.299952185635475 -0.2387298856427836 -0.5720008406123764 -0.4890489369781683 -0.5613542909290116 -0.5645079063701514 -0.5513736009182024 0.5258276134925798 0.5603992642550935 0.5204757288714236 -0.540260520199629 -0.4524275173619554 -0.5304314864090318 -0.535429826829146 -0.5271625911704809 0.4984935692886861 0.5326577557760873 0.5130657314129395 0.362129710610152 0.4235901739856181 0.3978303344458639 0.3678818912387662 0.3075445992198563 -0.288675849491122 -0.2879717931745209 -0.1966575972078684 0.4086322372639593 0.4635619113647982 0.4354067505930329 0.3740896255374366 0.3311781538987333 -0.3187518634641909 -0.316357607064693 -0.2424108536630441 0.4032457049341943 0.4374952256761199 0.3560624326746651 0.1208194968825854
